modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_aries,1,0.5,0.52,0.5268759018759018,0.5,0.5036549707602339,0.5199999999999999,0.518575036075036,5.0,4.6,5.4,5.0
dt,signo_zodiacal_aries,2,0.5,0.44000000000000006,0.425,0.4,0.409090909090909,0.44000000000000006,0.4774999999999999,4.0,5.2,4.8,6.0
dt,signo_zodiacal_aries,3,0.5,0.53,0.5260606060606061,0.45999999999999996,0.4878571428571428,0.5300000000000001,0.5544242424242424,4.6,4.0,6.0,5.4
dt,signo_zodiacal_aries,4,0.5,0.5800000000000001,0.5812121212121213,0.6199999999999999,0.5837575757575757,0.5800000000000001,0.5531515151515152,6.2,4.6,5.4,3.8
dt,signo_zodiacal_aries,5,0.5,0.45,0.4481652661064426,0.5,0.45666230936819174,0.45,0.4888417366946779,5.0,6.0,4.0,5.0
dt,signo_zodiacal_aries,6,0.5,0.51,0.4295238095238096,0.31999999999999995,0.36264705882352943,0.51,0.5267619047619048,3.2,3.0,7.0,6.8
dt,signo_zodiacal_aries,7,0.5,0.58,0.5806060606060606,0.5800000000000001,0.5796491228070175,0.58,0.5510909090909092,5.8,4.2,5.8,4.2
dt,signo_zodiacal_aries,8,0.5,0.45,0.45536463536463534,0.44000000000000006,0.44262412211261315,0.45,0.4852667332667332,4.4,5.4,4.6,5.6
dt,signo_zodiacal_aries,9,0.5,0.49000000000000005,0.49979797979797985,0.42000000000000004,0.448922305764411,0.484,0.49812121212121213,4.2,4.4,5.6,5.8
dt,signo_zodiacal_aries,10,0.5,0.5399999999999999,0.5923809523809525,0.42000000000000004,0.4851186790505676,0.54,0.5488571428571429,4.2,3.4,6.6,5.8
dt,signo_zodiacal_aries,11,0.5,0.5,0.49575757575757573,0.45999999999999996,0.4724436090225564,0.5,0.5154545454545454,4.6,4.6,5.4,5.4
dt,signo_zodiacal_aries,12,0.5,0.5200000000000001,0.5218253968253969,0.5,0.5036291709666323,0.5199999999999999,0.5137698412698413,5.0,4.6,5.4,5.0
dt,signo_zodiacal_aries,13,0.5,0.55,0.5582556332556332,0.5800000000000001,0.5647273651850311,0.55,0.5484285159285159,5.8,4.8,5.2,4.2
dt,signo_zodiacal_aries,14,0.5,0.42000000000000004,0.4212121212121212,0.45999999999999996,0.4389154704944178,0.42000000000000004,0.4699999999999999,4.6,6.2,3.8,5.4
dt,signo_zodiacal_aries,15,0.5,0.5599999999999999,0.6012337662337662,0.44000000000000006,0.4993837535014006,0.5599999999999999,0.5490974025974026,4.4,3.2,6.8,5.6
dt,signo_zodiacal_aries,16,0.5,0.58,0.596111111111111,0.48,0.527485380116959,0.5800000000000001,0.5760555555555555,4.8,3.2,6.8,5.2
dt,signo_zodiacal_aries,17,0.5,0.44000000000000006,0.4432900432900433,0.4999999999999999,0.4643111790170614,0.44000000000000006,0.47783549783549784,5.0,6.2,3.8,5.0
dt,signo_zodiacal_aries,18,0.5,0.51,0.509090909090909,0.5800000000000001,0.5383524687872514,0.51,0.5062237762237762,5.8,5.6,4.4,4.2
dt,signo_zodiacal_aries,19,0.5,0.48,0.48611111111111105,0.45999999999999996,0.470441254651781,0.47999999999999987,0.49527777777777776,4.6,5.0,5.0,5.4
dt,signo_zodiacal_aries,20,0.5,0.47000000000000003,0.4634188034188035,0.5,0.4716109839816934,0.47000000000000003,0.4896068376068376,5.0,5.6,4.4,5.0
dt,signo_zodiacal_aries,21,0.5,0.47000000000000003,0.4688888888888889,0.5,0.47885699096225415,0.47000000000000003,0.4875555555555556,5.0,5.6,4.4,5.0
dt,signo_zodiacal_aries,22,0.5,0.45,0.4229797979797979,0.38000000000000006,0.397765246449457,0.45,0.49684343434343436,3.8,4.8,5.2,6.2
dt,signo_zodiacal_aries,23,0.5,0.44000000000000006,0.4401154401154401,0.44000000000000006,0.43424738316379174,0.43999999999999995,0.47815295815295816,4.4,5.6,4.4,5.6
dt,signo_zodiacal_aries,24,0.5,0.55,0.5642857142857143,0.5,0.5213903743315508,0.55,0.5307142857142857,5.0,4.0,6.0,5.0
dt,signo_zodiacal_aries,25,0.5,0.48999999999999994,0.495,0.38,0.4209090909090909,0.48999999999999994,0.5135000000000001,3.8,4.0,6.0,6.2
dt,signo_zodiacal_aries,26,0.5,0.5700000000000001,0.5632789432789432,0.62,0.587770216053969,0.57,0.5414716394716395,6.2,4.8,5.2,3.8
dt,signo_zodiacal_aries,27,0.5,0.48999999999999994,0.46388888888888885,0.45999999999999996,0.4554226475279107,0.48999999999999994,0.5047222222222223,4.6,4.8,5.2,5.4
dt,signo_zodiacal_aries,28,0.5,0.54,0.5671428571428572,0.5,0.5202559339525284,0.54,0.5434603174603174,5.0,4.2,5.8,5.0
dt,signo_zodiacal_aries,29,0.5,0.5599999999999999,0.5603535353535354,0.58,0.5661578187893977,0.5599999999999999,0.5401767676767676,5.8,4.6,5.4,4.2
dt,signo_zodiacal_aries,30,0.5,0.5,0.4880652680652681,0.5,0.4886335403726708,0.5,0.5061724941724942,5.0,5.0,5.0,5.0
dt,signo_zodiacal_aries,31,0.5,0.49000000000000005,0.49646464646464644,0.44000000000000006,0.464828738512949,0.49000000000000005,0.511010101010101,4.4,4.6,5.4,5.6
dt,signo_zodiacal_aries,32,0.5,0.52,0.5422222222222223,0.5,0.5060994152046784,0.52,0.5262222222222223,5.0,4.6,5.4,5.0
dt,signo_zodiacal_aries,33,0.5,0.45,0.4477344877344877,0.44000000000000006,0.44018039751785876,0.45,0.48472438672438667,4.4,5.4,4.6,5.6
dt,signo_zodiacal_aries,34,0.5,0.51,0.5015873015873016,0.4600000000000001,0.4703044375644995,0.51,0.516984126984127,4.6,4.4,5.6,5.4
