modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_capricornio,1,0.5,0.52,0.5688711288711289,0.48,0.5055559615150408,0.526,0.5290069930069932,4.8,4.4,5.6,5.2
dt,signo_zodiacal_capricornio,2,0.5,0.51,0.5205017205017205,0.52,0.5149087552641193,0.51,0.5142768342768342,5.2,5.0,5.0,4.8
dt,signo_zodiacal_capricornio,3,0.5,0.41000000000000003,0.4027777777777778,0.44000000000000006,0.4178628389154705,0.41000000000000003,0.4763888888888889,4.4,6.2,3.8,5.6
dt,signo_zodiacal_capricornio,4,0.5,0.5,0.5022510822510823,0.44000000000000006,0.46383753501400565,0.506,0.5144242424242425,4.4,4.4,5.6,5.6
dt,signo_zodiacal_capricornio,5,0.5,0.5,0.5083333333333333,0.42000000000000004,0.45555555555555555,0.5,0.5058333333333334,4.2,4.2,5.8,5.8
dt,signo_zodiacal_capricornio,6,0.5,0.5399999999999999,0.5453535353535354,0.5599999999999999,0.5514103440419229,0.5399999999999999,0.5406767676767678,5.6,4.8,5.2,4.4
dt,signo_zodiacal_capricornio,7,0.5,0.51,0.5213675213675214,0.5,0.5026263781984606,0.51,0.5229059829059829,5.0,4.8,5.2,5.0
dt,signo_zodiacal_capricornio,8,0.5,0.52,0.5107142857142858,0.48,0.4908434187071958,0.5199999999999999,0.5198809523809523,4.8,4.4,5.6,5.2
dt,signo_zodiacal_capricornio,9,0.5,0.54,0.5043589743589744,0.58,0.5228580115536638,0.54,0.5305512820512821,5.8,5.0,5.0,4.2
dt,signo_zodiacal_capricornio,10,0.5,0.48,0.46916416916416914,0.52,0.48643764141812335,0.48,0.4965534465534465,5.2,5.6,4.4,4.8
dt,signo_zodiacal_capricornio,11,0.5,0.61,0.6055891330891331,0.66,0.6195814738498815,0.616,0.5839563492063492,6.6,4.4,5.6,3.4
dt,signo_zodiacal_capricornio,12,0.5,0.53,0.5343711843711845,0.5599999999999999,0.5400922674041533,0.53,0.5183211233211233,5.6,5.0,5.0,4.4
dt,signo_zodiacal_capricornio,13,0.5,0.49000000000000005,0.4809523809523809,0.48,0.4703081232492997,0.49000000000000005,0.5072294372294373,4.8,5.0,5.0,5.2
dt,signo_zodiacal_capricornio,14,0.5,0.4800000000000001,0.48552197802197805,0.5399999999999999,0.5026283690733819,0.48,0.4943489010989012,5.4,5.8,4.2,4.6
dt,signo_zodiacal_capricornio,15,0.5,0.6,0.5790909090909091,0.5599999999999999,0.5601443001443002,0.6,0.5744545454545454,5.6,3.6,6.4,4.4
dt,signo_zodiacal_capricornio,16,0.5,0.44000000000000006,0.44346405228758173,0.48,0.4508594719121035,0.43999999999999995,0.49320261437908497,4.8,6.0,4.0,5.2
dt,signo_zodiacal_capricornio,17,0.5,0.5199999999999999,0.4976756576756577,0.6199999999999999,0.5460733162830349,0.5200000000000001,0.5226660006660007,6.2,5.8,4.2,3.8
dt,signo_zodiacal_capricornio,18,0.5,0.54,0.5533333333333333,0.5,0.5184126984126983,0.54,0.5262424242424242,5.0,4.2,5.8,5.0
dt,signo_zodiacal_capricornio,19,0.5,0.53,0.5238888888888888,0.47999999999999987,0.4997660818713451,0.516,0.5380555555555555,4.8,4.2,5.8,5.2
dt,signo_zodiacal_capricornio,20,0.5,0.47000000000000003,0.48034632034632035,0.39999999999999997,0.43162391272298395,0.47300000000000003,0.5055324675324675,4.0,4.6,5.4,6.0
dt,signo_zodiacal_capricornio,21,0.5,0.36,0.3862121212121212,0.38,0.3771428571428571,0.36,0.4701969696969697,3.8,6.6,3.4,6.2
dt,signo_zodiacal_capricornio,22,0.5,0.30999999999999994,0.316017316017316,0.30000000000000004,0.30517470145953113,0.30300000000000005,0.44844155844155836,3.0,6.8,3.2,7.0
dt,signo_zodiacal_capricornio,23,0.5,0.43,0.434065934065934,0.45999999999999996,0.4372239014182748,0.43,0.4713186813186813,4.6,6.0,4.0,5.4
dt,signo_zodiacal_capricornio,24,0.5,0.42000000000000004,0.38641025641025645,0.42000000000000004,0.39670619235836624,0.42000000000000004,0.4841282051282051,4.2,5.8,4.2,5.8
dt,signo_zodiacal_capricornio,25,0.5,0.5700000000000001,0.5615584415584415,0.6,0.576140350877193,0.5700000000000001,0.5436305916305916,6.0,4.6,5.4,4.0
dt,signo_zodiacal_capricornio,26,0.5,0.5199999999999999,0.5205194805194805,0.52,0.5139348370927318,0.5199999999999999,0.5325021645021645,5.2,4.8,5.2,4.8
dt,signo_zodiacal_capricornio,27,0.5,0.5700000000000001,0.5845238095238096,0.42000000000000004,0.470316611493082,0.557,0.545595238095238,4.2,2.8,7.2,5.8
dt,signo_zodiacal_capricornio,28,0.5,0.48,0.4849567099567099,0.4,0.4324929971988796,0.48,0.4970021645021645,4.0,4.4,5.6,6.0
dt,signo_zodiacal_capricornio,29,0.5,0.5000000000000001,0.4722222222222222,0.34,0.3872019793072424,0.5,0.5105555555555557,3.4,3.4,6.6,6.6
dt,signo_zodiacal_capricornio,30,0.5,0.5599999999999999,0.5609523809523809,0.5,0.5208879819870532,0.5599999999999999,0.5443809523809524,5.0,3.8,6.2,5.0
dt,signo_zodiacal_capricornio,31,0.5,0.5800000000000001,0.5945804195804196,0.58,0.5821256038647343,0.5800000000000001,0.5669755244755245,5.8,4.2,5.8,4.2
dt,signo_zodiacal_capricornio,32,0.5,0.49000000000000005,0.49772727272727274,0.58,0.5300552104899932,0.49000000000000005,0.5023601398601398,5.8,6.0,4.0,4.2
dt,signo_zodiacal_capricornio,33,0.5,0.4600000000000001,0.4634188034188035,0.4600000000000001,0.4590846681922196,0.46799999999999997,0.5043947163947164,4.6,5.4,4.6,5.4
dt,signo_zodiacal_capricornio,34,0.5,0.45,0.43841269841269837,0.48,0.4481582387340901,0.466,0.4902857142857143,4.8,5.8,4.2,5.2
dt,signo_zodiacal_capricornio,35,0.5,0.55,0.5648351648351648,0.58,0.5509641537774531,0.55,0.5325274725274725,5.8,4.8,5.2,4.2
