modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_escorpio,1,0.5,0.5900000000000001,0.5901165501165501,0.6199999999999999,0.6023406341941812,0.5900000000000001,0.5588391608391609,6.2,4.4,5.6,3.8
dt,signo_zodiacal_escorpio,2,0.5,0.5199999999999999,0.5287312687312686,0.5399999999999999,0.5279576178297406,0.5200000000000001,0.5257222777222778,5.4,5.0,5.0,4.6
dt,signo_zodiacal_escorpio,3,0.5,0.5200000000000001,0.5233766233766234,0.43999999999999995,0.47287704555506405,0.5199999999999999,0.5122799422799422,4.4,4.0,6.0,5.6
dt,signo_zodiacal_escorpio,4,0.5,0.55,0.5455555555555556,0.5,0.5153721424774056,0.55,0.5352222222222223,5.0,4.0,6.0,5.0
dt,signo_zodiacal_escorpio,5,0.5,0.53,0.5324675324675324,0.5399999999999999,0.5317799847211612,0.53,0.5166233766233767,5.4,4.8,5.2,4.6
dt,signo_zodiacal_escorpio,6,0.5,0.37,0.3677272727272728,0.36,0.3628571428571429,0.37,0.4575909090909091,3.6,6.2,3.8,6.4
dt,signo_zodiacal_escorpio,7,0.5,0.58,0.5827622377622378,0.6,0.58783988957902,0.58,0.5562482517482519,6.0,4.4,5.6,4.0
dt,signo_zodiacal_escorpio,8,0.5,0.43000000000000005,0.4380065359477124,0.42000000000000004,0.4093957115009747,0.43000000000000005,0.47734967320261434,4.2,5.6,4.4,5.8
dt,signo_zodiacal_escorpio,9,0.5,0.52,0.5240981240981241,0.5800000000000001,0.5476874003189792,0.5199999999999999,0.5160750360750361,5.8,5.4,4.6,4.2
dt,signo_zodiacal_escorpio,10,0.5,0.5,0.4996031746031746,0.48,0.4825765393876849,0.5,0.5037698412698413,4.8,4.8,5.2,5.2
dt,signo_zodiacal_escorpio,11,0.5,0.37,0.36939393939393933,0.38,0.3733621933621934,0.37,0.4657575757575757,3.8,6.4,3.6,6.2
dt,signo_zodiacal_escorpio,12,0.5,0.42000000000000004,0.42444444444444446,0.44000000000000006,0.43023923444976075,0.41999999999999993,0.4797777777777778,4.4,6.0,4.0,5.6
dt,signo_zodiacal_escorpio,13,0.5,0.47000000000000003,0.4775335775335775,0.5,0.4818854856275774,0.47000000000000003,0.48998778998779,5.0,5.6,4.4,5.0
dt,signo_zodiacal_escorpio,14,0.5,0.56,0.5566666666666668,0.5599999999999999,0.5561616161616161,0.56,0.5396666666666666,5.6,4.4,5.6,4.4
dt,signo_zodiacal_escorpio,15,0.5,0.5499999999999999,0.585,0.43999999999999995,0.5005228758169935,0.55,0.5490714285714285,4.4,3.4,6.6,5.6
dt,signo_zodiacal_escorpio,16,0.5,0.45999999999999996,0.4258823529411765,0.52,0.451965811965812,0.4600000000000001,0.4912941176470588,5.2,6.0,4.0,4.8
dt,signo_zodiacal_escorpio,17,0.5,0.6,0.5819047619047619,0.64,0.6043434343434344,0.6,0.5643809523809524,6.4,4.4,5.6,3.6
dt,signo_zodiacal_escorpio,18,0.5,0.45999999999999996,0.43888888888888883,0.43999999999999995,0.43060090064734025,0.46099999999999997,0.4988095238095239,4.4,5.2,4.8,5.6
dt,signo_zodiacal_escorpio,19,0.5,0.45,0.45449883449883444,0.4800000000000001,0.4653525117140678,0.45,0.485916083916084,4.8,5.8,4.2,5.2
dt,signo_zodiacal_escorpio,20,0.5,0.45,0.44404761904761897,0.38,0.40801513587891297,0.45,0.4882142857142857,3.8,4.8,5.2,6.2
dt,signo_zodiacal_escorpio,21,0.5,0.56,0.495,0.52,0.5038383838383839,0.5599999999999999,0.5628333333333334,5.2,4.0,6.0,4.8
dt,signo_zodiacal_escorpio,22,0.5,0.48,0.47928571428571426,0.34,0.393562091503268,0.4749999999999999,0.5022142857142857,3.4,3.8,6.2,6.6
dt,signo_zodiacal_escorpio,23,0.5,0.6499999999999999,0.6561050061050061,0.6799999999999999,0.6594818830382164,0.65,0.604035409035409,6.8,3.8,6.2,3.2
dt,signo_zodiacal_escorpio,24,0.5,0.49000000000000005,0.47777777777777775,0.44000000000000006,0.4497076023391813,0.48999999999999994,0.5038888888888888,4.4,4.6,5.4,5.6
dt,signo_zodiacal_escorpio,25,0.5,0.51,0.4886111111111111,0.5,0.48152689415847305,0.516,0.5178055555555556,5.0,4.8,5.2,5.0
dt,signo_zodiacal_escorpio,26,0.5,0.51,0.5208791208791209,0.52,0.5092497868712703,0.51,0.5068131868131868,5.2,5.0,5.0,4.8
dt,signo_zodiacal_escorpio,27,0.5,0.5299999999999999,0.5,0.48,0.4743761140819965,0.53,0.5271428571428571,4.8,4.2,5.8,5.2
dt,signo_zodiacal_escorpio,28,0.5,0.41999999999999993,0.4064513264513264,0.41999999999999993,0.40919895647046,0.41999999999999993,0.47345965145965146,4.2,5.8,4.2,5.8
dt,signo_zodiacal_escorpio,29,0.5,0.45,0.4539238539238539,0.48,0.4647488285932222,0.45,0.48003108003108,4.8,5.8,4.2,5.2
dt,signo_zodiacal_escorpio,30,0.5,0.45999999999999996,0.46452991452991454,0.48,0.46835633220072576,0.4600000000000001,0.4826068376068376,4.8,5.6,4.4,5.2
dt,signo_zodiacal_escorpio,31,0.5,0.54,0.534083694083694,0.62,0.5670977443609022,0.54,0.5233275613275613,6.2,5.4,4.6,3.8
dt,signo_zodiacal_escorpio,32,0.5,0.5900000000000001,0.6152380952380951,0.52,0.5474509803921569,0.5900000000000001,0.5624761904761905,5.2,3.4,6.6,4.8
dt,signo_zodiacal_escorpio,33,0.5,0.4800000000000001,0.4701825951825952,0.5199999999999999,0.48959354909011654,0.4800000000000001,0.4942793317793317,5.2,5.6,4.4,4.8
dt,signo_zodiacal_escorpio,34,0.5,0.45999999999999996,0.46803418803418806,0.42000000000000004,0.4369255619868085,0.45999999999999996,0.48744566544566537,4.2,5.0,5.0,5.8
dt,signo_zodiacal_escorpio,35,0.5,0.4,0.36928571428571433,0.34,0.3498752228163993,0.41500000000000004,0.47272954822954827,3.4,5.4,4.6,6.6
dt,signo_zodiacal_escorpio,36,0.5,0.42000000000000004,0.4105710955710956,0.48,0.4367065489811486,0.42000000000000004,0.4795815850815851,4.8,6.4,3.6,5.2
dt,signo_zodiacal_escorpio,37,0.5,0.43000000000000005,0.4284848484848485,0.5,0.4584761904761905,0.44300000000000006,0.48688311688311686,5.0,6.4,3.6,5.0
dt,signo_zodiacal_escorpio,38,0.5,0.51,0.5622222222222222,0.36,0.4213045434098065,0.5040000000000001,0.5182222222222223,3.6,3.4,6.6,6.4
dt,signo_zodiacal_escorpio,39,0.5,0.43999999999999995,0.4357142857142858,0.5,0.4626262626262626,0.43999999999999995,0.48476190476190484,5.0,6.2,3.8,5.0
dt,signo_zodiacal_escorpio,40,0.5,0.44000000000000006,0.42444444444444446,0.32,0.3601444788441692,0.44000000000000006,0.48631746031746037,3.2,4.4,5.6,6.8
dt,signo_zodiacal_escorpio,41,0.5,0.51,0.4969780219780219,0.5,0.48644501278772373,0.51,0.5107417582417583,5.0,4.8,5.2,5.0
dt,signo_zodiacal_escorpio,42,0.5,0.47000000000000003,0.4657070707070707,0.45999999999999996,0.4613533834586466,0.4699999999999999,0.4946010101010101,4.6,5.2,4.8,5.4
dt,signo_zodiacal_escorpio,43,0.5,0.53,0.5577777777777778,0.42000000000000004,0.4700877192982456,0.53,0.5271111111111112,4.2,3.6,6.4,5.8
dt,signo_zodiacal_escorpio,44,0.5,0.55,0.5804122674710911,0.58,0.5548741418764302,0.55,0.5402342885872298,5.8,4.8,5.2,4.2
dt,signo_zodiacal_escorpio,45,0.5,0.56,0.561978021978022,0.6,0.5725234441602729,0.5599999999999999,0.5350989010989011,6.0,4.8,5.2,4.0
dt,signo_zodiacal_escorpio,46,0.5,0.5399999999999999,0.5297435897435897,0.64,0.5766542443064182,0.529,0.522946386946387,6.4,5.6,4.4,3.6
dt,signo_zodiacal_escorpio,47,0.5,0.5000000000000001,0.4911616161616162,0.4999999999999999,0.49373433583959897,0.5,0.5189646464646465,5.0,5.0,5.0,5.0
dt,signo_zodiacal_escorpio,48,0.5,0.43000000000000005,0.42146464646464643,0.38,0.39816207184628233,0.43,0.473510101010101,3.8,5.2,4.8,6.2
dt,signo_zodiacal_escorpio,49,0.5,0.53,0.5273076923076923,0.58,0.5429803047194351,0.53,0.5358846153846154,5.8,5.2,4.8,4.2
dt,signo_zodiacal_escorpio,50,0.5,0.5199999999999999,0.5200432900432901,0.52,0.5156760886172651,0.5199999999999999,0.5148354978354979,5.2,4.8,5.2,4.8
dt,signo_zodiacal_escorpio,51,0.5,0.48,0.4736796536796537,0.5,0.4774660179861418,0.48,0.5028051948051948,5.0,5.4,4.6,5.0
dt,signo_zodiacal_escorpio,52,0.5,0.45999999999999996,0.4436013986013986,0.45999999999999996,0.44808833678398896,0.472,0.5004401709401709,4.6,5.4,4.6,5.4
dt,signo_zodiacal_escorpio,53,0.5,0.4,0.38784992784992783,0.38,0.3817455403213917,0.4,0.4658932178932179,3.8,5.8,4.2,6.2
dt,signo_zodiacal_escorpio,54,0.5,0.47000000000000003,0.4821178821178821,0.52,0.49449408221786734,0.47000000000000003,0.4896303696303696,5.2,5.8,4.2,4.8
dt,signo_zodiacal_escorpio,55,0.5,0.43000000000000005,0.4206349206349206,0.41999999999999993,0.4123041561122056,0.43,0.4793650793650793,4.2,5.6,4.4,5.8
dt,signo_zodiacal_escorpio,56,0.5,0.45000000000000007,0.4710678210678211,0.48,0.46886132443407985,0.45,0.4841053391053391,4.8,5.8,4.2,5.2
dt,signo_zodiacal_escorpio,57,0.5,0.47000000000000003,0.4633949383949384,0.48,0.4657698652583563,0.47000000000000003,0.4937970362970363,4.8,5.4,4.6,5.2
dt,signo_zodiacal_escorpio,58,0.5,0.41,0.39166666666666666,0.42000000000000004,0.3991111111111111,0.41,0.4758333333333333,4.2,6.0,4.0,5.8
dt,signo_zodiacal_escorpio,59,0.5,0.44000000000000006,0.4217893217893218,0.4,0.4087129588677576,0.41899999999999993,0.48243867243867233,4.0,5.2,4.8,6.0
dt,signo_zodiacal_escorpio,60,0.5,0.52,0.5196969696969697,0.6,0.5567099567099567,0.52,0.5228787878787878,6.0,5.6,4.4,4.0
dt,signo_zodiacal_escorpio,61,0.5,0.56,0.552944832944833,0.6,0.5735687043696197,0.56,0.5374856254856255,6.0,4.8,5.2,4.0
dt,signo_zodiacal_escorpio,62,0.5,0.5700000000000001,0.5650000000000001,0.6,0.5740393407761829,0.57,0.5456111111111112,6.0,4.6,5.4,4.0
dt,signo_zodiacal_escorpio,63,0.5,0.5399999999999999,0.49988455988455993,0.52,0.5014786967418546,0.5459999999999999,0.5507243867243867,5.2,4.4,5.6,4.8
dt,signo_zodiacal_escorpio,64,0.5,0.41,0.38896103896103895,0.4,0.39107036754095575,0.41000000000000003,0.47233766233766233,4.0,5.8,4.2,6.0
