modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_geminis,1,0.5,0.56,0.5602020202020201,0.54,0.5484377610693401,0.56,0.535010101010101,5.4,4.2,5.8,4.6
dt,signo_zodiacal_geminis,2,0.5,0.54,0.5466666666666666,0.48,0.5000825593395253,0.5399999999999998,0.5375873015873015,4.8,4.0,6.0,5.2
dt,signo_zodiacal_geminis,3,0.5,0.51,0.5130341880341881,0.45999999999999996,0.4796465802186626,0.51,0.5198504273504273,4.6,4.4,5.6,5.4
dt,signo_zodiacal_geminis,4,0.5,0.5200000000000001,0.5219780219780219,0.48,0.49421935059302136,0.5199999999999999,0.5122100122100122,4.8,4.4,5.6,5.2
dt,signo_zodiacal_geminis,5,0.5,0.43,0.4312132312132312,0.36000000000000004,0.3672080062442157,0.43,0.4895548895548895,3.6,5.0,5.0,6.4
dt,signo_zodiacal_geminis,6,0.5,0.52,0.5342857142857144,0.5399999999999999,0.516541889483066,0.52,0.5117142857142858,5.4,5.0,5.0,4.6
dt,signo_zodiacal_geminis,7,0.5,0.55,0.5698412698412698,0.58,0.5471975393028023,0.55,0.5336507936507937,5.8,4.8,5.2,4.2
dt,signo_zodiacal_geminis,8,0.5,0.55,0.5527777777777778,0.52,0.5277379053694843,0.55,0.5297222222222222,5.2,4.2,5.8,4.8
dt,signo_zodiacal_geminis,9,0.5,0.5299999999999999,0.546013986013986,0.52,0.5212422360248447,0.5299999999999999,0.5279160839160839,5.2,4.6,5.4,4.8
dt,signo_zodiacal_geminis,10,0.5,0.43000000000000005,0.4282828282828284,0.4,0.4124477861319966,0.43,0.48353535353535354,4.0,5.4,4.6,6.0
dt,signo_zodiacal_geminis,11,0.5,0.45999999999999996,0.4575757575757575,0.4800000000000001,0.46791979949874685,0.4700000000000001,0.4918181818181818,4.8,5.6,4.4,5.2
dt,signo_zodiacal_geminis,12,0.5,0.52,0.5071128871128872,0.54,0.5082217756667884,0.52,0.5145534465534466,5.4,5.0,5.0,4.6
dt,signo_zodiacal_geminis,13,0.5,0.45,0.4567210567210568,0.48,0.46438494127281305,0.45,0.4794716394716394,4.8,5.8,4.2,5.2
dt,signo_zodiacal_geminis,14,0.5,0.52,0.5216666666666667,0.54,0.5274747474747474,0.5199999999999999,0.5161666666666667,5.4,5.0,5.0,4.6
dt,signo_zodiacal_geminis,15,0.5,0.5399999999999999,0.5952380952380952,0.52,0.5416901210244863,0.556,0.5641465201465201,5.2,4.4,5.6,4.8
dt,signo_zodiacal_geminis,16,0.5,0.4,0.3958119658119658,0.4,0.39561149249936434,0.40499999999999997,0.4669261849261849,4.0,6.0,4.0,6.0
dt,signo_zodiacal_geminis,17,0.5,0.44000000000000006,0.44821678321678327,0.4800000000000001,0.459787941527072,0.44000000000000006,0.4913391608391609,4.8,6.0,4.0,5.2
dt,signo_zodiacal_geminis,18,0.5,0.5599999999999999,0.5545238095238095,0.5,0.5116470588235293,0.5599999999999999,0.5452619047619048,5.0,3.8,6.2,5.0
dt,signo_zodiacal_geminis,19,0.5,0.35,0.3338927738927739,0.36,0.3433850931677019,0.35000000000000003,0.45434032634032634,3.6,6.6,3.4,6.4
dt,signo_zodiacal_geminis,20,0.5,0.55,0.5500683526999316,0.58,0.5450272062848128,0.55,0.536431989063568,5.8,4.8,5.2,4.2
dt,signo_zodiacal_geminis,21,0.5,0.5,0.49230769230769234,0.4600000000000001,0.46715484363081616,0.4879999999999999,0.5044957264957265,4.6,4.6,5.4,5.4
dt,signo_zodiacal_geminis,22,0.5,0.55,0.5426129426129426,0.54,0.5346671724649918,0.554,0.5454639804639805,5.4,4.4,5.6,4.6
dt,signo_zodiacal_geminis,23,0.5,0.63,0.6324009324009323,0.64,0.6252617710283614,0.63,0.587039627039627,6.4,3.8,6.2,3.6
dt,signo_zodiacal_geminis,24,0.5,0.52,0.5222222222222221,0.44000000000000006,0.46564897091212876,0.524,0.5212698412698413,4.4,4.0,6.0,5.6
dt,signo_zodiacal_geminis,25,0.5,0.53,0.5766666666666667,0.5199999999999999,0.5279090909090909,0.548,0.5486666666666666,5.2,4.6,5.4,4.8
dt,signo_zodiacal_geminis,26,0.5,0.5,0.502979797979798,0.4600000000000001,0.4784962406015037,0.534,0.5391666666666666,4.6,4.6,5.4,5.4
dt,signo_zodiacal_geminis,27,0.5,0.4699999999999999,0.43799533799533796,0.4800000000000001,0.44901185770750984,0.477,0.49459673659673664,4.8,5.4,4.6,5.2
dt,signo_zodiacal_geminis,28,0.5,0.43,0.4443578643578644,0.48,0.4590726817042607,0.43400000000000005,0.4741789321789322,4.8,6.2,3.8,5.2
dt,signo_zodiacal_geminis,29,0.5,0.45999999999999996,0.4556410256410256,0.48,0.45768115942028975,0.45999999999999996,0.4830512820512821,4.8,5.6,4.4,5.2
dt,signo_zodiacal_geminis,30,0.5,0.5,0.5011544011544011,0.48,0.4859153230670258,0.496,0.5022799422799422,4.8,4.8,5.2,5.2
dt,signo_zodiacal_geminis,31,0.5,0.43,0.432449494949495,0.4999999999999999,0.4585239322081427,0.43,0.47756313131313133,5.0,6.4,3.6,5.0
dt,signo_zodiacal_geminis,32,0.5,0.48,0.47000000000000003,0.4600000000000001,0.4561111111111112,0.48,0.502,4.6,5.0,5.0,5.4
dt,signo_zodiacal_geminis,33,0.5,0.5,0.5126923076923077,0.52,0.5008502415458937,0.5,0.524551282051282,5.2,5.2,4.8,4.8
dt,signo_zodiacal_geminis,34,0.5,0.51,0.4963980463980464,0.5599999999999999,0.5188962583160995,0.51,0.5175518925518926,5.6,5.4,4.6,4.4
dt,signo_zodiacal_geminis,35,0.5,0.44000000000000006,0.4121428571428571,0.33999999999999997,0.36503862150920974,0.43199999999999994,0.4899285714285715,3.4,4.6,5.4,6.6
dt,signo_zodiacal_geminis,36,0.5,0.49000000000000005,0.4938228438228438,0.6,0.5404950122341425,0.49000000000000005,0.49796037296037293,6.0,6.2,3.8,4.0
dt,signo_zodiacal_geminis,37,0.5,0.55,0.5448051948051947,0.52,0.5273513552151322,0.5640000000000001,0.5442597402597403,5.2,4.2,5.8,4.8
dt,signo_zodiacal_geminis,38,0.5,0.5,0.4998917748917749,0.45999999999999996,0.47391562685680333,0.5,0.5089718614718615,4.6,4.6,5.4,5.4
dt,signo_zodiacal_geminis,39,0.5,0.5000000000000001,0.49917637917637914,0.52,0.5070545930042497,0.5,0.503950271950272,5.2,5.2,4.8,4.8
dt,signo_zodiacal_geminis,40,0.5,0.5,0.4807142857142857,0.54,0.4882539682539683,0.5,0.5109285714285715,5.4,5.4,4.6,4.6
dt,signo_zodiacal_geminis,41,0.5,0.45999999999999996,0.45499999999999996,0.45999999999999996,0.45575757575757575,0.45999999999999996,0.4925,4.6,5.4,4.6,5.4
dt,signo_zodiacal_geminis,42,0.5,0.52,0.5216666666666667,0.45999999999999996,0.4755266955266955,0.5199999999999999,0.5161666666666667,4.6,4.2,5.8,5.4
dt,signo_zodiacal_geminis,43,0.5,0.41000000000000003,0.41969696969696973,0.44000000000000006,0.42741702741702736,0.40499999999999997,0.47257575757575754,4.4,6.2,3.8,5.6
dt,signo_zodiacal_geminis,44,0.5,0.41,0.3952380952380952,0.44000000000000006,0.40388187663729463,0.41,0.4685714285714285,4.4,6.2,3.8,5.6
dt,signo_zodiacal_geminis,45,0.5,0.48999999999999994,0.487978687978688,0.42000000000000004,0.44076239191328703,0.49000000000000005,0.5203629703629703,4.2,4.4,5.6,5.8
dt,signo_zodiacal_geminis,46,0.5,0.59,0.5870163170163171,0.6,0.5797364953886692,0.59,0.5552191142191143,6.0,4.2,5.8,4.0
dt,signo_zodiacal_geminis,47,0.5,0.55,0.5604040404040405,0.5,0.5190977443609022,0.55,0.5280202020202021,5.0,4.0,6.0,5.0
dt,signo_zodiacal_geminis,48,0.5,0.45999999999999996,0.45272727272727276,0.48,0.4552813852813853,0.45999999999999996,0.4850909090909091,4.8,5.6,4.4,5.2
dt,signo_zodiacal_geminis,49,0.5,0.42000000000000004,0.4189743589743589,0.4,0.4052834986015764,0.4200000000000001,0.47338461538461535,4.0,5.6,4.4,6.0
dt,signo_zodiacal_geminis,50,0.5,0.56,0.5490909090909091,0.5599999999999999,0.5517870433659907,0.56,0.5501212121212122,5.6,4.4,5.6,4.4
dt,signo_zodiacal_geminis,51,0.5,0.52,0.5327501256913021,0.52,0.4985261462835833,0.52,0.5266445449974861,5.2,4.8,5.2,4.8
dt,signo_zodiacal_geminis,52,0.5,0.45,0.45757575757575764,0.38,0.4028860028860029,0.45,0.4871212121212121,3.8,4.8,5.2,6.2
dt,signo_zodiacal_geminis,53,0.5,0.45,0.45772005772005764,0.48,0.4612286062750459,0.45,0.4876334776334776,4.8,5.8,4.2,5.2
