modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_leo,1,0.5,0.55,0.5226800976800976,0.5399999999999999,0.5242322266955461,0.55,0.5472313797313798,5.4,4.4,5.6,4.6
dt,signo_zodiacal_leo,2,0.5,0.42000000000000004,0.39995670995670995,0.38,0.3830990578049402,0.42299999999999993,0.4884545454545455,3.8,5.4,4.6,6.2
dt,signo_zodiacal_leo,3,0.5,0.5,0.5045421245421245,0.54,0.5156196233434084,0.5,0.5128424908424909,5.4,5.4,4.6,4.6
dt,signo_zodiacal_leo,4,0.5,0.49000000000000005,0.5022222222222222,0.4800000000000001,0.4762105263157895,0.49000000000000005,0.49688888888888894,4.8,5.0,5.0,5.2
dt,signo_zodiacal_leo,5,0.5,0.47000000000000003,0.4460822510822511,0.47999999999999987,0.4550588235294118,0.47000000000000003,0.5003528138528138,4.8,5.4,4.6,5.2
dt,signo_zodiacal_leo,6,0.5,0.45999999999999996,0.45714285714285713,0.44000000000000006,0.43630367478799303,0.4619999999999999,0.49303113553113553,4.4,5.2,4.8,5.6
dt,signo_zodiacal_leo,7,0.5,0.43,0.43840909090909086,0.5,0.4629304029304029,0.43000000000000005,0.47470454545454543,5.0,6.4,3.6,5.0
dt,signo_zodiacal_leo,8,0.5,0.5,0.5010989010989011,0.48,0.47406649616368285,0.5,0.5075604395604396,4.8,4.8,5.2,5.2
dt,signo_zodiacal_leo,9,0.5,0.53,0.5072727272727272,0.44000000000000006,0.44773109243697473,0.53,0.5222337662337663,4.4,3.8,6.2,5.6
dt,signo_zodiacal_leo,10,0.5,0.4600000000000001,0.45264180264180265,0.5,0.4725707549506176,0.4600000000000001,0.4916977466977467,5.0,5.8,4.2,5.0
dt,signo_zodiacal_leo,11,0.5,0.48,0.49392385392385396,0.45999999999999996,0.4647488285932222,0.4800000000000001,0.49803108003108,4.6,5.0,5.0,5.4
dt,signo_zodiacal_leo,12,0.5,0.54,0.5353535353535354,0.6,0.5641376167691957,0.54,0.5310101010101009,6.0,5.2,4.8,4.0
dt,signo_zodiacal_leo,13,0.5,0.4,0.37316017316017314,0.32,0.33907563025210086,0.4,0.4650216450216451,3.2,5.2,4.8,6.8
dt,signo_zodiacal_leo,14,0.5,0.51,0.5104895104895105,0.58,0.5424430641821946,0.51,0.5217482517482518,5.8,5.6,4.4,4.2
dt,signo_zodiacal_leo,15,0.5,0.42000000000000004,0.41263736263736267,0.4,0.4019892014776925,0.42000000000000004,0.47817582417582416,4.0,5.6,4.4,6.0
dt,signo_zodiacal_leo,16,0.5,0.55,0.5511544011544012,0.5199999999999999,0.5298281354008908,0.55,0.5283910533910534,5.2,4.2,5.8,4.8
dt,signo_zodiacal_leo,17,0.5,0.49000000000000005,0.4905555555555555,0.41999999999999993,0.44976608187134504,0.49000000000000005,0.5293888888888889,4.2,4.4,5.6,5.8
dt,signo_zodiacal_leo,18,0.5,0.48999999999999994,0.49111111111111105,0.52,0.4972289698605487,0.48999999999999994,0.49755555555555553,5.2,5.4,4.6,4.8
dt,signo_zodiacal_leo,19,0.5,0.55,0.5531934731934731,0.58,0.5551552795031056,0.55,0.5346340326340326,5.8,4.8,5.2,4.2
dt,signo_zodiacal_leo,20,0.5,0.47000000000000003,0.4715151515151515,0.5,0.48445659603554336,0.47000000000000003,0.5032121212121212,5.0,5.6,4.4,5.0
dt,signo_zodiacal_leo,21,0.5,0.45999999999999996,0.4696103896103896,0.5599999999999999,0.5085714285714286,0.45999999999999996,0.4886233766233767,5.6,6.4,3.6,4.4
dt,signo_zodiacal_leo,22,0.5,0.45,0.45808080808080814,0.44000000000000006,0.44260082023239916,0.45,0.4817676767676768,4.4,5.4,4.6,5.6
dt,signo_zodiacal_leo,23,0.5,0.45,0.4477045177045177,0.4600000000000001,0.4478434635764021,0.45,0.4936544566544566,4.6,5.6,4.4,5.4
dt,signo_zodiacal_leo,24,0.5,0.54,0.5462759462759463,0.48,0.5005913761385561,0.54,0.5303687423687424,4.8,4.0,6.0,5.2
dt,signo_zodiacal_leo,25,0.5,0.43000000000000005,0.44421356421356417,0.48,0.4594486215538847,0.43,0.4813217893217893,4.8,6.2,3.8,5.2
dt,signo_zodiacal_leo,26,0.5,0.47000000000000003,0.4712265512265512,0.36,0.40062509214212005,0.4699999999999999,0.4884386724386724,3.6,4.2,5.8,6.4
dt,signo_zodiacal_leo,27,0.5,0.51,0.5009523809523809,0.5,0.48719457013574663,0.51,0.5110476190476191,5.0,4.8,5.2,5.0
dt,signo_zodiacal_leo,28,0.5,0.5,0.5034188034188034,0.5,0.4941347935055028,0.5,0.5018492618492619,5.0,5.0,5.0,5.0
dt,signo_zodiacal_leo,29,0.5,0.4800000000000001,0.4702741702741703,0.45999999999999996,0.46191414364788974,0.48,0.49799422799422804,4.6,5.0,5.0,5.4
dt,signo_zodiacal_leo,30,0.5,0.58,0.5815079365079365,0.58,0.574970760233918,0.592,0.5517669552669553,5.8,4.2,5.8,4.2
dt,signo_zodiacal_leo,31,0.5,0.4,0.39542568542568546,0.48,0.4248077412783295,0.4,0.47129725829725827,4.8,6.8,3.2,5.2
dt,signo_zodiacal_leo,32,0.5,0.4600000000000001,0.45821678321678316,0.54,0.49233954451345757,0.4600000000000001,0.4871853146853146,5.4,6.2,3.8,4.6
dt,signo_zodiacal_leo,33,0.5,0.5800000000000001,0.5817099567099566,0.5399999999999999,0.5538579067990833,0.58,0.5603354978354977,5.4,3.8,6.2,4.6
dt,signo_zodiacal_leo,34,0.5,0.54,0.5458333333333333,0.5,0.5051282051282051,0.54,0.5245833333333334,5.0,4.2,5.8,5.0
dt,signo_zodiacal_leo,35,0.5,0.5,0.502020202020202,0.5,0.4984810511126301,0.5,0.501010101010101,5.0,5.0,5.0,5.0
dt,signo_zodiacal_leo,36,0.5,0.42000000000000004,0.3857070707070707,0.36000000000000004,0.3680200501253133,0.42000000000000004,0.47660101010101014,3.6,5.2,4.8,6.4
dt,signo_zodiacal_leo,37,0.5,0.52,0.5223809523809524,0.58,0.5452525252525252,0.52,0.515095238095238,5.8,5.4,4.6,4.2
dt,signo_zodiacal_leo,38,0.5,0.42000000000000004,0.42111111111111105,0.42000000000000004,0.41933014354066983,0.41999999999999993,0.46677777777777785,4.2,5.8,4.2,5.8
dt,signo_zodiacal_leo,39,0.5,0.48,0.498051948051948,0.44000000000000006,0.4461930226636109,0.4800000000000001,0.5052164502164501,4.4,4.8,5.2,5.6
dt,signo_zodiacal_leo,40,0.5,0.4,0.38090909090909086,0.42000000000000004,0.3939983291562239,0.4,0.47523232323232323,4.2,6.2,3.8,5.8
dt,signo_zodiacal_leo,41,0.5,0.45000000000000007,0.4732142857142857,0.48,0.4600987248046072,0.45,0.4836309523809524,4.8,5.8,4.2,5.2
dt,signo_zodiacal_leo,42,0.5,0.47000000000000003,0.4756410256410256,0.44000000000000006,0.44803469477382524,0.46299999999999997,0.4870512820512821,4.4,5.0,5.0,5.6
dt,signo_zodiacal_leo,43,0.5,0.51,0.5215306915306914,0.52,0.516526097853329,0.51,0.5220310800310799,5.2,5.0,5.0,4.8
dt,signo_zodiacal_leo,44,0.5,0.47999999999999987,0.46909090909090906,0.47999999999999987,0.47178704336599075,0.4800000000000001,0.5101212121212121,4.8,5.2,4.8,5.2
dt,signo_zodiacal_leo,45,0.5,0.41,0.38992063492063495,0.33999999999999997,0.3621465428276574,0.41,0.4670396825396826,3.4,5.2,4.8,6.6
dt,signo_zodiacal_leo,46,0.5,0.47000000000000003,0.47590187590187594,0.42000000000000004,0.4434075384539781,0.47000000000000003,0.49036075036075033,4.2,4.8,5.2,5.8
dt,signo_zodiacal_leo,47,0.5,0.54,0.5361111111111112,0.5399999999999999,0.5340776182881446,0.5399999999999999,0.531388888888889,5.4,4.6,5.4,4.6
dt,signo_zodiacal_leo,48,0.5,0.48,0.475,0.47999999999999987,0.4722222222222222,0.48,0.4965,4.8,5.2,4.8,5.2
dt,signo_zodiacal_leo,49,0.5,0.47999999999999987,0.4666666666666666,0.5,0.4812941444520392,0.4800000000000001,0.5075757575757576,5.0,5.4,4.6,5.0
dt,signo_zodiacal_leo,50,0.5,0.42000000000000004,0.4257142857142857,0.45999999999999996,0.43797979797979797,0.41999999999999993,0.4714285714285714,4.6,6.2,3.8,5.4
dt,signo_zodiacal_leo,51,0.5,0.51,0.5222222222222224,0.45999999999999996,0.48277511961722486,0.51,0.51,4.6,4.4,5.6,5.4
dt,signo_zodiacal_leo,52,0.5,0.5,0.4905122655122655,0.5399999999999999,0.509751651856915,0.5,0.5199386724386725,5.4,5.4,4.6,4.6
dt,signo_zodiacal_leo,53,0.5,0.62,0.6334693084693084,0.6199999999999999,0.6224764810577168,0.619,0.5891977466977467,6.2,3.8,6.2,3.8
dt,signo_zodiacal_leo,54,0.5,0.43999999999999995,0.44965034965034967,0.54,0.48622392100652967,0.44000000000000006,0.4935524475524475,5.4,6.6,3.4,4.6
dt,signo_zodiacal_leo,55,0.5,0.47000000000000003,0.46333333333333326,0.4800000000000001,0.4628571428571428,0.47000000000000003,0.49584848484848487,4.8,5.4,4.6,5.2
dt,signo_zodiacal_leo,56,0.5,0.47000000000000003,0.4762626262626263,0.45999999999999996,0.46164843928001825,0.47000000000000003,0.49176767676767674,4.6,5.2,4.8,5.4
dt,signo_zodiacal_leo,57,0.5,0.38,0.38264957264957267,0.42000000000000004,0.39443071446732775,0.38,0.461059829059829,4.2,6.6,3.4,5.8
dt,signo_zodiacal_leo,58,0.5,0.44000000000000006,0.3975757575757576,0.42000000000000004,0.4027128427128427,0.43900000000000006,0.48657575757575755,4.2,5.4,4.6,5.8
dt,signo_zodiacal_leo,59,0.5,0.55,0.5722943722943723,0.5,0.5285566858322277,0.55,0.5416883116883117,5.0,4.0,6.0,5.0
dt,signo_zodiacal_leo,60,0.5,0.49000000000000005,0.4966666666666667,0.56,0.5158632478632479,0.487,0.5108333333333333,5.6,5.8,4.2,4.4
dt,signo_zodiacal_leo,61,0.5,0.4600000000000001,0.4616161616161616,0.48,0.46992481203007513,0.45999999999999996,0.48555555555555563,4.8,5.6,4.4,5.2
dt,signo_zodiacal_leo,62,0.5,0.57,0.5777777777777777,0.5599999999999999,0.5669856459330143,0.57,0.5544444444444444,5.6,4.2,5.8,4.4
dt,signo_zodiacal_leo,63,0.5,0.5199999999999999,0.523881673881674,0.52,0.517129722702478,0.5199999999999999,0.5174819624819624,5.2,4.8,5.2,4.8
dt,signo_zodiacal_leo,64,0.5,0.47000000000000003,0.4731468531468531,0.5599999999999999,0.5107867494824017,0.4720000000000001,0.4958694638694638,5.6,6.2,3.8,4.4
dt,signo_zodiacal_leo,65,0.5,0.51,0.49444444444444446,0.38,0.4179254955570745,0.51,0.5272222222222223,3.8,3.6,6.4,6.2
dt,signo_zodiacal_leo,66,0.5,0.4999999999999999,0.47595238095238096,0.48,0.47000000000000003,0.5,0.5172619047619047,4.8,4.8,5.2,5.2
dt,signo_zodiacal_leo,67,0.5,0.52,0.5786324786324786,0.44000000000000006,0.4676954370318215,0.52,0.534017094017094,4.4,4.0,6.0,5.6
dt,signo_zodiacal_leo,68,0.5,0.42000000000000004,0.4448717948717949,0.43999999999999995,0.4327231121281464,0.42000000000000004,0.4796153846153846,4.4,6.0,4.0,5.6
dt,signo_zodiacal_leo,69,0.5,0.51,0.5160256410256411,0.54,0.5217391304347826,0.51,0.5162179487179487,5.4,5.2,4.8,4.6
dt,signo_zodiacal_leo,70,0.5,0.5700000000000001,0.5875097125097126,0.56,0.5683411427118521,0.5700000000000001,0.5488947163947164,5.6,4.2,5.8,4.4
dt,signo_zodiacal_leo,71,0.5,0.45,0.4340909090909091,0.4600000000000001,0.44603174603174606,0.45,0.49886363636363634,4.6,5.6,4.4,5.4
dt,signo_zodiacal_leo,72,0.5,0.45000000000000007,0.4589515060103295,0.58,0.5060913152446334,0.45,0.4837867361396773,5.8,6.8,3.2,4.2
dt,signo_zodiacal_leo,73,0.5,0.43000000000000005,0.4133333333333333,0.48,0.43315789473684213,0.43,0.476,4.8,6.2,3.8,5.2
dt,signo_zodiacal_leo,74,0.5,0.53,0.497985347985348,0.4999999999999999,0.49033041411558037,0.5359999999999999,0.5459645909645909,5.0,4.4,5.6,5.0
dt,signo_zodiacal_leo,75,0.5,0.51,0.5116666666666667,0.5,0.5037928153717628,0.495,0.5154090909090909,5.0,4.8,5.2,5.0
dt,signo_zodiacal_leo,76,0.5,0.49000000000000005,0.49730769230769234,0.5599999999999999,0.5185358602749908,0.5029999999999999,0.5078333333333334,5.6,5.8,4.2,4.4
dt,signo_zodiacal_leo,77,0.5,0.4800000000000001,0.48687978687978684,0.48,0.4790986417450275,0.48,0.49963036963036966,4.8,5.2,4.8,5.2
dt,signo_zodiacal_leo,78,0.5,0.58,0.5927777777777777,0.52,0.5436469962785753,0.5799999999999998,0.5477222222222222,5.2,3.6,6.4,4.8
dt,signo_zodiacal_leo,79,0.5,0.6,0.5994094794094794,0.6199999999999999,0.6066514111365369,0.6,0.56203108003108,6.2,4.2,5.8,3.8
dt,signo_zodiacal_leo,80,0.5,0.5700000000000001,0.5665934065934066,0.62,0.5865700483091787,0.5700000000000001,0.5468131868131868,6.2,4.8,5.2,3.8
dt,signo_zodiacal_leo,81,0.5,0.61,0.6088311688311688,0.64,0.6174509803921568,0.607,0.5755324675324676,6.4,4.2,5.8,3.6
dt,signo_zodiacal_leo,82,0.5,0.37,0.36666666666666664,0.36,0.36315789473684207,0.375,0.4669090909090909,3.6,6.2,3.8,6.4
dt,signo_zodiacal_leo,83,0.5,0.5,0.48392857142857143,0.5399999999999999,0.49630467571644044,0.5,0.5026785714285714,5.4,5.4,4.6,4.6
dt,signo_zodiacal_leo,84,0.5,0.51,0.49433621933621935,0.48,0.4822090877818431,0.51,0.534527417027417,4.8,4.6,5.4,5.2
dt,signo_zodiacal_leo,85,0.5,0.4600000000000001,0.47186147186147187,0.5199999999999999,0.4878405907817672,0.45999999999999996,0.4878354978354979,5.2,6.0,4.0,4.8
dt,signo_zodiacal_leo,86,0.5,0.44000000000000006,0.44000000000000006,0.45999999999999996,0.44707070707070706,0.44000000000000006,0.4833333333333334,4.6,5.8,4.2,5.4
dt,signo_zodiacal_leo,87,0.5,0.52,0.5351648351648353,0.5599999999999999,0.5406096035252046,0.5200000000000001,0.5249950049950051,5.6,5.2,4.8,4.4
