modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_libra,1,0.5,0.54,0.5519347319347319,0.56,0.5460681347637869,0.54,0.5261724941724941,5.6,4.8,5.2,4.4
dt,signo_zodiacal_libra,2,0.5,0.45,0.45064102564102565,0.4600000000000001,0.44727711901624945,0.45,0.48788461538461536,4.6,5.6,4.4,5.4
dt,signo_zodiacal_libra,3,0.5,0.55,0.5611111111111111,0.6599999999999999,0.5952631578947368,0.55,0.5362222222222222,6.6,5.6,4.4,3.4
dt,signo_zodiacal_libra,4,0.5,0.49000000000000005,0.4929292929292929,0.54,0.5139211665527454,0.49400000000000005,0.49979797979797985,5.4,5.6,4.4,4.6
dt,signo_zodiacal_libra,5,0.5,0.52,0.5222222222222221,0.45999999999999996,0.4855263157894737,0.51,0.5195555555555555,4.6,4.2,5.8,5.4
dt,signo_zodiacal_libra,6,0.5,0.5,0.5061111111111111,0.42000000000000004,0.4519298245614035,0.5,0.5080555555555556,4.2,4.2,5.8,5.8
dt,signo_zodiacal_libra,7,0.5,0.47000000000000003,0.48004218004218,0.52,0.4937379681086774,0.47000000000000003,0.4878232878232879,5.2,5.8,4.2,4.8
dt,signo_zodiacal_libra,8,0.5,0.4800000000000001,0.4704578754578755,0.52,0.48895499618611743,0.48,0.5043901098901099,5.2,5.6,4.4,4.8
dt,signo_zodiacal_libra,9,0.5,0.55,0.5787529137529137,0.5800000000000001,0.56204071773637,0.5650000000000001,0.551499333999334,5.8,4.8,5.2,4.2
dt,signo_zodiacal_libra,10,0.5,0.45,0.4305916305916305,0.45999999999999996,0.4422124830793561,0.45,0.49720057720057725,4.6,5.6,4.4,5.4
dt,signo_zodiacal_libra,11,0.5,0.55,0.5458430458430458,0.58,0.5582401326108419,0.55,0.5330613830613831,5.8,4.8,5.2,4.2
dt,signo_zodiacal_libra,12,0.5,0.55,0.5819047619047619,0.5599999999999999,0.5496470588235295,0.55,0.5421904761904762,5.6,4.6,5.4,4.4
dt,signo_zodiacal_libra,13,0.5,0.52,0.5191763791763793,0.64,0.5685633649340743,0.5200000000000001,0.5117280497280497,6.4,6.0,4.0,3.6
dt,signo_zodiacal_libra,14,0.5,0.48,0.4766233766233766,0.4800000000000001,0.4753501400560224,0.48,0.492077922077922,4.8,5.2,4.8,5.2
dt,signo_zodiacal_libra,15,0.5,0.5700000000000001,0.5722727272727273,0.58,0.5735353535353536,0.5700000000000001,0.5435909090909091,5.8,4.4,5.6,4.2
dt,signo_zodiacal_libra,16,0.5,0.53,0.5476923076923077,0.45999999999999996,0.48173913043478256,0.53,0.5533846153846154,4.6,4.0,6.0,5.4
dt,signo_zodiacal_libra,17,0.5,0.5,0.5127272727272727,0.5399999999999999,0.5208220551378446,0.4999999999999999,0.5208686868686868,5.4,5.4,4.6,4.6
dt,signo_zodiacal_libra,18,0.5,0.5,0.4912698412698413,0.45999999999999996,0.47096037777152333,0.505,0.502936507936508,4.6,4.6,5.4,5.4
dt,signo_zodiacal_libra,19,0.5,0.49000000000000005,0.4935714285714285,0.36000000000000004,0.41267973856209156,0.48599999999999993,0.5104285714285715,3.6,3.8,6.2,6.4
dt,signo_zodiacal_libra,20,0.5,0.51,0.519047619047619,0.48,0.4892029539088362,0.51,0.5099567099567099,4.8,4.6,5.4,5.2
dt,signo_zodiacal_libra,21,0.5,0.5800000000000001,0.5885281385281386,0.58,0.577109440267335,0.5799999999999998,0.5518831168831169,5.8,4.2,5.8,4.2
dt,signo_zodiacal_libra,22,0.5,0.5200000000000001,0.5322222222222222,0.6000000000000001,0.555630816170862,0.5200000000000001,0.5216581196581196,6.0,5.6,4.4,4.0
dt,signo_zodiacal_libra,23,0.5,0.4600000000000001,0.4888888888888888,0.43999999999999995,0.45105544610188575,0.46699999999999997,0.4951984126984127,4.4,5.2,4.8,5.6
dt,signo_zodiacal_libra,24,0.5,0.6,0.6034498834498834,0.6199999999999999,0.6086564236678653,0.6,0.5628391608391609,6.2,4.2,5.8,3.8
dt,signo_zodiacal_libra,25,0.5,0.5,0.4963980463980464,0.5,0.4851767098906687,0.4999999999999999,0.524932844932845,5.0,5.0,5.0,5.0
dt,signo_zodiacal_libra,26,0.5,0.54,0.5167832167832167,0.5599999999999999,0.5314793901750423,0.54,0.5308391608391607,5.6,4.8,5.2,4.4
dt,signo_zodiacal_libra,27,0.5,0.47000000000000003,0.46090909090909093,0.42000000000000004,0.43746031746031744,0.47400000000000003,0.49412121212121213,4.2,4.8,5.2,5.8
dt,signo_zodiacal_libra,28,0.5,0.51,0.4923387723387724,0.58,0.5273932657731285,0.51,0.5143947163947165,5.8,5.6,4.4,4.2
dt,signo_zodiacal_libra,29,0.5,0.5900000000000001,0.6317460317460318,0.5,0.5531733746130031,0.58,0.5658730158730159,5.0,3.2,6.8,5.0
dt,signo_zodiacal_libra,30,0.5,0.4,0.42876623376623374,0.42000000000000004,0.40857142857142853,0.4,0.46824025974025973,4.2,6.2,3.8,5.8
dt,signo_zodiacal_libra,31,0.5,0.49000000000000005,0.49526806526806527,0.6,0.5398863165819688,0.49000000000000005,0.4998391608391609,6.0,6.2,3.8,4.0
dt,signo_zodiacal_libra,32,0.5,0.43000000000000005,0.42940115440115434,0.4,0.4099517957103096,0.43,0.48422438672438667,4.0,5.4,4.6,6.0
dt,signo_zodiacal_libra,33,0.5,0.54,0.5727272727272728,0.48,0.49945142576721524,0.54,0.5402020202020201,4.8,4.0,6.0,5.2
dt,signo_zodiacal_libra,34,0.5,0.48,0.46534965034965026,0.5,0.47913043478260864,0.4800000000000001,0.5100524475524476,5.0,5.4,4.6,5.0
dt,signo_zodiacal_libra,35,0.5,0.5199999999999999,0.5123626373626374,0.48,0.4888036373969878,0.5199999999999999,0.5166758241758241,4.8,4.4,5.6,5.2
dt,signo_zodiacal_libra,36,0.5,0.51,0.5023809523809524,0.48,0.4847296494355319,0.51,0.5140476190476191,4.8,4.6,5.4,5.2
dt,signo_zodiacal_libra,37,0.5,0.5900000000000001,0.6116305916305916,0.52,0.5557253427686865,0.5900000000000001,0.5658672438672439,5.2,3.4,6.6,4.8
dt,signo_zodiacal_libra,38,0.5,0.53,0.5158619158619159,0.5399999999999999,0.5225006249639443,0.53,0.5206404706404706,5.4,4.8,5.2,4.6
dt,signo_zodiacal_libra,39,0.5,0.45999999999999996,0.45999999999999996,0.54,0.4921678321678321,0.45999999999999996,0.5,5.4,6.2,3.8,4.6
dt,signo_zodiacal_libra,40,0.5,0.52,0.52,0.5399999999999999,0.5290909090909091,0.52,0.52,5.4,5.0,5.0,4.6
dt,signo_zodiacal_libra,41,0.5,0.51,0.505097125097125,0.56,0.5287225970063498,0.51,0.5114716394716395,5.6,5.4,4.6,4.4
dt,signo_zodiacal_libra,42,0.5,0.49000000000000005,0.4983766233766233,0.45999999999999996,0.4741130902121614,0.48600000000000004,0.5103354978354978,4.6,4.8,5.2,5.4
dt,signo_zodiacal_libra,43,0.5,0.52,0.5177045177045178,0.5800000000000001,0.5429443173150267,0.52,0.5163687423687424,5.8,5.4,4.6,4.2
dt,signo_zodiacal_libra,44,0.5,0.63,0.6273809523809524,0.58,0.5979672889889608,0.6299999999999999,0.5932142857142857,5.8,3.2,6.8,4.2
dt,signo_zodiacal_libra,45,0.5,0.55,0.5412698412698412,0.48,0.5033633549113425,0.55,0.5479365079365079,4.8,3.8,6.2,5.2
dt,signo_zodiacal_libra,46,0.5,0.4600000000000001,0.45070707070707067,0.4,0.4169089390142021,0.4600000000000001,0.4824646464646465,4.0,4.8,5.2,6.0
dt,signo_zodiacal_libra,47,0.5,0.54,0.5358863358863358,0.6199999999999999,0.5715157458864553,0.54,0.5232778332778333,6.2,5.4,4.6,3.8
dt,signo_zodiacal_libra,48,0.5,0.45999999999999996,0.4416666666666666,0.4,0.4083333333333333,0.45999999999999996,0.48583333333333334,4.0,4.8,5.2,6.0
dt,signo_zodiacal_libra,49,0.5,0.5599999999999999,0.5518026418026418,0.6599999999999999,0.597528049372443,0.5599999999999999,0.5503644133644133,6.6,5.4,4.6,3.4
dt,signo_zodiacal_libra,50,0.5,0.51,0.5066666666666666,0.54,0.5168888888888888,0.51,0.5093333333333334,5.4,5.2,4.8,4.6
dt,signo_zodiacal_libra,51,0.5,0.52,0.5167832167832167,0.5199999999999999,0.5110248447204968,0.52,0.5108391608391608,5.2,4.8,5.2,4.8
dt,signo_zodiacal_libra,52,0.5,0.47000000000000003,0.4525757575757575,0.41999999999999993,0.43190476190476196,0.47000000000000003,0.4932878787878788,4.2,4.8,5.2,5.8
dt,signo_zodiacal_libra,53,0.5,0.4,0.40482850482850485,0.38,0.3874383315492482,0.392,0.46467310467310463,3.8,5.8,4.2,6.2
dt,signo_zodiacal_libra,54,0.5,0.5200000000000001,0.5121367521367521,0.54,0.5123356216628527,0.5199999999999999,0.5142735042735043,5.4,5.0,5.0,4.6
