modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_piscis,1,0.5,0.48,0.4715568641884431,0.64,0.5366473905904192,0.4800000000000001,0.5025638571954361,6.4,6.8,3.2,3.6
dt,signo_zodiacal_piscis,2,0.5,0.36,0.3288888888888889,0.3,0.3130994152046784,0.36,0.47555555555555556,3.0,5.8,4.2,7.0
dt,signo_zodiacal_piscis,3,0.5,0.48,0.4781240981240981,0.48,0.4697869674185463,0.48,0.49807503607503606,4.8,5.2,4.8,5.2
dt,signo_zodiacal_piscis,4,0.5,0.5700000000000001,0.5704545454545454,0.6,0.5821067821067821,0.5700000000000001,0.5461363636363636,6.0,4.6,5.4,4.0
dt,signo_zodiacal_piscis,5,0.5,0.4600000000000001,0.4531746031746032,0.43999999999999995,0.4394392844857241,0.45999999999999996,0.4912698412698413,4.4,5.2,4.8,5.6
dt,signo_zodiacal_piscis,6,0.5,0.53,0.521025641025641,0.5599999999999999,0.5360825647782169,0.53,0.524051282051282,5.6,5.0,5.0,4.4
dt,signo_zodiacal_piscis,7,0.5,0.43,0.4,0.45999999999999996,0.42727272727272725,0.43,0.5033333333333333,4.6,6.0,4.0,5.4
dt,signo_zodiacal_piscis,8,0.5,0.49000000000000005,0.49300366300366305,0.5399999999999999,0.5085049988374797,0.48999999999999994,0.5032271062271063,5.4,5.6,4.4,4.6
dt,signo_zodiacal_piscis,9,0.5,0.51,0.5136363636363637,0.45999999999999996,0.4780952380952381,0.51,0.5225454545454545,4.6,4.4,5.6,5.4
dt,signo_zodiacal_piscis,10,0.5,0.5599999999999999,0.5457575757575758,0.5,0.5098917748917748,0.5599999999999999,0.5411212121212121,5.0,3.8,6.2,5.0
dt,signo_zodiacal_piscis,11,0.5,0.42000000000000004,0.4270745920745921,0.5,0.4560993788819875,0.4200000000000001,0.4672039627039627,5.0,6.6,3.4,5.0
dt,signo_zodiacal_piscis,12,0.5,0.56,0.5516483516483517,0.6,0.5665814151747656,0.558,0.5396043956043955,6.0,4.8,5.2,4.0
dt,signo_zodiacal_piscis,13,0.5,0.51,0.5477272727272727,0.43999999999999995,0.47301587301587295,0.51,0.5205909090909091,4.4,4.2,5.8,5.6
dt,signo_zodiacal_piscis,14,0.5,0.52,0.5338095238095237,0.4800000000000001,0.47907514054572875,0.52,0.5270952380952382,4.8,4.4,5.6,5.2
dt,signo_zodiacal_piscis,15,0.5,0.47000000000000003,0.46930846930846926,0.54,0.49880679960771496,0.47000000000000003,0.49003108003108,5.4,6.0,4.0,4.6
dt,signo_zodiacal_piscis,16,0.5,0.54,0.5317748917748918,0.54,0.5322332569391393,0.54,0.5354718614718614,5.4,4.6,5.4,4.6
dt,signo_zodiacal_piscis,17,0.5,0.6,0.625,0.52,0.567251461988304,0.5940000000000001,0.5736111111111111,5.2,3.2,6.8,4.8
dt,signo_zodiacal_piscis,18,0.5,0.52,0.5095682095682095,0.54,0.5189621344689321,0.52,0.5157453657453657,5.4,5.0,5.0,4.6
dt,signo_zodiacal_piscis,19,0.5,0.5,0.4802197802197802,0.5599999999999999,0.5134619855847478,0.5,0.5132234432234433,5.6,5.6,4.4,4.4
dt,signo_zodiacal_piscis,20,0.5,0.6,0.6173626373626373,0.58,0.5728036373969878,0.5820000000000001,0.5661758241758241,5.8,3.8,6.2,4.2
dt,signo_zodiacal_piscis,21,0.5,0.58,0.6061904761904762,0.48,0.5322961816305469,0.5800000000000001,0.5634285714285714,4.8,3.2,6.8,5.2
dt,signo_zodiacal_piscis,22,0.5,0.54,0.5626984126984127,0.48,0.5132001125809176,0.5399999999999999,0.5299206349206349,4.8,4.0,6.0,5.2
dt,signo_zodiacal_piscis,23,0.5,0.52,0.5256410256410257,0.5,0.5056636155606407,0.52,0.5153846153846154,5.0,4.6,5.4,5.0
dt,signo_zodiacal_piscis,24,0.5,0.44000000000000006,0.43166666666666664,0.42000000000000004,0.4102222222222222,0.44000000000000006,0.4958333333333334,4.2,5.4,4.6,5.8
dt,signo_zodiacal_piscis,25,0.5,0.47000000000000003,0.4567399267399267,0.43999999999999995,0.443087599647029,0.4699999999999999,0.5030989010989011,4.4,5.0,5.0,5.6
dt,signo_zodiacal_piscis,26,0.5,0.53,0.5357142857142857,0.52,0.5164721759149005,0.53,0.5268253968253969,5.2,4.6,5.4,4.8
dt,signo_zodiacal_piscis,27,0.5,0.5900000000000001,0.601948051948052,0.6399999999999999,0.5924242424242424,0.5900000000000001,0.5575974025974026,6.4,4.6,5.4,3.6
dt,signo_zodiacal_piscis,28,0.5,0.5,0.4956410256410256,0.5599999999999999,0.5191784856234983,0.49400000000000005,0.5061941391941392,5.6,5.6,4.4,4.4
dt,signo_zodiacal_piscis,29,0.5,0.53,0.5202020202020202,0.48,0.49288220551378437,0.53,0.519010101010101,4.8,4.2,5.8,5.2
dt,signo_zodiacal_piscis,30,0.5,0.5599999999999999,0.5650700280112044,0.64,0.5889998019409785,0.5599999999999999,0.5406750700280112,6.4,5.2,4.8,3.6
dt,signo_zodiacal_piscis,31,0.5,0.48,0.48666666666666664,0.52,0.5022510822510823,0.48,0.5012424242424242,5.2,5.6,4.4,4.8
dt,signo_zodiacal_piscis,32,0.5,0.52,0.5174603174603174,0.5199999999999999,0.5096413046877443,0.52,0.5126984126984127,5.2,4.8,5.2,4.8
dt,signo_zodiacal_piscis,33,0.5,0.5599999999999999,0.561468253968254,0.56,0.5480384218464713,0.56,0.5427341269841269,5.6,4.4,5.6,4.4
dt,signo_zodiacal_piscis,34,0.5,0.44000000000000006,0.46354978354978355,0.42000000000000004,0.4367153177060298,0.44000000000000006,0.5030389610389611,4.2,5.4,4.6,5.8
dt,signo_zodiacal_piscis,35,0.5,0.44000000000000006,0.4382117882117882,0.44000000000000006,0.4317467698541867,0.44000000000000006,0.49298201798201796,4.4,5.6,4.4,5.6
dt,signo_zodiacal_piscis,36,0.5,0.54,0.5365501165501165,0.5599999999999999,0.5400404667795973,0.54,0.5295058275058275,5.6,4.8,5.2,4.4
dt,signo_zodiacal_piscis,37,0.5,0.51,0.4888528138528138,0.45999999999999996,0.46758339699516166,0.51,0.5217640692640693,4.6,4.4,5.6,5.4
dt,signo_zodiacal_piscis,38,0.5,0.52,0.5331313131313131,0.5199999999999999,0.5161152882205513,0.52,0.5163434343434344,5.2,4.8,5.2,4.8
dt,signo_zodiacal_piscis,39,0.5,0.51,0.5161616161616162,0.45999999999999996,0.4775438596491228,0.51,0.5126464646464647,4.6,4.4,5.6,5.4
dt,signo_zodiacal_piscis,40,0.5,0.39,0.40620879120879116,0.42000000000000004,0.4037408354646206,0.39,0.46267582417582415,4.2,6.4,3.6,5.8
dt,signo_zodiacal_piscis,41,0.5,0.51,0.5119047619047619,0.4,0.4478844169246646,0.5049999999999999,0.5221428571428571,4.0,3.8,6.2,6.0
dt,signo_zodiacal_piscis,42,0.5,0.5700000000000001,0.5693589743589744,0.5199999999999999,0.5134563021519544,0.57,0.541551282051282,5.2,3.8,6.2,4.8
dt,signo_zodiacal_piscis,43,0.5,0.5900000000000001,0.5683150183150183,0.6599999999999999,0.6058768462658622,0.59,0.5658424908424908,6.6,4.8,5.2,3.4
dt,signo_zodiacal_piscis,44,0.5,0.66,0.6489377289377289,0.6599999999999999,0.637306052855925,0.66,0.6085201465201466,6.6,3.4,6.6,3.4
dt,signo_zodiacal_piscis,45,0.5,0.58,0.5155844155844156,0.54,0.5200280112044818,0.5880000000000001,0.5818831168831169,5.4,3.8,6.2,4.6
dt,signo_zodiacal_piscis,46,0.5,0.43999999999999995,0.486013986013986,0.45999999999999996,0.450592885375494,0.44000000000000006,0.4872494172494172,4.6,5.8,4.2,5.4
dt,signo_zodiacal_piscis,47,0.5,0.42000000000000004,0.423051948051948,0.4,0.4079534844240726,0.41999999999999993,0.4843831168831169,4.0,5.6,4.4,6.0
