modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_sagitario,1,0.5,0.41000000000000003,0.3973076923076923,0.4,0.3954589371980677,0.41,0.46988461538461535,4.0,5.8,4.2,6.0
dt,signo_zodiacal_sagitario,2,0.5,0.47000000000000003,0.48277777777777775,0.41999999999999993,0.4428389154704944,0.4699999999999999,0.4950555555555556,4.2,4.8,5.2,5.8
dt,signo_zodiacal_sagitario,3,0.5,0.45,0.42242424242424237,0.4,0.4087593984962405,0.45,0.5007878787878788,4.0,5.0,5.0,6.0
dt,signo_zodiacal_sagitario,4,0.5,0.49000000000000005,0.5022954822954823,0.48,0.474838545639461,0.49000000000000005,0.49836874236874235,4.8,5.0,5.0,5.2
dt,signo_zodiacal_sagitario,5,0.5,0.42000000000000004,0.4392607392607393,0.5,0.46552795031055905,0.42000000000000004,0.4696303696303696,5.0,6.6,3.4,5.0
dt,signo_zodiacal_sagitario,6,0.5,0.42000000000000004,0.3566233766233766,0.33999999999999997,0.3458263305322129,0.42000000000000004,0.48316883116883125,3.4,5.0,5.0,6.6
dt,signo_zodiacal_sagitario,7,0.5,0.47000000000000003,0.48268398268398266,0.42000000000000004,0.4420168067226891,0.47000000000000003,0.4935930735930736,4.2,4.8,5.2,5.8
dt,signo_zodiacal_sagitario,8,0.5,0.52,0.5193040293040293,0.54,0.5248174843059754,0.52,0.5238424908424909,5.4,5.0,5.0,4.6
dt,signo_zodiacal_sagitario,9,0.5,0.48999999999999994,0.4576190476190476,0.48,0.45979797979797976,0.48,0.5090952380952382,4.8,5.0,5.0,5.2
dt,signo_zodiacal_sagitario,10,0.5,0.55,0.5449145299145299,0.5399999999999999,0.538932112890923,0.55,0.5369957264957265,5.4,4.4,5.6,4.6
dt,signo_zodiacal_sagitario,11,0.5,0.53,0.5409090909090909,0.6,0.5648266119845068,0.53,0.5271212121212121,6.0,5.4,4.6,4.0
dt,signo_zodiacal_sagitario,12,0.5,0.48999999999999994,0.4772222222222222,0.42000000000000004,0.43961722488038274,0.48999999999999994,0.5040555555555556,4.2,4.4,5.6,5.8
dt,signo_zodiacal_sagitario,13,0.5,0.41999999999999993,0.4050000000000001,0.36,0.374066985645933,0.42399999999999993,0.4696471861471861,3.6,5.2,4.8,6.4
dt,signo_zodiacal_sagitario,14,0.5,0.38,0.38685314685314687,0.45999999999999996,0.4181573498964803,0.38,0.46174825174825174,4.6,7.0,3.0,5.4
dt,signo_zodiacal_sagitario,15,0.5,0.6,0.5927871148459383,0.6799999999999999,0.6173499702911468,0.6,0.5616036414565826,6.8,4.8,5.2,3.2
dt,signo_zodiacal_sagitario,16,0.5,0.5199999999999999,0.5175335775335774,0.5,0.5032251985462377,0.5199999999999999,0.5246544566544566,5.0,4.6,5.4,5.0
dt,signo_zodiacal_sagitario,17,0.5,0.45999999999999996,0.44510989010989005,0.45999999999999996,0.43956521739130433,0.45999999999999996,0.4988296703296703,4.6,5.4,4.6,5.4
dt,signo_zodiacal_sagitario,18,0.5,0.6000000000000001,0.6037490287490288,0.6399999999999999,0.6149213613744506,0.6,0.5773562548562549,6.4,4.4,5.6,3.6
dt,signo_zodiacal_sagitario,19,0.5,0.4600000000000001,0.4557142857142857,0.45999999999999996,0.44979797979797975,0.45999999999999996,0.48842857142857143,4.6,5.4,4.6,5.4
dt,signo_zodiacal_sagitario,20,0.5,0.58,0.5574458874458875,0.5,0.5218207282913165,0.588,0.5895901875901877,5.0,3.4,6.6,5.0
dt,signo_zodiacal_sagitario,21,0.5,0.42000000000000004,0.4066666666666666,0.4,0.3990909090909091,0.42000000000000004,0.47333333333333333,4.0,5.6,4.4,6.0
dt,signo_zodiacal_sagitario,22,0.5,0.45999999999999996,0.45757575757575764,0.42000000000000004,0.4321927814187876,0.4600000000000001,0.48688311688311686,4.2,5.0,5.0,5.8
dt,signo_zodiacal_sagitario,23,0.5,0.52,0.5278632478632479,0.5599999999999999,0.5408071562304972,0.52,0.5262735042735043,5.6,5.2,4.8,4.4
dt,signo_zodiacal_sagitario,24,0.5,0.4600000000000001,0.4885714285714286,0.44000000000000006,0.4465826330532213,0.4600000000000001,0.5020519480519481,4.4,5.2,4.8,5.6
dt,signo_zodiacal_sagitario,25,0.5,0.5,0.5066666666666666,0.48,0.4774736842105263,0.5,0.5044444444444445,4.8,4.8,5.2,5.2
dt,signo_zodiacal_sagitario,26,0.5,0.5600000000000002,0.5687301587301589,0.58,0.5649693216999718,0.5539999999999999,0.5382698412698412,5.8,4.6,5.4,4.2
dt,signo_zodiacal_sagitario,27,0.5,0.53,0.5255555555555557,0.6,0.5545263157894735,0.53,0.5207777777777778,6.0,5.4,4.6,4.0
dt,signo_zodiacal_sagitario,28,0.5,0.52,0.5183838383838384,0.4800000000000001,0.49637426900584797,0.5199999999999999,0.5216464646464647,4.8,4.4,5.6,5.2
dt,signo_zodiacal_sagitario,29,0.5,0.47000000000000003,0.4812987012987013,0.42000000000000004,0.44442577030812325,0.4699999999999999,0.49251948051948047,4.2,4.8,5.2,5.8
dt,signo_zodiacal_sagitario,30,0.5,0.4800000000000001,0.4703296703296703,0.45999999999999996,0.452617220801364,0.4800000000000001,0.49448351648351646,4.6,5.0,5.0,5.4
dt,signo_zodiacal_sagitario,31,0.5,0.58,0.5777777777777777,0.52,0.5417393751759076,0.58,0.5536507936507936,5.2,3.6,6.4,4.8
dt,signo_zodiacal_sagitario,32,0.5,0.37,0.35979797979797984,0.36,0.3594486215538847,0.37,0.4696767676767676,3.6,6.2,3.8,6.4
dt,signo_zodiacal_sagitario,33,0.5,0.49000000000000005,0.47545787545787543,0.5,0.482400374337378,0.49000000000000005,0.5050849150849152,5.0,5.2,4.8,5.0
dt,signo_zodiacal_sagitario,34,0.5,0.51,0.5089743589743589,0.52,0.5099831264590989,0.51,0.5081623931623931,5.2,5.0,5.0,4.8
dt,signo_zodiacal_sagitario,35,0.5,0.51,0.5127272727272728,0.5199999999999999,0.5078571428571428,0.51,0.513090909090909,5.2,5.0,5.0,4.8
dt,signo_zodiacal_sagitario,36,0.5,0.4600000000000001,0.4595959595959596,0.42000000000000004,0.43389724310776945,0.4600000000000001,0.4864646464646465,4.2,5.0,5.0,5.8
dt,signo_zodiacal_sagitario,37,0.5,0.6399999999999999,0.6566666666666666,0.64,0.6257142857142857,0.6199999999999999,0.593,6.4,3.6,6.4,3.6
dt,signo_zodiacal_sagitario,38,0.5,0.55,0.5284615384615384,0.56,0.5374308300395257,0.55,0.5436153846153846,5.6,4.6,5.4,4.4
dt,signo_zodiacal_sagitario,39,0.5,0.5600000000000002,0.561025641025641,0.5599999999999999,0.5575286041189932,0.5599999999999999,0.5384957264957265,5.6,4.4,5.6,4.4
dt,signo_zodiacal_sagitario,40,0.5,0.49000000000000005,0.5024242424242423,0.48,0.48337662337662335,0.49000000000000005,0.5187878787878788,4.8,5.0,5.0,5.2
dt,signo_zodiacal_sagitario,41,0.5,0.51,0.4911421911421911,0.54,0.5077639751552795,0.5289999999999999,0.5249300699300699,5.4,5.2,4.8,4.6
dt,signo_zodiacal_sagitario,42,0.5,0.5700000000000001,0.5755555555555556,0.6,0.5840350877192984,0.5700000000000001,0.5508888888888889,6.0,4.6,5.4,4.0
dt,signo_zodiacal_sagitario,43,0.5,0.36,0.3492640692640693,0.33999999999999997,0.34259767064720625,0.36,0.45524675324675334,3.4,6.2,3.8,6.6
dt,signo_zodiacal_sagitario,44,0.5,0.48,0.47357753357753357,0.54,0.4962374967877728,0.4800000000000001,0.49198778998778997,5.4,5.8,4.2,4.6
dt,signo_zodiacal_sagitario,45,0.5,0.43,0.4216666666666667,0.41999999999999993,0.4193483709273183,0.43000000000000005,0.4754090909090909,4.2,5.6,4.4,5.8
dt,signo_zodiacal_sagitario,46,0.5,0.5399999999999999,0.5439393939393938,0.5599999999999999,0.5505582137161084,0.5399999999999999,0.5467575757575757,5.6,4.8,5.2,4.4
dt,signo_zodiacal_sagitario,47,0.5,0.51,0.5111111111111112,0.5,0.5038277511961723,0.51,0.5244444444444444,5.0,4.8,5.2,5.0
dt,signo_zodiacal_sagitario,48,0.5,0.53,0.5309090909090909,0.5399999999999999,0.5284199134199133,0.53,0.5234545454545454,5.4,4.8,5.2,4.6
dt,signo_zodiacal_sagitario,49,0.5,0.4800000000000001,0.47480519480519473,0.5199999999999999,0.49063152533740767,0.48,0.4931688311688312,5.2,5.6,4.4,4.8
dt,signo_zodiacal_sagitario,50,0.5,0.49000000000000005,0.4924242424242424,0.48,0.47142857142857136,0.49000000000000005,0.4971212121212122,4.8,5.0,5.0,5.2
dt,signo_zodiacal_sagitario,51,0.5,0.49000000000000005,0.5089133089133089,0.4800000000000001,0.48480279983847085,0.49000000000000005,0.5126984126984128,4.8,5.0,5.0,5.2
