modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_tauro,1,0.5,0.43,0.4342657342657342,0.41999999999999993,0.41908902691511385,0.43,0.48170629370629375,4.2,5.6,4.4,5.8
dt,signo_zodiacal_tauro,2,0.5,0.51,0.5185281385281385,0.45999999999999996,0.4845604206594919,0.51,0.5131688311688312,4.6,4.4,5.6,5.4
dt,signo_zodiacal_tauro,3,0.5,0.41000000000000003,0.3841630591630592,0.33999999999999997,0.35867118777335494,0.41,0.47493867243867244,3.4,5.2,4.8,6.6
dt,signo_zodiacal_tauro,4,0.5,0.44000000000000006,0.3779220779220779,0.38,0.374637127578304,0.43,0.4975324675324675,3.8,5.0,5.0,6.2
dt,signo_zodiacal_tauro,5,0.5,0.4800000000000001,0.48193473193473196,0.58,0.5245529832486355,0.4800000000000001,0.4925058275058275,5.8,6.2,3.8,4.2
dt,signo_zodiacal_tauro,6,0.5,0.45999999999999996,0.45118437118437116,0.44000000000000006,0.4407484183604792,0.45299999999999996,0.48865445665445667,4.4,5.2,4.8,5.6
dt,signo_zodiacal_tauro,7,0.5,0.56,0.5801587301587301,0.5,0.5281241204615817,0.5599999999999999,0.5462698412698412,5.0,3.8,6.2,5.0
dt,signo_zodiacal_tauro,8,0.5,0.49000000000000005,0.48666666666666664,0.4600000000000001,0.470026581605529,0.49499999999999994,0.5058888888888889,4.6,4.8,5.2,5.4
dt,signo_zodiacal_tauro,9,0.5,0.5,0.4986013986013987,0.52,0.5064509098834041,0.5,0.501950271950272,5.2,5.2,4.8,4.8
dt,signo_zodiacal_tauro,10,0.5,0.32999999999999996,0.32305194805194803,0.3,0.3089635854341736,0.32999999999999996,0.45756493506493506,3.0,6.4,3.6,7.0
dt,signo_zodiacal_tauro,11,0.5,0.5700000000000001,0.5735353535353535,0.5599999999999999,0.5658646616541353,0.5700000000000001,0.543010101010101,5.6,4.2,5.8,4.4
dt,signo_zodiacal_tauro,12,0.5,0.5200000000000001,0.5146464646464647,0.5999999999999999,0.5515265436318069,0.5200000000000001,0.5126767676767676,6.0,5.6,4.4,4.0
dt,signo_zodiacal_tauro,13,0.5,0.45999999999999996,0.4745454545454546,0.5,0.46974358974358976,0.4600000000000001,0.48600000000000004,5.0,5.8,4.2,5.0
dt,signo_zodiacal_tauro,14,0.5,0.48,0.4666666666666666,0.41999999999999993,0.4313725490196079,0.4800000000000001,0.5061904761904763,4.2,4.6,5.4,5.8
dt,signo_zodiacal_tauro,15,0.5,0.31,0.27536463536463535,0.33999999999999997,0.3031469979296066,0.30499999999999994,0.45698101898101895,3.4,7.2,2.8,6.6
dt,signo_zodiacal_tauro,16,0.5,0.41000000000000003,0.37564102564102564,0.32,0.33849815288434215,0.41,0.48014652014652015,3.2,5.0,5.0,6.8
dt,signo_zodiacal_tauro,17,0.5,0.55,0.5406060606060605,0.58,0.5533801169590642,0.55,0.5424242424242424,5.8,4.8,5.2,4.2
dt,signo_zodiacal_tauro,18,0.5,0.56,0.5904473304473304,0.44000000000000006,0.493328173374613,0.5599999999999999,0.5443607503607504,4.4,3.2,6.8,5.6
