modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_virgo,1,0.5,0.53,0.5232323232323233,0.5399999999999999,0.5303258145363408,0.53,0.5255555555555557,5.4,4.8,5.2,4.6
dt,signo_zodiacal_virgo,2,0.5,0.42000000000000004,0.3899433899433899,0.36,0.36557666544878825,0.42000000000000004,0.48638028638028635,3.6,5.2,4.8,6.4
dt,signo_zodiacal_virgo,3,0.5,0.45,0.4425324675324675,0.48,0.4508080155138979,0.45,0.4827597402597402,4.8,5.8,4.2,5.2
dt,signo_zodiacal_virgo,4,0.5,0.51,0.5108585858585859,0.52,0.5122047543100174,0.51,0.5192676767676767,5.2,5.0,5.0,4.8
dt,signo_zodiacal_virgo,5,0.5,0.44000000000000006,0.4418181818181818,0.44000000000000006,0.4393650793650794,0.434,0.4785454545454545,4.4,5.6,4.4,5.6
dt,signo_zodiacal_virgo,6,0.5,0.47000000000000003,0.4755244755244755,0.56,0.5134575569358178,0.4700000000000001,0.4871328671328672,5.6,6.2,3.8,4.4
dt,signo_zodiacal_virgo,7,0.5,0.6,0.6078282828282828,0.5599999999999999,0.5812865497076023,0.5999999999999999,0.5627020202020201,5.6,3.6,6.4,4.4
dt,signo_zodiacal_virgo,8,0.5,0.38,0.3436868686868687,0.32,0.3303258145363408,0.38,0.48351010101010095,3.2,5.6,4.4,6.8
dt,signo_zodiacal_virgo,9,0.5,0.47000000000000003,0.46863303363303366,0.58,0.5132422360248448,0.47000000000000003,0.49317798867798873,5.8,6.4,3.6,4.2
dt,signo_zodiacal_virgo,10,0.5,0.6,0.5742890442890443,0.6199999999999999,0.5864031620553359,0.6,0.5643100233100233,6.2,4.2,5.8,3.8
dt,signo_zodiacal_virgo,11,0.5,0.5800000000000001,0.6084615384615385,0.48,0.5063269339356296,0.5660000000000001,0.5545042735042734,4.8,3.2,6.8,5.2
dt,signo_zodiacal_virgo,12,0.5,0.36,0.28653679653679653,0.32,0.29569374416433236,0.368,0.48194805194805196,3.2,6.0,4.0,6.8
dt,signo_zodiacal_virgo,13,0.5,0.4600000000000001,0.46051226551226554,0.36000000000000004,0.3967035235146691,0.45999999999999996,0.4852243867243867,3.6,4.4,5.6,6.4
dt,signo_zodiacal_virgo,14,0.5,0.47000000000000003,0.4707875457875458,0.48,0.4665963715768536,0.4699999999999999,0.4950274725274726,4.8,5.4,4.6,5.2
dt,signo_zodiacal_virgo,15,0.5,0.53,0.5178821178821179,0.5,0.4990043843624406,0.53,0.5196303696303697,5.0,4.4,5.6,5.0
dt,signo_zodiacal_virgo,16,0.5,0.4800000000000001,0.4862470862470863,0.6,0.5361660079051384,0.4800000000000001,0.49780885780885786,6.0,6.4,3.6,4.0
