,pos_rate_bootstrap,pos_rate_bootstrap,cv_accuracy,cv_accuracy,cv_precision,cv_precision,cv_recall,cv_recall,cv_f1,cv_f1,cv_roc_auc,cv_roc_auc,cv_pr_auc,cv_pr_auc,cv_tp_mean,cv_tp_mean,cv_fp_mean,cv_fp_mean,cv_tn_mean,cv_tn_mean,cv_fn_mean,cv_fn_mean
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
signo,,,,,,,,,,,,,,,,,,,,,,
signo_zodiacal_acuario,0.5,0.0,0.50092,0.06119676206609912,0.5013712814962815,0.065903516090838,0.50652,0.08194950300083688,0.49556634545482736,0.06850825225361185,0.501048,0.06156816526377815,0.5133408454335482,0.03227136406854145,5.0652,0.8194950300083689,5.0468,0.8117188768718759,4.9532,0.8117188768718759,4.9348,0.8194950300083688
signo_zodiacal_aries,0.5,0.0,0.5009,0.055774650364179716,0.5003550317982671,0.06018862118117436,0.50428,0.07450088834859256,0.49405064337295945,0.061551094276116214,0.500502,0.05582195066774989,0.5135528512761748,0.030558948797946326,5.042800000000001,0.7450088834859261,5.0248,0.7960983010973075,4.9752,0.7960983010973076,4.957199999999999,0.7450088834859261
signo_zodiacal_cancer,0.5,0.0,0.50292,0.06000228452564615,0.504057058333823,0.06525250660478331,0.50096,0.08108902057934246,0.4937377787035905,0.06717394718449933,0.50283,0.060112228873335234,0.5149111914458091,0.03128773817592377,5.009600000000001,0.810890205793425,4.9512,0.814607716304557,5.0488,0.8146077163045572,4.990399999999999,0.810890205793425
signo_zodiacal_capricornio,0.5,0.0,0.5003,0.056519899132924774,0.49941836376042253,0.06222324610735867,0.49572,0.07570696592374287,0.48909232978633516,0.06406514828043576,0.500146,0.05646046627955714,0.5130706535392713,0.029737984897747677,4.957199999999999,0.7570696592374283,4.9512,0.7739357292605451,5.0488,0.7739357292605452,5.042800000000001,0.7570696592374284
signo_zodiacal_escorpio,0.5,0.0,0.49824,0.056053424273147606,0.4975976632191338,0.06138155048436344,0.49795999999999996,0.07414332650840172,0.48989669352659176,0.06265470580118161,0.498216,0.0559936775703803,0.5118837412358883,0.02933633734992475,4.9796000000000005,0.7414332650840171,5.0148,0.7683238921225951,4.9852,0.7683238921225952,5.0203999999999995,0.7414332650840171
signo_zodiacal_geminis,0.5,0.0,0.49892000000000003,0.06008705774971875,0.49940739756115915,0.06694809198358719,0.49668,0.07659707451102353,0.4894976565777959,0.06624862088440962,0.49910000000000004,0.060506396753535,0.5130680855822884,0.0325598235087381,4.9668,0.7659707451102358,4.9883999999999995,0.8355487558765757,5.0116000000000005,0.8355487558765758,5.0332,0.7659707451102358
signo_zodiacal_leo,0.5,0.0,0.49694,0.05880265218344845,0.49665298074474545,0.06458318949756132,0.49388,0.07581319727965263,0.4867405054640747,0.06451413775388079,0.49687400000000004,0.05903192068126056,0.5119936936723407,0.030837549398242733,4.9388000000000005,0.7581319727965267,5.0,0.8017015971680507,5.0,0.8017015971680507,5.0611999999999995,0.7581319727965267
signo_zodiacal_libra,0.5,0.0,0.50188,0.05707346459363969,0.5014246175393234,0.06431916165079207,0.49812,0.07920740638635318,0.4909618386863531,0.06595695022472368,0.501696,0.05716743667186117,0.5141776651779593,0.030117022019283707,4.981199999999999,0.7920740638635323,4.9436,0.7650291361499364,5.0564,0.7650291361499364,5.018800000000001,0.7920740638635323
signo_zodiacal_ofiuco,0.5,0.0,0.49858,0.057515211893884206,0.4972158955836046,0.06282722058554252,0.49707999999999997,0.07679106285675005,0.4890055135143855,0.06446014095196209,0.498398,0.057449774143143464,0.5124405314077048,0.030444282612365262,4.9708000000000006,0.7679106285675006,4.9992,0.7664295064627624,5.0008,0.7664295064627625,5.0291999999999994,0.7679106285675005
signo_zodiacal_piscis,0.5,0.0,0.49922000000000005,0.05808562196411357,0.4987921841350943,0.06334153259877462,0.49628,0.07817406198948519,0.4889951986407907,0.06556688184675856,0.499132,0.05810568920713766,0.5126003358591872,0.030334403578246367,4.9628000000000005,0.7817406198948519,4.9784,0.788807882663138,5.0216,0.7888078826631378,5.0371999999999995,0.7817406198948519
signo_zodiacal_sagitario,0.5,0.0,0.49818,0.056996357511152194,0.4978884605916959,0.06309935236773617,0.49539999999999995,0.07544417570160461,0.48842039946596627,0.06348528354684707,0.498204,0.05682679785020281,0.5121729024015201,0.030239481400223058,4.954,0.7544417570160458,4.990399999999999,0.7885375215204988,5.009600000000001,0.7885375215204986,5.046,0.7544417570160459
signo_zodiacal_tauro,0.5,0.0,0.49936,0.06069727108721502,0.4997043950167479,0.06688900016670563,0.49748000000000003,0.07869202290536108,0.4901600726340161,0.06749682572610868,0.499704,0.06078610272561599,0.5131285647098,0.031854362733549864,4.9748,0.7869202290536109,4.9876000000000005,0.8182819873501089,5.0123999999999995,0.8182819873501089,5.0252,0.7869202290536109
signo_zodiacal_virgo,0.5,0.0,0.50148,0.054883823373889265,0.5011758189643174,0.06207456602843591,0.49563999999999997,0.07482906640040826,0.4905251982323111,0.06336148715671008,0.501198,0.05495725061163064,0.5136368184658479,0.029253455651055686,4.9563999999999995,0.7482906640040832,4.9268,0.7410127933577387,5.0732,0.7410127933577387,5.0436000000000005,0.7482906640040832
