modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_aries,1,0.5,0.44000000000000006,0.37,0.34,0.326031746031746,0.49799999999999994,0.543838638829351,3.4,4.6,5.4,6.6
knn,signo_zodiacal_aries,2,0.5,0.5,0.13333333333333333,0.04,0.06153846153846154,0.417,0.49698311286236985,0.4,0.4,9.6,9.6
knn,signo_zodiacal_aries,3,0.5,0.49000000000000005,0.4700854700854701,0.72,0.5543478260869565,0.5120000000000001,0.5237391442406921,7.2,7.4,2.6,2.8
knn,signo_zodiacal_aries,4,0.5,0.54,0.6494949494949495,0.48,0.448779290884554,0.548,0.5567178476837921,4.8,4.0,6.0,5.2
knn,signo_zodiacal_aries,5,0.5,0.49000000000000005,0.55,0.34,0.33953823953823953,0.441,0.5033830163644405,3.4,3.6,6.4,6.6
knn,signo_zodiacal_aries,6,0.5,0.4800000000000001,0.375,0.26,0.23160173160173164,0.46799999999999997,0.49979018624993854,2.6,3.0,7.0,7.4
knn,signo_zodiacal_aries,7,0.5,0.43000000000000005,0.42272727272727273,0.6599999999999999,0.5056166056166056,0.402,0.4885163639250326,6.6,8.0,2.0,3.4
knn,signo_zodiacal_aries,8,0.5,0.5599999999999999,0.5125,0.45999999999999996,0.4146520146520146,0.5780000000000001,0.5920116099071208,4.6,3.4,6.6,5.4
knn,signo_zodiacal_aries,9,0.5,0.52,0.2611111111111111,0.16,0.19097744360902252,0.48600000000000004,0.5178729516097936,1.6,1.2,8.8,8.4
knn,signo_zodiacal_aries,10,0.5,0.51,0.5058823529411764,0.9,0.6424242424242423,0.6369999999999999,0.6076287376194497,9.0,8.8,1.2,1.0
knn,signo_zodiacal_aries,11,0.5,0.49000000000000005,0.29473684210526313,0.32,0.28802681992337165,0.5740000000000001,0.5683769151385251,3.2,3.4,6.6,6.8
knn,signo_zodiacal_aries,12,0.5,0.4600000000000001,0.46174982911825013,0.7,0.5469950738916255,0.413,0.4880189299005089,7.0,7.8,2.2,3.0
