modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_cancer,1,0.5,0.54,0.3111111111111111,0.16,0.19757085020242915,0.433,0.5045818110338234,1.6,0.8,9.2,8.4
knn,signo_zodiacal_cancer,2,0.5,0.51,0.13333333333333333,0.04,0.06153846153846154,0.469,0.5111148487735175,0.4,0.2,9.8,9.6
knn,signo_zodiacal_cancer,3,0.5,0.5,0.3,0.04,0.0696969696969697,0.564,0.5734281168607793,0.4,0.4,9.6,9.6
knn,signo_zodiacal_cancer,4,0.5,0.45999999999999996,0.03333333333333333,0.02,0.025,0.5360000000000001,0.5731059265811588,0.2,1.0,9.0,9.8
knn,signo_zodiacal_cancer,5,0.5,0.5,0.4962887989203778,0.8400000000000001,0.6172459224932989,0.51,0.5191462706540106,8.4,8.4,1.6,1.6
knn,signo_zodiacal_cancer,6,0.5,0.5,0.0,0.0,0.0,0.45999999999999996,0.5052289547397907,0.0,0.0,10.0,10.0
knn,signo_zodiacal_cancer,7,0.5,0.63,0.6795518207282913,0.74,0.6333462833462834,0.68,0.6488335053319574,7.4,4.8,5.2,2.6
knn,signo_zodiacal_cancer,8,0.5,0.5,0.5,1.0,0.6666666666666666,0.39299999999999996,0.4728983856700575,10.0,10.0,0.0,0.0
knn,signo_zodiacal_cancer,9,0.5,0.49000000000000005,0.16666666666666666,0.1,0.11965811965811965,0.49499999999999994,0.5290245712320015,1.0,1.2,8.8,9.0
knn,signo_zodiacal_cancer,10,0.5,0.48,0.4866666666666667,0.8800000000000001,0.6239999999999999,0.445,0.5097905369484317,8.8,9.2,0.8,1.2
knn,signo_zodiacal_cancer,11,0.5,0.48,0.44000000000000006,0.31999999999999995,0.31966666666666665,0.43999999999999995,0.515937552213868,3.2,3.6,6.4,6.8
knn,signo_zodiacal_cancer,12,0.5,0.5,0.0,0.0,0.0,0.508,0.5378295538311019,0.0,0.0,10.0,10.0
knn,signo_zodiacal_cancer,13,0.5,0.49000000000000005,0.3730769230769231,0.5800000000000001,0.43436853002070397,0.511,0.5314200404858299,5.8,6.0,4.0,4.2
knn,signo_zodiacal_cancer,14,0.5,0.49000000000000005,0.0,0.0,0.0,0.5029999999999999,0.5221551956815115,0.0,0.2,9.8,10.0
knn,signo_zodiacal_cancer,15,0.5,0.5,0.1,0.02,0.03333333333333333,0.47800000000000004,0.5038003397531261,0.2,0.2,9.8,9.8
knn,signo_zodiacal_cancer,16,0.5,0.5,0.0,0.0,0.0,0.41900000000000004,0.49452298827763225,0.0,0.0,10.0,10.0
knn,signo_zodiacal_cancer,17,0.5,0.5,0.3,0.12,0.1714285714285714,0.45,0.5271754385964913,1.2,1.2,8.8,8.8
knn,signo_zodiacal_cancer,18,0.5,0.55,0.5619736842105263,0.74,0.606737400530504,0.537,0.5572419082465523,7.4,6.4,3.6,2.6
knn,signo_zodiacal_cancer,19,0.5,0.51,0.5052631578947369,0.9800000000000001,0.6665024630541871,0.497,0.5417035302159141,9.8,9.6,0.4,0.2
knn,signo_zodiacal_cancer,20,0.5,0.58,0.6261904761904762,0.24,0.3315664727429433,0.6580000000000001,0.655981684981685,2.4,0.8,9.2,7.6
knn,signo_zodiacal_cancer,21,0.5,0.6,0.73004329004329,0.5599999999999999,0.5565714285714285,0.5640000000000001,0.6015937571200729,5.6,3.6,6.4,4.4
knn,signo_zodiacal_cancer,22,0.5,0.5,0.5,0.9800000000000001,0.6619047619047619,0.5469999999999999,0.5521403508771929,9.8,9.8,0.2,0.2
knn,signo_zodiacal_cancer,23,0.5,0.52,0.5301587301587302,0.6799999999999999,0.536888601594484,0.542,0.5723116883116883,6.8,6.4,3.6,3.2
knn,signo_zodiacal_cancer,24,0.5,0.51,0.5052631578947369,1.0,0.6712643678160919,0.602,0.6066262715612561,10.0,9.8,0.2,0.0
knn,signo_zodiacal_cancer,25,0.5,0.43,0.4390476190476191,0.4999999999999999,0.4608888888888889,0.433,0.48849289891395153,5.0,6.4,3.6,5.0
knn,signo_zodiacal_cancer,26,0.5,0.53,0.3333333333333333,0.1,0.13636363636363638,0.5569999999999999,0.5840258980785296,1.0,0.4,9.6,9.0
knn,signo_zodiacal_cancer,27,0.5,0.4699999999999999,0.4771241830065359,0.8,0.5879142300194931,0.483,0.5110893532851737,8.0,8.6,1.4,2.0
knn,signo_zodiacal_cancer,28,0.5,0.49000000000000005,0.4909090909090909,0.86,0.6183150183150182,0.491,0.5338064859117491,8.6,8.8,1.2,1.4
knn,signo_zodiacal_cancer,29,0.5,0.47000000000000003,0.158974358974359,0.16,0.15434782608695652,0.43599999999999994,0.47679411884984646,1.6,2.2,7.8,8.4
knn,signo_zodiacal_cancer,30,0.5,0.5,0.0,0.0,0.0,0.517,0.5393912980724126,0.0,0.0,10.0,10.0
knn,signo_zodiacal_cancer,31,0.5,0.53,0.5157550739594082,0.96,0.6705710636745119,0.5930000000000002,0.5694756052341191,9.6,9.0,1.0,0.4
knn,signo_zodiacal_cancer,32,0.5,0.49000000000000005,0.48888888888888893,0.86,0.612781954887218,0.53,0.5623623043623043,8.6,8.8,1.2,1.4
knn,signo_zodiacal_cancer,33,0.5,0.5,0.0,0.0,0.0,0.5269999999999999,0.5248830163644406,0.0,0.0,10.0,10.0
knn,signo_zodiacal_cancer,34,0.5,0.52,0.32661764705882357,0.4,0.336980056980057,0.5970000000000001,0.6023267016780949,4.0,3.6,6.4,6.0
knn,signo_zodiacal_cancer,35,0.5,0.5,0.5030409356725146,0.44000000000000006,0.4196854204476709,0.46699999999999997,0.49380116959064324,4.4,4.4,5.6,5.6
knn,signo_zodiacal_cancer,36,0.5,0.5,0.5088888888888888,0.72,0.558095238095238,0.5369999999999999,0.5420532392444157,7.2,7.2,2.8,2.8
knn,signo_zodiacal_cancer,37,0.5,0.5599999999999999,0.5369934640522877,0.96,0.6868571428571428,0.5630000000000001,0.5677008547008546,9.6,8.4,1.6,0.4
knn,signo_zodiacal_cancer,38,0.5,0.54,0.7,0.24000000000000005,0.2624708624708625,0.5820000000000001,0.5841848739495799,2.4,1.6,8.4,7.6
knn,signo_zodiacal_cancer,39,0.5,0.5,0.0,0.0,0.0,0.5850000000000001,0.5934502923976608,0.0,0.0,10.0,10.0
knn,signo_zodiacal_cancer,40,0.5,0.55,0.5344877344877345,0.4600000000000001,0.443568196509373,0.563,0.5803833898299843,4.6,3.6,6.4,5.4
knn,signo_zodiacal_cancer,41,0.5,0.49000000000000005,0.493952528379773,0.8200000000000001,0.6118955067920584,0.509,0.5431997481362807,8.2,8.4,1.6,1.8
knn,signo_zodiacal_cancer,42,0.5,0.52,0.5171945701357467,0.9199999999999999,0.6576489533011272,0.47000000000000003,0.5240284988489323,9.2,8.8,1.2,0.8
knn,signo_zodiacal_cancer,43,0.5,0.47000000000000003,0.2875,0.42000000000000004,0.3299145299145299,0.392,0.5022543859649122,4.2,4.8,5.2,5.8
knn,signo_zodiacal_cancer,44,0.5,0.53,0.44000000000000006,0.16,0.22666666666666666,0.542,0.5567471151139881,1.6,1.0,9.0,8.4
knn,signo_zodiacal_cancer,45,0.5,0.51,0.5147368421052632,0.8800000000000001,0.639376026272578,0.5359999999999999,0.5642046374677954,8.8,8.6,1.4,1.2
knn,signo_zodiacal_cancer,46,0.5,0.5,0.4125,0.76,0.5338638373121132,0.4640000000000001,0.4937687969924812,7.6,7.6,2.4,2.4
knn,signo_zodiacal_cancer,47,0.5,0.51,0.5052631578947369,0.96,0.6617405582922824,0.511,0.5243801169590643,9.6,9.4,0.6,0.4
knn,signo_zodiacal_cancer,48,0.5,0.54,0.55,0.1,0.15844155844155844,0.5369999999999999,0.5832102245879336,1.0,0.2,9.8,9.0
knn,signo_zodiacal_cancer,49,0.5,0.5,0.49938080495356035,0.96,0.6564495530012772,0.49400000000000005,0.5383169688928202,9.6,9.6,0.4,0.4
knn,signo_zodiacal_cancer,50,0.5,0.55,0.5269005847953216,1.0,0.6899835796387521,0.608,0.5830969089390142,10.0,9.0,1.0,0.0
knn,signo_zodiacal_cancer,51,0.5,0.52,0.3311111111111111,0.36,0.3185964912280702,0.5169999999999999,0.5309887539361224,3.6,3.2,6.8,6.4
knn,signo_zodiacal_cancer,52,0.5,0.5,0.5,0.9400000000000001,0.65,0.429,0.500414673046252,9.4,9.4,0.6,0.6
knn,signo_zodiacal_cancer,53,0.5,0.47000000000000003,0.28502673796791445,0.3,0.27089947089947086,0.404,0.47951847602002406,3.0,3.6,6.4,7.0
knn,signo_zodiacal_cancer,54,0.5,0.51,0.525,0.74,0.5925647451963242,0.551,0.5431287778269203,7.4,7.2,2.8,2.6
