modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_capricornio,1,0.5,0.49000000000000005,0.1,0.18,0.1285714285714286,0.53,0.5515314559021989,1.8,2.0,8.0,8.2
knn,signo_zodiacal_capricornio,2,0.5,0.51,0.42019230769230764,0.52,0.45431831595514466,0.454,0.49689490695063443,5.2,5.0,5.0,4.8
knn,signo_zodiacal_capricornio,3,0.5,0.47000000000000003,0.0,0.0,0.0,0.394,0.4795986624314798,0.0,0.6,9.4,10.0
knn,signo_zodiacal_capricornio,4,0.5,0.5,0.0,0.0,0.0,0.45499999999999996,0.5351847662141781,0.0,0.0,10.0,10.0
knn,signo_zodiacal_capricornio,5,0.5,0.5,0.5,1.0,0.6666666666666666,0.518,0.5475453607280233,10.0,10.0,0.0,0.0
knn,signo_zodiacal_capricornio,6,0.5,0.5900000000000001,0.6733333333333332,0.4800000000000001,0.4694673046251994,0.5609999999999999,0.5796959064327486,4.8,3.0,7.0,5.2
knn,signo_zodiacal_capricornio,7,0.5,0.51,0.2,0.02,0.03636363636363636,0.5810000000000001,0.5766225820962663,0.2,0.0,10.0,9.8
knn,signo_zodiacal_capricornio,8,0.5,0.53,0.5291704374057316,0.74,0.6081450970421222,0.5449999999999999,0.5663865470614696,7.4,6.8,3.2,2.6
knn,signo_zodiacal_capricornio,9,0.5,0.5,0.5,1.0,0.6666666666666666,0.4870000000000001,0.525977688977689,10.0,10.0,0.0,0.0
knn,signo_zodiacal_capricornio,10,0.5,0.52,0.5238539238539238,0.66,0.5360248447204968,0.5479999999999999,0.5620807286968278,6.6,6.2,3.8,3.4
knn,signo_zodiacal_capricornio,11,0.5,0.55,0.5287581699346405,0.9,0.6576719576719576,0.611,0.5937277327935222,9.0,8.0,2.0,1.0
knn,signo_zodiacal_capricornio,12,0.5,0.54,0.5833333333333333,0.18,0.25724275724275725,0.5549999999999999,0.5738358395989975,1.8,1.0,9.0,8.2
knn,signo_zodiacal_capricornio,13,0.5,0.49000000000000005,0.4055672268907563,0.54,0.4532763532763533,0.5149999999999999,0.5206975359521799,5.4,5.6,4.4,4.6
knn,signo_zodiacal_capricornio,14,0.5,0.44000000000000006,0.36025641025641025,0.6,0.444532279314888,0.45899999999999996,0.5216802262065421,6.0,7.2,2.8,4.0
knn,signo_zodiacal_capricornio,15,0.5,0.5,0.0,0.0,0.0,0.537,0.5595691759221171,0.0,0.0,10.0,10.0
knn,signo_zodiacal_capricornio,16,0.5,0.5,0.0,0.0,0.0,0.4119999999999999,0.515731115118112,0.0,0.0,10.0,10.0
knn,signo_zodiacal_capricornio,17,0.5,0.5,0.5280701754385965,0.26000000000000006,0.25537336226991403,0.48699999999999993,0.5190701128936424,2.6,2.6,7.4,7.4
knn,signo_zodiacal_capricornio,18,0.5,0.47000000000000003,0.3880701754385965,0.45999999999999996,0.3992958257713249,0.42400000000000004,0.47628905597326643,4.6,5.2,4.8,5.4
knn,signo_zodiacal_capricornio,19,0.5,0.49000000000000005,0.29473684210526313,0.5,0.3665621734587251,0.5039999999999999,0.5202837977296182,5.0,5.2,4.8,5.0
