modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_escorpio,1,0.5,0.5,0.5,1.0,0.6666666666666666,0.485,0.5458988648090816,10.0,10.0,0.0,0.0
knn,signo_zodiacal_escorpio,2,0.5,0.5,0.5907142857142856,0.32,0.35795093795093796,0.515,0.526342916113814,3.2,3.2,6.8,6.8
knn,signo_zodiacal_escorpio,3,0.5,0.49000000000000005,0.26666666666666666,0.04,0.06713286713286713,0.48600000000000004,0.5196558061821219,0.4,0.6,9.4,9.6
knn,signo_zodiacal_escorpio,4,0.5,0.51,0.2,0.04,0.06666666666666667,0.583,0.574111111111111,0.4,0.2,9.8,9.6
knn,signo_zodiacal_escorpio,5,0.5,0.5,0.3342424242424243,0.3,0.29295238095238096,0.5439999999999999,0.5387656038491951,3.0,3.0,7.0,7.0
knn,signo_zodiacal_escorpio,6,0.5,0.52,0.5111111111111111,1.0,0.6761904761904762,0.518,0.5286324786324786,10.0,9.6,0.4,0.0
knn,signo_zodiacal_escorpio,7,0.5,0.49000000000000005,0.2,0.06000000000000001,0.09047619047619046,0.5359999999999999,0.5345665153559891,0.6,0.8,9.2,9.4
knn,signo_zodiacal_escorpio,8,0.5,0.5,0.5,0.96,0.6564102564102564,0.43100000000000005,0.49849412558545686,9.6,9.6,0.4,0.4
knn,signo_zodiacal_escorpio,9,0.5,0.4800000000000001,0.17333333333333334,0.06000000000000001,0.0882051282051282,0.445,0.5044697528134061,0.6,1.0,9.0,9.4
knn,signo_zodiacal_escorpio,10,0.5,0.45999999999999996,0.43473684210526314,0.78,0.5460426929392447,0.46699999999999997,0.5121524966261808,7.8,8.6,1.4,2.2
knn,signo_zodiacal_escorpio,11,0.5,0.44000000000000006,0.43194444444444446,0.37999999999999995,0.38325621746674376,0.484,0.5127088394062078,3.8,5.0,5.0,6.2
knn,signo_zodiacal_escorpio,12,0.5,0.5,0.5,0.8400000000000001,0.6119658119658119,0.49000000000000005,0.5204127399947833,8.4,8.4,1.6,1.6
knn,signo_zodiacal_escorpio,13,0.5,0.5,0.0,0.0,0.0,0.5119999999999999,0.5246483289672146,0.0,0.0,10.0,10.0
knn,signo_zodiacal_escorpio,14,0.5,0.5,0.3722222222222222,0.3,0.3172524843577475,0.484,0.5457236842105264,3.0,3.0,7.0,7.0
knn,signo_zodiacal_escorpio,15,0.5,0.53,0.26,0.2,0.21575757575757573,0.541,0.5453352000596584,2.0,1.4,8.6,8.0
knn,signo_zodiacal_escorpio,16,0.5,0.49000000000000005,0.4125,0.5599999999999999,0.44779487179487176,0.442,0.4917093301435407,5.6,5.8,4.2,4.4
knn,signo_zodiacal_escorpio,17,0.5,0.55,0.35769230769230764,0.36,0.34901185770750986,0.564,0.541323478379206,3.6,2.6,7.4,6.4
knn,signo_zodiacal_escorpio,18,0.5,0.5,0.2,0.08,0.10833333333333332,0.564,0.5682693621308171,0.8,0.8,9.2,9.2
knn,signo_zodiacal_escorpio,19,0.5,0.5399999999999999,0.37142857142857144,0.16,0.20784313725490197,0.5599999999999999,0.6104750110570545,1.6,0.8,9.2,8.4
knn,signo_zodiacal_escorpio,20,0.5,0.5,0.3,0.04,0.0696969696969697,0.571,0.5616462234016414,0.4,0.4,9.6,9.6
knn,signo_zodiacal_escorpio,21,0.5,0.53,0.6222222222222222,0.5399999999999999,0.4921280473912053,0.605,0.6076969696969697,5.4,4.8,5.2,4.6
knn,signo_zodiacal_escorpio,22,0.5,0.5,0.4109774436090225,0.6399999999999999,0.4858526031102096,0.47800000000000004,0.5276889093019125,6.4,6.4,3.6,3.6
knn,signo_zodiacal_escorpio,23,0.5,0.52,0.5178137651821861,0.9199999999999999,0.6585064610551867,0.54,0.5402540967804126,9.2,8.8,1.2,0.8
knn,signo_zodiacal_escorpio,24,0.5,0.5,0.5,1.0,0.6666666666666666,0.518,0.517623368719344,10.0,10.0,0.0,0.0
knn,signo_zodiacal_escorpio,25,0.5,0.5,0.46571428571428575,0.16,0.223921568627451,0.41600000000000004,0.5045418709257719,1.6,1.6,8.4,8.4
knn,signo_zodiacal_escorpio,26,0.5,0.51,0.5052631578947369,1.0,0.6712643678160919,0.525,0.5651911150425082,10.0,9.8,0.2,0.0
knn,signo_zodiacal_escorpio,27,0.5,0.51,0.32,0.13999999999999999,0.18833333333333332,0.517,0.5457344877344877,1.4,1.2,8.8,8.6
knn,signo_zodiacal_escorpio,28,0.5,0.49000000000000005,0.4772619047619048,0.64,0.5249713423831072,0.497,0.539380759591286,6.4,6.6,3.4,3.6
knn,signo_zodiacal_escorpio,29,0.5,0.49000000000000005,0.47480519480519484,0.43999999999999995,0.4362842059900883,0.466,0.4918152958152958,4.4,4.6,5.4,5.6
knn,signo_zodiacal_escorpio,30,0.5,0.52,0.5786111111111112,0.45999999999999996,0.42952380952380953,0.48200000000000004,0.5319043441938179,4.6,4.2,5.8,5.4
knn,signo_zodiacal_escorpio,31,0.5,0.4800000000000001,0.2942857142857143,0.14,0.1807843137254902,0.433,0.4884897537962553,1.4,1.8,8.2,8.6
knn,signo_zodiacal_escorpio,32,0.5,0.51,0.2,0.02,0.03636363636363636,0.5410000000000001,0.5787598508302841,0.2,0.0,10.0,9.8
knn,signo_zodiacal_escorpio,33,0.5,0.48,0.4619047619047619,0.15999999999999998,0.2267345399698341,0.43800000000000006,0.5259883230804283,1.6,2.0,8.0,8.4
knn,signo_zodiacal_escorpio,34,0.5,0.45999999999999996,0.5083333333333334,0.6200000000000001,0.5189310689310689,0.46499999999999997,0.5173104887888169,6.2,7.0,3.0,3.8
knn,signo_zodiacal_escorpio,35,0.5,0.5700000000000001,0.6166666666666666,0.24000000000000005,0.3099321730900678,0.615,0.6309046333783176,2.4,1.0,9.0,7.6
knn,signo_zodiacal_escorpio,36,0.5,0.52,0.11111111111111112,0.2,0.14285714285714285,0.5,0.5332207602339182,2.0,1.6,8.4,8.0
knn,signo_zodiacal_escorpio,37,0.5,0.47000000000000003,0.34444444444444444,0.24000000000000005,0.2580770107085896,0.43599999999999994,0.4860317460317461,2.4,3.0,7.0,7.6
knn,signo_zodiacal_escorpio,38,0.5,0.5,0.0,0.0,0.0,0.5959999999999999,0.5932843987797548,0.0,0.0,10.0,10.0
knn,signo_zodiacal_escorpio,39,0.5,0.49000000000000005,0.18095238095238092,0.12000000000000002,0.14411764705882352,0.41999999999999993,0.47596606901870064,1.2,1.4,8.6,8.8
