modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_leo,1,0.5,0.44000000000000006,0.3423529411764706,0.21999999999999997,0.20006734006734006,0.39099999999999996,0.46924495731306876,2.2,3.4,6.6,7.8
knn,signo_zodiacal_leo,2,0.5,0.5,0.0,0.0,0.0,0.4539999999999999,0.4912289248419279,0.0,0.0,10.0,10.0
knn,signo_zodiacal_leo,3,0.5,0.42000000000000004,0.43502164502164503,0.34,0.355249299719888,0.446,0.5116611845327016,3.4,5.0,5.0,6.6
knn,signo_zodiacal_leo,4,0.5,0.55,0.275,0.22000000000000003,0.24444444444444446,0.49800000000000005,0.5296878560036454,2.2,1.2,8.8,7.8
knn,signo_zodiacal_leo,5,0.5,0.49000000000000005,0.2,0.24,0.20357142857142857,0.458,0.4945684554523564,2.4,2.6,7.4,7.6
knn,signo_zodiacal_leo,6,0.5,0.45,0.15454545454545454,0.08,0.09047619047619046,0.473,0.5336303696303697,0.8,1.8,8.2,9.2
knn,signo_zodiacal_leo,7,0.5,0.53,0.14285714285714285,0.1,0.11764705882352941,0.489,0.5263236500341764,1.0,0.4,9.6,9.0
knn,signo_zodiacal_leo,8,0.5,0.5,0.0,0.0,0.0,0.505,0.5501864597390913,0.0,0.0,10.0,10.0
knn,signo_zodiacal_leo,9,0.5,0.54,0.5392156862745098,0.48,0.40303030303030296,0.517,0.5519083169152827,4.8,4.0,6.0,5.2
knn,signo_zodiacal_leo,10,0.5,0.55,0.6433333333333333,0.3,0.3566886446886447,0.488,0.5604392618045869,3.0,2.0,8.0,7.0
knn,signo_zodiacal_leo,11,0.5,0.49000000000000005,0.46806722689075625,0.34,0.3554885201944026,0.525,0.5515359315606994,3.4,3.6,6.4,6.6
knn,signo_zodiacal_leo,12,0.5,0.45,0.27142857142857146,0.13999999999999999,0.17450980392156862,0.38099999999999995,0.46125575078516257,1.4,2.4,7.6,8.6
knn,signo_zodiacal_leo,13,0.5,0.49000000000000005,0.511812005503956,0.6599999999999999,0.5505136995155144,0.46499999999999997,0.49221669369502186,6.6,6.8,3.2,3.4
knn,signo_zodiacal_leo,14,0.5,0.47000000000000003,0.07272727272727272,0.08,0.07619047619047618,0.363,0.45176490691970567,0.8,1.4,8.6,9.2
knn,signo_zodiacal_leo,15,0.5,0.5,0.5,1.0,0.6666666666666666,0.39499999999999996,0.48810325948561245,10.0,10.0,0.0,0.0
knn,signo_zodiacal_leo,16,0.5,0.51,0.39249999999999996,0.62,0.4757948717948718,0.501,0.5327953216374268,6.2,6.0,4.0,3.8
knn,signo_zodiacal_leo,17,0.5,0.5,0.2,0.02,0.03636363636363636,0.5850000000000001,0.6043183297610542,0.2,0.2,9.8,9.8
knn,signo_zodiacal_leo,18,0.5,0.44000000000000006,0.4605144081924267,0.82,0.5870842356599477,0.372,0.45385199166158924,8.2,9.4,0.6,1.8
knn,signo_zodiacal_leo,19,0.5,0.49000000000000005,0.0,0.0,0.0,0.53,0.5424127966976264,0.0,0.2,9.8,10.0
knn,signo_zodiacal_leo,20,0.5,0.51,0.4,0.21999999999999997,0.2507159507159507,0.42600000000000005,0.4881074678675298,2.2,2.0,8.0,7.8
knn,signo_zodiacal_leo,21,0.5,0.5,0.49938080495356035,0.9,0.6416347381864622,0.525,0.5607353008188921,9.0,9.0,1.0,1.0
knn,signo_zodiacal_leo,22,0.5,0.48,0.3857142857142857,0.52,0.3954022988505747,0.513,0.549629377588356,5.2,5.6,4.4,4.8
knn,signo_zodiacal_leo,23,0.5,0.48,0.475,0.64,0.5089947089947089,0.48999999999999994,0.5081699346405228,6.4,6.8,3.2,3.6
knn,signo_zodiacal_leo,24,0.5,0.49000000000000005,0.5227272727272727,0.6,0.5183150183150184,0.5269999999999999,0.5322581587658987,6.0,6.2,3.8,4.0
knn,signo_zodiacal_leo,25,0.5,0.5199999999999999,0.5143540669856459,0.9199999999999999,0.6522167487684729,0.55,0.5383770924637797,9.2,8.8,1.2,0.8
knn,signo_zodiacal_leo,26,0.5,0.47000000000000003,0.38901960784313727,0.52,0.44122751322751325,0.517,0.5402201426024955,5.2,5.8,4.2,4.8
knn,signo_zodiacal_leo,27,0.5,0.45,0.450187969924812,0.6799999999999999,0.5188640973630831,0.514,0.5276779448621555,6.8,7.8,2.2,3.2
knn,signo_zodiacal_leo,28,0.5,0.48,0.49156223893066003,0.76,0.5865439460720767,0.512,0.5408020050125313,7.6,8.0,2.0,2.4
