modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_ofiuco,1,0.5,0.52,0.2833333333333333,0.36000000000000004,0.30259740259740264,0.5900000000000001,0.5757450980392157,3.6,3.2,6.8,6.4
knn,signo_zodiacal_ofiuco,2,0.5,0.43999999999999995,0.45911089942049693,0.6799999999999999,0.5416129712921317,0.4290000000000001,0.4800456457886798,6.8,8.0,2.0,3.2
knn,signo_zodiacal_ofiuco,3,0.5,0.51,0.2,0.02,0.03636363636363636,0.651,0.6432016012882886,0.2,0.0,10.0,9.8
knn,signo_zodiacal_ofiuco,4,0.5,0.51,0.2,0.02,0.03636363636363636,0.507,0.5564951364425049,0.2,0.0,10.0,9.8
knn,signo_zodiacal_ofiuco,5,0.5,0.5,0.0,0.0,0.0,0.53,0.545308673782358,0.0,0.0,10.0,10.0
knn,signo_zodiacal_ofiuco,6,0.5,0.49000000000000005,0.1,0.02,0.03333333333333333,0.514,0.5255764411027568,0.2,0.4,9.6,9.8
knn,signo_zodiacal_ofiuco,7,0.5,0.52,0.2,0.04,0.06666666666666667,0.514,0.5430426802299866,0.4,0.0,10.0,9.6
knn,signo_zodiacal_ofiuco,8,0.5,0.5,0.0,0.0,0.0,0.5109999999999999,0.5318588516746411,0.0,0.0,10.0,10.0
knn,signo_zodiacal_ofiuco,9,0.5,0.47000000000000003,0.06666666666666667,0.02,0.03076923076923077,0.433,0.5092980528243686,0.2,0.8,9.2,9.8
knn,signo_zodiacal_ofiuco,10,0.5,0.53,0.5176470588235295,0.9800000000000001,0.6768837803320562,0.5469999999999999,0.5649748882008944,9.8,9.2,0.8,0.2
knn,signo_zodiacal_ofiuco,11,0.5,0.5,0.5,1.0,0.6666666666666666,0.45,0.4957582417582417,10.0,10.0,0.0,0.0
knn,signo_zodiacal_ofiuco,12,0.5,0.45999999999999996,0.4714285714285714,0.9,0.6166666666666666,0.42000000000000004,0.48446859796550196,9.0,9.8,0.2,1.0
knn,signo_zodiacal_ofiuco,13,0.5,0.48,0.4779904306220096,0.8800000000000001,0.6141215106732347,0.44299999999999995,0.48682691405601625,8.8,9.2,0.8,1.2
knn,signo_zodiacal_ofiuco,14,0.5,0.57,0.6456259426847663,0.52,0.469433465085639,0.5740000000000001,0.6172638723505597,5.2,3.8,6.2,4.8
knn,signo_zodiacal_ofiuco,15,0.5,0.5000000000000001,0.41255060728744936,0.7,0.5159777254230028,0.547,0.548102949681897,7.0,7.0,3.0,3.0
knn,signo_zodiacal_ofiuco,16,0.5,0.5200000000000001,0.504313725490196,0.45999999999999996,0.39251178451178453,0.562,0.57796307167205,4.6,4.2,5.8,5.4
knn,signo_zodiacal_ofiuco,17,0.5,0.48,0.16666666666666666,0.04,0.0641025641025641,0.567,0.5578871140899004,0.4,0.8,9.2,9.6
knn,signo_zodiacal_ofiuco,18,0.5,0.55,0.5549650349650349,0.45999999999999996,0.48110420979986196,0.5569999999999999,0.5485098049525294,4.6,3.6,6.4,5.4
knn,signo_zodiacal_ofiuco,19,0.5,0.5599999999999999,0.5842317916002125,0.5800000000000001,0.543220252222067,0.5359999999999999,0.5450451887293992,5.8,4.6,5.4,4.2
knn,signo_zodiacal_ofiuco,20,0.5,0.54,0.5533333333333333,0.6,0.5152380952380952,0.5549999999999999,0.5425741626794258,6.0,5.2,4.8,4.0
