modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_piscis,1,0.5,0.47000000000000003,0.25588235294117645,0.38,0.30085470085470084,0.5459999999999999,0.5739589448219479,3.8,4.4,5.6,6.2
knn,signo_zodiacal_piscis,2,0.5,0.5,0.5,0.9400000000000001,0.6518518518518518,0.507,0.5304650842793258,9.4,9.4,0.6,0.6
knn,signo_zodiacal_piscis,3,0.5,0.51,0.541235441545039,0.7,0.5715780181804522,0.453,0.5031887338667524,7.0,6.8,3.2,3.0
knn,signo_zodiacal_piscis,4,0.5,0.48,0.0,0.0,0.0,0.517,0.5408187134502924,0.0,0.4,9.6,10.0
knn,signo_zodiacal_piscis,5,0.5,0.51,0.47333333333333333,0.2,0.2786813186813187,0.514,0.5183480665361471,2.0,1.8,8.2,8.0
knn,signo_zodiacal_piscis,6,0.5,0.52,0.5125,0.9800000000000001,0.6717948717948719,0.46699999999999997,0.5135655002891845,9.8,9.4,0.6,0.2
knn,signo_zodiacal_piscis,7,0.5,0.51,0.5076190476190476,0.42000000000000004,0.37105271199388845,0.488,0.5492226890756303,4.2,4.0,6.0,5.8
knn,signo_zodiacal_piscis,8,0.5,0.53,0.525,0.13999999999999999,0.18383838383838386,0.5959999999999999,0.6036486389427567,1.4,0.8,9.2,8.6
knn,signo_zodiacal_piscis,9,0.5,0.5,0.5,1.0,0.6666666666666666,0.6050000000000001,0.6012160302717579,10.0,10.0,0.0,0.0
knn,signo_zodiacal_piscis,10,0.5,0.51,0.4991704374057315,0.8,0.6100717318108622,0.49700000000000005,0.5335788679844408,8.0,7.8,2.2,2.0
knn,signo_zodiacal_piscis,11,0.5,0.53,0.5163742690058479,0.76,0.6068751338616407,0.496,0.5180875256494452,7.6,7.0,3.0,2.4
knn,signo_zodiacal_piscis,12,0.5,0.5,0.5369230769230768,0.62,0.5500334448160535,0.499,0.5315984191247349,6.2,6.2,3.8,3.8
knn,signo_zodiacal_piscis,13,0.5,0.55,0.5308823529411765,0.9800000000000001,0.6871794871794872,0.541,0.5590426556587548,9.8,8.8,1.2,0.2
knn,signo_zodiacal_piscis,14,0.5,0.45999999999999996,0.3518796992481203,0.42000000000000004,0.3691765525436925,0.461,0.4996046365914787,4.2,5.0,5.0,5.8
knn,signo_zodiacal_piscis,15,0.5,0.49000000000000005,0.4947368421052631,0.9399999999999998,0.6481116584564861,0.483,0.5225356037151703,9.4,9.6,0.4,0.6
knn,signo_zodiacal_piscis,16,0.5,0.51,0.11111111111111112,0.1,0.10526315789473684,0.5399999999999999,0.5415653859384509,1.0,0.8,9.2,9.0
knn,signo_zodiacal_piscis,17,0.5,0.51,0.2,0.02,0.03636363636363636,0.5120000000000001,0.5463906495980799,0.2,0.0,10.0,9.8
knn,signo_zodiacal_piscis,18,0.5,0.51,0.5214035087719299,0.78,0.5942068965517241,0.395,0.5065399698340876,7.8,7.6,2.4,2.2
knn,signo_zodiacal_piscis,19,0.5,0.45999999999999996,0.375,0.4,0.3517279821627648,0.42300000000000004,0.4870847953216374,4.0,4.8,5.2,6.0
knn,signo_zodiacal_piscis,20,0.5,0.47999999999999987,0.4769230769230769,0.2,0.23760587238848108,0.5069999999999999,0.5601709168024958,2.0,2.4,7.6,8.0
knn,signo_zodiacal_piscis,21,0.5,0.47000000000000003,0.3648567119155355,0.52,0.40178372352285396,0.437,0.4884027149321267,5.2,5.8,4.2,4.8
knn,signo_zodiacal_piscis,22,0.5,0.5,0.32,0.2,0.23714285714285716,0.499,0.509859649122807,2.0,2.0,8.0,8.0
knn,signo_zodiacal_piscis,23,0.5,0.55,0.67,0.16,0.23844155844155845,0.549,0.6099429824561403,1.6,0.6,9.4,8.4
knn,signo_zodiacal_piscis,24,0.5,0.48,0.475,0.18,0.19533799533799534,0.461,0.5148859649122807,1.8,2.2,7.8,8.2
knn,signo_zodiacal_piscis,25,0.5,0.5,0.0,0.0,0.0,0.5149999999999999,0.5222280248131641,0.0,0.0,10.0,10.0
knn,signo_zodiacal_piscis,26,0.5,0.53,0.4,0.06000000000000001,0.10303030303030303,0.5800000000000001,0.5983235492577598,0.6,0.0,10.0,9.4
knn,signo_zodiacal_piscis,27,0.5,0.52,0.5111111111111111,0.9800000000000001,0.6714285714285714,0.43699999999999994,0.5010886731087969,9.8,9.4,0.6,0.2
knn,signo_zodiacal_piscis,28,0.5,0.5,0.5160714285714285,0.38,0.4042609351432881,0.522,0.546967449818843,3.8,3.8,6.2,6.2
knn,signo_zodiacal_piscis,29,0.5,0.49000000000000005,0.39159663865546224,0.62,0.46582633053221284,0.43099999999999994,0.4777032551212118,6.2,6.4,3.6,3.8
knn,signo_zodiacal_piscis,30,0.5,0.5,0.38131313131313127,0.34,0.3533834586466165,0.47800000000000004,0.5124603934077617,3.4,3.4,6.6,6.6
knn,signo_zodiacal_piscis,31,0.5,0.52,0.4,0.04,0.07272727272727272,0.549,0.5574036533641797,0.4,0.0,10.0,9.6
knn,signo_zodiacal_piscis,32,0.5,0.52,0.5433333333333333,0.27999999999999997,0.3090779220779221,0.55,0.5778063340168604,2.8,2.4,7.6,7.2
knn,signo_zodiacal_piscis,33,0.5,0.5,0.5,1.0,0.6666666666666666,0.472,0.5184146423751688,10.0,10.0,0.0,0.0
knn,signo_zodiacal_piscis,34,0.5,0.5,0.5,1.0,0.6666666666666666,0.526,0.5402373357636515,10.0,10.0,0.0,0.0
knn,signo_zodiacal_piscis,35,0.5,0.49000000000000005,0.49333333333333335,0.9400000000000001,0.6453333333333333,0.43200000000000005,0.47984257022647114,9.4,9.6,0.4,0.6
knn,signo_zodiacal_piscis,36,0.5,0.5,0.5006191950464396,0.96,0.657471264367816,0.592,0.5888272532421139,9.6,9.6,0.4,0.4
knn,signo_zodiacal_piscis,37,0.5,0.43,0.39904761904761904,0.43999999999999995,0.3957936507936508,0.42699999999999994,0.4800821751348067,4.4,5.8,4.2,5.6
knn,signo_zodiacal_piscis,38,0.5,0.47000000000000003,0.45049441786283884,0.45999999999999996,0.43064586754241924,0.476,0.5238464225832647,4.6,5.2,4.8,5.4
knn,signo_zodiacal_piscis,39,0.5,0.5,0.5,1.0,0.6666666666666666,0.557,0.5717636341986188,10.0,10.0,0.0,0.0
knn,signo_zodiacal_piscis,40,0.5,0.5,0.5,1.0,0.6666666666666666,0.41500000000000004,0.49176334217897677,10.0,10.0,0.0,0.0
knn,signo_zodiacal_piscis,41,0.5,0.51,0.43576248313090415,0.38,0.3407488563410602,0.438,0.5017117378665368,3.8,3.6,6.4,6.2
