modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_sagitario,1,0.5,0.51,0.45,0.16,0.2292124542124542,0.518,0.5329308565531476,1.6,1.4,8.6,8.4
knn,signo_zodiacal_sagitario,2,0.5,0.45999999999999996,0.3055555555555555,0.24,0.23076923076923075,0.522,0.5434924074893115,2.4,3.2,6.8,7.6
knn,signo_zodiacal_sagitario,3,0.5,0.5,0.12,0.06,0.08,0.525,0.5558667792475842,0.6,0.6,9.4,9.4
knn,signo_zodiacal_sagitario,4,0.5,0.51,0.30583333333333335,0.4800000000000001,0.37353846153846154,0.569,0.5892247474747474,4.8,4.6,5.4,5.2
knn,signo_zodiacal_sagitario,5,0.5,0.4600000000000001,0.22000000000000003,0.22000000000000003,0.20307692307692307,0.47000000000000003,0.5160582137161085,2.2,3.0,7.0,7.8
knn,signo_zodiacal_sagitario,6,0.5,0.45999999999999996,0.2511111111111111,0.3,0.2561904761904762,0.5640000000000002,0.5854043026117328,3.0,3.8,6.2,7.0
knn,signo_zodiacal_sagitario,7,0.5,0.49000000000000005,0.0,0.0,0.0,0.485,0.530282077743378,0.0,0.2,9.8,10.0
knn,signo_zodiacal_sagitario,8,0.5,0.5,0.0,0.0,0.0,0.617,0.6130999066293185,0.0,0.0,10.0,10.0
knn,signo_zodiacal_sagitario,9,0.5,0.52,0.5509090909090909,0.68,0.574981684981685,0.5090000000000001,0.5451923011628894,6.8,6.4,3.6,3.2
knn,signo_zodiacal_sagitario,10,0.5,0.5,0.1,0.02,0.03333333333333333,0.531,0.5473076630971367,0.2,0.2,9.8,9.8
knn,signo_zodiacal_sagitario,11,0.5,0.53,0.4176470588235294,0.32,0.3195767195767195,0.532,0.5415036119711043,3.2,2.6,7.4,6.8
knn,signo_zodiacal_sagitario,12,0.5,0.45,0.26666666666666666,0.1,0.10909090909090909,0.394,0.4814561668122039,1.0,2.0,8.0,9.0
knn,signo_zodiacal_sagitario,13,0.5,0.5,0.1925,0.26,0.21846153846153848,0.5109999999999999,0.5250211359847582,2.6,2.6,7.4,7.4
knn,signo_zodiacal_sagitario,14,0.5,0.49000000000000005,0.48888888888888893,0.26000000000000006,0.258982683982684,0.55,0.580026581605529,2.6,2.8,7.2,7.4
