modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_tauro,1,0.5,0.5,0.0,0.0,0.0,0.512,0.5393969699890752,0.0,0.0,10.0,10.0
knn,signo_zodiacal_tauro,2,0.5,0.5700000000000001,0.5677777777777777,0.6000000000000001,0.5634385964912282,0.586,0.5988130936830627,6.0,4.6,5.4,4.0
knn,signo_zodiacal_tauro,3,0.5,0.5199999999999999,0.3841880341880342,0.38,0.37296502124877406,0.625,0.625569115095431,3.8,3.4,6.6,6.2
knn,signo_zodiacal_tauro,4,0.5,0.51,0.3,0.04,0.0696969696969697,0.52,0.5431241565452092,0.4,0.2,9.8,9.6
knn,signo_zodiacal_tauro,5,0.5,0.5,0.49791144527986636,0.82,0.6083484573502721,0.536,0.5684548229548229,8.2,8.2,1.8,1.8
knn,signo_zodiacal_tauro,6,0.5,0.42000000000000004,0.4090801742117532,0.54,0.4395395708739037,0.43900000000000006,0.5369649911492017,5.4,7.0,3.0,4.6
knn,signo_zodiacal_tauro,7,0.5,0.52,0.4228571428571429,0.24,0.29320261437908496,0.548,0.5582201090962702,2.4,2.0,8.0,7.6
knn,signo_zodiacal_tauro,8,0.5,0.55,0.539080733507978,0.9399999999999998,0.6806596701649175,0.5389999999999999,0.5664772631049722,9.4,8.4,1.6,0.6
knn,signo_zodiacal_tauro,9,0.5,0.5,0.5010256410256411,0.76,0.5956438923395445,0.49800000000000005,0.5203844586785763,7.6,7.6,2.4,2.4
knn,signo_zodiacal_tauro,10,0.5,0.54,0.5286446886446886,0.52,0.47354865424430637,0.577,0.5841776840290771,5.2,4.4,5.6,4.8
knn,signo_zodiacal_tauro,11,0.5,0.53,0.5126923076923077,0.29999999999999993,0.32254721124286345,0.567,0.553472612526792,3.0,2.4,7.6,7.0
knn,signo_zodiacal_tauro,12,0.5,0.5,0.4,0.04,0.07272727272727272,0.609,0.6154183006535947,0.4,0.4,9.6,9.6
knn,signo_zodiacal_tauro,13,0.5,0.48999999999999994,0.32285714285714284,0.2,0.24598039215686276,0.48100000000000004,0.5304775502275503,2.0,2.2,7.8,8.0
knn,signo_zodiacal_tauro,14,0.5,0.5,0.0,0.0,0.0,0.5589999999999999,0.5864595311808934,0.0,0.0,10.0,10.0
knn,signo_zodiacal_tauro,15,0.5,0.47000000000000003,0.283625730994152,0.52,0.3669950738916256,0.41200000000000003,0.4839564061669324,5.2,5.8,4.2,4.8
knn,signo_zodiacal_tauro,16,0.5,0.54,0.5254995778215592,0.9,0.6568144499178982,0.49799999999999994,0.5203360774931982,9.0,8.2,1.8,1.0
knn,signo_zodiacal_tauro,17,0.5,0.47000000000000003,0.3480701754385965,0.4,0.33624049513704685,0.44300000000000006,0.5239433198380568,4.0,4.6,5.4,6.0
knn,signo_zodiacal_tauro,18,0.5,0.48,0.3942857142857143,0.42000000000000004,0.391577964519141,0.44400000000000006,0.49743212197159564,4.2,4.6,5.4,5.8
knn,signo_zodiacal_tauro,19,0.5,0.43,0.05,0.02,0.02857142857142857,0.402,0.47248314636859534,0.2,1.6,8.4,9.8
knn,signo_zodiacal_tauro,20,0.5,0.49000000000000005,0.44333333333333336,0.5599999999999999,0.4726060606060606,0.49899999999999994,0.5312271364686225,5.6,5.8,4.2,4.4
knn,signo_zodiacal_tauro,21,0.5,0.55,0.27179487179487183,0.26,0.25652173913043474,0.591,0.5771206636500754,2.6,1.6,8.4,7.4
knn,signo_zodiacal_tauro,22,0.5,0.4699999999999999,0.48421052631578937,0.82,0.5946360153256705,0.529,0.5666845053810998,8.2,8.8,1.2,1.8
knn,signo_zodiacal_tauro,23,0.5,0.5,0.5802631578947368,0.6799999999999999,0.5076280041797283,0.499,0.5362636654710958,6.8,6.8,3.2,3.2
knn,signo_zodiacal_tauro,24,0.5,0.49000000000000005,0.4666666666666666,0.6599999999999999,0.5101343101343101,0.41600000000000004,0.5110894660894661,6.6,6.8,3.2,3.4
knn,signo_zodiacal_tauro,25,0.5,0.49000000000000005,0.49682539682539684,0.6799999999999999,0.5469298245614035,0.45899999999999996,0.5174940906187037,6.8,7.0,3.0,3.2
knn,signo_zodiacal_tauro,26,0.5,0.47000000000000003,0.4780701754385965,0.8800000000000001,0.6150470219435736,0.394,0.48549622926093516,8.8,9.4,0.6,1.2
knn,signo_zodiacal_tauro,27,0.5,0.45,0.075,0.06,0.06666666666666667,0.453,0.5204891640866872,0.6,1.6,8.4,9.4
knn,signo_zodiacal_tauro,28,0.5,0.45999999999999996,0.3579271708683473,0.5599999999999999,0.4269106753812636,0.4699999999999999,0.5204158435303946,5.6,6.4,3.6,4.4
knn,signo_zodiacal_tauro,29,0.5,0.51,0.5052631578947369,1.0,0.6712643678160919,0.55,0.5596525627794977,10.0,9.8,0.2,0.0
knn,signo_zodiacal_tauro,30,0.5,0.49000000000000005,0.21411764705882352,0.22000000000000003,0.1985185185185185,0.42700000000000005,0.5158433784997253,2.2,2.4,7.6,7.8
knn,signo_zodiacal_tauro,31,0.5,0.47000000000000003,0.4842105263157895,0.82,0.5946360153256706,0.43900000000000006,0.5098187777135145,8.2,8.8,1.2,1.8
knn,signo_zodiacal_tauro,32,0.5,0.54,0.611111111111111,0.4,0.43299425033171157,0.522,0.5431629072681703,4.0,3.2,6.8,6.0
knn,signo_zodiacal_tauro,33,0.5,0.5,0.5,1.0,0.6666666666666666,0.542,0.5406966717493034,10.0,10.0,0.0,0.0
knn,signo_zodiacal_tauro,34,0.5,0.51,0.2,0.02,0.03636363636363636,0.5239999999999999,0.5179685130830641,0.2,0.0,10.0,9.8
knn,signo_zodiacal_tauro,35,0.5,0.51,0.2,0.02,0.03636363636363636,0.45999999999999996,0.5151303258145363,0.2,0.0,10.0,9.8
knn,signo_zodiacal_tauro,36,0.5,0.5700000000000001,0.49400424137266236,0.52,0.48091542464062087,0.5690000000000001,0.5850525408543984,5.2,3.8,6.2,4.8
knn,signo_zodiacal_tauro,37,0.5,0.49000000000000005,0.5927166400850611,0.68,0.522406329302881,0.49700000000000005,0.5283690855927697,6.8,7.0,3.0,3.2
knn,signo_zodiacal_tauro,38,0.5,0.54,0.5458333333333333,0.86,0.6384615384615383,0.46699999999999997,0.5003507666224385,8.6,7.8,2.2,1.4
knn,signo_zodiacal_tauro,39,0.5,0.5399999999999999,0.4766666666666667,0.48,0.47164912280701754,0.599,0.5947265448689597,4.8,4.0,6.0,5.2
knn,signo_zodiacal_tauro,40,0.5,0.48,0.2,0.08,0.10833333333333332,0.5039999999999999,0.5152703436913963,0.8,1.2,8.8,9.2
knn,signo_zodiacal_tauro,41,0.5,0.49000000000000005,0.38,0.62,0.44857142857142857,0.552,0.5504783565247962,6.2,6.4,3.6,3.8
knn,signo_zodiacal_tauro,42,0.5,0.45,0.28555555555555556,0.16,0.19688451898978213,0.505,0.5052880050805747,1.6,2.6,7.4,8.4
knn,signo_zodiacal_tauro,43,0.5,0.49000000000000005,0.21911764705882356,0.26,0.22962962962962963,0.49000000000000005,0.522704400518642,2.6,2.8,7.2,7.4
