modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_virgo,1,0.5,0.5,0.5014035087719299,0.9400000000000001,0.6521379310344828,0.475,0.5013458646616542,9.4,9.4,0.6,0.6
knn,signo_zodiacal_virgo,2,0.5,0.45,0.4447368421052632,0.54,0.44191570881226055,0.48,0.5201746031746032,5.4,6.4,3.6,4.6
knn,signo_zodiacal_virgo,3,0.5,0.5,0.0,0.0,0.0,0.5289999999999999,0.5441296510507037,0.0,0.0,10.0,10.0
knn,signo_zodiacal_virgo,4,0.5,0.49000000000000005,0.0,0.0,0.0,0.383,0.47109440267335,0.0,0.2,9.8,10.0
knn,signo_zodiacal_virgo,5,0.5,0.5,0.0,0.0,0.0,0.514,0.5838640719445672,0.0,0.0,10.0,10.0
knn,signo_zodiacal_virgo,6,0.5,0.5399999999999999,0.4539393939393939,0.5599999999999999,0.4746666666666666,0.5509999999999999,0.5607296650717704,5.6,4.8,5.2,4.4
knn,signo_zodiacal_virgo,7,0.5,0.5,0.0,0.0,0.0,0.49000000000000005,0.5190172735760972,0.0,0.0,10.0,10.0
knn,signo_zodiacal_virgo,8,0.5,0.4800000000000001,0.48950808393532846,0.7999999999999999,0.6050903119868637,0.499,0.5320607287449393,8.0,8.4,1.6,2.0
knn,signo_zodiacal_virgo,9,0.5,0.44000000000000006,0.5422368421052631,0.54,0.4448605417570935,0.449,0.5086960784313725,5.4,6.6,3.4,4.6
knn,signo_zodiacal_virgo,10,0.5,0.5,0.5,0.9400000000000001,0.6518518518518518,0.48600000000000004,0.5218412206988059,9.4,9.4,0.6,0.6
knn,signo_zodiacal_virgo,11,0.5,0.54,0.55,0.12000000000000002,0.18874458874458874,0.639,0.6313401686033264,1.2,0.4,9.6,8.8
knn,signo_zodiacal_virgo,12,0.5,0.53,0.48,0.43999999999999995,0.4264102564102564,0.508,0.5589999999999999,4.4,3.8,6.2,5.6
knn,signo_zodiacal_virgo,13,0.5,0.4800000000000001,0.36659340659340656,0.27999999999999997,0.30513213981244675,0.479,0.5201593406593407,2.8,3.2,6.8,7.2
knn,signo_zodiacal_virgo,14,0.5,0.53,0.6,0.06000000000000001,0.10909090909090909,0.5509999999999999,0.5773541809068125,0.6,0.0,10.0,9.4
knn,signo_zodiacal_virgo,15,0.5,0.51,0.2,0.02,0.03636363636363636,0.477,0.5192244738405728,0.2,0.0,10.0,9.8
knn,signo_zodiacal_virgo,16,0.5,0.4800000000000001,0.4779904306220096,0.8800000000000001,0.6141215106732347,0.44299999999999995,0.5151271795799659,8.8,9.2,0.8,1.2
knn,signo_zodiacal_virgo,17,0.5,0.49000000000000005,0.493547471620227,0.86,0.6254751940269181,0.5690000000000001,0.5772178183014096,8.6,8.8,1.2,1.4
knn,signo_zodiacal_virgo,18,0.5,0.45999999999999996,0.3709090909090909,0.62,0.45790476190476187,0.517,0.5670748104664514,6.2,7.0,3.0,3.8
knn,signo_zodiacal_virgo,19,0.5,0.5,0.0,0.0,0.0,0.5730000000000001,0.5773222450064555,0.0,0.0,10.0,10.0
knn,signo_zodiacal_virgo,20,0.5,0.48,0.4894736842105263,0.86,0.6192715330646364,0.501,0.5494481658692185,8.6,9.0,1.0,1.4
knn,signo_zodiacal_virgo,21,0.5,0.49000000000000005,0.4393137254901961,0.52,0.43225071225071215,0.504,0.5569911789277114,5.2,5.4,4.6,4.8
knn,signo_zodiacal_virgo,22,0.5,0.45,0.46616541353383456,0.82,0.5908045977011495,0.43599999999999994,0.5018796992481203,8.2,9.2,0.8,1.8
knn,signo_zodiacal_virgo,23,0.5,0.51,0.5057142857142857,0.32,0.35725490196078435,0.505,0.5450333587980647,3.2,3.0,7.0,6.8
knn,signo_zodiacal_virgo,24,0.5,0.43,0.2692307692307693,0.42000000000000004,0.32463768115942027,0.44800000000000006,0.5024661011503118,4.2,5.6,4.4,5.8
