,pos_rate_bootstrap,pos_rate_bootstrap,cv_accuracy,cv_accuracy,cv_precision,cv_precision,cv_recall,cv_recall,cv_f1,cv_f1,cv_roc_auc,cv_roc_auc,cv_pr_auc,cv_pr_auc,cv_tp_mean,cv_tp_mean,cv_fp_mean,cv_fp_mean,cv_tn_mean,cv_tn_mean,cv_fn_mean,cv_fn_mean
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
signo,,,,,,,,,,,,,,,,,,,,,,
signo_zodiacal_acuario,0.5,0.0,0.5019,0.029643675463578725,0.36823495024239605,0.18055193279682075,0.44648000000000004,0.34640959689020634,0.3574428167859795,0.23603792627454373,0.502772,0.05544073742956049,0.5350759947666712,0.03501248692564173,4.4648,3.4640959689020634,4.4268,3.4106049628218242,5.5732,3.4106049628218242,5.5352,3.464095968902063
signo_zodiacal_aries,0.5,0.0,0.50044,0.0313140149944101,0.373991986627064,0.17732810323923098,0.45112,0.34093286147284796,0.3616039630522245,0.22926480608019542,0.49963,0.05752919534143745,0.5331727924327134,0.03532335187521215,4.5112,3.4093286147284783,4.5024,3.3968148230193207,5.4976,3.3968148230193207,5.4888,3.409328614728478
signo_zodiacal_cancer,0.5,0.0,0.50304,0.03056512479456635,0.3523342196743745,0.18876115320957162,0.401,0.3366982795663291,0.3275676265655929,0.231709457778112,0.506108,0.059218426017244995,0.5383620397767007,0.03818451537431971,4.01,3.366982795663292,3.9492,3.38300292307812,6.050800000000001,3.383002923078119,5.99,3.366982795663292
signo_zodiacal_capricornio,0.5,0.0,0.50204,0.030113985193069636,0.3486287637663334,0.1851599582527127,0.39736,0.3342437256498207,0.3244734491805194,0.2281489514393183,0.49797800000000003,0.059539696564005685,0.5333377288918512,0.03712259462600923,3.9736,3.3424372564982043,3.9328000000000003,3.355819901965665,6.0672,3.355819901965665,6.0264,3.3424372564982043
signo_zodiacal_escorpio,0.5,0.0,0.50062,0.030979591187429854,0.34669000080586765,0.18983508632269577,0.38684,0.3308899980077414,0.3188317537147639,0.2286673278318951,0.502632,0.06082647693721202,0.5350951582897667,0.03858087044327221,3.8684000000000003,3.308899980077413,3.856,3.3106229699103142,6.144,3.3106229699103142,6.131600000000001,3.3088999800774133
signo_zodiacal_geminis,0.5,0.0,0.5000800000000001,0.030676957989719346,0.3515286486097322,0.1883869353727951,0.41744,0.3371717900893611,0.3375566921569049,0.2319920384004657,0.500202,0.057391434461067425,0.5345667417262819,0.03643036929619673,4.1743999999999994,3.371717900893609,4.1728000000000005,3.363945960453241,5.8271999999999995,3.363945960453241,5.8256000000000006,3.3717179008936093
signo_zodiacal_leo,0.5,0.0,0.49934,0.029825215623259925,0.34477676495674947,0.18663471376406116,0.4078,0.3362518261380335,0.32950443842631466,0.23250518579407678,0.49526400000000004,0.05765704617779074,0.5313613443120347,0.035457238888965244,4.078,3.362518261380334,4.0912,3.328699903279384,5.9088,3.328699903279385,5.922,3.362518261380335
signo_zodiacal_libra,0.5,0.0,0.49960000000000004,0.02990700348940747,0.34594672615997696,0.18227560186123923,0.4018,0.32885414715371974,0.3275623878265884,0.22538783534453938,0.502718,0.05701002334259343,0.5343433405466222,0.0356212656468929,4.018,3.288541471537198,4.026,3.3189146401764464,5.974,3.3189146401764464,5.982,3.2885414715371977
signo_zodiacal_ofiuco,0.5,0.0,0.50102,0.031156074881217105,0.35160181491195425,0.18741920921308558,0.39768000000000003,0.33330947783708775,0.3257529994196913,0.22953464593548953,0.50146,0.05773455601211316,0.5351318104276185,0.03666645869566588,3.9768000000000003,3.3330947783708775,3.9564,3.3523029263208968,6.0436000000000005,3.3523029263208968,6.0232,3.3330947783708775
signo_zodiacal_piscis,0.5,0.0,0.5015200000000001,0.030990489199780053,0.376233021740901,0.17218663328249498,0.44260000000000005,0.34238413191556516,0.3570077485168685,0.2289255611891276,0.49904000000000004,0.05993585749806252,0.5348155042240181,0.03697568990999241,4.426,3.423841319155652,4.3956,3.4311873649608438,5.6044,3.4311873649608438,5.574,3.423841319155652
signo_zodiacal_sagitario,0.5,0.0,0.49906,0.029185956213222845,0.33360192565432506,0.1880737410441567,0.39124000000000003,0.3362710496573789,0.31675458404104406,0.23330789493084347,0.500958,0.055868944090860156,0.534011670029317,0.03440585150429217,3.9124,3.362710496573788,3.9312,3.3621354031237165,6.0688,3.3621354031237156,6.0876,3.362710496573789
signo_zodiacal_tauro,0.5,0.0,0.49854000000000004,0.03033659535999504,0.3579133232402273,0.17892890204933481,0.40732,0.3201628117881655,0.3340673610258924,0.21988530958654548,0.502596,0.05921237196725002,0.5358091363041844,0.037602475814029146,4.0732,3.2016281178816537,4.102399999999999,3.208517322193167,5.897600000000001,3.2085173221931673,5.9268,3.2016281178816537
signo_zodiacal_virgo,0.5,0.0,0.50058,0.03151904981121741,0.3492140288160412,0.1863704988783647,0.3922,0.31980824665611507,0.32414770203405624,0.22435547969327632,0.503408,0.0557662019017711,0.5364102889989267,0.0344551077970624,3.922,3.1980824665611527,3.9104,3.2232080261689466,6.089600000000001,3.2232080261689475,6.078,3.198082466561152
