modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_acuario,1,0.5,0.44000000000000006,0.43449883449883453,0.42000000000000004,0.42108350586611454,0.45999999999999996,0.5479027716349697,4.2,5.4,4.6,5.8
lr,signo_zodiacal_acuario,2,0.5,0.48999999999999994,0.48484848484848475,0.4800000000000001,0.4806182121971596,0.4800000000000001,0.5898680480166547,4.8,5.0,5.0,5.2
lr,signo_zodiacal_acuario,3,0.5,0.4,0.3658119658119658,0.38,0.36788421977209157,0.356,0.4729607271813154,3.8,5.8,4.2,6.2
lr,signo_zodiacal_acuario,4,0.5,0.5199999999999999,0.5264790764790764,0.6,0.5582934609250398,0.47000000000000003,0.5505874021918913,6.0,5.6,4.4,4.0
lr,signo_zodiacal_acuario,5,0.5,0.47000000000000003,0.47478632478632476,0.56,0.5118785105055128,0.49400000000000005,0.568086450099608,5.6,6.2,3.8,4.4
lr,signo_zodiacal_acuario,6,0.5,0.58,0.5828282828282828,0.5800000000000001,0.5791144527986632,0.552,0.6026016654484148,5.8,4.2,5.8,4.2
lr,signo_zodiacal_acuario,7,0.5,0.42000000000000004,0.40601398601398603,0.36,0.36790890269151133,0.41800000000000004,0.5087633759429425,3.6,5.2,4.8,6.4
lr,signo_zodiacal_acuario,8,0.5,0.53,0.5356410256410256,0.54,0.5320245937637242,0.48,0.5614047525402015,5.4,4.8,5.2,4.6
lr,signo_zodiacal_acuario,9,0.5,0.51,0.5230952380952381,0.54,0.520015135878913,0.40800000000000003,0.5376348590350137,5.4,5.2,4.8,4.6
lr,signo_zodiacal_acuario,10,0.5,0.44000000000000006,0.43440115440115434,0.45999999999999996,0.4390894884269497,0.4720000000000001,0.5637389195771549,4.6,5.8,4.2,5.4
lr,signo_zodiacal_acuario,11,0.5,0.51,0.5132478632478632,0.5,0.49817453713334725,0.54,0.597148426736662,5.0,4.8,5.2,5.0
lr,signo_zodiacal_acuario,12,0.5,0.49000000000000005,0.4878510378510378,0.5199999999999999,0.4975905236236371,0.522,0.5540377585950341,5.2,5.4,4.6,4.8
lr,signo_zodiacal_acuario,13,0.5,0.5,0.5072727272727272,0.5199999999999999,0.5133333333333333,0.47000000000000003,0.5796980741996223,5.2,5.2,4.8,4.8
lr,signo_zodiacal_acuario,14,0.5,0.5,0.46507936507936504,0.42000000000000004,0.42419091847265217,0.502,0.5369723974855554,4.2,4.2,5.8,5.8
lr,signo_zodiacal_acuario,15,0.5,0.54,0.545,0.43999999999999995,0.4838888888888889,0.484,0.5828265998707174,4.4,3.6,6.4,5.6
lr,signo_zodiacal_acuario,16,0.5,0.44000000000000006,0.44619658119658123,0.44000000000000006,0.4396694635138571,0.43,0.5058633984694356,4.4,5.6,4.4,5.6
lr,signo_zodiacal_acuario,17,0.5,0.51,0.477397504456328,0.5599999999999999,0.5069047619047619,0.40199999999999997,0.4732869193929566,5.6,5.4,4.6,4.4
lr,signo_zodiacal_acuario,18,0.5,0.5900000000000001,0.595,0.58,0.5846996278575226,0.6,0.6510815563005965,5.8,4.0,6.0,4.2
lr,signo_zodiacal_acuario,19,0.5,0.53,0.5514102564102564,0.6,0.5547971014492754,0.511,0.5833827081930798,6.0,5.4,4.6,4.0
lr,signo_zodiacal_acuario,20,0.5,0.4600000000000001,0.4342857142857143,0.38,0.4030065359477124,0.45299999999999996,0.5266291039541814,3.8,4.6,5.4,6.2
lr,signo_zodiacal_acuario,21,0.5,0.4600000000000001,0.45272727272727276,0.4600000000000001,0.44770562770562766,0.47000000000000003,0.5536142564865474,4.6,5.4,4.6,5.4
lr,signo_zodiacal_acuario,22,0.5,0.51,0.5089860139860141,0.48,0.4810351966873706,0.514,0.592663262605987,4.8,4.6,5.4,5.2
lr,signo_zodiacal_acuario,23,0.5,0.5,0.49445054945054945,0.48,0.48251776072747943,0.508,0.5762088440455313,4.8,4.8,5.2,5.2
lr,signo_zodiacal_acuario,24,0.5,0.5,0.4916666666666667,0.45999999999999996,0.4717171717171717,0.492,0.5535455841028597,4.6,4.6,5.4,5.4
lr,signo_zodiacal_acuario,25,0.5,0.53,0.5966666666666667,0.48,0.49958041958041954,0.596,0.6290285345889062,4.8,4.2,5.8,5.2
lr,signo_zodiacal_acuario,26,0.5,0.45999999999999996,0.4540909090909091,0.45999999999999996,0.455019366598314,0.462,0.5397468899349704,4.6,5.4,4.6,5.4
lr,signo_zodiacal_acuario,27,0.5,0.5000000000000001,0.49757575757575767,0.6,0.5417835497835497,0.5000000000000001,0.5458429033986308,6.0,6.0,4.0,4.0
lr,signo_zodiacal_acuario,28,0.5,0.55,0.5490909090909091,0.5799999999999998,0.5638095238095238,0.5820000000000001,0.6045533420827538,5.8,4.8,5.2,4.2
lr,signo_zodiacal_acuario,29,0.5,0.47000000000000003,0.4694444444444444,0.45999999999999996,0.46283891547049444,0.44399999999999995,0.5386560302442656,4.6,5.2,4.8,5.4
lr,signo_zodiacal_acuario,30,0.5,0.4800000000000001,0.49480519480519475,0.5199999999999999,0.5022176653755601,0.48199999999999993,0.5768509074344987,5.2,5.6,4.4,4.8
lr,signo_zodiacal_acuario,31,0.5,0.44000000000000006,0.4447979797979798,0.42000000000000004,0.43055973266499575,0.41,0.4993835156071998,4.2,5.4,4.6,5.8
lr,signo_zodiacal_acuario,32,0.5,0.51,0.5038961038961038,0.52,0.5082505729564553,0.5640000000000001,0.6117091580590033,5.2,5.0,5.0,4.8
lr,signo_zodiacal_acuario,33,0.5,0.58,0.5844444444444444,0.52,0.546578947368421,0.5559999999999999,0.6119957542457544,5.2,3.6,6.4,4.8
lr,signo_zodiacal_acuario,34,0.5,0.4600000000000001,0.4625396825396826,0.44000000000000006,0.4447402820777434,0.466,0.5588978819598014,4.4,5.2,4.8,5.6
lr,signo_zodiacal_acuario,35,0.5,0.33999999999999997,0.3161172161172161,0.36000000000000004,0.33099666744168027,0.357,0.46917648914552945,3.6,6.8,3.2,6.4
lr,signo_zodiacal_acuario,36,0.5,0.53,0.5283613445378151,0.64,0.5683501683501684,0.4879999999999999,0.5463380925060491,6.4,5.8,4.2,3.6
lr,signo_zodiacal_acuario,37,0.5,0.53,0.5326923076923077,0.5,0.5106280193236715,0.502,0.5169019946341928,5.0,4.4,5.6,5.0
lr,signo_zodiacal_acuario,38,0.5,0.55,0.5646886446886448,0.62,0.5849538866930171,0.624,0.679592619368935,6.2,5.2,4.8,3.8
