modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_cancer,1,0.5,0.47000000000000003,0.4721056721056721,0.5,0.4837964476408413,0.42800000000000005,0.5059044191103015,5.0,5.6,4.4,5.0
lr,signo_zodiacal_cancer,2,0.5,0.54,0.54,0.5,0.512979797979798,0.5519999999999999,0.6210309016748645,5.0,4.2,5.8,5.0
lr,signo_zodiacal_cancer,3,0.5,0.4800000000000001,0.4847319347319347,0.52,0.4984315201706506,0.45999999999999996,0.534350991543716,5.2,5.6,4.4,4.8
lr,signo_zodiacal_cancer,4,0.5,0.51,0.5048951048951049,0.5599999999999999,0.5275864232385972,0.45999999999999996,0.5478025585525585,5.6,5.4,4.6,4.4
lr,signo_zodiacal_cancer,5,0.5,0.54,0.5523076923076923,0.5800000000000001,0.5523478260869565,0.6120000000000001,0.6504919792110194,5.8,5.0,5.0,4.2
lr,signo_zodiacal_cancer,6,0.5,0.51,0.517929292929293,0.48,0.49573934837092726,0.5599999999999999,0.5889673551422778,4.8,4.6,5.4,5.2
lr,signo_zodiacal_cancer,7,0.5,0.65,0.682121212121212,0.58,0.6107268170426065,0.7619999999999999,0.7542642357642356,5.8,2.8,7.2,4.2
lr,signo_zodiacal_cancer,8,0.5,0.36000000000000004,0.35653679653679654,0.38,0.3650674815380698,0.4,0.4783737183868763,3.8,6.6,3.4,6.2
lr,signo_zodiacal_cancer,9,0.5,0.47000000000000003,0.4727428127428128,0.58,0.5135687043696197,0.406,0.48682345492484813,5.8,6.4,3.6,4.2
lr,signo_zodiacal_cancer,10,0.5,0.49000000000000005,0.48397435897435903,0.5399999999999999,0.503842775581906,0.44699999999999995,0.5008282997532223,5.4,5.6,4.4,4.6
lr,signo_zodiacal_cancer,11,0.5,0.53,0.5323076923076924,0.6,0.5610144927536233,0.522,0.5789209297754189,6.0,5.4,4.6,4.0
lr,signo_zodiacal_cancer,12,0.5,0.4800000000000001,0.5218614718614718,0.44000000000000006,0.4568882098293863,0.44000000000000006,0.5181232488701528,4.4,4.8,5.2,5.6
lr,signo_zodiacal_cancer,13,0.5,0.4700000000000001,0.4778754578754579,0.44000000000000006,0.4531209524236849,0.516,0.5922837346691836,4.4,5.0,5.0,5.6
lr,signo_zodiacal_cancer,14,0.5,0.43,0.4307070707070707,0.4,0.40968671679197993,0.396,0.5004962084698927,4.0,5.4,4.6,6.0
lr,signo_zodiacal_cancer,15,0.5,0.4600000000000001,0.46589743589743593,0.5,0.47357707509881425,0.466,0.525790235907883,5.0,5.8,4.2,5.0
lr,signo_zodiacal_cancer,16,0.5,0.4600000000000001,0.41428571428571426,0.38,0.39108734402852047,0.47000000000000003,0.5518680753371157,3.8,4.6,5.4,6.2
lr,signo_zodiacal_cancer,17,0.5,0.49000000000000005,0.49848484848484853,0.54,0.5167919799498747,0.476,0.5557538668761579,5.4,5.6,4.4,4.6
lr,signo_zodiacal_cancer,18,0.5,0.45999999999999996,0.45007215007215,0.45999999999999996,0.4518890809912482,0.495,0.5736409685086156,4.6,5.4,4.6,5.4
lr,signo_zodiacal_cancer,19,0.5,0.52,0.5037337662337662,0.52,0.4998060762766645,0.5439999999999999,0.5822166891416117,5.2,4.8,5.2,4.8
lr,signo_zodiacal_cancer,20,0.5,0.5399999999999999,0.6123076923076923,0.45999999999999996,0.4944332961724266,0.5780000000000001,0.6568855976325016,4.6,3.8,6.2,5.4
lr,signo_zodiacal_cancer,21,0.5,0.55,0.5642857142857143,0.52,0.5335913312693499,0.568,0.6201165870593115,5.2,4.2,5.8,4.8
lr,signo_zodiacal_cancer,22,0.5,0.52,0.520952380952381,0.6,0.5493903743315508,0.488,0.5351717645099998,6.0,5.6,4.4,4.0
lr,signo_zodiacal_cancer,23,0.5,0.6,0.6078571428571429,0.5599999999999999,0.5603821015585722,0.576,0.6380346038550373,5.6,3.6,6.4,4.4
lr,signo_zodiacal_cancer,24,0.5,0.5599999999999999,0.5876190476190477,0.52,0.5353297682709448,0.5760000000000001,0.6162387155328332,5.2,4.0,6.0,4.8
lr,signo_zodiacal_cancer,25,0.5,0.5,0.5222222222222221,0.4600000000000001,0.464755471566617,0.46399999999999997,0.5443030590840188,4.6,4.6,5.4,5.4
lr,signo_zodiacal_cancer,26,0.5,0.4800000000000001,0.4833333333333333,0.54,0.5095238095238095,0.45200000000000007,0.5373075453957806,5.4,5.8,4.2,4.6
lr,signo_zodiacal_cancer,27,0.5,0.49000000000000005,0.4853968253968254,0.38,0.4216030271757826,0.48200000000000004,0.5348431821016961,3.8,4.0,6.0,6.2
lr,signo_zodiacal_cancer,28,0.5,0.4,0.4136363636363637,0.44000000000000006,0.42395382395382397,0.346,0.4455625785463247,4.4,6.4,3.6,5.6
lr,signo_zodiacal_cancer,29,0.5,0.55,0.5555555555555556,0.52,0.5368421052631579,0.518,0.5947838729897553,5.2,4.2,5.8,4.8
lr,signo_zodiacal_cancer,30,0.5,0.38,0.3771428571428571,0.3,0.3261018857303687,0.378,0.5068059907928328,3.0,5.4,4.6,7.0
lr,signo_zodiacal_cancer,31,0.5,0.5199999999999999,0.5142857142857143,0.62,0.561038961038961,0.5740000000000001,0.6183214008214006,6.2,5.8,4.2,3.8
lr,signo_zodiacal_cancer,32,0.5,0.6,0.5933333333333334,0.66,0.6061212121212121,0.5599999999999999,0.5838382075440899,6.6,4.6,5.4,3.4
lr,signo_zodiacal_cancer,33,0.5,0.5700000000000001,0.5722727272727273,0.4999999999999999,0.5283333333333333,0.576,0.6465197851683919,5.0,3.6,6.4,5.0
lr,signo_zodiacal_cancer,34,0.5,0.5399999999999999,0.5383838383838383,0.5599999999999999,0.5481203007518796,0.572,0.5999813966563192,5.6,4.8,5.2,4.4
lr,signo_zodiacal_cancer,35,0.5,0.51,0.5070707070707071,0.54,0.5183375104427735,0.5599999999999999,0.6208227687345335,5.4,5.2,4.8,4.6
lr,signo_zodiacal_cancer,36,0.5,0.62,0.6185714285714285,0.62,0.6122222222222222,0.6060000000000001,0.6401224496178055,6.2,3.8,6.2,3.8
lr,signo_zodiacal_cancer,37,0.5,0.47000000000000003,0.4665811965811966,0.5,0.48001664239650516,0.48200000000000004,0.5598139633843967,5.0,5.6,4.4,5.0
lr,signo_zodiacal_cancer,38,0.5,0.5,0.5107142857142858,0.6199999999999999,0.5535353535353537,0.538,0.6083044547471792,6.2,6.2,3.8,3.8
lr,signo_zodiacal_cancer,39,0.5,0.45,0.4441558441558441,0.33999999999999997,0.38207282913165264,0.504,0.5791711827903778,3.4,4.4,5.6,6.6
lr,signo_zodiacal_cancer,40,0.5,0.53,0.5344877344877345,0.52,0.5227574283301838,0.528,0.5617636720005141,5.2,4.6,5.4,4.8
lr,signo_zodiacal_cancer,41,0.5,0.51,0.5006410256410256,0.5199999999999999,0.5005599472990777,0.506,0.5374639490196766,5.2,5.0,5.0,4.8
lr,signo_zodiacal_cancer,42,0.5,0.5700000000000001,0.5747319347319346,0.64,0.5992651193200393,0.488,0.5554101731601732,6.4,5.0,5.0,3.6
lr,signo_zodiacal_cancer,43,0.5,0.37,0.3666666666666667,0.38,0.36158213716108445,0.392,0.4948283393592991,3.8,6.4,3.6,6.2
lr,signo_zodiacal_cancer,44,0.5,0.5900000000000001,0.615909090909091,0.54,0.5682178932178932,0.6679999999999999,0.6905299112652054,5.4,3.6,6.4,4.6
lr,signo_zodiacal_cancer,45,0.5,0.44000000000000006,0.4581618381618381,0.44000000000000006,0.4320582145901839,0.45200000000000007,0.5171866385248738,4.4,5.6,4.4,5.6
lr,signo_zodiacal_cancer,46,0.5,0.45,0.4541569541569541,0.5,0.4739150247159401,0.384,0.47114930554481643,5.0,6.0,4.0,5.0
lr,signo_zodiacal_cancer,47,0.5,0.55,0.5492507492507492,0.58,0.5582810199178485,0.554,0.5993432019476911,5.8,4.8,5.2,4.2
lr,signo_zodiacal_cancer,48,0.5,0.43,0.42772727272727273,0.4,0.4117460317460317,0.43599999999999994,0.5339222077372232,4.0,5.4,4.6,6.0
lr,signo_zodiacal_cancer,49,0.5,0.56,0.5535664335664336,0.6399999999999999,0.5920496894409937,0.5680000000000001,0.623692019366942,6.4,5.2,4.8,3.6
lr,signo_zodiacal_cancer,50,0.5,0.5800000000000001,0.5747474747474748,0.6199999999999999,0.5953064479380268,0.634,0.6744970019660421,6.2,4.6,5.4,3.8
lr,signo_zodiacal_cancer,51,0.5,0.55,0.5471861471861472,0.52,0.5200906678460858,0.526,0.5807881275071678,5.2,4.2,5.8,4.8
lr,signo_zodiacal_cancer,52,0.5,0.42000000000000004,0.4235591206179442,0.52,0.46083390293916604,0.378,0.476759707440822,5.2,6.8,3.2,4.8
lr,signo_zodiacal_cancer,53,0.5,0.4,0.38133644133644135,0.38,0.3756805056118557,0.38,0.5091896936912417,3.8,5.8,4.2,6.2
lr,signo_zodiacal_cancer,54,0.5,0.55,0.5592929292929293,0.54,0.5471679197994986,0.57,0.6064168229431387,5.4,4.4,5.6,4.6
lr,signo_zodiacal_cancer,55,0.5,0.53,0.5405483405483406,0.5399999999999999,0.5290726817042606,0.45199999999999996,0.5201825396825396,5.4,4.8,5.2,4.6
lr,signo_zodiacal_cancer,56,0.5,0.51,0.5244988344988345,0.54,0.518527950310559,0.558,0.6433435192258722,5.4,5.2,4.8,4.6
lr,signo_zodiacal_cancer,57,0.5,0.41000000000000003,0.40098235098235097,0.45999999999999996,0.42457956485416437,0.41200000000000003,0.5110225828523042,4.6,6.4,3.6,5.4
lr,signo_zodiacal_cancer,58,0.5,0.55,0.5755555555555555,0.45999999999999996,0.5042105263157894,0.565,0.5736759074259075,4.6,3.6,6.4,5.4
lr,signo_zodiacal_cancer,59,0.5,0.45,0.4390909090909091,0.4,0.41650793650793644,0.42000000000000004,0.501563668357786,4.0,5.0,5.0,6.0
lr,signo_zodiacal_cancer,60,0.5,0.55,0.5547619047619048,0.45999999999999996,0.5008255933952528,0.568,0.6166994208921454,4.6,3.6,6.4,5.4
lr,signo_zodiacal_cancer,61,0.5,0.39999999999999997,0.38,0.38,0.37803296119085594,0.378,0.4823451667012038,3.8,5.8,4.2,6.2
lr,signo_zodiacal_cancer,62,0.5,0.43,0.4086136086136086,0.4,0.3989667262786122,0.446,0.5549030871089694,4.0,5.4,4.6,6.0
lr,signo_zodiacal_cancer,63,0.5,0.51,0.5135775335775336,0.5399999999999999,0.5189711491003723,0.51,0.5892136556254203,5.4,5.2,4.8,4.6
lr,signo_zodiacal_cancer,64,0.5,0.44000000000000006,0.44696969696969696,0.44000000000000006,0.43733766233766236,0.479,0.5503136667254316,4.4,5.6,4.4,5.6
lr,signo_zodiacal_cancer,65,0.5,0.53,0.5366666666666667,0.48,0.49616161616161614,0.565,0.5804196071386474,4.8,4.2,5.8,5.2
lr,signo_zodiacal_cancer,66,0.5,0.35,0.34444444444444444,0.36,0.34552406657669815,0.30599999999999994,0.4629943431181821,3.6,6.6,3.4,6.4
lr,signo_zodiacal_cancer,67,0.5,0.54,0.5667832167832167,0.5,0.5058300395256917,0.55,0.6184414007045586,5.0,4.2,5.8,5.0
lr,signo_zodiacal_cancer,68,0.5,0.4999999999999999,0.5078282828282827,0.5399999999999999,0.5180489101541734,0.564,0.5831467874231031,5.4,5.4,4.6,4.6
lr,signo_zodiacal_cancer,69,0.5,0.39,0.3623748473748474,0.36,0.357198366760892,0.38000000000000006,0.4565682281255037,3.6,5.8,4.2,6.4
lr,signo_zodiacal_cancer,70,0.5,0.41,0.4258119658119658,0.48,0.44478320967108154,0.392,0.5082421575672349,4.8,6.6,3.4,5.2
lr,signo_zodiacal_cancer,71,0.5,0.5700000000000001,0.5686291486291486,0.54,0.5507091257555653,0.612,0.6425558852911795,5.4,4.0,6.0,4.6
lr,signo_zodiacal_cancer,72,0.5,0.53,0.526002886002886,0.54,0.5238720330237359,0.538,0.58056860519941,5.4,4.8,5.2,4.6
lr,signo_zodiacal_cancer,73,0.5,0.43,0.4206410256410257,0.44000000000000006,0.42636802810715857,0.396,0.5017716162406565,4.4,5.8,4.2,5.6
lr,signo_zodiacal_cancer,74,0.5,0.52,0.5119658119658119,0.54,0.5219055543998335,0.522,0.5545339460161441,5.4,5.0,5.0,4.6
