modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_capricornio,1,0.5,0.43,0.4251082251082251,0.45999999999999996,0.43528138528138527,0.398,0.48993197634838503,4.6,6.0,4.0,5.4
lr,signo_zodiacal_capricornio,2,0.5,0.53,0.535,0.6,0.5599076479076479,0.544,0.5495509206995275,6.0,5.4,4.6,4.0
lr,signo_zodiacal_capricornio,3,0.5,0.47000000000000003,0.45440115440115436,0.4,0.4210894884269497,0.45999999999999996,0.5337713316095669,4.0,4.6,5.4,6.0
lr,signo_zodiacal_capricornio,4,0.5,0.41000000000000003,0.40314685314685317,0.41999999999999993,0.40745341614906827,0.394,0.4909448807126826,4.2,6.0,4.0,5.8
lr,signo_zodiacal_capricornio,5,0.5,0.55,0.5522727272727272,0.54,0.5444444444444445,0.6,0.6532769628032786,5.4,4.4,5.6,4.6
lr,signo_zodiacal_capricornio,6,0.5,0.52,0.5111111111111112,0.5399999999999999,0.5229665071770335,0.45199999999999996,0.5184619300548092,5.4,5.0,5.0,4.6
lr,signo_zodiacal_capricornio,7,0.5,0.6,0.6184065934065934,0.64,0.6164509545583714,0.596,0.665340518528599,6.4,4.4,5.6,3.6
lr,signo_zodiacal_capricornio,8,0.5,0.5599999999999999,0.5634188034188033,0.5599999999999999,0.5584998728705821,0.592,0.6566111100801504,5.6,4.4,5.6,4.4
lr,signo_zodiacal_capricornio,9,0.5,0.5,0.5018099547511312,0.62,0.5497814584771106,0.4720000000000001,0.5170891318863455,6.2,6.2,3.8,3.8
lr,signo_zodiacal_capricornio,10,0.5,0.5599999999999999,0.5523698523698524,0.58,0.561853910137663,0.522,0.5612555489745892,5.8,4.6,5.4,4.2
lr,signo_zodiacal_capricornio,11,0.5,0.53,0.5386280386280385,0.66,0.5870738719708972,0.593,0.6610492187551011,6.6,6.0,4.0,3.4
lr,signo_zodiacal_capricornio,12,0.5,0.53,0.5281746031746032,0.5599999999999999,0.537745879851143,0.526,0.6086572594072595,5.6,5.0,5.0,4.4
lr,signo_zodiacal_capricornio,13,0.5,0.5700000000000001,0.5887806637806638,0.52,0.5235267656320287,0.5319999999999999,0.5670725467343114,5.2,3.8,6.2,4.8
lr,signo_zodiacal_capricornio,14,0.5,0.45,0.4609523809523809,0.5399999999999999,0.49131313131313126,0.44400000000000006,0.561511777438248,5.4,6.4,3.6,4.6
