modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_escorpio,1,0.5,0.5599999999999999,0.55,0.56,0.5505050505050505,0.5720000000000001,0.6328552999288293,5.6,4.4,5.6,4.4
lr,signo_zodiacal_escorpio,2,0.5,0.5,0.49575757575757573,0.5,0.49744360902255647,0.514,0.5237201501628747,5.0,5.0,5.0,5.0
lr,signo_zodiacal_escorpio,3,0.5,0.5000000000000001,0.5107864357864358,0.45999999999999996,0.48005307386112345,0.516,0.5810742046051642,4.6,4.6,5.4,5.4
lr,signo_zodiacal_escorpio,4,0.5,0.52,0.5165811965811965,0.5599999999999999,0.5350405658414812,0.554,0.5869908147408147,5.6,5.2,4.8,4.4
lr,signo_zodiacal_escorpio,5,0.5,0.48,0.4753846153846154,0.52,0.49236714975845414,0.4740000000000001,0.5481360404301581,5.2,5.6,4.4,4.8
lr,signo_zodiacal_escorpio,6,0.5,0.45,0.4394444444444444,0.44000000000000006,0.43432748538011695,0.418,0.4807031969578409,4.4,5.4,4.6,5.6
lr,signo_zodiacal_escorpio,7,0.5,0.55,0.558974358974359,0.5599999999999999,0.5538427755819061,0.5379999999999999,0.583468272955115,5.6,4.6,5.4,4.4
lr,signo_zodiacal_escorpio,8,0.5,0.5,0.5102564102564102,0.52,0.5118369045142501,0.476,0.5457514045981539,5.2,5.2,4.8,4.8
lr,signo_zodiacal_escorpio,9,0.5,0.49000000000000005,0.49621212121212127,0.5,0.49350649350649345,0.4760000000000001,0.5118088192337418,5.0,5.2,4.8,5.0
lr,signo_zodiacal_escorpio,10,0.5,0.45,0.4492424242424242,0.4600000000000001,0.4507936507936508,0.43,0.51659567496487,4.6,5.6,4.4,5.4
lr,signo_zodiacal_escorpio,11,0.5,0.45999999999999996,0.4333333333333333,0.4600000000000001,0.4436147186147186,0.45999999999999996,0.569157868876909,4.6,5.4,4.6,5.4
lr,signo_zodiacal_escorpio,12,0.5,0.4800000000000001,0.4852680652680653,0.5599999999999999,0.5187954074910597,0.492,0.5638344351726704,5.6,6.0,4.0,4.4
lr,signo_zodiacal_escorpio,13,0.5,0.5599999999999999,0.5642424242424242,0.54,0.5456447938026885,0.502,0.5445818054494524,5.4,4.2,5.8,4.6
