modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_geminis,1,0.5,0.4600000000000001,0.4616161616161616,0.42000000000000004,0.4333808004860636,0.49000000000000005,0.5576251618178862,4.2,5.0,5.0,5.8
lr,signo_zodiacal_geminis,2,0.5,0.45,0.41805194805194806,0.38,0.3839752404458287,0.41600000000000004,0.5016293814544588,3.8,4.8,5.2,6.2
lr,signo_zodiacal_geminis,3,0.5,0.44000000000000006,0.4446886446886447,0.41999999999999993,0.4254411118861247,0.45999999999999996,0.5791674746821804,4.2,5.4,4.6,5.8
lr,signo_zodiacal_geminis,4,0.5,0.48,0.45111111111111113,0.45999999999999996,0.45054454317612214,0.41600000000000004,0.4874866805880738,4.6,5.0,5.0,5.4
lr,signo_zodiacal_geminis,5,0.5,0.51,0.5023809523809524,0.48,0.48472964943553176,0.5160000000000001,0.5459555787349905,4.8,4.6,5.4,5.2
lr,signo_zodiacal_geminis,6,0.5,0.55,0.5575505050505051,0.64,0.585399910031489,0.556,0.6162595825227404,6.4,5.4,4.6,3.6
lr,signo_zodiacal_geminis,7,0.5,0.59,0.6142857142857142,0.5,0.5496732026143791,0.584,0.6462965557833977,5.0,3.2,6.8,5.0
lr,signo_zodiacal_geminis,8,0.5,0.55,0.5479797979797979,0.58,0.5611756664388243,0.5720000000000001,0.6011199237638867,5.8,4.8,5.2,4.2
lr,signo_zodiacal_geminis,9,0.5,0.53,0.5269230769230769,0.5599999999999999,0.5346837944664031,0.57,0.5951436684230802,5.6,5.0,5.0,4.4
lr,signo_zodiacal_geminis,10,0.5,0.41,0.39850427350427353,0.4600000000000001,0.42421930980283384,0.386,0.47574364790696066,4.6,6.4,3.6,5.4
lr,signo_zodiacal_geminis,11,0.5,0.35,0.3478632478632479,0.4,0.37037653422092787,0.309,0.434679737359304,4.0,7.0,3.0,6.0
lr,signo_zodiacal_geminis,12,0.5,0.5,0.47833333333333333,0.45999999999999996,0.463939393939394,0.49399999999999994,0.5846961823006714,4.6,4.6,5.4,5.4
lr,signo_zodiacal_geminis,13,0.5,0.55,0.5459163059163059,0.5599999999999999,0.5468037741412355,0.544,0.5818567455935877,5.6,4.6,5.4,4.4
lr,signo_zodiacal_geminis,14,0.5,0.4800000000000001,0.4878321678321679,0.44000000000000006,0.4521946169772256,0.442,0.5105694146754518,4.4,4.8,5.2,5.6
lr,signo_zodiacal_geminis,15,0.5,0.5,0.5176190476190476,0.5399999999999999,0.5161176470588236,0.45899999999999996,0.5503673548673549,5.4,5.4,4.6,4.6
lr,signo_zodiacal_geminis,16,0.5,0.45999999999999996,0.46297979797979794,0.44000000000000006,0.4496073517126149,0.43000000000000005,0.4975462787126874,4.4,5.2,4.8,5.6
lr,signo_zodiacal_geminis,17,0.5,0.55,0.5531746031746032,0.5599999999999999,0.5508771929824561,0.5439999999999999,0.5673869443250249,5.6,4.6,5.4,4.4
lr,signo_zodiacal_geminis,18,0.5,0.52,0.5138888888888888,0.52,0.5135566188197767,0.5599999999999999,0.6093896626249566,5.2,4.8,5.2,4.8
lr,signo_zodiacal_geminis,19,0.5,0.26,0.28,0.3,0.2890909090909091,0.22599999999999998,0.38914768874056793,3.0,7.8,2.2,7.0
lr,signo_zodiacal_geminis,20,0.5,0.44000000000000006,0.44716117216117207,0.38,0.4050163772602863,0.388,0.48285839178021844,3.8,5.0,5.0,6.2
lr,signo_zodiacal_geminis,21,0.5,0.48999999999999994,0.4992424242424242,0.4999999999999999,0.48766233766233774,0.513,0.5773158130998688,5.0,5.2,4.8,5.0
lr,signo_zodiacal_geminis,22,0.5,0.45999999999999996,0.4546453546453546,0.45999999999999996,0.4498533010041961,0.48500000000000004,0.5232478169405413,4.6,5.4,4.6,5.4
lr,signo_zodiacal_geminis,23,0.5,0.55,0.5549650349650349,0.47999999999999987,0.4997783461210571,0.5660000000000001,0.5702796811032105,4.8,3.8,6.2,5.2
lr,signo_zodiacal_geminis,24,0.5,0.5399999999999999,0.5515811965811965,0.5199999999999999,0.5303941011950164,0.542,0.601191483353248,5.2,4.4,5.6,4.8
lr,signo_zodiacal_geminis,25,0.5,0.45,0.453021978021978,0.5,0.47101449275362317,0.446,0.5348191273810469,5.0,6.0,4.0,5.0
