modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_leo,1,0.5,0.45,0.480034965034965,0.42000000000000004,0.433871635610766,0.512,0.5931622431575991,4.2,5.2,4.8,5.8
lr,signo_zodiacal_leo,2,0.5,0.54,0.5321367521367522,0.5,0.506651411136537,0.526,0.5527810698073856,5.0,4.2,5.8,5.0
lr,signo_zodiacal_leo,3,0.5,0.5,0.4916666666666667,0.48,0.4808080808080808,0.504,0.6070257618198794,4.8,4.8,5.2,5.2
lr,signo_zodiacal_leo,4,0.5,0.5900000000000001,0.6028221778221778,0.5800000000000001,0.5838306337027565,0.592,0.6595759697818521,5.8,4.0,6.0,4.2
lr,signo_zodiacal_leo,5,0.5,0.36,0.3031385281385281,0.32,0.3059523809523809,0.328,0.43086736526287606,3.2,6.0,4.0,6.8
lr,signo_zodiacal_leo,6,0.5,0.5199999999999999,0.5311111111111111,0.48,0.497511961722488,0.506,0.564233311837801,4.8,4.4,5.6,5.2
lr,signo_zodiacal_leo,7,0.5,0.54,0.5595238095238095,0.48,0.5049197860962568,0.524,0.5458875482962171,4.8,4.0,6.0,5.2
lr,signo_zodiacal_leo,8,0.5,0.5700000000000001,0.5741569541569541,0.5599999999999999,0.5593456467255095,0.6080000000000001,0.6769755053168366,5.6,4.2,5.8,4.4
lr,signo_zodiacal_leo,9,0.5,0.5700000000000001,0.573525641025641,0.64,0.5892915779872301,0.602,0.6845121404223571,6.4,5.0,5.0,3.6
lr,signo_zodiacal_leo,10,0.5,0.4700000000000001,0.4538095238095238,0.4,0.41903743315508024,0.454,0.5018854921308481,4.0,4.6,5.4,6.0
lr,signo_zodiacal_leo,11,0.5,0.47000000000000003,0.4632478632478632,0.48,0.46910755148741423,0.446,0.5059024108846091,4.8,5.4,4.6,5.2
lr,signo_zodiacal_leo,12,0.5,0.54,0.5366666666666667,0.54,0.5341414141414143,0.5239999999999999,0.5834445554445554,5.4,4.6,5.4,4.6
lr,signo_zodiacal_leo,13,0.5,0.37,0.3701587301587302,0.36,0.3571052631578947,0.33399999999999996,0.429444571939928,3.6,6.2,3.8,6.4
lr,signo_zodiacal_leo,14,0.5,0.4,0.39177489177489183,0.38,0.38218541004918716,0.386,0.49097012344380764,3.8,5.8,4.2,6.2
lr,signo_zodiacal_leo,15,0.5,0.44000000000000006,0.43873015873015875,0.44000000000000006,0.4344047283985365,0.406,0.49431650865474397,4.4,5.6,4.4,5.6
lr,signo_zodiacal_leo,16,0.5,0.54,0.537004662004662,0.5599999999999999,0.544949329846355,0.548,0.5643080699829925,5.6,4.8,5.2,4.4
lr,signo_zodiacal_leo,17,0.5,0.4800000000000001,0.4757575757575757,0.4600000000000001,0.46691729323308273,0.524,0.5606460087899716,4.6,5.0,5.0,5.4
lr,signo_zodiacal_leo,18,0.5,0.45999999999999996,0.4727272727272728,0.45999999999999996,0.45753018910913645,0.41800000000000004,0.5351346184774977,4.6,5.4,4.6,5.4
lr,signo_zodiacal_leo,19,0.5,0.53,0.5464285714285715,0.48,0.507843137254902,0.546,0.62024066825847,4.8,4.2,5.8,5.2
lr,signo_zodiacal_leo,20,0.5,0.5700000000000001,0.577045177045177,0.54,0.5509295403897638,0.5680000000000001,0.588676839500369,5.4,4.0,6.0,4.6
lr,signo_zodiacal_leo,21,0.5,0.41,0.40575757575757576,0.42000000000000004,0.4067769423558897,0.396,0.4843281152971556,4.2,6.0,4.0,5.8
lr,signo_zodiacal_leo,22,0.5,0.51,0.4976800976800977,0.5,0.49190899437231383,0.524,0.6046259120995963,5.0,4.8,5.2,5.0
lr,signo_zodiacal_leo,23,0.5,0.53,0.5212637362637362,0.5599999999999999,0.5317391304347826,0.55,0.5936108407416457,5.6,5.0,5.0,4.4
lr,signo_zodiacal_leo,24,0.5,0.52,0.5282828282828282,0.5,0.5058555479608111,0.514,0.5788669277918503,5.0,4.6,5.4,5.0
lr,signo_zodiacal_leo,25,0.5,0.39999999999999997,0.33212121212121215,0.4,0.36038095238095236,0.406,0.5044650637460235,4.0,6.0,4.0,6.0
lr,signo_zodiacal_leo,26,0.5,0.4800000000000001,0.48046176046176053,0.4600000000000001,0.46727996461742594,0.438,0.5444307359307359,4.6,5.0,5.0,5.4
lr,signo_zodiacal_leo,27,0.5,0.65,0.6840909090909091,0.6,0.6291847041847042,0.616,0.662047664753547,6.0,3.0,7.0,4.0
lr,signo_zodiacal_leo,28,0.5,0.41999999999999993,0.4255555555555556,0.38,0.40070175438596484,0.41400000000000003,0.495911884898727,3.8,5.4,4.6,6.2
lr,signo_zodiacal_leo,29,0.5,0.35,0.3433333333333333,0.31999999999999995,0.3292185007974482,0.318,0.4454343753082143,3.2,6.2,3.8,6.8
lr,signo_zodiacal_leo,30,0.5,0.38,0.38053058053058053,0.4,0.38619123954969964,0.346,0.4612105143738271,4.0,6.4,3.6,6.0
lr,signo_zodiacal_leo,31,0.5,0.44000000000000006,0.4434343434343434,0.45999999999999996,0.44842409052935367,0.45999999999999996,0.5614844513931201,4.6,5.8,4.2,5.4
lr,signo_zodiacal_leo,32,0.5,0.4699999999999999,0.4614718614718615,0.4,0.4258096220944518,0.48200000000000004,0.5706549294358891,4.0,4.6,5.4,6.0
lr,signo_zodiacal_leo,33,0.5,0.47000000000000003,0.4695526695526695,0.45999999999999996,0.46156567890314015,0.518,0.6147315735520069,4.6,5.2,4.8,5.4
lr,signo_zodiacal_leo,34,0.5,0.54,0.5444444444444445,0.48,0.5053757388122714,0.49800000000000005,0.5621109811241389,4.8,4.0,6.0,5.2
lr,signo_zodiacal_leo,35,0.5,0.4600000000000001,0.4632167832167832,0.4800000000000001,0.46367683041596086,0.466,0.5643909234040813,4.8,5.6,4.4,5.2
lr,signo_zodiacal_leo,36,0.5,0.45999999999999996,0.45897435897435895,0.43999999999999995,0.4413025122676489,0.434,0.532431975489251,4.4,5.2,4.8,5.6
lr,signo_zodiacal_leo,37,0.5,0.4600000000000001,0.4617521367521367,0.5,0.47627765064836003,0.422,0.5102191054559475,5.0,5.8,4.2,5.0
lr,signo_zodiacal_leo,38,0.5,0.36,0.32142857142857145,0.28,0.2916666666666667,0.298,0.44875833643480706,2.8,5.6,4.4,7.2
lr,signo_zodiacal_leo,39,0.5,0.44000000000000006,0.4174603174603174,0.44000000000000006,0.42635465669521394,0.458,0.5274604382545559,4.4,5.6,4.4,5.6
lr,signo_zodiacal_leo,40,0.5,0.53,0.5234965034965036,0.6399999999999999,0.5737267080745341,0.47000000000000003,0.5306451414082993,6.4,5.8,4.2,3.6
lr,signo_zodiacal_leo,41,0.5,0.49000000000000005,0.48666666666666664,0.48,0.47760233918128653,0.534,0.6063084230011475,4.8,5.0,5.0,5.2
lr,signo_zodiacal_leo,42,0.5,0.6,0.5985353535353535,0.6,0.5961145287461077,0.6340000000000001,0.7007799145299145,6.0,4.0,6.0,4.0
lr,signo_zodiacal_leo,43,0.5,0.48,0.4875,0.5,0.4854700854700855,0.48600000000000004,0.5421030266603022,5.0,5.4,4.6,5.0
lr,signo_zodiacal_leo,44,0.5,0.53,0.5462626262626263,0.48,0.5020551378446114,0.528,0.5565922765744747,4.8,4.2,5.8,5.2
lr,signo_zodiacal_leo,45,0.5,0.43,0.4303030303030303,0.42000000000000004,0.42406015037593986,0.40800000000000003,0.5269736297414316,4.2,5.6,4.4,5.8
lr,signo_zodiacal_leo,46,0.5,0.44000000000000006,0.42979797979797973,0.44000000000000006,0.42944862155388464,0.45200000000000007,0.5054394196275,4.4,5.6,4.4,5.6
lr,signo_zodiacal_leo,47,0.5,0.5700000000000001,0.5655205905205906,0.5799999999999998,0.5691075514874142,0.55,0.5939205789910125,5.8,4.4,5.6,4.2
lr,signo_zodiacal_leo,48,0.5,0.48999999999999994,0.4872727272727272,0.45999999999999996,0.47111111111111104,0.504,0.5388710080768904,4.6,4.8,5.2,5.4
lr,signo_zodiacal_leo,49,0.5,0.6300000000000001,0.6356565656565657,0.62,0.6252631578947367,0.625,0.6456057733116556,6.2,3.6,6.4,3.8
lr,signo_zodiacal_leo,50,0.5,0.51,0.5076923076923077,0.5,0.4967391304347826,0.49000000000000005,0.5633970659543415,5.0,4.8,5.2,5.0
lr,signo_zodiacal_leo,51,0.5,0.49000000000000005,0.4883333333333334,0.42000000000000004,0.43944444444444447,0.506,0.6066987734487734,4.2,4.4,5.6,5.8
lr,signo_zodiacal_leo,52,0.5,0.45,0.44924242424242433,0.42000000000000004,0.41904761904761906,0.388,0.48982579761140127,4.2,5.2,4.8,5.8
lr,signo_zodiacal_leo,53,0.5,0.48999999999999994,0.4928571428571429,0.4800000000000001,0.4767379679144385,0.495,0.5476699391080195,4.8,5.0,5.0,5.2
lr,signo_zodiacal_leo,54,0.5,0.63,0.6494588744588745,0.6199999999999999,0.6271793565911213,0.6119999999999999,0.669214969670852,6.2,3.6,6.4,3.8
lr,signo_zodiacal_leo,55,0.5,0.42000000000000004,0.3994805194805195,0.42000000000000004,0.4082913165266106,0.4219999999999999,0.5084717412790167,4.2,5.8,4.2,5.8
lr,signo_zodiacal_leo,56,0.5,0.4,0.3892640692640693,0.38,0.3825976706472062,0.382,0.46516331707508185,3.8,5.8,4.2,6.2
lr,signo_zodiacal_leo,57,0.5,0.55,0.5487734487734487,0.5599999999999999,0.546999852572608,0.5479999999999999,0.6000350380613538,5.6,4.6,5.4,4.4
lr,signo_zodiacal_leo,58,0.5,0.53,0.5121212121212121,0.52,0.5119047619047619,0.522,0.5697903926139221,5.2,4.6,5.4,4.8
lr,signo_zodiacal_leo,59,0.5,0.41,0.4133394383394383,0.44000000000000006,0.41681375712873897,0.358,0.48263718127417815,4.4,6.2,3.8,5.6
lr,signo_zodiacal_leo,60,0.5,0.4,0.41126651126651126,0.4,0.39854800043587224,0.392,0.49193303205222705,4.0,6.0,4.0,6.0
lr,signo_zodiacal_leo,61,0.5,0.4800000000000001,0.47171162171162173,0.5199999999999999,0.49151581581249104,0.508,0.5683021498625214,5.2,5.6,4.4,4.8
lr,signo_zodiacal_leo,62,0.5,0.53,0.5323076923076924,0.5,0.5088215102974828,0.584,0.6081020372816038,5.0,4.4,5.6,5.0
lr,signo_zodiacal_leo,63,0.5,0.5,0.5032167832167833,0.52,0.509059605535578,0.493,0.542662206043011,5.2,5.2,4.8,4.8
lr,signo_zodiacal_leo,64,0.5,0.55,0.5544444444444444,0.5800000000000001,0.5617278043593833,0.5549999999999999,0.6112276971394618,5.8,4.8,5.2,4.2
lr,signo_zodiacal_leo,65,0.5,0.6099999999999999,0.6164285714285714,0.58,0.5876470588235294,0.618,0.6926834903142952,5.8,3.6,6.4,4.2
lr,signo_zodiacal_leo,66,0.5,0.5399999999999999,0.5367965367965368,0.5,0.5115864527629232,0.554,0.5818716446951742,5.0,4.2,5.8,5.0
lr,signo_zodiacal_leo,67,0.5,0.45,0.4424242424242424,0.44000000000000006,0.434992784992785,0.54,0.6097816590873866,4.4,5.4,4.6,5.6
lr,signo_zodiacal_leo,68,0.5,0.51,0.510909090909091,0.48,0.4936006683375105,0.5319999999999999,0.5885998625557448,4.8,4.6,5.4,5.2
lr,signo_zodiacal_leo,69,0.5,0.51,0.5095959595959596,0.54,0.5230120756436546,0.516,0.6118840536828153,5.4,5.2,4.8,4.6
lr,signo_zodiacal_leo,70,0.5,0.5900000000000001,0.6020451770451771,0.54,0.5620406515008749,0.6120000000000001,0.6535976045798026,5.4,3.6,6.4,4.6
lr,signo_zodiacal_leo,71,0.5,0.43,0.42435064935064937,0.38,0.39757236227824466,0.4,0.4867938183247781,3.8,5.2,4.8,6.2
lr,signo_zodiacal_leo,72,0.5,0.52,0.5288156288156289,0.5599999999999999,0.5309825948269884,0.49800000000000005,0.573362007273772,5.6,5.2,4.8,4.4
lr,signo_zodiacal_leo,73,0.5,0.45999999999999996,0.43352203352203345,0.4800000000000001,0.45159585781472983,0.41200000000000003,0.48427000880096854,4.8,5.6,4.4,5.2
lr,signo_zodiacal_leo,74,0.5,0.43,0.42601010101010106,0.43999999999999995,0.43053087263613576,0.43,0.4962120216384922,4.4,5.8,4.2,5.6
lr,signo_zodiacal_leo,75,0.5,0.53,0.5240909090909092,0.5,0.5098412698412698,0.53,0.5926659276396118,5.0,4.4,5.6,5.0
lr,signo_zodiacal_leo,76,0.5,0.48,0.48999999999999994,0.5,0.48048484848484846,0.44299999999999995,0.5259951525083103,5.0,5.4,4.6,5.0
lr,signo_zodiacal_leo,77,0.5,0.44000000000000006,0.4444444444444445,0.4800000000000001,0.4528895768833848,0.426,0.5316416567608517,4.8,6.0,4.0,5.2
lr,signo_zodiacal_leo,78,0.5,0.6900000000000001,0.7071861471861471,0.68,0.6872325198021793,0.696,0.7264561071883053,6.8,3.0,7.0,3.2
lr,signo_zodiacal_leo,79,0.5,0.49000000000000005,0.5037301587301588,0.4800000000000001,0.4824919160646715,0.48599999999999993,0.581865199128357,4.8,5.0,5.0,5.2
lr,signo_zodiacal_leo,80,0.5,0.54,0.5295537795537796,0.6,0.5525832862789384,0.5720000000000001,0.6002647136145588,6.0,5.2,4.8,4.0
lr,signo_zodiacal_leo,81,0.5,0.53,0.5353113553113553,0.58,0.5441633728590249,0.579,0.6339606380032077,5.8,5.2,4.8,4.2
lr,signo_zodiacal_leo,82,0.5,0.45,0.4438888888888889,0.44000000000000006,0.43996810207336523,0.388,0.4949596335037512,4.4,5.4,4.6,5.6
lr,signo_zodiacal_leo,83,0.5,0.4800000000000001,0.4771367521367521,0.5,0.48457804590527703,0.46399999999999997,0.5277971087220313,5.0,5.4,4.6,5.0
lr,signo_zodiacal_leo,84,0.5,0.5,0.4979797979797979,0.4800000000000001,0.48796992481203005,0.528,0.5863760296291256,4.8,4.8,5.2,5.2
lr,signo_zodiacal_leo,85,0.5,0.43999999999999995,0.43255078255078255,0.48,0.4517642630174599,0.394,0.4559106797914848,4.8,6.0,4.0,5.2
lr,signo_zodiacal_leo,86,0.5,0.5,0.5,0.43999999999999995,0.4666666666666666,0.4960000000000001,0.5480965892552578,4.4,4.4,5.6,5.6
lr,signo_zodiacal_leo,87,0.5,0.57,0.5572294372294372,0.5800000000000001,0.5646142093200917,0.5700000000000001,0.5947931392652756,5.8,4.4,5.6,4.2
lr,signo_zodiacal_leo,88,0.5,0.54,0.5155555555555555,0.5,0.48929554655870444,0.492,0.5230690965381367,5.0,4.2,5.8,5.0
lr,signo_zodiacal_leo,89,0.5,0.53,0.5494444444444444,0.5599999999999999,0.5314511920827709,0.5559999999999999,0.6221184440774223,5.6,5.0,5.0,4.4
lr,signo_zodiacal_leo,90,0.5,0.53,0.5107692307692308,0.5599999999999999,0.5237267080745343,0.5519999999999999,0.6166256602874249,5.6,5.0,5.0,4.4
lr,signo_zodiacal_leo,91,0.5,0.53,0.5356060606060605,0.48,0.5,0.5619999999999999,0.6467812624252252,4.8,4.2,5.8,5.2
lr,signo_zodiacal_leo,92,0.5,0.53,0.5219780219780219,0.6399999999999999,0.5697189284145806,0.542,0.6132055813983058,6.4,5.8,4.2,3.6
lr,signo_zodiacal_leo,93,0.5,0.48,0.4829365079365079,0.4600000000000001,0.46608187134502926,0.48599999999999993,0.5470332727128393,4.6,5.0,5.0,5.4
lr,signo_zodiacal_leo,94,0.5,0.5700000000000001,0.5632478632478632,0.6199999999999999,0.5868109007697109,0.582,0.6386900491149717,6.2,4.8,5.2,3.8
lr,signo_zodiacal_leo,95,0.5,0.58,0.5806060606060606,0.5800000000000001,0.5796491228070175,0.5359999999999999,0.5897680375180375,5.8,4.2,5.8,4.2
lr,signo_zodiacal_leo,96,0.5,0.61,0.6094949494949494,0.58,0.5927485380116959,0.602,0.6327119259309663,5.8,3.6,6.4,4.2
lr,signo_zodiacal_leo,97,0.5,0.54,0.5712204462204462,0.45999999999999996,0.483744445381274,0.5159999999999999,0.5922485384412629,4.6,3.8,6.2,5.4
lr,signo_zodiacal_leo,98,0.5,0.5,0.49201298701298707,0.5,0.4830591630591631,0.536,0.5948627646862941,5.0,5.0,5.0,5.0
lr,signo_zodiacal_leo,99,0.5,0.45999999999999996,0.4166666666666667,0.4,0.4,0.514,0.5711947182504458,4.0,4.8,5.2,6.0
lr,signo_zodiacal_leo,100,0.5,0.51,0.5097125097125097,0.52,0.511714067778141,0.582,0.6384283771783771,5.2,5.0,5.0,4.8
lr,signo_zodiacal_leo,101,0.5,0.42000000000000004,0.41439393939393937,0.43999999999999995,0.4241968557758032,0.45999999999999996,0.5276937392672687,4.4,6.0,4.0,5.6
lr,signo_zodiacal_leo,102,0.5,0.56,0.5707992007992008,0.62,0.5884265010351968,0.604,0.6559687965113661,6.2,5.0,5.0,3.8
lr,signo_zodiacal_leo,103,0.5,0.51,0.5388888888888889,0.5,0.4961152882205514,0.52,0.5672367513807142,5.0,4.8,5.2,5.0
