modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_libra,1,0.5,0.49000000000000005,0.48555555555555563,0.52,0.5005741626794259,0.52,0.5579556250423123,5.2,5.4,4.6,4.8
lr,signo_zodiacal_libra,2,0.5,0.5200000000000001,0.5234848484848486,0.58,0.5455266955266955,0.49000000000000005,0.543070707500274,5.8,5.4,4.6,4.2
lr,signo_zodiacal_libra,3,0.5,0.48,0.4774170274170274,0.62,0.5322624743677375,0.386,0.4817905742348466,6.2,6.6,3.4,3.8
lr,signo_zodiacal_libra,4,0.5,0.48999999999999994,0.4892107892107892,0.58,0.5259489302967564,0.489,0.5498659396159395,5.8,6.0,4.0,4.2
lr,signo_zodiacal_libra,5,0.5,0.55,0.5441086691086692,0.56,0.5409880199219276,0.539,0.587738880400645,5.6,4.6,5.4,4.4
lr,signo_zodiacal_libra,6,0.5,0.5199999999999999,0.5511111111111111,0.45999999999999996,0.49192982456140344,0.514,0.5730639638139639,4.6,4.2,5.8,5.4
lr,signo_zodiacal_libra,7,0.5,0.38999999999999996,0.37858974358974357,0.36,0.3636231884057971,0.298,0.44848014386714075,3.6,5.8,4.2,6.4
lr,signo_zodiacal_libra,8,0.5,0.41,0.3786363636363636,0.34,0.3536507936507936,0.382,0.4856477509418686,3.4,5.2,4.8,6.6
lr,signo_zodiacal_libra,9,0.5,0.43999999999999995,0.4263203463203463,0.4,0.4102373581011352,0.47000000000000003,0.5285601718542895,4.0,5.2,4.8,6.0
lr,signo_zodiacal_libra,10,0.5,0.47000000000000003,0.46913308913308915,0.45999999999999996,0.460199219275811,0.506,0.5982484825116404,4.6,5.2,4.8,5.4
lr,signo_zodiacal_libra,11,0.5,0.57,0.5697435897435897,0.6399999999999999,0.596403162055336,0.584,0.6089359519049922,6.4,5.0,5.0,3.6
lr,signo_zodiacal_libra,12,0.5,0.54,0.55,0.5,0.5167464114832535,0.5960000000000001,0.6181392094317791,5.0,4.2,5.8,5.0
lr,signo_zodiacal_libra,13,0.5,0.4600000000000001,0.4727272727272728,0.43999999999999995,0.4382222222222222,0.426,0.5237838936089709,4.4,5.2,4.8,5.6
lr,signo_zodiacal_libra,14,0.5,0.5700000000000001,0.5492118992118993,0.6599999999999999,0.59657642129038,0.58,0.6254824397308918,6.6,5.2,4.8,3.4
lr,signo_zodiacal_libra,15,0.5,0.38,0.37757575757575756,0.4,0.3874868990658465,0.41200000000000003,0.4996759351759351,4.0,6.4,3.6,6.0
lr,signo_zodiacal_libra,16,0.5,0.43,0.41666666666666663,0.4,0.402046783625731,0.43000000000000005,0.5051012967940213,4.0,5.4,4.6,6.0
