modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_ofiuco,1,0.5,0.52,0.5153968253968253,0.56,0.5326634768740032,0.512,0.6046709848459073,5.6,5.2,4.8,4.4
lr,signo_zodiacal_ofiuco,2,0.5,0.49000000000000005,0.4954822954822955,0.48,0.4806557974413675,0.41000000000000003,0.49116710516865314,4.8,5.0,5.0,5.2
lr,signo_zodiacal_ofiuco,3,0.5,0.52,0.5024170274170274,0.5599999999999999,0.5249031670084301,0.5780000000000001,0.6052003170548063,5.6,5.2,4.8,4.4
lr,signo_zodiacal_ofiuco,4,0.5,0.5800000000000001,0.578954378954379,0.5399999999999999,0.547007544436539,0.584,0.6173046398046398,5.4,3.8,6.2,4.6
lr,signo_zodiacal_ofiuco,5,0.5,0.37,0.3493939393939394,0.3,0.3195238095238095,0.38999999999999996,0.5229033024079464,3.0,5.6,4.4,7.0
lr,signo_zodiacal_ofiuco,6,0.5,0.54,0.5561111111111111,0.48,0.5019298245614034,0.544,0.5951506434741729,4.8,4.0,6.0,5.2
lr,signo_zodiacal_ofiuco,7,0.5,0.48999999999999994,0.4957708957708958,0.4800000000000001,0.48164400771750343,0.49800000000000005,0.5537476875549631,4.8,5.0,5.0,5.2
lr,signo_zodiacal_ofiuco,8,0.5,0.5,0.5052287581699346,0.52,0.4987816764132553,0.48599999999999993,0.576359133126935,5.2,5.2,4.8,4.8
lr,signo_zodiacal_ofiuco,9,0.5,0.55,0.5365079365079366,0.64,0.5811802232854864,0.51,0.5344063805991051,6.4,5.4,4.6,3.6
lr,signo_zodiacal_ofiuco,10,0.5,0.52,0.5146464646464646,0.5199999999999999,0.5152426520847573,0.484,0.5445663678426836,5.2,4.8,5.2,4.8
lr,signo_zodiacal_ofiuco,11,0.5,0.4699999999999999,0.4836363636363637,0.45999999999999996,0.4605194805194805,0.442,0.5368006172534036,4.6,5.2,4.8,5.4
lr,signo_zodiacal_ofiuco,12,0.5,0.45,0.4444444444444445,0.45999999999999996,0.4482456140350878,0.45499999999999996,0.5310311518546813,4.6,5.6,4.4,5.4
lr,signo_zodiacal_ofiuco,13,0.5,0.45999999999999996,0.45999999999999996,0.44000000000000006,0.4473015873015873,0.484,0.5829034037857566,4.4,5.2,4.8,5.6
lr,signo_zodiacal_ofiuco,14,0.5,0.54,0.5427777777777778,0.48,0.49920255183413076,0.5820000000000001,0.5963924578173804,4.8,4.0,6.0,5.2
lr,signo_zodiacal_ofiuco,15,0.5,0.5599999999999999,0.5609523809523809,0.56,0.5462085561497326,0.5519999999999999,0.6396623253767216,5.6,4.4,5.6,4.4
lr,signo_zodiacal_ofiuco,16,0.5,0.61,0.6042929292929293,0.62,0.6085820612136402,0.672,0.7108832258213063,6.2,4.0,6.0,3.8
lr,signo_zodiacal_ofiuco,17,0.5,0.58,0.5843939393939394,0.58,0.5790719222298171,0.61,0.6671014514381387,5.8,4.2,5.8,4.2
lr,signo_zodiacal_ofiuco,18,0.5,0.55,0.5463403263403264,0.58,0.5599803857469762,0.5940000000000001,0.641754206577736,5.8,4.8,5.2,4.2
lr,signo_zodiacal_ofiuco,19,0.5,0.43000000000000005,0.4223809523809524,0.36,0.3840225787284611,0.44000000000000006,0.5129340028736313,3.6,5.0,5.0,6.4
lr,signo_zodiacal_ofiuco,20,0.5,0.55,0.5492507492507492,0.5,0.5063329679697965,0.5720000000000001,0.5972151231121818,5.0,4.0,6.0,5.0
lr,signo_zodiacal_ofiuco,21,0.5,0.56,0.5471139971139971,0.64,0.5872408293460925,0.542,0.5752028608646256,6.4,5.2,4.8,3.6
lr,signo_zodiacal_ofiuco,22,0.5,0.64,0.6466955266955268,0.6199999999999999,0.628624502432552,0.674,0.7290290440553597,6.2,3.4,6.6,3.8
lr,signo_zodiacal_ofiuco,23,0.5,0.44000000000000006,0.4138528138528138,0.43999999999999995,0.42099366062214366,0.43800000000000006,0.4889021801212204,4.4,5.6,4.4,5.6
lr,signo_zodiacal_ofiuco,24,0.5,0.39,0.3907226107226108,0.38,0.3779922632668628,0.376,0.5011773700156053,3.8,6.0,4.0,6.2
lr,signo_zodiacal_ofiuco,25,0.5,0.53,0.5404379933791698,0.52,0.5113289760348584,0.476,0.5344304286185091,5.2,4.6,5.4,4.8
lr,signo_zodiacal_ofiuco,26,0.5,0.5599999999999999,0.5513708513708513,0.5200000000000001,0.53140694874441,0.5820000000000001,0.6324221797294551,5.2,4.0,6.0,4.8
lr,signo_zodiacal_ofiuco,27,0.5,0.49000000000000005,0.48913308913308917,0.4600000000000001,0.4696729034863373,0.484,0.5666724555973781,4.6,4.8,5.2,5.4
lr,signo_zodiacal_ofiuco,28,0.5,0.44000000000000006,0.44338772338772336,0.4600000000000001,0.44956303802985725,0.466,0.5423401761637056,4.6,5.8,4.2,5.4
lr,signo_zodiacal_ofiuco,29,0.5,0.52,0.5128343878343878,0.5,0.5011142519555495,0.518,0.5677138314901473,5.0,4.6,5.4,5.0
lr,signo_zodiacal_ofiuco,30,0.5,0.4699999999999999,0.4726190476190476,0.42000000000000004,0.44058229352347,0.472,0.5369389574993291,4.2,4.8,5.2,5.8
lr,signo_zodiacal_ofiuco,31,0.5,0.48,0.4951515151515151,0.43999999999999995,0.4593650793650793,0.522,0.5731400086841264,4.4,4.8,5.2,5.6
lr,signo_zodiacal_ofiuco,32,0.5,0.5599999999999999,0.5463286713286714,0.6,0.5693581780538303,0.568,0.5947469187159589,6.0,4.8,5.2,4.0
lr,signo_zodiacal_ofiuco,33,0.5,0.45999999999999996,0.46571428571428564,0.52,0.4890909090909091,0.45,0.5278797405724649,5.2,6.0,4.0,4.8
lr,signo_zodiacal_ofiuco,34,0.5,0.39,0.3784188034188034,0.39999999999999997,0.3853685597392691,0.404,0.5141956181073828,4.0,6.2,3.8,6.0
lr,signo_zodiacal_ofiuco,35,0.5,0.53,0.5428571428571429,0.5,0.5166445525578653,0.538,0.5827917997035644,5.0,4.4,5.6,5.0
lr,signo_zodiacal_ofiuco,36,0.5,0.5,0.48774281274281267,0.5,0.49016018306636155,0.52,0.5796887546577949,5.0,5.0,5.0,5.0
lr,signo_zodiacal_ofiuco,37,0.5,0.48,0.4746031746031746,0.5,0.48055633736748293,0.462,0.5137446930434546,5.0,5.4,4.6,5.0
lr,signo_zodiacal_ofiuco,38,0.5,0.55,0.5592857142857144,0.5599999999999999,0.5513157146916738,0.55,0.5467769148636021,5.6,4.6,5.4,4.4
lr,signo_zodiacal_ofiuco,39,0.5,0.5200000000000001,0.5186013986013986,0.54,0.5258661145617667,0.562,0.6439123545872771,5.4,5.0,5.0,4.6
