modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_piscis,1,0.5,0.45,0.4242424242424242,0.44000000000000006,0.42932900432900434,0.4720000000000001,0.5204419453095923,4.4,5.4,4.6,5.6
lr,signo_zodiacal_piscis,2,0.5,0.45999999999999996,0.46717171717171724,0.5,0.4818865345181135,0.508,0.5943216695585116,5.0,5.8,4.2,5.0
lr,signo_zodiacal_piscis,3,0.5,0.54,0.5361616161616162,0.5599999999999999,0.5430994152046783,0.6060000000000001,0.6047063096002724,5.6,4.8,5.2,4.4
lr,signo_zodiacal_piscis,4,0.5,0.48,0.4641880341880342,0.5,0.47792894621269905,0.506,0.5784441571500395,5.0,5.4,4.6,5.0
lr,signo_zodiacal_piscis,5,0.5,0.4699999999999999,0.40098039215686276,0.45999999999999996,0.4140572390572391,0.43600000000000005,0.533247075851565,4.6,5.2,4.8,5.4
lr,signo_zodiacal_piscis,6,0.5,0.5599999999999999,0.5563492063492064,0.54,0.540643274853801,0.6200000000000001,0.6494855875119032,5.4,4.2,5.8,4.6
lr,signo_zodiacal_piscis,7,0.5,0.55,0.5490909090909091,0.62,0.58004329004329,0.538,0.5851090745339971,6.2,5.2,4.8,3.8
lr,signo_zodiacal_piscis,8,0.5,0.49000000000000005,0.49333333333333335,0.5199999999999999,0.49886868686868696,0.4699999999999999,0.5532428770060349,5.2,5.4,4.6,4.8
lr,signo_zodiacal_piscis,9,0.5,0.42000000000000004,0.4260606060606061,0.45999999999999996,0.43707936507936507,0.45600000000000007,0.5483160701527574,4.6,6.2,3.8,5.4
lr,signo_zodiacal_piscis,10,0.5,0.55,0.5651515151515152,0.52,0.539014202172097,0.5599999999999999,0.62991574988479,5.2,4.2,5.8,4.8
lr,signo_zodiacal_piscis,11,0.5,0.44000000000000006,0.4303030303030303,0.5,0.4585864661654135,0.386,0.5027767753402428,5.0,6.2,3.8,5.0
lr,signo_zodiacal_piscis,12,0.5,0.45,0.4513286713286713,0.48,0.462056590752243,0.43200000000000005,0.5116462355154305,4.8,5.8,4.2,5.2
lr,signo_zodiacal_piscis,13,0.5,0.5700000000000001,0.5685425685425685,0.5799999999999998,0.5679566563467493,0.5,0.5176163368794948,5.8,4.4,5.6,4.2
lr,signo_zodiacal_piscis,14,0.5,0.44000000000000006,0.4284065934065934,0.41999999999999993,0.4083273657289002,0.42400000000000004,0.5236887942638717,4.2,5.4,4.6,5.8
lr,signo_zodiacal_piscis,15,0.5,0.45999999999999996,0.44945054945054946,0.5,0.46958846779818647,0.45199999999999996,0.5213125654874882,5.0,5.8,4.2,5.0
lr,signo_zodiacal_piscis,16,0.5,0.5,0.4772222222222222,0.36,0.40698830409356723,0.541,0.6233803965212634,3.6,3.6,6.4,6.4
lr,signo_zodiacal_piscis,17,0.5,0.5,0.5033333333333333,0.52,0.5094736842105263,0.5439999999999999,0.5871019530005598,5.2,5.2,4.8,4.8
lr,signo_zodiacal_piscis,18,0.5,0.51,0.5024975024975025,0.5199999999999999,0.5045928779944125,0.4959999999999999,0.5532534599903021,5.2,5.0,5.0,4.8
lr,signo_zodiacal_piscis,19,0.5,0.55,0.5661172161172161,0.5599999999999999,0.5524761683329459,0.593,0.6535156309978291,5.6,4.6,5.4,4.4
lr,signo_zodiacal_piscis,20,0.5,0.51,0.49004329004329,0.5199999999999999,0.49559884559884554,0.6080000000000001,0.656334432509355,5.2,5.0,5.0,4.8
lr,signo_zodiacal_piscis,21,0.5,0.54,0.5455988455988455,0.52,0.5280205862249205,0.524,0.6133283491534265,5.2,4.4,5.6,4.8
lr,signo_zodiacal_piscis,22,0.5,0.52,0.5257142857142857,0.56,0.5385645933014354,0.5800000000000001,0.63350062742555,5.6,5.2,4.8,4.4
lr,signo_zodiacal_piscis,23,0.5,0.58,0.5742857142857142,0.5999999999999999,0.5822222222222223,0.6379999999999999,0.6630049188857239,6.0,4.4,5.6,4.0
lr,signo_zodiacal_piscis,24,0.5,0.45,0.43,0.42000000000000004,0.41533333333333333,0.44000000000000006,0.517040220185731,4.2,5.2,4.8,5.8
lr,signo_zodiacal_piscis,25,0.5,0.53,0.5344444444444444,0.48,0.5000611376927167,0.49800000000000005,0.5633342125710545,4.8,4.2,5.8,5.2
lr,signo_zodiacal_piscis,26,0.5,0.48,0.487012987012987,0.45999999999999996,0.4688727165507351,0.49000000000000005,0.567494737288855,4.6,5.0,5.0,5.4
lr,signo_zodiacal_piscis,27,0.5,0.55,0.563045843045843,0.54,0.5422403835676147,0.524,0.5473793773306157,5.4,4.4,5.6,4.6
lr,signo_zodiacal_piscis,28,0.5,0.4600000000000001,0.47242424242424236,0.56,0.5107186147186147,0.47800000000000004,0.5360526063204082,5.6,6.4,3.6,4.4
lr,signo_zodiacal_piscis,29,0.5,0.53,0.5174242424242423,0.58,0.5445887445887446,0.5040000000000001,0.561543558780401,5.8,5.2,4.8,4.2
lr,signo_zodiacal_piscis,30,0.5,0.45,0.4476923076923076,0.48,0.46173913043478254,0.41600000000000004,0.49918359315263333,4.8,5.8,4.2,5.2
lr,signo_zodiacal_piscis,31,0.5,0.45999999999999996,0.46431568431568426,0.54,0.49697722567287783,0.43800000000000006,0.5416113629232824,5.4,6.2,3.8,4.6
lr,signo_zodiacal_piscis,32,0.5,0.5599999999999999,0.5717532467532467,0.5,0.5279178338001866,0.584,0.6165850621686535,5.0,3.8,6.2,5.0
lr,signo_zodiacal_piscis,33,0.5,0.42000000000000004,0.4024531024531024,0.36,0.3752285124576146,0.368,0.4704222834269274,3.6,5.2,4.8,6.4
lr,signo_zodiacal_piscis,34,0.5,0.53,0.5246857717445953,0.5999999999999999,0.5498093058733791,0.492,0.5513752980765364,6.0,5.4,4.6,4.0
lr,signo_zodiacal_piscis,35,0.5,0.53,0.53992673992674,0.5,0.5142549468299905,0.49400000000000005,0.5674316312342629,5.0,4.4,5.6,5.0
lr,signo_zodiacal_piscis,36,0.5,0.43000000000000005,0.40734265734265734,0.4600000000000001,0.4225484660267269,0.42000000000000004,0.48695108649520413,4.6,6.0,4.0,5.4
lr,signo_zodiacal_piscis,37,0.5,0.5,0.4966666666666667,0.45999999999999996,0.47393939393939394,0.54,0.5969655334345736,4.6,4.6,5.4,5.4
lr,signo_zodiacal_piscis,38,0.5,0.39999999999999997,0.38989898989898986,0.36000000000000004,0.3708020050125313,0.41000000000000003,0.502376160990712,3.6,5.6,4.4,6.4
lr,signo_zodiacal_piscis,39,0.5,0.49000000000000005,0.4919347319347319,0.5199999999999999,0.48813512040972,0.502,0.5617389822080223,5.2,5.4,4.6,4.8
lr,signo_zodiacal_piscis,40,0.5,0.49000000000000005,0.49932289932289936,0.5199999999999999,0.49962133594856695,0.45,0.5237921729113679,5.2,5.4,4.6,4.8
