modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_sagitario,1,0.5,0.51,0.485,0.4600000000000001,0.4673015873015872,0.576,0.6285357683252422,4.6,4.4,5.6,5.4
lr,signo_zodiacal_sagitario,2,0.5,0.51,0.525,0.48,0.49118819776714506,0.48600000000000004,0.5651216751085172,4.8,4.6,5.4,5.2
lr,signo_zodiacal_sagitario,3,0.5,0.5900000000000001,0.5844444444444444,0.5799999999999998,0.5796065922381712,0.5740000000000001,0.6312222863136177,5.8,4.0,6.0,4.2
lr,signo_zodiacal_sagitario,4,0.5,0.53,0.5193557422969188,0.6199999999999999,0.5507912457912457,0.554,0.6142662604853006,6.2,5.6,4.4,3.8
lr,signo_zodiacal_sagitario,5,0.5,0.47000000000000003,0.47590909090909095,0.4800000000000001,0.47544011544011544,0.442,0.49843784157019455,4.8,5.4,4.6,5.2
lr,signo_zodiacal_sagitario,6,0.5,0.43,0.4332051282051282,0.41999999999999993,0.41850461133069833,0.45999999999999996,0.5674276114322554,4.2,5.6,4.4,5.8
lr,signo_zodiacal_sagitario,7,0.5,0.39,0.40181818181818185,0.45999999999999996,0.42647619047619045,0.426,0.526775346170857,4.6,6.8,3.2,5.4
lr,signo_zodiacal_sagitario,8,0.5,0.58,0.5795454545454545,0.58,0.5777777777777777,0.5900000000000001,0.6329620646811049,5.8,4.2,5.8,4.2
lr,signo_zodiacal_sagitario,9,0.5,0.51,0.5,0.5199999999999999,0.5020733652312599,0.458,0.5171740018667264,5.2,5.0,5.0,4.8
lr,signo_zodiacal_sagitario,10,0.5,0.5800000000000001,0.5811688311688312,0.56,0.5653934300993124,0.6140000000000001,0.6562073661632486,5.6,4.0,6.0,4.4
lr,signo_zodiacal_sagitario,11,0.5,0.55,0.5831746031746031,0.52,0.520877192982456,0.554,0.5936703635202087,5.2,4.2,5.8,4.8
lr,signo_zodiacal_sagitario,12,0.5,0.41000000000000003,0.42003496503496507,0.43999999999999995,0.4182049689440993,0.406,0.5371681210945916,4.4,6.2,3.8,5.6
lr,signo_zodiacal_sagitario,13,0.5,0.45,0.4712121212121212,0.36,0.3928571428571429,0.44800000000000006,0.5465635204149135,3.6,4.6,5.4,6.4
