modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_virgo,1,0.5,0.47000000000000003,0.4666233766233766,0.45999999999999996,0.45989331617814583,0.512,0.5821200101068522,4.6,5.2,4.8,5.4
lr,signo_zodiacal_virgo,2,0.5,0.5,0.5005555555555555,0.42000000000000004,0.4534795321637427,0.42800000000000005,0.5213033582344728,4.2,4.2,5.8,5.8
lr,signo_zodiacal_virgo,3,0.5,0.45999999999999996,0.4722222222222222,0.52,0.48590393095037054,0.45599999999999996,0.5445156608097784,5.2,6.0,4.0,4.8
lr,signo_zodiacal_virgo,4,0.5,0.42000000000000004,0.3888888888888889,0.32,0.3473684210526316,0.402,0.4869738964166209,3.2,4.8,5.2,6.8
lr,signo_zodiacal_virgo,5,0.5,0.49000000000000005,0.4874242424242425,0.5,0.4918614718614719,0.4620000000000001,0.5417249694749694,5.0,5.2,4.8,5.0
lr,signo_zodiacal_virgo,6,0.5,0.43999999999999995,0.43238095238095237,0.4,0.4137461300309598,0.43599999999999994,0.5311705527015123,4.0,5.2,4.8,6.0
lr,signo_zodiacal_virgo,7,0.5,0.58,0.6015873015873014,0.44000000000000006,0.5004865103936311,0.6359999999999999,0.6571721487147183,4.4,2.8,7.2,5.6
lr,signo_zodiacal_virgo,8,0.5,0.45,0.4592424242424242,0.36,0.39690476190476187,0.41600000000000004,0.5134266772958723,3.6,4.6,5.4,6.4
lr,signo_zodiacal_virgo,9,0.5,0.47000000000000003,0.4745454545454545,0.5,0.48666666666666664,0.47400000000000003,0.5274251673678918,5.0,5.6,4.4,5.0
lr,signo_zodiacal_virgo,10,0.5,0.53,0.5317171717171718,0.58,0.5505964912280701,0.6040000000000001,0.6377381856189904,5.8,5.2,4.8,4.2
lr,signo_zodiacal_virgo,11,0.5,0.5700000000000001,0.575,0.5,0.5294055102104638,0.642,0.6806920377524094,5.0,3.6,6.4,5.0
lr,signo_zodiacal_virgo,12,0.5,0.47000000000000003,0.4662698412698413,0.4,0.42032163742690065,0.398,0.5119907804613686,4.0,4.6,5.4,6.0
lr,signo_zodiacal_virgo,13,0.5,0.43,0.45274725274725275,0.42000000000000004,0.4284171639670361,0.386,0.5198224847048376,4.2,5.6,4.4,5.8
lr,signo_zodiacal_virgo,14,0.5,0.45,0.4481313131313131,0.5,0.4672061973114605,0.4720000000000001,0.5286120360547605,5.0,6.0,4.0,5.0
lr,signo_zodiacal_virgo,15,0.5,0.6,0.6015151515151516,0.62,0.6084757347915242,0.6200000000000001,0.6675716038347617,6.2,4.2,5.8,3.8
lr,signo_zodiacal_virgo,16,0.5,0.48999999999999994,0.48969696969696974,0.56,0.5196190476190476,0.514,0.5946466778835199,5.6,5.8,4.2,4.4
lr,signo_zodiacal_virgo,17,0.5,0.54,0.5433150183150184,0.48,0.501634734748209,0.5680000000000001,0.6271206468969627,4.8,4.0,6.0,5.2
lr,signo_zodiacal_virgo,18,0.5,0.5,0.498974358974359,0.5599999999999999,0.5212367149758454,0.53,0.5989123186754766,5.6,5.6,4.4,4.4
lr,signo_zodiacal_virgo,19,0.5,0.42000000000000004,0.3920313020313021,0.4,0.38767462716311824,0.462,0.5392817372685793,4.0,5.6,4.4,6.0
lr,signo_zodiacal_virgo,20,0.5,0.45,0.4650793650793651,0.4,0.42663164149232263,0.43999999999999995,0.5526561253503978,4.0,5.0,5.0,6.0
lr,signo_zodiacal_virgo,21,0.5,0.5,0.4938095238095238,0.43999999999999995,0.454331550802139,0.53,0.5800933772110243,4.4,4.4,5.6,5.6
lr,signo_zodiacal_virgo,22,0.5,0.49000000000000005,0.4909090909090909,0.56,0.5213250517598345,0.5,0.5606101398601397,5.6,5.8,4.2,4.4
lr,signo_zodiacal_virgo,23,0.5,0.5599999999999999,0.5564102564102564,0.6,0.566533180778032,0.517,0.5384535089093913,6.0,4.8,5.2,4.0
lr,signo_zodiacal_virgo,24,0.5,0.44000000000000006,0.3938394938394938,0.38,0.3712758682068145,0.462,0.567462741506859,3.8,5.0,5.0,6.2
lr,signo_zodiacal_virgo,25,0.5,0.4699999999999999,0.5156243756243757,0.5,0.4902898550724637,0.42200000000000004,0.5034933506466014,5.0,5.6,4.4,5.0
lr,signo_zodiacal_virgo,26,0.5,0.63,0.6242124542124542,0.68,0.6379841897233203,0.6160000000000001,0.616446838077643,6.8,4.2,5.8,3.2
lr,signo_zodiacal_virgo,27,0.5,0.51,0.509090909090909,0.5599999999999999,0.5292615596963424,0.5660000000000001,0.6250281297649718,5.6,5.4,4.6,4.4
lr,signo_zodiacal_virgo,28,0.5,0.5000000000000001,0.4962037962037962,0.5399999999999999,0.5125983990434119,0.5219999999999999,0.6195309608691961,5.4,5.4,4.6,4.6
lr,signo_zodiacal_virgo,29,0.5,0.5599999999999999,0.5642424242424242,0.5599999999999999,0.5615538847117794,0.52,0.5464498819893557,5.6,4.4,5.6,4.4
lr,signo_zodiacal_virgo,30,0.5,0.55,0.5547319347319347,0.54,0.539949329846355,0.49000000000000005,0.5730880261809055,5.4,4.4,5.6,4.6
lr,signo_zodiacal_virgo,31,0.5,0.5,0.5013986013986014,0.48,0.483339422725612,0.476,0.5547247572688749,4.8,4.8,5.2,5.2
lr,signo_zodiacal_virgo,32,0.5,0.5199999999999999,0.5127777777777778,0.54,0.5199298245614035,0.536,0.6186316244814697,5.4,5.0,5.0,4.6
lr,signo_zodiacal_virgo,33,0.5,0.5700000000000001,0.5805194805194805,0.54,0.5482726423902895,0.64,0.6491440771131174,5.4,4.0,6.0,4.6
lr,signo_zodiacal_virgo,34,0.5,0.52,0.536983016983017,0.54,0.5324710753866764,0.56,0.6406316275743521,5.4,5.0,5.0,4.6
lr,signo_zodiacal_virgo,35,0.5,0.64,0.6645887445887446,0.58,0.610546218487395,0.692,0.7209459321208547,5.8,3.0,7.0,4.2
lr,signo_zodiacal_virgo,36,0.5,0.58,0.5855011655011655,0.6,0.582507058159232,0.536,0.5924627986392692,6.0,4.4,5.6,4.0
lr,signo_zodiacal_virgo,37,0.5,0.55,0.5644877344877346,0.5,0.526999852572608,0.522,0.5808970845116355,5.0,4.0,6.0,5.0
lr,signo_zodiacal_virgo,38,0.5,0.57,0.5761904761904761,0.52,0.5414641773774902,0.5820000000000001,0.6105993081565837,5.2,3.8,6.2,4.8
lr,signo_zodiacal_virgo,39,0.5,0.41,0.42333333333333334,0.5,0.4556363636363637,0.41200000000000003,0.5079001929443105,5.0,6.8,3.2,5.0
lr,signo_zodiacal_virgo,40,0.5,0.63,0.6434632034632035,0.62,0.6149803921568628,0.622,0.6704599936527181,6.2,3.6,6.4,3.8
lr,signo_zodiacal_virgo,41,0.5,0.51,0.5166666666666667,0.5399999999999999,0.5263157894736842,0.484,0.5681397583324828,5.4,5.2,4.8,4.6
lr,signo_zodiacal_virgo,42,0.5,0.45,0.46944444444444444,0.38,0.41410154173312075,0.454,0.5661562985518094,3.8,4.8,5.2,6.2
lr,signo_zodiacal_virgo,43,0.5,0.49000000000000005,0.4997474747474747,0.48,0.4878028404344194,0.48200000000000004,0.579672900199216,4.8,5.0,5.0,5.2
lr,signo_zodiacal_virgo,44,0.5,0.5399999999999999,0.5886691086691087,0.48,0.5154807735451159,0.616,0.6846370455310083,4.8,4.0,6.0,5.2
lr,signo_zodiacal_virgo,45,0.5,0.53,0.5259823509823509,0.5399999999999999,0.5259492993508339,0.538,0.5849668921549727,5.4,4.8,5.2,4.6
lr,signo_zodiacal_virgo,46,0.5,0.5999999999999999,0.601111111111111,0.58,0.5877405635300372,0.636,0.6776140042448091,5.8,3.8,6.2,4.2
lr,signo_zodiacal_virgo,47,0.5,0.56,0.5819047619047619,0.42000000000000004,0.48323529411764704,0.54,0.5823671404275119,4.2,3.0,7.0,5.8
lr,signo_zodiacal_virgo,48,0.5,0.4800000000000001,0.49474747474747477,0.44000000000000006,0.45669172932330826,0.42800000000000005,0.5322269685079284,4.4,4.8,5.2,5.6
