,pos_rate_bootstrap,pos_rate_bootstrap,cv_accuracy,cv_accuracy,cv_precision,cv_precision,cv_recall,cv_recall,cv_f1,cv_f1,cv_roc_auc,cv_roc_auc,cv_pr_auc,cv_pr_auc,cv_tp_mean,cv_tp_mean,cv_fp_mean,cv_fp_mean,cv_tn_mean,cv_tn_mean,cv_fn_mean,cv_fn_mean
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
signo,,,,,,,,,,,,,,,,,,,,,,
signo_zodiacal_acuario,0.5,0.0,0.49798000000000003,0.06222751905914708,0.49649758418052536,0.06721052416179381,0.50004,0.08019514275717499,0.4909688978155052,0.06894958590771637,0.498568,0.07633966770776163,0.5668524817885932,0.058186900944511254,5.0004,0.8019514275717503,5.0408,0.7763638590785678,4.9592,0.7763638590785678,4.9996,0.8019514275717503
signo_zodiacal_aries,0.5,0.0,0.5025,0.061724953947976044,0.5033520944088591,0.06632767226586016,0.50528,0.07132949877007115,0.4973879252628239,0.06370139928145124,0.49954200000000004,0.07653136831831342,0.5674159018456603,0.05976326459643728,5.0528,0.7132949877007114,5.002800000000001,0.8177834061649808,4.997199999999999,0.8177834061649808,4.9472,0.7132949877007114
signo_zodiacal_cancer,0.5,0.0,0.5041,0.061931098180507765,0.5049181094722272,0.06748173658666666,0.50384,0.08111234693714206,0.4961655799782395,0.06909469941580708,0.506248,0.07682843035896832,0.5715283913207535,0.058929340209752316,5.038399999999999,0.8111234693714205,4.9563999999999995,0.7851955834111759,5.0436000000000005,0.785195583411176,4.961600000000001,0.8111234693714205
signo_zodiacal_capricornio,0.5,0.0,0.50346,0.05968713016232248,0.5037073776223776,0.06584342176645117,0.50384,0.0737409645971589,0.49596307137068074,0.06468597558548381,0.502618,0.07695638144618405,0.571130174719845,0.05940284359327196,5.038399999999999,0.7374096459715885,4.9692,0.7870261624372605,5.0308,0.7870261624372604,4.961600000000001,0.7374096459715883
signo_zodiacal_escorpio,0.5,0.0,0.50072,0.06055754314752316,0.5014066405816406,0.06420171264741278,0.50368,0.0759763279239634,0.49525620207627236,0.06600630820956443,0.5043960000000001,0.07264823960313747,0.5720518632710598,0.057290679599683814,5.0368,0.7597632792396336,5.022399999999999,0.7299890465041458,4.977600000000001,0.7299890465041458,4.9632,0.7597632792396336
signo_zodiacal_geminis,0.5,0.0,0.50004,0.06293743433984707,0.5007311718020542,0.06783375495379358,0.50008,0.07502567095738104,0.49299168866584075,0.06666590409738844,0.49999,0.07891276416839924,0.5688311558512007,0.058941085028810236,5.0008,0.7502567095738103,5.0,0.7983951839405583,5.0,0.7983951839405583,4.9992,0.7502567095738103
signo_zodiacal_leo,0.5,0.0,0.4977,0.06050977496017864,0.49719179689591453,0.06648926183936758,0.49907999999999997,0.07533461494171743,0.4906921311925985,0.0665534496415864,0.49672000000000005,0.07221070815845454,0.566153337650138,0.05710787503936461,4.9908,0.7533461494171745,5.0368,0.7370564866610008,4.9632,0.7370564866610008,5.0092,0.7533461494171745
signo_zodiacal_libra,0.5,0.0,0.49810000000000004,0.05981760854953306,0.4969806904859846,0.06539366078437574,0.49488,0.07729511413626788,0.48841615668673466,0.0673435497047307,0.49788,0.07533397650484186,0.5678322469505038,0.058145107260297264,4.9488,0.7729511413626786,4.986800000000001,0.745047617205644,5.013199999999999,0.745047617205644,5.0512,0.7729511413626786
signo_zodiacal_ofiuco,0.5,0.0,0.49794,0.06069699044679729,0.4976992067409714,0.06568019965968662,0.49832,0.07628904007307037,0.49044792125698844,0.06675171463771071,0.497352,0.07491772438384459,0.5658906180590995,0.05637740847280264,4.9832,0.7628904007307041,5.0244,0.7383868025230952,4.9756,0.7383868025230952,5.0168,0.762890400730704
signo_zodiacal_piscis,0.5,0.0,0.50022,0.059639461186879635,0.4999251910507793,0.06448128491971511,0.49936,0.07505502590651511,0.49209765766007874,0.06517730941276674,0.5002920000000001,0.07536427724438907,0.5677070930808097,0.056834117404292506,4.993600000000001,0.750550259065151,4.989199999999999,0.7560864324842588,5.010800000000001,0.7560864324842588,5.006399999999999,0.750550259065151
signo_zodiacal_sagitario,0.5,0.0,0.49866000000000005,0.061809750772682824,0.49970245535510244,0.06571683111867274,0.49944,0.07440132737411383,0.49196818176622537,0.06540796719604884,0.499392,0.07690387993787438,0.5684872065466353,0.058944496670614355,4.9944,0.7440132737411385,5.021199999999999,0.7915071238176623,4.978800000000001,0.7915071238176623,5.0056,0.7440132737411385
signo_zodiacal_tauro,0.5,0.0,0.49818,0.05998737008019501,0.4977664104849399,0.06560487571406325,0.49532,0.07287743024887304,0.48930416485939493,0.06421637209619747,0.496834,0.07240358417926564,0.56696853584496,0.055622440974174625,4.9532,0.7287743024887307,4.9896,0.7824040850510748,5.0104,0.7824040850510748,5.0468,0.7287743024887307
signo_zodiacal_virgo,0.5,0.0,0.5042,0.061085373418612955,0.5049518065594536,0.06677832199109647,0.50244,0.07383868025230951,0.4961806876275139,0.0652416731483469,0.502484,0.07641355774740005,0.5704228888656923,0.05905484592517007,5.0244,0.738386802523095,4.9403999999999995,0.7841413107280985,5.0596000000000005,0.7841413107280985,4.9756,0.7383868025230949
