modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_aries,1,0.5,0.53,0.5230769230769231,0.54,0.5264320220841959,0.569,0.6015855723224144,5.4,4.8,5.2,4.6
rf,signo_zodiacal_aries,2,0.5,0.53,0.5352380952380952,0.45999999999999996,0.4913931888544892,0.43,0.5064397922339099,4.6,4.0,6.0,5.4
rf,signo_zodiacal_aries,3,0.5,0.52,0.5211111111111111,0.52,0.5013151059466849,0.5730000000000001,0.6177386377812073,5.2,4.8,5.2,4.8
rf,signo_zodiacal_aries,4,0.5,0.58,0.5781684981684982,0.5599999999999999,0.5523686453986629,0.5770000000000001,0.5997964802655205,5.6,4.0,6.0,4.4
rf,signo_zodiacal_aries,5,0.5,0.45999999999999996,0.4537337662337662,0.48,0.4579257343963226,0.49799999999999994,0.5489145452071148,4.8,5.6,4.4,5.2
rf,signo_zodiacal_aries,6,0.5,0.52,0.5317460317460319,0.45999999999999996,0.48241314069487445,0.538,0.6331346527569438,4.6,4.2,5.8,5.4
rf,signo_zodiacal_aries,7,0.5,0.44000000000000006,0.46409090909090905,0.6199999999999999,0.5256703296703297,0.434,0.5197807033867405,6.2,7.4,2.6,3.8
rf,signo_zodiacal_aries,8,0.5,0.5900000000000001,0.6030769230769231,0.52,0.5421128909229596,0.5660000000000001,0.5832423018158311,5.2,3.4,6.6,4.8
rf,signo_zodiacal_aries,9,0.5,0.44000000000000006,0.4309523809523809,0.4,0.4072755417956656,0.45499999999999996,0.5338635355872198,4.0,5.2,4.8,6.0
rf,signo_zodiacal_aries,10,0.5,0.4600000000000001,0.4618181818181818,0.45999999999999996,0.4599498746867168,0.502,0.555415325902168,4.6,5.4,4.6,5.4
rf,signo_zodiacal_aries,11,0.5,0.54,0.5569347319347319,0.5,0.5169772256728778,0.583,0.6210069625936498,5.0,4.2,5.8,5.0
rf,signo_zodiacal_aries,12,0.5,0.41,0.41742424242424236,0.45999999999999996,0.4354978354978355,0.39799999999999996,0.47476521784029513,4.6,6.4,3.6,5.4
rf,signo_zodiacal_aries,13,0.5,0.44000000000000006,0.42817460317460315,0.37999999999999995,0.39853019357663316,0.446,0.536493535274495,3.8,5.0,5.0,6.2
rf,signo_zodiacal_aries,14,0.5,0.57,0.5729137529137529,0.54,0.5411398060368311,0.545,0.5863390400449223,5.4,4.0,6.0,4.6
