modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_cancer,1,0.5,0.4,0.40102564102564103,0.5,0.44181993851559076,0.343,0.4490079673508466,5.0,7.0,3.0,5.0
rf,signo_zodiacal_cancer,2,0.5,0.53,0.5489743589743589,0.5199999999999999,0.5241458058849363,0.571,0.6026208050635296,5.2,4.6,5.4,4.8
rf,signo_zodiacal_cancer,3,0.5,0.51,0.509090909090909,0.52,0.5050785531603946,0.488,0.562609250828291,5.2,5.0,5.0,4.8
rf,signo_zodiacal_cancer,4,0.5,0.49000000000000005,0.48278388278388273,0.52,0.49590425727187065,0.475,0.5522994042421286,5.2,5.4,4.6,4.8
rf,signo_zodiacal_cancer,5,0.5,0.54,0.5483333333333333,0.5599999999999999,0.5511111111111111,0.567,0.6314677632309211,5.6,4.8,5.2,4.4
rf,signo_zodiacal_cancer,6,0.5,0.55,0.5531313131313131,0.54,0.5457644110275689,0.5599999999999999,0.6136152619310513,5.4,4.4,5.6,4.6
rf,signo_zodiacal_cancer,7,0.5,0.6699999999999999,0.7094083694083694,0.6000000000000001,0.6428306059265811,0.735,0.7580369701677752,6.0,2.6,7.4,4.0
rf,signo_zodiacal_cancer,8,0.5,0.44000000000000006,0.44988344988344986,0.5,0.4723131940523245,0.466,0.5444612064921663,5.0,6.2,3.8,5.0
rf,signo_zodiacal_cancer,9,0.5,0.48,0.4712698412698413,0.48,0.46481658692185,0.42700000000000005,0.5013831097523048,4.8,5.2,4.8,5.2
rf,signo_zodiacal_cancer,10,0.5,0.5,0.475,0.5,0.4695555555555555,0.45099999999999996,0.5051815233270341,5.0,5.0,5.0,5.0
rf,signo_zodiacal_cancer,11,0.5,0.45,0.44145854145854146,0.48,0.45292493809117856,0.45199999999999996,0.5408162219617327,4.8,5.8,4.2,5.2
rf,signo_zodiacal_cancer,12,0.5,0.5,0.5233333333333333,0.47999999999999987,0.47699604743083,0.48,0.5467175438940144,4.8,4.8,5.2,5.2
rf,signo_zodiacal_cancer,13,0.5,0.49000000000000005,0.497979797979798,0.52,0.5066302118933698,0.549,0.6232124792991666,5.2,5.4,4.6,4.8
rf,signo_zodiacal_cancer,14,0.5,0.5199999999999999,0.5390909090909091,0.45999999999999996,0.4835281385281386,0.476,0.5693649797914504,4.6,4.2,5.8,5.4
rf,signo_zodiacal_cancer,15,0.5,0.48,0.48461538461538456,0.5399999999999999,0.506675450153711,0.42300000000000004,0.4782917997035644,5.4,5.8,4.2,4.6
rf,signo_zodiacal_cancer,16,0.5,0.5,0.49036075036075044,0.45999999999999996,0.47224237063246355,0.446,0.512241509694296,4.6,4.6,5.4,5.4
rf,signo_zodiacal_cancer,17,0.5,0.4800000000000001,0.4814141414141414,0.56,0.5137826384142173,0.49799999999999994,0.5648025589821255,5.6,6.0,4.0,4.4
rf,signo_zodiacal_cancer,18,0.5,0.47000000000000003,0.486060606060606,0.43999999999999995,0.45417027417027417,0.49399999999999994,0.5847311299811299,4.4,5.0,5.0,5.6
rf,signo_zodiacal_cancer,19,0.5,0.56,0.563986013986014,0.5999999999999999,0.5707321663843403,0.615,0.6653813671708408,6.0,4.8,5.2,4.0
rf,signo_zodiacal_cancer,20,0.5,0.5700000000000001,0.5925829725829725,0.5,0.5351371074745688,0.631,0.6768356796282493,5.0,3.6,6.4,5.0
rf,signo_zodiacal_cancer,21,0.5,0.53,0.5518315018315019,0.52,0.52810865418215,0.565,0.6351091494504807,5.2,4.6,5.4,4.8
rf,signo_zodiacal_cancer,22,0.5,0.53,0.5420634920634921,0.5800000000000001,0.5461722488038278,0.519,0.5711501364132944,5.8,5.2,4.8,4.2
rf,signo_zodiacal_cancer,23,0.5,0.53,0.5424242424242424,0.52,0.5233766233766234,0.5359999999999999,0.5607047931428737,5.2,4.6,5.4,4.8
rf,signo_zodiacal_cancer,24,0.5,0.6,0.5863691863691863,0.5599999999999999,0.5627652891820343,0.6,0.6301147916411074,5.6,3.6,6.4,4.4
rf,signo_zodiacal_cancer,25,0.5,0.43,0.43238095238095237,0.42000000000000004,0.4212953060011883,0.41600000000000004,0.5195765068265068,4.2,5.6,4.4,5.8
rf,signo_zodiacal_cancer,26,0.5,0.54,0.5481240981240981,0.52,0.5291597978904481,0.509,0.5542782299399946,5.2,4.4,5.6,4.8
