modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_capricornio,1,0.5,0.5,0.5,0.56,0.5260869565217392,0.46799999999999997,0.5202609427036672,5.6,5.6,4.4,4.4
rf,signo_zodiacal_capricornio,2,0.5,0.58,0.5740293040293041,0.62,0.5896117182050686,0.585,0.5976357325165375,6.2,4.6,5.4,3.8
rf,signo_zodiacal_capricornio,3,0.5,0.42000000000000004,0.4306027306027306,0.42000000000000004,0.4204225397252722,0.384,0.5067343629023194,4.2,5.8,4.2,5.8
rf,signo_zodiacal_capricornio,4,0.5,0.47000000000000003,0.45499999999999996,0.38,0.40888888888888886,0.461,0.5067702375024357,3.8,4.4,5.6,6.2
rf,signo_zodiacal_capricornio,5,0.5,0.5,0.495,0.52,0.5048484848484848,0.548,0.5858857112959279,5.2,5.2,4.8,4.8
rf,signo_zodiacal_capricornio,6,0.5,0.5399999999999999,0.5341269841269841,0.5599999999999999,0.5403242955874534,0.5529999999999999,0.5877727278741209,5.6,4.8,5.2,4.4
rf,signo_zodiacal_capricornio,7,0.5,0.48,0.4847319347319347,0.48,0.47424851363470283,0.465,0.5351250503882083,4.8,5.2,4.8,5.2
rf,signo_zodiacal_capricornio,8,0.5,0.55,0.5561111111111111,0.5,0.5258479532163742,0.581,0.6578291528732706,5.0,4.0,6.0,5.0
rf,signo_zodiacal_capricornio,9,0.5,0.47000000000000003,0.47333333333333333,0.5999999999999999,0.5122380952380953,0.5129999999999999,0.6199169380670928,6.0,6.6,3.4,4.0
rf,signo_zodiacal_capricornio,10,0.5,0.54,0.531068931068931,0.64,0.5784490871447392,0.568,0.6111899185266059,6.4,5.6,4.4,3.6
rf,signo_zodiacal_capricornio,11,0.5,0.61,0.607070707070707,0.68,0.6380610617452722,0.6040000000000001,0.6469985478058232,6.8,4.6,5.4,3.2
rf,signo_zodiacal_capricornio,12,0.5,0.48,0.477979797979798,0.43999999999999995,0.45627401837928155,0.479,0.5664900855078873,4.4,4.8,5.2,5.6
rf,signo_zodiacal_capricornio,13,0.5,0.59,0.6566666666666667,0.44000000000000006,0.5107142857142858,0.5619999999999999,0.644365773717167,4.4,2.6,7.4,5.6
rf,signo_zodiacal_capricornio,14,0.5,0.48999999999999994,0.4942002442002441,0.54,0.5076430613851532,0.46099999999999997,0.5480815959066733,5.4,5.6,4.4,4.6
rf,signo_zodiacal_capricornio,15,0.5,0.55,0.5487912087912087,0.6,0.5543853367433931,0.5650000000000001,0.6293074795002039,6.0,5.0,5.0,4.0
rf,signo_zodiacal_capricornio,16,0.5,0.47000000000000003,0.45619047619047615,0.42000000000000004,0.4246470588235295,0.413,0.49725598438369334,4.2,4.8,5.2,5.8
rf,signo_zodiacal_capricornio,17,0.5,0.54,0.5515873015873016,0.5599999999999999,0.5471526409606905,0.628,0.6964268694841451,5.6,4.8,5.2,4.4
rf,signo_zodiacal_capricornio,18,0.5,0.43000000000000005,0.4438095238095238,0.43999999999999995,0.4355377302436126,0.404,0.5067542386234336,4.4,5.8,4.2,5.6
rf,signo_zodiacal_capricornio,19,0.5,0.53,0.5311111111111112,0.52,0.5232429558745348,0.5090000000000001,0.528286886316298,5.2,4.6,5.4,4.8
rf,signo_zodiacal_capricornio,20,0.5,0.56,0.5635198135198135,0.62,0.5882393731363982,0.5360000000000001,0.569274817889369,6.2,5.0,5.0,3.8
rf,signo_zodiacal_capricornio,21,0.5,0.44000000000000006,0.4523809523809524,0.45999999999999996,0.4505050505050505,0.39399999999999996,0.5095032014768857,4.6,5.8,4.2,5.4
rf,signo_zodiacal_capricornio,22,0.5,0.37,0.34944444444444445,0.36,0.34988304093567246,0.319,0.4589642735145831,3.6,6.2,3.8,6.4
rf,signo_zodiacal_capricornio,23,0.5,0.45,0.4626540126540126,0.5199999999999999,0.4822317069120138,0.4620000000000001,0.5473149165076409,5.2,6.2,3.8,4.8
rf,signo_zodiacal_capricornio,24,0.5,0.4699999999999999,0.46007326007326005,0.45999999999999996,0.4554852604657424,0.49000000000000005,0.5387403880948772,4.6,5.2,4.8,5.4
rf,signo_zodiacal_capricornio,25,0.5,0.49000000000000005,0.48317460317460315,0.45999999999999996,0.4574190824655221,0.5199999999999999,0.592175759912602,4.6,4.8,5.2,5.4
rf,signo_zodiacal_capricornio,26,0.5,0.53,0.5242424242424242,0.56,0.5338744588744588,0.522,0.578329177358589,5.6,5.0,5.0,4.4
rf,signo_zodiacal_capricornio,27,0.5,0.51,0.4926190476190476,0.44000000000000006,0.4593196672608437,0.491,0.5698741654802026,4.4,4.2,5.8,5.6
rf,signo_zodiacal_capricornio,28,0.5,0.45,0.4546453546453547,0.48,0.4590630455080583,0.496,0.5530203289142918,4.8,5.8,4.2,5.2
rf,signo_zodiacal_capricornio,29,0.5,0.45,0.4451770451770452,0.4800000000000001,0.45746032134509723,0.523,0.5900977890358695,4.8,5.8,4.2,5.2
rf,signo_zodiacal_capricornio,30,0.5,0.45999999999999996,0.45757575757575764,0.38,0.40839598997493737,0.476,0.5483155151522026,3.8,4.6,5.4,6.2
rf,signo_zodiacal_capricornio,31,0.5,0.5800000000000001,0.5815584415584416,0.5,0.5313398692810457,0.544,0.6094892530070548,5.0,3.4,6.6,5.0
rf,signo_zodiacal_capricornio,32,0.5,0.45999999999999996,0.45757575757575764,0.4,0.4222848788638263,0.472,0.5544808735296352,4.0,4.8,5.2,6.0
rf,signo_zodiacal_capricornio,33,0.5,0.5,0.5,0.54,0.504449472096531,0.503,0.549207349238309,5.4,5.4,4.6,4.6
rf,signo_zodiacal_capricornio,34,0.5,0.41,0.38095238095238093,0.44000000000000006,0.3972755417956656,0.368,0.4918556453866051,4.4,6.2,3.8,5.6
rf,signo_zodiacal_capricornio,35,0.5,0.42000000000000004,0.40714285714285714,0.42000000000000004,0.4106496186991543,0.374,0.4551914659987416,4.2,5.8,4.2,5.8
rf,signo_zodiacal_capricornio,36,0.5,0.53,0.5511904761904762,0.43999999999999995,0.48840729274165806,0.562,0.6042674623278339,4.4,3.8,6.2,5.6
rf,signo_zodiacal_capricornio,37,0.5,0.45,0.4486868686868687,0.38,0.40080200501253127,0.458,0.5414331440832989,3.8,4.8,5.2,6.2
rf,signo_zodiacal_capricornio,38,0.5,0.47000000000000003,0.4653568653568653,0.48,0.4673627803524155,0.5030000000000001,0.5517073744968481,4.8,5.4,4.6,5.2
rf,signo_zodiacal_capricornio,39,0.5,0.52,0.5103846153846153,0.5599999999999999,0.530144927536232,0.5249999999999999,0.5459106167310501,5.6,5.2,4.8,4.4
rf,signo_zodiacal_capricornio,40,0.5,0.5900000000000001,0.5868531468531468,0.6599999999999999,0.6201054018445322,0.533,0.5582130924630924,6.6,4.8,5.2,3.4
rf,signo_zodiacal_capricornio,41,0.5,0.49000000000000005,0.4983682983682984,0.44000000000000006,0.4568540917511169,0.509,0.5818088027383693,4.4,4.6,5.4,5.6
rf,signo_zodiacal_capricornio,42,0.5,0.36,0.3092857142857143,0.28,0.2834509803921569,0.38100000000000006,0.46457455367130296,2.8,5.6,4.4,7.2
rf,signo_zodiacal_capricornio,43,0.5,0.57,0.5867521367521367,0.56,0.5692601067887109,0.6210000000000001,0.6675635089884315,5.6,4.2,5.8,4.4
rf,signo_zodiacal_capricornio,44,0.5,0.58,0.5583333333333333,0.6,0.5655686418844313,0.526,0.5727729029656274,6.0,4.4,5.6,4.0
rf,signo_zodiacal_capricornio,45,0.5,0.5800000000000001,0.5698135198135199,0.6599999999999999,0.6109166196122717,0.592,0.6524862251611477,6.6,5.0,5.0,3.4
rf,signo_zodiacal_capricornio,46,0.5,0.48,0.4796536796536796,0.48,0.4746286393345217,0.4779999999999999,0.5601901344269765,4.8,5.2,4.8,5.2
rf,signo_zodiacal_capricornio,47,0.5,0.48,0.486935286935287,0.48,0.47205059750826334,0.4699999999999999,0.5194525378302468,4.8,5.2,4.8,5.2
rf,signo_zodiacal_capricornio,48,0.5,0.5199999999999999,0.47928571428571426,0.48,0.46410415178217035,0.59,0.6011259363271747,4.8,4.4,5.6,5.2
rf,signo_zodiacal_capricornio,49,0.5,0.41,0.40166666666666667,0.38,0.3878043593833067,0.31199999999999994,0.45831986030825045,3.8,5.6,4.4,6.2
rf,signo_zodiacal_capricornio,50,0.5,0.51,0.528080808080808,0.4600000000000001,0.4830075187969924,0.48200000000000004,0.5607055738379267,4.6,4.4,5.6,5.4
rf,signo_zodiacal_capricornio,51,0.5,0.4,0.3754329004329004,0.32,0.3427097154651334,0.323,0.439455741369054,3.2,5.2,4.8,6.8
rf,signo_zodiacal_capricornio,52,0.5,0.55,0.5526923076923077,0.58,0.5619411506368028,0.584,0.6200647212264859,5.8,4.8,5.2,4.2
rf,signo_zodiacal_capricornio,53,0.5,0.5700000000000001,0.5672727272727272,0.6,0.5828571428571429,0.557,0.6114736935750867,6.0,4.6,5.4,4.0
rf,signo_zodiacal_capricornio,54,0.5,0.53,0.5444444444444445,0.44000000000000006,0.47192982456140353,0.597,0.6444461835034591,4.4,3.8,6.2,5.6
rf,signo_zodiacal_capricornio,55,0.5,0.4600000000000001,0.4562193362193362,0.33999999999999997,0.38204186937933066,0.49899999999999994,0.5529076262574716,3.4,4.2,5.8,6.6
rf,signo_zodiacal_capricornio,56,0.5,0.48,0.46412698412698405,0.54,0.48930143540669857,0.41899999999999993,0.493205710955711,5.4,5.8,4.2,4.6
rf,signo_zodiacal_capricornio,57,0.5,0.51,0.5106060606060606,0.5399999999999999,0.5228070175438596,0.5199999999999999,0.6113061090955827,5.4,5.2,4.8,4.6
rf,signo_zodiacal_capricornio,58,0.5,0.37,0.331025641025641,0.33999999999999997,0.32873540901000853,0.37,0.5058760802321174,3.4,6.0,4.0,6.6
rf,signo_zodiacal_capricornio,59,0.5,0.42000000000000004,0.3977045177045177,0.42000000000000004,0.3997286310405169,0.367,0.46457534948711415,4.2,5.8,4.2,5.8
rf,signo_zodiacal_capricornio,60,0.5,0.56,0.5821428571428571,0.45999999999999996,0.5117647058823529,0.583,0.6647749013971924,4.6,3.4,6.6,5.4
