modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_escorpio,1,0.5,0.5700000000000001,0.6036013986013986,0.5399999999999999,0.5547550034506556,0.665,0.6927840188707062,5.4,4.0,6.0,4.6
rf,signo_zodiacal_escorpio,2,0.5,0.43999999999999995,0.42764790764790767,0.4,0.41167035235146693,0.491,0.5789362771731192,4.0,5.2,4.8,6.0
rf,signo_zodiacal_escorpio,3,0.5,0.54,0.553138528138528,0.45999999999999996,0.49598506069094306,0.514,0.5660492818155356,4.6,3.8,6.2,5.4
rf,signo_zodiacal_escorpio,4,0.5,0.55,0.55,0.45999999999999996,0.4985380116959064,0.537,0.5622251529000755,4.6,3.6,6.4,5.4
rf,signo_zodiacal_escorpio,5,0.5,0.47000000000000003,0.4668686868686868,0.43999999999999995,0.4515956558061821,0.45,0.5991264605707329,4.4,5.0,5.0,5.6
rf,signo_zodiacal_escorpio,6,0.5,0.43999999999999995,0.4204761904761905,0.4,0.4063783344278701,0.38199999999999995,0.47268248890772113,4.0,5.2,4.8,6.0
rf,signo_zodiacal_escorpio,7,0.5,0.5599999999999999,0.5616161616161616,0.5599999999999999,0.5604010025062657,0.538,0.6036381394663127,5.6,4.4,5.6,4.4
rf,signo_zodiacal_escorpio,8,0.5,0.45,0.45566378066378066,0.45999999999999996,0.4533834586466165,0.46799999999999997,0.5574656269083513,4.6,5.6,4.4,5.4
rf,signo_zodiacal_escorpio,9,0.5,0.51,0.5070707070707071,0.45999999999999996,0.47667084377610697,0.5509999999999999,0.5679242495550545,4.6,4.4,5.6,5.4
rf,signo_zodiacal_escorpio,10,0.5,0.4600000000000001,0.4932167832167832,0.48,0.46196687370600414,0.45999999999999996,0.5608450183287644,4.8,5.6,4.4,5.2
rf,signo_zodiacal_escorpio,11,0.5,0.41,0.4066666666666666,0.44000000000000006,0.42133971291866035,0.40599999999999997,0.4859337314732052,4.4,6.2,3.8,5.6
rf,signo_zodiacal_escorpio,12,0.5,0.51,0.5129292929292929,0.54,0.5248302574618364,0.524,0.5957260707129127,5.4,5.2,4.8,4.6
rf,signo_zodiacal_escorpio,13,0.5,0.56,0.5493506493506494,0.5599999999999999,0.5515406162464986,0.5800000000000001,0.6254967891585539,5.6,4.4,5.6,4.4
rf,signo_zodiacal_escorpio,14,0.5,0.54,0.5434188034188034,0.52,0.527388761759471,0.524,0.6287841813329429,5.2,4.4,5.6,4.8
rf,signo_zodiacal_escorpio,15,0.5,0.49000000000000005,0.5027777777777778,0.4,0.44210526315789467,0.49300000000000005,0.5851214357537887,4.0,4.2,5.8,6.0
rf,signo_zodiacal_escorpio,16,0.5,0.45999999999999996,0.4817016317016317,0.52,0.48811405985319034,0.4049999999999999,0.4884799655109253,5.2,6.0,4.0,4.8
