modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_geminis,1,0.5,0.51,0.5045238095238095,0.34,0.39508295625942685,0.48200000000000004,0.5407964539760205,3.4,3.2,6.8,6.6
rf,signo_zodiacal_geminis,2,0.5,0.51,0.5469230769230768,0.5,0.5017617165443252,0.5109999999999999,0.5852118977513714,5.0,4.8,5.2,5.0
rf,signo_zodiacal_geminis,3,0.5,0.49000000000000005,0.4933333333333333,0.5,0.4958395989974937,0.522,0.6010513016395369,5.0,5.2,4.8,5.0
rf,signo_zodiacal_geminis,4,0.5,0.51,0.5153535353535353,0.54,0.521390142021721,0.534,0.5733557831057831,5.4,5.2,4.8,4.6
rf,signo_zodiacal_geminis,5,0.5,0.51,0.4982142857142858,0.58,0.5272315919374743,0.458,0.5525489218383954,5.8,5.6,4.4,4.2
rf,signo_zodiacal_geminis,6,0.5,0.5,0.5094372294372295,0.48,0.4909096270086982,0.46099999999999997,0.5244961961842767,4.8,4.8,5.2,5.2
rf,signo_zodiacal_geminis,7,0.5,0.6,0.6355555555555557,0.48,0.5379239766081871,0.5960000000000001,0.6331225092417043,4.8,2.8,7.2,5.2
rf,signo_zodiacal_geminis,8,0.5,0.6500000000000001,0.642020202020202,0.66,0.6500250626566416,0.707,0.7122777675540832,6.6,3.6,6.4,3.4
rf,signo_zodiacal_geminis,9,0.5,0.5700000000000001,0.5658741258741259,0.6199999999999999,0.5903105590062111,0.562,0.5808033802283028,6.2,4.8,5.2,3.8
rf,signo_zodiacal_geminis,10,0.5,0.45999999999999996,0.4545609945609946,0.48,0.46444589735207586,0.40800000000000003,0.48609890152846813,4.8,5.6,4.4,5.2
rf,signo_zodiacal_geminis,11,0.5,0.38,0.39527777777777773,0.4800000000000001,0.4255955506481822,0.409,0.4912946975624994,4.8,7.2,2.8,5.2
rf,signo_zodiacal_geminis,12,0.5,0.5,0.5087662337662338,0.4,0.4366946778711484,0.586,0.6051861995933203,4.0,4.0,6.0,6.0
rf,signo_zodiacal_geminis,13,0.5,0.45999999999999996,0.4743939393939394,0.48,0.4652106782106783,0.46499999999999997,0.5556472267842236,4.8,5.6,4.4,5.2
rf,signo_zodiacal_geminis,14,0.5,0.4600000000000001,0.452579365079365,0.48,0.45121655949829326,0.49700000000000005,0.5747095327273346,4.8,5.6,4.4,5.2
rf,signo_zodiacal_geminis,15,0.5,0.5,0.5025757575757576,0.5800000000000001,0.531015873015873,0.5189999999999999,0.5877671299288946,5.8,5.8,4.2,4.2
rf,signo_zodiacal_geminis,16,0.5,0.41,0.3940476190476191,0.38,0.3816993464052288,0.42899999999999994,0.5165480265348685,3.8,5.6,4.4,6.2
rf,signo_zodiacal_geminis,17,0.5,0.58,0.584126984126984,0.5599999999999999,0.5605263157894738,0.5700000000000001,0.5960636944754591,5.6,4.0,6.0,4.4
rf,signo_zodiacal_geminis,18,0.5,0.55,0.5573626373626374,0.48,0.4973389909323413,0.613,0.6644952494186239,4.8,3.8,6.2,5.2
rf,signo_zodiacal_geminis,19,0.5,0.3,0.2787878787878788,0.26,0.26553884711779446,0.273,0.4206207528281832,2.6,6.6,3.4,7.4
rf,signo_zodiacal_geminis,20,0.5,0.49000000000000005,0.4976190476190476,0.45999999999999996,0.47450042217844074,0.471,0.5353436014449946,4.6,4.8,5.2,5.4
rf,signo_zodiacal_geminis,21,0.5,0.53,0.5305555555555556,0.5800000000000001,0.548681321221367,0.549,0.5751867011557414,5.8,5.2,4.8,4.2
rf,signo_zodiacal_geminis,22,0.5,0.45,0.45912587412587413,0.48,0.4659351276742581,0.42700000000000005,0.4899696333078685,4.8,5.8,4.2,5.2
rf,signo_zodiacal_geminis,23,0.5,0.6100000000000001,0.6175213675213675,0.6,0.597982109423757,0.6110000000000001,0.6380658508158508,6.0,3.8,6.2,4.0
rf,signo_zodiacal_geminis,24,0.5,0.5399999999999999,0.55,0.48,0.4972549019607843,0.539,0.5451131641835975,4.8,4.0,6.0,5.2
rf,signo_zodiacal_geminis,25,0.5,0.51,0.5085714285714286,0.44000000000000006,0.4597504456327986,0.526,0.5787265410028567,4.4,4.2,5.8,5.6
rf,signo_zodiacal_geminis,26,0.5,0.59,0.6114285714285714,0.5,0.5458823529411765,0.58,0.6159268688827512,5.0,3.2,6.8,5.0
rf,signo_zodiacal_geminis,27,0.5,0.4800000000000001,0.4736013986013986,0.44000000000000006,0.44753278122843343,0.458,0.5597629963775475,4.4,4.8,5.2,5.6
rf,signo_zodiacal_geminis,28,0.5,0.47000000000000003,0.4566317016317016,0.48,0.46489702517162473,0.417,0.48679401257497223,4.8,5.4,4.6,5.2
rf,signo_zodiacal_geminis,29,0.5,0.5000000000000001,0.5084033613445379,0.54,0.512636165577342,0.539,0.5913559752940557,5.4,5.4,4.6,4.6
rf,signo_zodiacal_geminis,30,0.5,0.45,0.44772727272727275,0.42000000000000004,0.42738095238095236,0.4720000000000001,0.5741059398118221,4.2,5.2,4.8,5.8
rf,signo_zodiacal_geminis,31,0.5,0.5,0.48999999999999994,0.5,0.48999999999999994,0.5329999999999999,0.6434229453037502,5.0,5.0,5.0,5.0
rf,signo_zodiacal_geminis,32,0.5,0.5199999999999999,0.503030303030303,0.54,0.5193362193362193,0.5549999999999999,0.6063964444568161,5.4,5.0,5.0,4.6
rf,signo_zodiacal_geminis,33,0.5,0.52,0.5104761904761904,0.48,0.4913544109828939,0.5559999999999999,0.5772954426894055,4.8,4.4,5.6,5.2
rf,signo_zodiacal_geminis,34,0.5,0.52,0.5071561771561772,0.54,0.5135253152644457,0.507,0.5562028429087252,5.4,5.0,5.0,4.6
rf,signo_zodiacal_geminis,35,0.5,0.39999999999999997,0.4069696969696969,0.45999999999999996,0.4314285714285714,0.38199999999999995,0.4968321417144946,4.6,6.6,3.4,5.4
