modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_leo,1,0.5,0.45999999999999996,0.45404040404040397,0.48,0.4651173388015494,0.48200000000000004,0.5413734773997932,4.8,5.6,4.4,5.2
rf,signo_zodiacal_leo,2,0.5,0.55,0.5548229548229549,0.5,0.5187657976997053,0.509,0.541808581339541,5.0,4.0,6.0,5.0
rf,signo_zodiacal_leo,3,0.5,0.47000000000000003,0.4788034188034188,0.54,0.5030022883295194,0.43099999999999994,0.5396644005289517,5.4,6.0,4.0,4.6
rf,signo_zodiacal_leo,4,0.5,0.55,0.531437908496732,0.6599999999999999,0.5777054758107389,0.517,0.5850245412482254,6.6,5.6,4.4,3.4
rf,signo_zodiacal_leo,5,0.5,0.35,0.23015873015873015,0.21999999999999997,0.22178440754292147,0.311,0.4308072411764362,2.2,5.2,4.8,7.8
rf,signo_zodiacal_leo,6,0.5,0.51,0.46269841269841266,0.4,0.4232479594708697,0.511,0.572786768185375,4.0,3.8,6.2,6.0
rf,signo_zodiacal_leo,7,0.5,0.51,0.5005555555555555,0.44000000000000006,0.4653216374269006,0.521,0.5517106690179446,4.4,4.2,5.8,5.6
rf,signo_zodiacal_leo,8,0.5,0.6200000000000001,0.6217948717948718,0.6,0.6056445461479786,0.633,0.6382378438554909,6.0,3.6,6.4,4.0
rf,signo_zodiacal_leo,9,0.5,0.6,0.6163924963924964,0.58,0.5811959310039805,0.5599999999999999,0.5841309229985701,5.8,3.8,6.2,4.2
rf,signo_zodiacal_leo,10,0.5,0.45999999999999996,0.46558441558441566,0.41999999999999993,0.436261777438248,0.466,0.5259080462021638,4.2,5.0,5.0,5.8
rf,signo_zodiacal_leo,11,0.5,0.41,0.3787240537240537,0.36,0.36411959139109495,0.41200000000000003,0.49418964472060445,3.6,5.4,4.6,6.4
rf,signo_zodiacal_leo,12,0.5,0.48,0.48121212121212126,0.4,0.42714285714285716,0.54,0.6309175813866216,4.0,4.4,5.6,6.0
rf,signo_zodiacal_leo,13,0.5,0.37,0.3643939393939394,0.36,0.36002886002886003,0.35500000000000004,0.4699407073834318,3.6,6.2,3.8,6.4
rf,signo_zodiacal_leo,14,0.5,0.49000000000000005,0.5009523809523809,0.38,0.4267492260061919,0.457,0.5264880668866738,3.8,4.0,6.0,6.2
rf,signo_zodiacal_leo,15,0.5,0.41,0.4033333333333333,0.36,0.3731313131313131,0.42200000000000004,0.4733400576032155,3.6,5.4,4.6,6.4
rf,signo_zodiacal_leo,16,0.5,0.55,0.525977355977356,0.5799999999999998,0.547747699870462,0.5549999999999999,0.5619657360183676,5.8,4.8,5.2,4.2
rf,signo_zodiacal_leo,17,0.5,0.54,0.5343434343434343,0.4800000000000001,0.49373433583959897,0.522,0.5700913247399315,4.8,4.0,6.0,5.2
rf,signo_zodiacal_leo,18,0.5,0.45,0.4540404040404041,0.48,0.4655958077010709,0.44699999999999995,0.536686832775068,4.8,5.8,4.2,5.2
rf,signo_zodiacal_leo,19,0.5,0.5599999999999999,0.5618026418026417,0.58,0.5682074752097634,0.5700000000000001,0.6064475856960377,5.8,4.6,5.4,4.2
rf,signo_zodiacal_leo,20,0.5,0.45,0.4313131313131313,0.4,0.41165413533834594,0.44000000000000006,0.4926059665308891,4.0,5.0,5.0,6.0
rf,signo_zodiacal_leo,21,0.5,0.44000000000000006,0.44145632145632147,0.43999999999999995,0.4362894448397208,0.425,0.49681631174123425,4.4,5.6,4.4,5.6
rf,signo_zodiacal_leo,22,0.5,0.53,0.5242424242424242,0.48,0.49488721804511276,0.508,0.5871603668089735,4.8,4.2,5.8,5.2
rf,signo_zodiacal_leo,23,0.5,0.53,0.5215617715617715,0.56,0.5318793525315264,0.554,0.566933295634534,5.6,5.0,5.0,4.4
rf,signo_zodiacal_leo,24,0.5,0.56,0.5670995670995671,0.54,0.5472285884050591,0.606,0.6059409730276604,5.4,4.2,5.8,4.6
rf,signo_zodiacal_leo,25,0.5,0.4800000000000001,0.45912087912087907,0.36,0.3912489343563513,0.39899999999999997,0.47220949475361246,3.6,4.0,6.0,6.4
rf,signo_zodiacal_leo,26,0.5,0.44000000000000006,0.38095238095238093,0.32,0.3461644306845545,0.356,0.4982553039495764,3.2,4.4,5.6,6.8
rf,signo_zodiacal_leo,27,0.5,0.54,0.5444444444444445,0.52,0.531578947368421,0.585,0.6393019633445329,5.2,4.4,5.6,4.8
rf,signo_zodiacal_leo,28,0.5,0.44000000000000006,0.4229797979797979,0.4,0.40960735171261486,0.4069999999999999,0.47371895734124836,4.0,5.2,4.8,6.0
