modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_ofiuco,1,0.5,0.53,0.5548701298701298,0.42000000000000004,0.4740662931839402,0.526,0.6112726990931325,4.2,3.6,6.4,5.8
rf,signo_zodiacal_ofiuco,2,0.5,0.47000000000000003,0.4765934065934066,0.48,0.4725324587917131,0.38299999999999995,0.4748343539845088,4.8,5.4,4.6,5.2
rf,signo_zodiacal_ofiuco,3,0.5,0.64,0.6347474747474747,0.64,0.6366917293233083,0.649,0.68704691404227,6.4,3.6,6.4,3.6
rf,signo_zodiacal_ofiuco,4,0.5,0.4600000000000001,0.45606060606060606,0.42000000000000004,0.43583959899749375,0.453,0.5495959051268648,4.2,5.0,5.0,5.8
rf,signo_zodiacal_ofiuco,5,0.5,0.43,0.4349494949494949,0.45999999999999996,0.44128989139515457,0.493,0.5487344785417541,4.6,6.0,4.0,5.4
rf,signo_zodiacal_ofiuco,6,0.5,0.5900000000000001,0.5878787878787879,0.58,0.5824561403508771,0.626,0.6558850746776443,5.8,4.0,6.0,4.2
rf,signo_zodiacal_ofiuco,7,0.5,0.4800000000000001,0.48650793650793656,0.48,0.467314187360627,0.44899999999999995,0.5035654155785735,4.8,5.2,4.8,5.2
rf,signo_zodiacal_ofiuco,8,0.5,0.49000000000000005,0.47477124183006525,0.5,0.473859649122807,0.491,0.556042050055208,5.0,5.2,4.8,5.0
rf,signo_zodiacal_ofiuco,9,0.5,0.44000000000000006,0.4401587301587302,0.44000000000000006,0.43585139318885446,0.4,0.49193583317267536,4.4,5.6,4.4,5.6
rf,signo_zodiacal_ofiuco,10,0.5,0.49000000000000005,0.48888888888888893,0.45999999999999996,0.4710792131844763,0.51,0.5899502262443439,4.6,4.8,5.2,5.4
rf,signo_zodiacal_ofiuco,11,0.5,0.42000000000000004,0.3996503496503497,0.4,0.38969822448083313,0.396,0.490436481217441,4.0,5.6,4.4,6.0
rf,signo_zodiacal_ofiuco,12,0.5,0.48,0.45537240537240536,0.4800000000000001,0.4601127712717429,0.434,0.495398192880391,4.8,5.2,4.8,5.2
rf,signo_zodiacal_ofiuco,13,0.5,0.49000000000000005,0.4888888888888888,0.48,0.4832080200501253,0.45499999999999996,0.516104620267933,4.8,5.0,5.0,5.2
rf,signo_zodiacal_ofiuco,14,0.5,0.52,0.5313131313131313,0.5,0.5075871496924128,0.577,0.6228167392463059,5.0,4.6,5.4,5.0
rf,signo_zodiacal_ofiuco,15,0.5,0.5,0.5054945054945055,0.42000000000000004,0.44852514919011083,0.49400000000000005,0.5615404487153712,4.2,4.2,5.8,5.8
rf,signo_zodiacal_ofiuco,16,0.5,0.58,0.5726190476190476,0.64,0.598989898989899,0.6359999999999999,0.6792289258728885,6.4,4.8,5.2,3.6
rf,signo_zodiacal_ofiuco,17,0.5,0.54,0.541978021978022,0.5599999999999999,0.5449476865845153,0.631,0.6535852372601598,5.6,4.8,5.2,4.4
rf,signo_zodiacal_ofiuco,18,0.5,0.45,0.4337301587301587,0.4,0.40599415204678363,0.458,0.5389663375839847,4.0,5.0,5.0,6.0
rf,signo_zodiacal_ofiuco,19,0.5,0.39999999999999997,0.4035897435897436,0.45999999999999996,0.4231989459815547,0.42300000000000004,0.49547565463432336,4.6,6.6,3.4,5.4
rf,signo_zodiacal_ofiuco,20,0.5,0.54,0.5468253968253969,0.44000000000000006,0.4869625042999656,0.517,0.5747413764426149,4.4,3.6,6.4,5.6
rf,signo_zodiacal_ofiuco,21,0.5,0.6,0.6118253968253968,0.5199999999999999,0.5602958376332989,0.61,0.643900268462188,5.2,3.2,6.8,4.8
rf,signo_zodiacal_ofiuco,22,0.5,0.57,0.6124242424242424,0.5,0.5290909090909091,0.623,0.679091911958011,5.0,3.6,6.4,5.0
rf,signo_zodiacal_ofiuco,23,0.5,0.43,0.433030303030303,0.42000000000000004,0.4203679653679654,0.36700000000000005,0.44822665260436156,4.2,5.6,4.4,5.8
rf,signo_zodiacal_ofiuco,24,0.5,0.44000000000000006,0.44439393939393945,0.42000000000000004,0.4304594820384294,0.402,0.5261186703733143,4.2,5.4,4.6,5.8
rf,signo_zodiacal_ofiuco,25,0.5,0.41000000000000003,0.3917582417582417,0.42000000000000004,0.39666356661241575,0.437,0.5132476043048799,4.2,6.0,4.0,5.8
rf,signo_zodiacal_ofiuco,26,0.5,0.48,0.473986013986014,0.54,0.503459439111613,0.458,0.508780824180979,5.4,5.8,4.2,4.6
