modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_piscis,1,0.5,0.4999999999999999,0.5011544011544011,0.6,0.5350041771094401,0.502,0.5482163865546219,6.0,6.0,4.0,4.0
rf,signo_zodiacal_piscis,2,0.5,0.45,0.4488888888888889,0.43999999999999995,0.44421052631578944,0.45100000000000007,0.5134852490131128,4.4,5.4,4.6,5.6
rf,signo_zodiacal_piscis,3,0.5,0.58,0.5758241758241758,0.62,0.5888128831728239,0.616,0.6559391056140281,6.2,4.6,5.4,3.8
rf,signo_zodiacal_piscis,4,0.5,0.47000000000000003,0.47424242424242424,0.41999999999999993,0.42738095238095236,0.477,0.5195258064948468,4.2,4.8,5.2,5.8
rf,signo_zodiacal_piscis,5,0.5,0.51,0.5233333333333333,0.54,0.5168888888888888,0.433,0.5497199700024777,5.4,5.2,4.8,4.6
rf,signo_zodiacal_piscis,6,0.5,0.48,0.48484848484848486,0.45999999999999996,0.46392496392496385,0.466,0.5260927162792488,4.6,5.0,5.0,5.4
rf,signo_zodiacal_piscis,7,0.5,0.55,0.5394405594405595,0.6199999999999999,0.5758403914925654,0.511,0.5402447542137945,6.2,5.2,4.8,3.8
rf,signo_zodiacal_piscis,8,0.5,0.45,0.45575757575757575,0.44000000000000006,0.44201298701298697,0.442,0.5446757511494353,4.4,5.4,4.6,5.6
rf,signo_zodiacal_piscis,9,0.5,0.52,0.5202020202020202,0.48,0.4945488721804511,0.551,0.6074441053442601,4.8,4.4,5.6,5.2
rf,signo_zodiacal_piscis,10,0.5,0.54,0.5477272727272727,0.5599999999999999,0.5499810131389079,0.581,0.6437172327156847,5.6,4.8,5.2,4.4
rf,signo_zodiacal_piscis,11,0.5,0.37,0.34801587301587306,0.32,0.3264189886480908,0.31899999999999995,0.4351621938433084,3.2,5.8,4.2,6.8
rf,signo_zodiacal_piscis,12,0.5,0.51,0.5083333333333333,0.5599999999999999,0.5246186561976035,0.49399999999999994,0.6032458836313326,5.6,5.4,4.6,4.4
rf,signo_zodiacal_piscis,13,0.5,0.5700000000000001,0.5938949938949939,0.52,0.5476914793377305,0.5740000000000001,0.6118633202882429,5.2,3.8,6.2,4.8
rf,signo_zodiacal_piscis,14,0.5,0.45999999999999996,0.46571428571428575,0.52,0.48156408070474566,0.514,0.588445922928121,5.2,6.0,4.0,4.8
rf,signo_zodiacal_piscis,15,0.5,0.38,0.36615384615384616,0.42000000000000004,0.384927536231884,0.39699999999999996,0.530873528432352,4.2,6.6,3.4,5.8
rf,signo_zodiacal_piscis,16,0.5,0.4699999999999999,0.4723809523809524,0.44000000000000006,0.45220439691027925,0.45899999999999996,0.5420496935984551,4.4,5.0,5.0,5.6
rf,signo_zodiacal_piscis,17,0.5,0.51,0.594047619047619,0.42000000000000004,0.44836601307189544,0.6080000000000001,0.6510968269776318,4.2,4.0,6.0,5.8
rf,signo_zodiacal_piscis,18,0.5,0.47000000000000003,0.46077922077922073,0.4600000000000001,0.4584873949579832,0.501,0.5581904951773373,4.6,5.2,4.8,5.4
rf,signo_zodiacal_piscis,19,0.5,0.62,0.6101190476190477,0.7,0.6394716394716395,0.659,0.6442516633693105,7.0,4.6,5.4,3.0
rf,signo_zodiacal_piscis,20,0.5,0.5800000000000001,0.5717171717171716,0.52,0.5340510366826157,0.681,0.6891191488250312,5.2,3.6,6.4,4.8
rf,signo_zodiacal_piscis,21,0.5,0.45,0.4627705627705628,0.45999999999999996,0.4573211102622867,0.386,0.48534635033009643,4.6,5.6,4.4,5.4
rf,signo_zodiacal_piscis,22,0.5,0.5,0.5002020202020202,0.52,0.5086397812713602,0.5530000000000002,0.5788285048285048,5.2,5.2,4.8,4.8
rf,signo_zodiacal_piscis,23,0.5,0.5599999999999999,0.5581818181818181,0.5,0.5146031746031745,0.6439999999999999,0.6651096942273413,5.0,3.8,6.2,5.0
rf,signo_zodiacal_piscis,24,0.5,0.54,0.5321678321678321,0.58,0.5450828157349896,0.48600000000000004,0.5376928065914134,5.8,5.0,5.0,4.2
rf,signo_zodiacal_piscis,25,0.5,0.49000000000000005,0.504040404040404,0.48,0.4837776258828891,0.492,0.555317790654478,4.8,5.0,5.0,5.2
rf,signo_zodiacal_piscis,26,0.5,0.48,0.4648051948051949,0.42000000000000004,0.4382072829131653,0.48200000000000004,0.5395913536927469,4.2,4.6,5.4,5.8
rf,signo_zodiacal_piscis,27,0.5,0.58,0.5887179487179488,0.5800000000000001,0.5697940503432495,0.597,0.6059882335586669,5.8,4.2,5.8,4.2
rf,signo_zodiacal_piscis,28,0.5,0.55,0.5463636363636364,0.62,0.5757806637806638,0.516,0.5695012497822095,6.2,5.2,4.8,3.8
rf,signo_zodiacal_piscis,29,0.5,0.47000000000000003,0.4727272727272728,0.5399999999999999,0.5019480519480519,0.487,0.560114131568466,5.4,6.0,4.0,4.6
rf,signo_zodiacal_piscis,30,0.5,0.38,0.3796464646464646,0.38,0.3778901799954431,0.3549999999999999,0.5021688891603752,3.8,6.2,3.8,6.2
rf,signo_zodiacal_piscis,31,0.5,0.43,0.4467643467643468,0.45999999999999996,0.44710287693192524,0.34800000000000003,0.47711310198229706,4.6,6.0,4.0,5.4
rf,signo_zodiacal_piscis,32,0.5,0.5599999999999999,0.5578210678210678,0.6,0.568939246512002,0.5760000000000001,0.6172487230691565,6.0,4.8,5.2,4.0
rf,signo_zodiacal_piscis,33,0.5,0.41999999999999993,0.41655011655011653,0.4,0.39731319405232446,0.372,0.5091799975050748,4.0,5.6,4.4,6.0
rf,signo_zodiacal_piscis,34,0.5,0.5399999999999999,0.5340909090909091,0.58,0.5512075643654593,0.53,0.5489254711576693,5.8,5.0,5.0,4.2
rf,signo_zodiacal_piscis,35,0.5,0.45,0.445954045954046,0.48,0.45948118377785896,0.49800000000000005,0.5834952908288822,4.8,5.8,4.2,5.2
rf,signo_zodiacal_piscis,36,0.5,0.49000000000000005,0.48773448773448774,0.5,0.4892713066087679,0.517,0.5188710152077025,5.0,5.2,4.8,5.0
rf,signo_zodiacal_piscis,37,0.5,0.5199999999999999,0.5122222222222221,0.6,0.5485741626794259,0.533,0.5829180155929381,6.0,5.6,4.4,4.0
rf,signo_zodiacal_piscis,38,0.5,0.41,0.3523076923076923,0.4,0.3699033816425121,0.41200000000000003,0.5036835576703999,4.0,5.8,4.2,6.0
rf,signo_zodiacal_piscis,39,0.5,0.5200000000000001,0.5152680652680652,0.54,0.5104837191793713,0.546,0.5525799833121814,5.4,5.0,5.0,4.6
rf,signo_zodiacal_piscis,40,0.5,0.53,0.5203596403596403,0.54,0.5266447448544636,0.502,0.5450197288092025,5.4,4.8,5.2,4.6
