modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_sagitario,1,0.5,0.45,0.43733766233766236,0.38,0.4030812324929972,0.509,0.6041192120572925,3.8,4.8,5.2,6.2
rf,signo_zodiacal_sagitario,2,0.5,0.45999999999999996,0.4617460317460317,0.42000000000000004,0.43539293867467244,0.44699999999999995,0.5295363437731859,4.2,5.0,5.0,5.8
rf,signo_zodiacal_sagitario,3,0.5,0.55,0.5527777777777778,0.4800000000000001,0.5075358851674642,0.52,0.5833620638047883,4.8,3.8,6.2,5.2
rf,signo_zodiacal_sagitario,4,0.5,0.5599999999999999,0.5611544011544012,0.6000000000000001,0.5608822055137844,0.6120000000000001,0.6752571199010828,6.0,4.8,5.2,4.0
rf,signo_zodiacal_sagitario,5,0.5,0.44000000000000006,0.4458119658119658,0.48,0.460257957145829,0.488,0.5657548197416619,4.8,6.0,4.0,5.2
rf,signo_zodiacal_sagitario,6,0.5,0.49000000000000005,0.4533333333333333,0.45999999999999996,0.44809295967190704,0.517,0.5654705931323578,4.6,4.8,5.2,5.4
rf,signo_zodiacal_sagitario,7,0.5,0.45,0.4262626262626263,0.44000000000000006,0.4298302574618364,0.433,0.4886660720600348,4.4,5.4,4.6,5.6
rf,signo_zodiacal_sagitario,8,0.5,0.48,0.4855555555555555,0.48,0.48143540669856455,0.524,0.6166794316794317,4.8,5.2,4.8,5.2
rf,signo_zodiacal_sagitario,9,0.5,0.51,0.5027777777777779,0.5800000000000001,0.5325358851674642,0.518,0.5934021164593919,5.8,5.6,4.4,4.2
rf,signo_zodiacal_sagitario,10,0.5,0.53,0.5278943278943278,0.54,0.5253789117061428,0.5820000000000001,0.5982891244462453,5.4,4.8,5.2,4.6
rf,signo_zodiacal_sagitario,11,0.5,0.53,0.5356843156843156,0.58,0.549417854098161,0.549,0.5844765751104759,5.8,5.2,4.8,4.2
rf,signo_zodiacal_sagitario,12,0.5,0.51,0.5352564102564102,0.45999999999999996,0.48695652173913045,0.466,0.5328112551363325,4.6,4.4,5.6,5.4
rf,signo_zodiacal_sagitario,13,0.5,0.41999999999999993,0.37682539682539684,0.28,0.3173426212590299,0.39499999999999996,0.4813683369434143,2.8,4.4,5.6,7.2
rf,signo_zodiacal_sagitario,14,0.5,0.49000000000000005,0.4783766233766233,0.5599999999999999,0.510952380952381,0.421,0.5432982505970122,5.6,5.8,4.2,4.4
rf,signo_zodiacal_sagitario,15,0.5,0.5800000000000001,0.6087301587301587,0.5599999999999999,0.5597174755069492,0.677,0.7052828429740193,5.6,4.0,6.0,4.4
rf,signo_zodiacal_sagitario,16,0.5,0.45,0.43924242424242427,0.44000000000000006,0.4362481962481962,0.47000000000000003,0.5914854334691796,4.4,5.4,4.6,5.6
rf,signo_zodiacal_sagitario,17,0.5,0.45999999999999996,0.4588383838383838,0.45999999999999996,0.4572112098427888,0.488,0.5561331805449452,4.6,5.4,4.6,5.4
rf,signo_zodiacal_sagitario,18,0.5,0.56,0.5692002442002442,0.5199999999999999,0.5374942043941908,0.567,0.6027434858742908,5.2,4.0,6.0,4.8
rf,signo_zodiacal_sagitario,19,0.5,0.53,0.5313131313131313,0.5599999999999999,0.5429938482570061,0.504,0.5502761301306193,5.6,5.0,5.0,4.4
rf,signo_zodiacal_sagitario,20,0.5,0.54,0.5383333333333333,0.48,0.5017171717171717,0.521,0.5695805360789881,4.8,4.0,6.0,5.2
rf,signo_zodiacal_sagitario,21,0.5,0.45,0.43896103896103894,0.32,0.3518207282913165,0.51,0.5568666027814635,3.2,4.2,5.8,6.8
rf,signo_zodiacal_sagitario,22,0.5,0.5,0.5074786324786325,0.52,0.5095508864387582,0.51,0.5632205731145359,5.2,5.2,4.8,4.8
rf,signo_zodiacal_sagitario,23,0.5,0.53,0.5276190476190477,0.5399999999999999,0.5285380116959064,0.585,0.6225803275671696,5.4,4.8,5.2,4.6
rf,signo_zodiacal_sagitario,24,0.5,0.53,0.5306915306915307,0.5,0.5068332062039156,0.541,0.5764859672491252,5.0,4.4,5.6,5.0
rf,signo_zodiacal_sagitario,25,0.5,0.48999999999999994,0.47849206349206347,0.42000000000000004,0.44567595459236325,0.45,0.5060205905205906,4.2,4.4,5.6,5.8
rf,signo_zodiacal_sagitario,26,0.5,0.6,0.5954545454545455,0.6,0.5948583580162528,0.5800000000000001,0.6305001120310718,6.0,4.0,6.0,4.0
rf,signo_zodiacal_sagitario,27,0.5,0.56,0.576025641025641,0.58,0.5670724637681159,0.5,0.5719560260001437,5.8,4.6,5.4,4.2
rf,signo_zodiacal_sagitario,28,0.5,0.36,0.34,0.34,0.33619047619047615,0.337,0.46234463171847073,3.4,6.2,3.8,6.6
rf,signo_zodiacal_sagitario,29,0.5,0.45999999999999996,0.4442857142857143,0.4,0.4038095238095238,0.514,0.5971875315946523,4.0,4.8,5.2,6.0
rf,signo_zodiacal_sagitario,30,0.5,0.53,0.54,0.45999999999999996,0.4805555555555556,0.5589999999999999,0.6040828507577733,4.6,4.0,6.0,5.4
rf,signo_zodiacal_sagitario,31,0.5,0.55,0.5606532356532355,0.54,0.5429029832583473,0.532,0.6172541602704141,5.4,4.4,5.6,4.6
rf,signo_zodiacal_sagitario,32,0.5,0.43,0.40829004329004326,0.42000000000000004,0.404937441643324,0.38,0.4758425216854009,4.2,5.6,4.4,5.8
rf,signo_zodiacal_sagitario,33,0.5,0.5599999999999999,0.5427272727272727,0.6599999999999999,0.5925541125541125,0.568,0.5943769526826802,6.6,5.4,4.6,3.4
rf,signo_zodiacal_sagitario,34,0.5,0.49000000000000005,0.49282828282828284,0.5399999999999999,0.5093418394471027,0.496,0.551265111307681,5.4,5.6,4.4,4.6
rf,signo_zodiacal_sagitario,35,0.5,0.47000000000000003,0.47777777777777775,0.43999999999999995,0.4563530037214248,0.48599999999999993,0.5337640857594417,4.4,5.0,5.0,5.6
rf,signo_zodiacal_sagitario,36,0.5,0.47000000000000003,0.4763059163059163,0.43999999999999995,0.4546189001916556,0.4790000000000001,0.5762417566094037,4.4,5.0,5.0,5.6
rf,signo_zodiacal_sagitario,37,0.5,0.6199999999999999,0.6230158730158729,0.6599999999999999,0.631578947368421,0.697,0.7229249977748429,6.6,4.2,5.8,3.4
rf,signo_zodiacal_sagitario,38,0.5,0.52,0.5208236208236208,0.4800000000000001,0.48464639860520864,0.5389999999999999,0.5861241146194707,4.8,4.4,5.6,5.2
rf,signo_zodiacal_sagitario,39,0.5,0.47000000000000003,0.480050505050505,0.48,0.4769803296119085,0.519,0.606650444326915,4.8,5.4,4.6,5.2
rf,signo_zodiacal_sagitario,40,0.5,0.48999999999999994,0.5707070707070707,0.39999999999999997,0.43024227234753554,0.472,0.5237017704517705,4.0,4.2,5.8,6.0
