modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_tauro,1,0.5,0.51,0.5260606060606061,0.45999999999999996,0.48566416040100246,0.495,0.5557309014514897,4.6,4.4,5.6,5.4
rf,signo_zodiacal_tauro,2,0.5,0.5700000000000001,0.5623809523809523,0.54,0.5473346467773712,0.522,0.5674565707770041,5.4,4.0,6.0,4.6
rf,signo_zodiacal_tauro,3,0.5,0.5200000000000001,0.5295238095238096,0.52,0.5151207430340558,0.542,0.5932898218912149,5.2,4.8,5.2,4.8
rf,signo_zodiacal_tauro,4,0.5,0.49000000000000005,0.5167521367521367,0.42000000000000004,0.4400383344090438,0.433,0.5005628085364927,4.2,4.4,5.6,5.8
rf,signo_zodiacal_tauro,5,0.5,0.4800000000000001,0.47444444444444445,0.44000000000000006,0.4495055821371611,0.4920000000000001,0.5188833929228666,4.4,4.8,5.2,5.6
rf,signo_zodiacal_tauro,6,0.5,0.43000000000000005,0.43090909090909085,0.48,0.45039598997493735,0.42699999999999994,0.5093059352927775,4.8,6.2,3.8,5.2
rf,signo_zodiacal_tauro,7,0.5,0.53,0.5422222222222223,0.5,0.5137343358395989,0.504,0.5736541699614455,5.0,4.4,5.6,5.0
rf,signo_zodiacal_tauro,8,0.5,0.47000000000000003,0.4507575757575757,0.4,0.40583925878043525,0.42400000000000004,0.48771127934672825,4.0,4.6,5.4,6.0
rf,signo_zodiacal_tauro,9,0.5,0.56,0.5590909090909091,0.4800000000000001,0.5098412698412698,0.5660000000000001,0.6083288492553198,4.8,3.6,6.4,5.2
rf,signo_zodiacal_tauro,10,0.5,0.4,0.39904761904761904,0.38,0.37820439691027924,0.44799999999999995,0.5496252199812571,3.8,5.8,4.2,6.2
rf,signo_zodiacal_tauro,11,0.5,0.57,0.580050505050505,0.5599999999999999,0.5669324827219564,0.608,0.6421929710296583,5.6,4.2,5.8,4.4
rf,signo_zodiacal_tauro,12,0.5,0.4600000000000001,0.45949883449883455,0.52,0.48522492000752865,0.446,0.5058300857209526,5.2,6.0,4.0,4.8
rf,signo_zodiacal_tauro,13,0.5,0.49000000000000005,0.49813852813852816,0.44000000000000006,0.4557830404889229,0.40499999999999997,0.46455200458296436,4.4,4.6,5.4,5.6
rf,signo_zodiacal_tauro,14,0.5,0.4800000000000001,0.4718253968253968,0.45999999999999996,0.4591847265221879,0.503,0.5373118701044397,4.6,5.0,5.0,5.4
rf,signo_zodiacal_tauro,15,0.5,0.33999999999999997,0.34965034965034963,0.38,0.36219006013056354,0.293,0.428134869860102,3.8,7.0,3.0,6.2
rf,signo_zodiacal_tauro,16,0.5,0.44000000000000006,0.42673992673992667,0.44000000000000006,0.4237859140605136,0.434,0.5345836381540716,4.4,5.6,4.4,5.6
rf,signo_zodiacal_tauro,17,0.5,0.53,0.5305555555555556,0.52,0.5225943646996278,0.5919999999999999,0.6862156252759968,5.2,4.6,5.4,4.8
rf,signo_zodiacal_tauro,18,0.5,0.5599999999999999,0.5649350649350648,0.5,0.5247432306255837,0.54,0.5782436715331452,5.0,3.8,6.2,5.0
rf,signo_zodiacal_tauro,19,0.5,0.5599999999999999,0.5606060606060606,0.5399999999999999,0.5465178096757044,0.5750000000000001,0.5863805704099823,5.4,4.2,5.8,4.6
rf,signo_zodiacal_tauro,20,0.5,0.4,0.40779220779220776,0.38,0.38646125116713353,0.39699999999999996,0.4850068460950814,3.8,5.8,4.2,6.2
rf,signo_zodiacal_tauro,21,0.5,0.5,0.4717171717171717,0.38,0.407523616734143,0.542,0.5516080400507646,3.8,3.8,6.2,6.2
rf,signo_zodiacal_tauro,22,0.5,0.55,0.5389180264180264,0.6599999999999999,0.5884164653043372,0.491,0.5571898652602987,6.6,5.6,4.4,3.4
rf,signo_zodiacal_tauro,23,0.5,0.41,0.3767521367521368,0.34,0.3479443173150266,0.41900000000000004,0.5048195139913406,3.4,5.2,4.8,6.6
rf,signo_zodiacal_tauro,24,0.5,0.43,0.43460317460317466,0.4999999999999999,0.4608771929824561,0.42300000000000004,0.5226959076355361,5.0,6.4,3.6,5.0
rf,signo_zodiacal_tauro,25,0.5,0.4800000000000001,0.4895682095682095,0.6,0.5352829900839053,0.462,0.5275398592635435,6.0,6.4,3.6,4.0
rf,signo_zodiacal_tauro,26,0.5,0.43,0.4541125541125541,0.52,0.4810776942355889,0.396,0.48603198212176535,5.2,6.6,3.4,4.8
rf,signo_zodiacal_tauro,27,0.5,0.53,0.5285714285714286,0.42000000000000004,0.4492997198879552,0.541,0.5800829519637569,4.2,3.6,6.4,5.8
rf,signo_zodiacal_tauro,28,0.5,0.44000000000000006,0.43,0.45999999999999996,0.44305916305916304,0.4119999999999999,0.5125354480400921,4.6,5.8,4.2,5.4
rf,signo_zodiacal_tauro,29,0.5,0.43000000000000005,0.4243084693084693,0.44000000000000006,0.42880679960771495,0.49800000000000005,0.5713880667835776,4.4,5.8,4.2,5.6
rf,signo_zodiacal_tauro,30,0.5,0.42000000000000004,0.40960317460317464,0.36,0.3814654282765738,0.4119999999999999,0.4898260542347229,3.6,5.2,4.8,6.4
rf,signo_zodiacal_tauro,31,0.5,0.48,0.4771367521367521,0.47999999999999987,0.4734669347941659,0.476,0.5336412203207869,4.8,5.2,4.8,5.2
rf,signo_zodiacal_tauro,32,0.5,0.55,0.5470707070707072,0.6,0.5694486215538846,0.525,0.5653819713997732,6.0,5.0,5.0,4.0
rf,signo_zodiacal_tauro,33,0.5,0.5800000000000001,0.5715151515151515,0.6399999999999999,0.603116883116883,0.585,0.6436130056733771,6.4,4.8,5.2,3.6
rf,signo_zodiacal_tauro,34,0.5,0.43000000000000005,0.40595238095238095,0.3,0.34411764705882353,0.49000000000000005,0.5173887566681684,3.0,4.4,5.6,7.0
rf,signo_zodiacal_tauro,35,0.5,0.4800000000000001,0.4834188034188035,0.43999999999999995,0.45349987287058224,0.49000000000000005,0.5358571716381314,4.4,4.8,5.2,5.6
rf,signo_zodiacal_tauro,36,0.5,0.6200000000000001,0.644047619047619,0.5399999999999999,0.5857929136566907,0.6119999999999999,0.6676638655462185,5.4,3.0,7.0,4.6
rf,signo_zodiacal_tauro,37,0.5,0.55,0.578168498168498,0.4800000000000001,0.5135038363171356,0.568,0.636720546395469,4.8,3.8,6.2,5.2
rf,signo_zodiacal_tauro,38,0.5,0.58,0.6076923076923076,0.5399999999999999,0.5572946859903383,0.5389999999999999,0.5890114989070098,5.4,3.8,6.2,4.6
rf,signo_zodiacal_tauro,39,0.5,0.53,0.5256410256410257,0.5,0.5039969488939741,0.518,0.5665159752528174,5.0,4.4,5.6,5.0
rf,signo_zodiacal_tauro,40,0.5,0.48,0.475,0.42000000000000004,0.4424242424242424,0.495,0.5828038711374625,4.2,4.6,5.4,5.8
rf,signo_zodiacal_tauro,41,0.5,0.5199999999999999,0.5206060606060607,0.5599999999999999,0.5348070175438596,0.531,0.5944551467624224,5.6,5.2,4.8,4.4
rf,signo_zodiacal_tauro,42,0.5,0.5700000000000001,0.5733333333333335,0.5199999999999999,0.5446783625730994,0.5299999999999999,0.5562837619896444,5.2,3.8,6.2,4.8
rf,signo_zodiacal_tauro,43,0.5,0.43,0.436969696969697,0.45999999999999996,0.43842857142857145,0.4840000000000001,0.5839138371947968,4.6,6.0,4.0,5.4
rf,signo_zodiacal_tauro,44,0.5,0.51,0.518974358974359,0.45999999999999996,0.47639460971268754,0.512,0.5845202652524634,4.6,4.4,5.6,5.4
rf,signo_zodiacal_tauro,45,0.5,0.41,0.41036324786324785,0.4600000000000001,0.4260752214985624,0.359,0.4742773646202439,4.6,6.4,3.6,5.4
rf,signo_zodiacal_tauro,46,0.5,0.55,0.5907142857142856,0.5,0.5266666666666666,0.54,0.5753798033751595,5.0,4.0,6.0,5.0
rf,signo_zodiacal_tauro,47,0.5,0.6599999999999999,0.6751981351981352,0.7000000000000001,0.6708271766372453,0.657,0.6809590805651176,7.0,3.8,6.2,3.0
