modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_virgo,1,0.5,0.43,0.4159090909090909,0.44000000000000006,0.423015873015873,0.393,0.4643123994168886,4.4,5.8,4.2,5.6
rf,signo_zodiacal_virgo,2,0.5,0.43,0.41909090909090907,0.38,0.39650793650793653,0.396,0.5312882138501334,3.8,5.2,4.8,6.2
rf,signo_zodiacal_virgo,3,0.5,0.49000000000000005,0.5078632478632479,0.5399999999999999,0.5096492614936551,0.42699999999999994,0.5273042539675667,5.4,5.6,4.4,4.6
rf,signo_zodiacal_virgo,4,0.5,0.48,0.4788455988455988,0.44000000000000006,0.45635264632168654,0.457,0.5160948038889215,4.4,4.8,5.2,5.6
rf,signo_zodiacal_virgo,5,0.5,0.39,0.3902564102564103,0.42000000000000004,0.4023100570926658,0.41899999999999993,0.5185911573806311,4.2,6.4,3.6,5.8
rf,signo_zodiacal_virgo,6,0.5,0.5,0.5017016317016317,0.5800000000000001,0.536901938641069,0.45,0.5068267359575408,5.8,5.8,4.2,4.2
rf,signo_zodiacal_virgo,7,0.5,0.53,0.5292929292929294,0.5,0.5088345864661654,0.592,0.6441845638022109,5.0,4.4,5.6,5.0
rf,signo_zodiacal_virgo,8,0.5,0.42000000000000004,0.4155194805194805,0.42000000000000004,0.4115406162464986,0.4159999999999999,0.5411447739566935,4.2,5.8,4.2,5.8
rf,signo_zodiacal_virgo,9,0.5,0.47000000000000003,0.4638961038961038,0.47999999999999987,0.4682505729564553,0.45200000000000007,0.5216760935143288,4.8,5.4,4.6,5.2
rf,signo_zodiacal_virgo,10,0.5,0.52,0.51,0.66,0.5720000000000001,0.569,0.5911693106515088,6.6,6.2,3.8,3.4
rf,signo_zodiacal_virgo,11,0.5,0.5399999999999999,0.534965034965035,0.5200000000000001,0.514163372859025,0.5650000000000001,0.632127899276506,5.2,4.4,5.6,4.8
rf,signo_zodiacal_virgo,12,0.5,0.51,0.5040909090909091,0.5199999999999999,0.5104761904761904,0.4539999999999999,0.5456133882457411,5.2,5.0,5.0,4.8
rf,signo_zodiacal_virgo,13,0.5,0.43999999999999995,0.4356532356532356,0.38,0.3994952214295329,0.351,0.46154386463209995,3.8,5.0,5.0,6.2
rf,signo_zodiacal_virgo,14,0.5,0.43,0.4206410256410257,0.4999999999999999,0.44501449275362326,0.39899999999999997,0.4779608453122385,5.0,6.4,3.6,5.0
rf,signo_zodiacal_virgo,15,0.5,0.5,0.5096764346764346,0.45999999999999996,0.47695068874231616,0.533,0.5886381412704942,4.6,4.6,5.4,5.4
rf,signo_zodiacal_virgo,16,0.5,0.5599999999999999,0.5603113553113552,0.56,0.5524224340592627,0.5719999999999998,0.6135812488165429,5.6,4.4,5.6,4.4
rf,signo_zodiacal_virgo,17,0.5,0.51,0.5069444444444444,0.5399999999999999,0.512411565043144,0.576,0.6075208859767682,5.4,5.2,4.8,4.6
rf,signo_zodiacal_virgo,18,0.5,0.52,0.5403174603174603,0.5,0.5144779059949338,0.5269999999999999,0.6076546874178452,5.0,4.6,5.4,5.0
