,pos_rate_bootstrap,pos_rate_bootstrap,cv_accuracy,cv_accuracy,cv_precision,cv_precision,cv_recall,cv_recall,cv_f1,cv_f1,cv_roc_auc,cv_roc_auc,cv_pr_auc,cv_pr_auc,cv_tp_mean,cv_tp_mean,cv_fp_mean,cv_fp_mean,cv_tn_mean,cv_tn_mean,cv_fn_mean,cv_fn_mean
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
signo,,,,,,,,,,,,,,,,,,,,,,
signo_zodiacal_acuario,0.5,0.0,0.50426,0.05915954787021632,0.5050070473970474,0.06717406931441328,0.49207999999999996,0.08014811939206168,0.4899769153751679,0.06816661158815301,0.5026619999999999,0.07522316668162293,0.5672308785760164,0.05983226140689983,4.9208,0.8014811939206171,4.8356,0.782635084410801,5.1644,0.7826350844108009,5.0792,0.8014811939206171
signo_zodiacal_aries,0.5,0.0,0.49898000000000003,0.06034934703354089,0.49963969386822327,0.06691805336983492,0.49248000000000003,0.07902873326431803,0.48749256797578916,0.06708324795636676,0.500092,0.07853385683473514,0.5649567603012743,0.059133536408278425,4.9248,0.79028733264318,4.9452,0.8163392551869089,5.0548,0.816339255186909,5.0752,0.79028733264318
signo_zodiacal_cancer,0.5,0.0,0.5042,0.06262430524336722,0.5052477761454232,0.06962793296405004,0.49051999999999996,0.08150223818803574,0.4886548439760137,0.07070318618726462,0.5048279999999999,0.08113191228105475,0.5674758127864566,0.062311011010607355,4.9052,0.815022381880358,4.8212,0.7935300497648212,5.1788,0.7935300497648212,5.0948,0.815022381880358
signo_zodiacal_capricornio,0.5,0.0,0.50074,0.060862639787012916,0.5007791794806501,0.07026230463918771,0.48592,0.08134240452277704,0.4839619472657583,0.07023412307910257,0.501038,0.07960634960727439,0.5674559721188684,0.06033720130702214,4.8591999999999995,0.8134240452277705,4.844399999999999,0.794185180043295,5.155600000000001,0.794185180043295,5.1408000000000005,0.8134240452277703
signo_zodiacal_escorpio,0.5,0.0,0.50326,0.05959089317251583,0.5033788474597298,0.06613996435811322,0.49628,0.0865073907670011,0.49123586967108757,0.07153568421094621,0.505074,0.07388376103237149,0.5696830703792252,0.05735460908323089,4.9628000000000005,0.8650739076700115,4.897600000000001,0.7247653479708027,5.102399999999999,0.7247653479708027,5.0371999999999995,0.8650739076700115
signo_zodiacal_geminis,0.5,0.0,0.4998,0.06395107097584773,0.500388710864299,0.07088978321391846,0.48932,0.08018226731630852,0.48645119166371287,0.07008728894833534,0.503228,0.07920306981763439,0.5692719498320737,0.06159926224049322,4.8932,0.8018226731630852,4.8972,0.8376368132202183,5.1028,0.8376368132202184,5.1068,0.8018226731630852
signo_zodiacal_leo,0.5,0.0,0.49672000000000005,0.061971950471891565,0.49521838955162484,0.0689023332816208,0.48560000000000003,0.0837727625872694,0.4821943478253,0.07130663236154175,0.493982,0.07810848575599319,0.5616560298555933,0.059728291840746274,4.856,0.8377276258726942,4.921600000000001,0.7975497547002601,5.078399999999999,0.7975497547002601,5.144,0.8377276258726942
signo_zodiacal_libra,0.5,0.0,0.49964000000000003,0.06477238086287467,0.49902580210639036,0.07384254721014803,0.48784,0.08882744525235496,0.4845093700384956,0.07593137378330919,0.49996199999999996,0.08266457172717756,0.5667726479902966,0.06292083251795585,4.8784,0.8882744525235493,4.8856,0.8068051245610898,5.1144,0.8068051245610899,5.1216,0.8882744525235492
signo_zodiacal_ofiuco,0.5,0.0,0.49902,0.05922376642039949,0.49891388239211765,0.06895871237972483,0.48488,0.07783767086708096,0.48282779741731174,0.06746249788134928,0.500766,0.07316497434525544,0.5660907926662261,0.057100829138252436,4.8488,0.7783767086708092,4.868399999999999,0.8121580149715725,5.131600000000001,0.8121580149715725,5.1512,0.7783767086708092
signo_zodiacal_piscis,0.5,0.0,0.49634000000000006,0.06025001683865421,0.49625550511579924,0.06750040794465907,0.48760000000000003,0.08083631002239074,0.4829689669830526,0.06815308109006857,0.496906,0.07509380349033659,0.5626662504763897,0.05728080456204897,4.876,0.8083631002239072,4.949199999999999,0.8048321997407151,5.050800000000001,0.8048321997407151,5.124,0.8083631002239072
signo_zodiacal_sagitario,0.5,0.0,0.49824,0.06247807150382984,0.49873874295639004,0.07002877764414087,0.48684,0.0813341557390225,0.48428617065031654,0.07020989379256272,0.499476,0.0781237740521046,0.5660629920365152,0.05995117440315218,4.868399999999999,0.8133415573902241,4.9036,0.8514911122427861,5.0964,0.8514911122427861,5.131600000000001,0.8133415573902241
signo_zodiacal_tauro,0.5,0.0,0.50146,0.06035025025143493,0.5020014305629011,0.06759911284905638,0.4898,0.08237433497227302,0.48699489883760066,0.06927247629800484,0.500486,0.07724560551346775,0.5646086274528704,0.0588227701790745,4.898,0.8237433497227307,4.8688,0.8096032824475821,5.1312,0.8096032824475821,5.102,0.8237433497227306
signo_zodiacal_virgo,0.5,0.0,0.50144,0.06252155059319267,0.5014410619119443,0.07106183741870606,0.48892,0.08235775129516824,0.4865151654518188,0.07013157876771861,0.502382,0.08124539189029005,0.5669892120043698,0.06307230650313639,4.8892,0.8235775129516832,4.860399999999999,0.8472706622740461,5.139600000000001,0.847270662274046,5.1108,0.8235775129516831
