modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_acuario,1,0.5,0.51,0.5094949494949496,0.6,0.547725677830941,0.538,0.59056152834094,6.0,5.8,4.2,4.0
svm,signo_zodiacal_acuario,2,0.5,0.51,0.5117460317460317,0.4,0.44407980736154107,0.484,0.5893376623376623,4.0,3.8,6.2,6.0
svm,signo_zodiacal_acuario,3,0.5,0.37,0.35784632034632036,0.4,0.3689095218506983,0.262,0.4192961252713575,4.0,6.6,3.4,6.0
svm,signo_zodiacal_acuario,4,0.5,0.4600000000000001,0.4417182817182817,0.52,0.47364949458044087,0.484,0.5545773681083279,5.2,6.0,4.0,4.8
svm,signo_zodiacal_acuario,5,0.5,0.53,0.5275213675213676,0.6599999999999999,0.5821511684349213,0.496,0.5415148448043186,6.6,6.0,4.0,3.4
svm,signo_zodiacal_acuario,6,0.5,0.45999999999999996,0.45116550116550114,0.44000000000000006,0.440527950310559,0.44800000000000006,0.5281436347450279,4.4,5.2,4.8,5.6
svm,signo_zodiacal_acuario,7,0.5,0.5399999999999999,0.5450349650349651,0.5800000000000001,0.5605383022774326,0.476,0.5149407835027031,5.8,5.0,5.0,4.2
svm,signo_zodiacal_acuario,8,0.5,0.5000000000000001,0.5037062937062937,0.6399999999999999,0.5622540937323547,0.506,0.5892295323355695,6.4,6.4,3.6,3.6
svm,signo_zodiacal_acuario,9,0.5,0.6,0.6628571428571428,0.44000000000000006,0.5130744092508799,0.49400000000000005,0.5616377623924064,4.4,2.4,7.6,5.6
svm,signo_zodiacal_acuario,10,0.5,0.5,0.5031746031746032,0.52,0.5056009006473403,0.496,0.5490060017381999,5.2,5.2,4.8,4.8
svm,signo_zodiacal_acuario,11,0.5,0.55,0.5474747474747474,0.6199999999999999,0.5786397812713602,0.586,0.6659545901295127,6.2,5.2,4.8,3.8
svm,signo_zodiacal_acuario,12,0.5,0.54,0.5368253968253969,0.64,0.5787177033492823,0.578,0.6109694255692707,6.4,5.6,4.4,3.6
svm,signo_zodiacal_acuario,13,0.5,0.45,0.4531746031746032,0.54,0.4902711323763955,0.476,0.5718501514825044,5.4,6.4,3.6,4.6
svm,signo_zodiacal_acuario,14,0.5,0.51,0.4981684981684982,0.45999999999999996,0.4728915212156564,0.49800000000000005,0.5329820075864967,4.6,4.4,5.6,5.4
svm,signo_zodiacal_acuario,15,0.5,0.4699999999999999,0.4046153846153846,0.43999999999999995,0.41758454106280196,0.45999999999999996,0.5172624587314989,4.4,5.0,5.0,5.6
svm,signo_zodiacal_acuario,16,0.5,0.4,0.3900854700854701,0.38,0.37961098398169335,0.32999999999999996,0.4502513797691817,3.8,5.8,4.2,6.2
svm,signo_zodiacal_acuario,17,0.5,0.5900000000000001,0.567032967032967,0.78,0.655685618729097,0.5860000000000001,0.6080074065940938,7.8,6.0,4.0,2.2
svm,signo_zodiacal_acuario,18,0.5,0.58,0.5944444444444444,0.4600000000000001,0.5109440267335004,0.61,0.6387454022585601,4.6,3.0,7.0,5.4
svm,signo_zodiacal_acuario,19,0.5,0.48,0.48,0.6,0.5321739130434783,0.445,0.5316684514316092,6.0,6.4,3.6,4.0
svm,signo_zodiacal_acuario,20,0.5,0.45999999999999996,0.4542857142857143,0.33999999999999997,0.38245098039215686,0.445,0.5429892052392052,3.4,4.2,5.8,6.6
svm,signo_zodiacal_acuario,21,0.5,0.47000000000000003,0.46940836940836944,0.4600000000000001,0.4579733647845103,0.45200000000000007,0.5115181669036157,4.6,5.2,4.8,5.4
svm,signo_zodiacal_acuario,22,0.5,0.45999999999999996,0.46992673992673994,0.45999999999999996,0.4582634529437598,0.5000000000000001,0.5642788667301051,4.6,5.4,4.6,5.4
svm,signo_zodiacal_acuario,23,0.5,0.6199999999999999,0.5993406593406594,0.7,0.6397584541062802,0.6100000000000001,0.6538656796419955,7.0,4.6,5.4,3.0
svm,signo_zodiacal_acuario,24,0.5,0.51,0.5142857142857142,0.48,0.49209744503862146,0.506,0.5320483737968258,4.8,4.6,5.4,5.2
svm,signo_zodiacal_acuario,25,0.5,0.49000000000000005,0.48269230769230775,0.45999999999999996,0.46676837020086454,0.5239999999999999,0.5928591043459464,4.6,4.8,5.2,5.4
svm,signo_zodiacal_acuario,26,0.5,0.5599999999999999,0.5410714285714285,0.74,0.6236394040741866,0.562,0.5882768097915156,7.4,6.2,3.8,2.6
svm,signo_zodiacal_acuario,27,0.5,0.5599999999999999,0.5473748473748474,0.72,0.6167458780731091,0.598,0.6218974511900208,7.2,6.0,4.0,2.8
svm,signo_zodiacal_acuario,28,0.5,0.5200000000000001,0.5212820512820513,0.6199999999999999,0.5650592885375494,0.5740000000000001,0.6265952174760223,6.2,5.8,4.2,3.8
svm,signo_zodiacal_acuario,29,0.5,0.45999999999999996,0.49116883116883114,0.4,0.4296358543417367,0.46799999999999997,0.5109968889040097,4.0,4.8,5.2,6.0
svm,signo_zodiacal_acuario,30,0.5,0.42000000000000004,0.4194505494505495,0.45999999999999996,0.4350430132527319,0.394,0.4879172135054488,4.6,6.2,3.8,5.4
svm,signo_zodiacal_acuario,31,0.5,0.41000000000000003,0.42525252525252527,0.6,0.49513457556935825,0.368,0.48958792334256723,6.0,7.8,2.2,4.0
svm,signo_zodiacal_acuario,32,0.5,0.53,0.5506410256410257,0.4,0.43768115942028984,0.504,0.5816230609775501,4.0,3.4,6.6,6.0
svm,signo_zodiacal_acuario,33,0.5,0.52,0.49833333333333335,0.44000000000000006,0.4476581196581197,0.512,0.5601192483986602,4.4,4.0,6.0,5.6
svm,signo_zodiacal_acuario,34,0.5,0.55,0.585,0.54,0.54,0.48600000000000004,0.5560269957081102,5.4,4.4,5.6,4.6
svm,signo_zodiacal_acuario,35,0.5,0.44000000000000006,0.44995670995670994,0.58,0.505056277056277,0.421,0.4890231790053772,5.8,7.0,3.0,4.2
svm,signo_zodiacal_acuario,36,0.5,0.48,0.4866355866355866,0.56,0.5182878143976541,0.4959999999999999,0.6016591211506072,5.6,6.0,4.0,4.4
svm,signo_zodiacal_acuario,37,0.5,0.5,0.5051515151515151,0.54,0.5213852813852814,0.524,0.556258129297603,5.4,5.4,4.6,4.6
svm,signo_zodiacal_acuario,38,0.5,0.53,0.5461038961038961,0.54,0.5345938375350141,0.5660000000000001,0.6297874245637404,5.4,4.8,5.2,4.6
svm,signo_zodiacal_acuario,39,0.5,0.51,0.5256410256410257,0.43999999999999995,0.4682367149758454,0.477,0.5337388079756501,4.4,4.2,5.8,5.6
svm,signo_zodiacal_acuario,40,0.5,0.49000000000000005,0.49340659340659343,0.5800000000000001,0.5288098375054896,0.46799999999999997,0.5203339319778948,5.8,6.0,4.0,4.2
svm,signo_zodiacal_acuario,41,0.5,0.38,0.39337551337551335,0.5,0.43769118448294647,0.33399999999999996,0.46490528245404406,5.0,7.4,2.6,5.0
svm,signo_zodiacal_acuario,42,0.5,0.41,0.3988553113553113,0.42000000000000004,0.39578626381022397,0.374,0.45624509760964865,4.2,6.0,4.0,5.8
svm,signo_zodiacal_acuario,43,0.5,0.5700000000000001,0.5691341991341992,0.58,0.5699618029029794,0.548,0.5752518680150258,5.8,4.4,5.6,4.2
svm,signo_zodiacal_acuario,44,0.5,0.52,0.5234188034188034,0.58,0.5477928021635116,0.546,0.5963691406632583,5.8,5.4,4.6,4.2
svm,signo_zodiacal_acuario,45,0.5,0.5599999999999999,0.5681818181818181,0.48,0.5079365079365079,0.604,0.6547097810170566,4.8,3.6,6.4,5.2
svm,signo_zodiacal_acuario,46,0.5,0.42000000000000004,0.41500000000000004,0.42000000000000004,0.4161904761904762,0.403,0.49038315442727204,4.2,5.8,4.2,5.8
svm,signo_zodiacal_acuario,47,0.5,0.5599999999999999,0.5761904761904761,0.38,0.44713745147181677,0.5399999999999999,0.6294842738960386,3.8,2.6,7.4,6.2
svm,signo_zodiacal_acuario,48,0.5,0.53,0.5176190476190475,0.68,0.5852727272727273,0.532,0.5786851553159602,6.8,6.2,3.8,3.2
svm,signo_zodiacal_acuario,49,0.5,0.48,0.4922727272727273,0.36,0.4015873015873016,0.56,0.5700695219812867,3.6,4.0,6.0,6.4
svm,signo_zodiacal_acuario,50,0.5,0.56,0.5590909090909091,0.6,0.5769651401230348,0.5940000000000001,0.6544656732156732,6.0,4.8,5.2,4.0
svm,signo_zodiacal_acuario,51,0.5,0.42000000000000004,0.3829004329004329,0.27999999999999997,0.3129318394024276,0.40599999999999997,0.4773524900452145,2.8,4.4,5.6,7.2
svm,signo_zodiacal_acuario,52,0.5,0.55,0.5595959595959596,0.56,0.5563454089769879,0.552,0.6279178223737046,5.6,4.6,5.4,4.4
svm,signo_zodiacal_acuario,53,0.5,0.33,0.3521645021645021,0.33999999999999997,0.3358059587471352,0.34,0.49604934384500954,3.4,6.8,3.2,6.6
svm,signo_zodiacal_acuario,54,0.5,0.52,0.5213986013986014,0.6,0.5568153585544889,0.53,0.564233311408234,6.0,5.6,4.4,4.0
svm,signo_zodiacal_acuario,55,0.5,0.5700000000000001,0.5807142857142857,0.52,0.5441235888294711,0.5660000000000001,0.6183485038353459,5.2,3.8,6.2,4.8
svm,signo_zodiacal_acuario,56,0.5,0.49000000000000005,0.4909090909090909,0.6,0.5376623376623377,0.4580000000000001,0.5331353291531309,6.0,6.2,3.8,4.0
svm,signo_zodiacal_acuario,57,0.5,0.45999999999999996,0.45757575757575764,0.41999999999999993,0.4367585630743525,0.51,0.5389251375559425,4.2,5.0,5.0,5.8
svm,signo_zodiacal_acuario,58,0.5,0.5,0.5049000019588255,0.6,0.5369936116739185,0.518,0.5865476755786354,6.0,6.0,4.0,4.0
svm,signo_zodiacal_acuario,59,0.5,0.5599999999999999,0.561025641025641,0.6,0.5736104754640223,0.601,0.6337264473572523,6.0,4.8,5.2,4.0
svm,signo_zodiacal_acuario,60,0.5,0.58,0.5616483516483517,0.7200000000000001,0.628403162055336,0.562,0.5882176146866549,7.2,5.6,4.4,2.8
svm,signo_zodiacal_acuario,61,0.5,0.4699999999999999,0.4685314685314685,0.5,0.48098507137408736,0.477,0.5128709792959019,5.0,5.6,4.4,5.0
svm,signo_zodiacal_acuario,62,0.5,0.5,0.490952380952381,0.62,0.5463636363636364,0.47400000000000003,0.5163709134003253,6.2,6.2,3.8,3.8
svm,signo_zodiacal_acuario,63,0.5,0.45999999999999996,0.47400932400932394,0.5,0.4813773564345647,0.45999999999999996,0.5623305664923312,5.0,5.8,4.2,5.0
svm,signo_zodiacal_acuario,64,0.5,0.5599999999999999,0.5882478632478632,0.54,0.5511516769525923,0.546,0.64023743026839,5.4,4.2,5.8,4.6
svm,signo_zodiacal_acuario,65,0.5,0.51,0.538974358974359,0.36000000000000004,0.4081085098476403,0.588,0.6091499025570233,3.6,3.4,6.6,6.4
svm,signo_zodiacal_acuario,66,0.5,0.5000000000000001,0.49860139860139857,0.4800000000000001,0.48364389233954447,0.526,0.6062899771367263,4.8,4.8,5.2,5.2
svm,signo_zodiacal_acuario,67,0.5,0.51,0.5052680652680652,0.6000000000000001,0.5429570236526758,0.46399999999999997,0.5534776931015319,6.0,5.8,4.2,4.0
svm,signo_zodiacal_acuario,68,0.5,0.51,0.5082539682539682,0.42000000000000004,0.45547987616099067,0.511,0.569749793292363,4.2,4.0,6.0,5.8
svm,signo_zodiacal_acuario,69,0.5,0.54,0.5450349650349651,0.5800000000000001,0.5605383022774326,0.5119999999999999,0.5386848681933821,5.8,5.0,5.0,4.2
svm,signo_zodiacal_acuario,70,0.5,0.5599999999999999,0.5454521458933224,0.7799999999999999,0.63839620604838,0.528,0.56491986505067,7.8,6.6,3.4,2.2
svm,signo_zodiacal_acuario,71,0.5,0.63,0.6319191919191919,0.6200000000000001,0.6238763575605681,0.62,0.6681692768016297,6.2,3.6,6.4,3.8
svm,signo_zodiacal_acuario,72,0.5,0.5900000000000001,0.5686013986013986,0.7,0.6242499529456051,0.5900000000000001,0.6118456357883603,7.0,5.2,4.8,3.0
