modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_aries,1,0.5,0.53,0.548138528138528,0.42000000000000004,0.45530130000718233,0.6,0.6484445544135946,4.2,3.6,6.4,5.8
svm,signo_zodiacal_aries,2,0.5,0.49000000000000005,0.4851948051948051,0.4,0.4321627598407784,0.43599999999999994,0.5006921052803406,4.0,4.2,5.8,6.0
svm,signo_zodiacal_aries,3,0.5,0.5599999999999999,0.54,0.64,0.5771794871794873,0.618,0.6792048866166513,6.4,5.2,4.8,3.6
svm,signo_zodiacal_aries,4,0.5,0.55,0.5386363636363636,0.56,0.5476190476190477,0.5539999999999999,0.5586183152932379,5.6,4.6,5.4,4.4
svm,signo_zodiacal_aries,5,0.5,0.48,0.48995670995670987,0.5599999999999999,0.5161269841269841,0.492,0.5636632240308711,5.6,6.0,4.0,4.4
svm,signo_zodiacal_aries,6,0.5,0.48,0.48321678321678324,0.52,0.4995859213250518,0.5279999999999999,0.6028780663780664,5.2,5.6,4.4,4.8
svm,signo_zodiacal_aries,7,0.5,0.47000000000000003,0.4802161890397185,0.6199999999999999,0.5362014500458436,0.496,0.5658969107088302,6.2,6.8,3.2,3.8
svm,signo_zodiacal_aries,8,0.5,0.5599999999999999,0.5622222222222222,0.52,0.5328229665071771,0.616,0.6759730922672099,5.2,4.0,6.0,4.8
svm,signo_zodiacal_aries,9,0.5,0.53,0.5435425685425685,0.44000000000000006,0.47979876160990714,0.554,0.6153119451927501,4.4,3.8,6.2,5.6
svm,signo_zodiacal_aries,10,0.5,0.55,0.5731623931623931,0.5599999999999999,0.553741418764302,0.538,0.5968154541536894,5.6,4.6,5.4,4.4
svm,signo_zodiacal_aries,11,0.5,0.54,0.5419047619047619,0.44000000000000006,0.469673202614379,0.524,0.5548863821936578,4.4,3.6,6.4,5.6
svm,signo_zodiacal_aries,12,0.5,0.48,0.501043956043956,0.5599999999999999,0.5231400966183575,0.45999999999999996,0.535789279176276,5.6,6.0,4.0,4.4
