modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_cancer,1,0.5,0.36000000000000004,0.38530776413129353,0.56,0.4480047632579602,0.32799999999999996,0.48471238445077447,5.6,8.4,1.6,4.4
svm,signo_zodiacal_cancer,2,0.5,0.53,0.5512987012987013,0.44000000000000006,0.4866479925303454,0.5439999999999999,0.6293096707214353,4.4,3.8,6.2,5.6
svm,signo_zodiacal_cancer,3,0.5,0.45999999999999996,0.4574725274725274,0.41999999999999993,0.42412048877522024,0.39199999999999996,0.48332417745653034,4.2,5.0,5.0,5.8
svm,signo_zodiacal_cancer,4,0.5,0.45999999999999996,0.4521056721056721,0.48,0.45379644764084126,0.438,0.5314001255882062,4.8,5.6,4.4,5.2
svm,signo_zodiacal_cancer,5,0.5,0.5200000000000001,0.5194711824123589,0.6599999999999999,0.5742924989240779,0.54,0.5798530805280031,6.6,6.2,3.8,3.4
svm,signo_zodiacal_cancer,6,0.5,0.55,0.5793650793650794,0.4,0.47097523219814247,0.6359999999999999,0.6313052388787682,4.0,3.0,7.0,6.0
svm,signo_zodiacal_cancer,7,0.5,0.67,0.6578571428571429,0.66,0.6414141414141414,0.726,0.7492437431849196,6.6,3.2,6.8,3.4
svm,signo_zodiacal_cancer,8,0.5,0.5200000000000001,0.5190045248868778,0.78,0.6209835253313514,0.48999999999999994,0.5691248206557804,7.8,7.4,2.6,2.2
svm,signo_zodiacal_cancer,9,0.5,0.5,0.48769230769230765,0.5,0.48459627329192545,0.512,0.5705874768506347,5.0,5.0,5.0,5.0
svm,signo_zodiacal_cancer,10,0.5,0.51,0.5126948051948053,0.64,0.5653546453546453,0.481,0.5468113183685939,6.4,6.2,3.8,3.6
svm,signo_zodiacal_cancer,11,0.5,0.43999999999999995,0.468974358974359,0.52,0.47998418972332013,0.508,0.5889163510208402,5.2,6.4,3.6,4.8
svm,signo_zodiacal_cancer,12,0.5,0.49000000000000005,0.5083333333333333,0.43999999999999995,0.44681984681984677,0.53,0.5956629861366703,4.4,4.6,5.4,5.6
svm,signo_zodiacal_cancer,13,0.5,0.5199999999999999,0.5122655122655122,0.54,0.5213032581453634,0.546,0.6021616259557435,5.4,5.0,5.0,4.6
svm,signo_zodiacal_cancer,14,0.5,0.55,0.5761904761904761,0.4,0.4636788048552754,0.504,0.5783920554849347,4.0,3.0,7.0,6.0
svm,signo_zodiacal_cancer,15,0.5,0.48,0.4881561085972851,0.62,0.5354341632602503,0.43200000000000005,0.4924379525703054,6.2,6.6,3.4,3.8
svm,signo_zodiacal_cancer,16,0.5,0.53,0.49444444444444446,0.38,0.42748538011695913,0.562,0.5963464292845099,3.8,3.2,6.8,6.2
svm,signo_zodiacal_cancer,17,0.5,0.45999999999999996,0.4416666666666667,0.44000000000000006,0.43636363636363634,0.42600000000000005,0.5214368952341089,4.4,5.2,4.8,5.6
svm,signo_zodiacal_cancer,18,0.5,0.4600000000000001,0.4651948051948052,0.5,0.4751133180544945,0.453,0.5634180176548598,5.0,5.8,4.2,5.0
svm,signo_zodiacal_cancer,19,0.5,0.56,0.5387037798802504,0.74,0.6143462521036892,0.5660000000000001,0.5825012199702602,7.4,6.2,3.8,2.6
svm,signo_zodiacal_cancer,20,0.5,0.5700000000000001,0.59002997002997,0.58,0.5781536962611131,0.5780000000000001,0.6271358733285978,5.8,4.4,5.6,4.2
svm,signo_zodiacal_cancer,21,0.5,0.52,0.5385281385281384,0.44000000000000006,0.4788294265074451,0.54,0.6279551653197164,4.4,4.0,6.0,5.6
svm,signo_zodiacal_cancer,22,0.5,0.5199999999999999,0.5244988344988345,0.6199999999999999,0.5637831337236372,0.528,0.6143584850821693,6.2,5.8,4.2,3.8
svm,signo_zodiacal_cancer,23,0.5,0.48999999999999994,0.49102564102564095,0.62,0.5448160535117057,0.454,0.5479186728304375,6.2,6.4,3.6,3.8
svm,signo_zodiacal_cancer,24,0.5,0.62,0.6168026418026418,0.68,0.6374472412916348,0.6679999999999999,0.6908333039509509,6.8,4.4,5.6,3.2
svm,signo_zodiacal_cancer,25,0.5,0.48,0.5208333333333334,0.4800000000000001,0.46840659340659335,0.42200000000000004,0.5289928502869679,4.8,5.2,4.8,5.2
svm,signo_zodiacal_cancer,26,0.5,0.53,0.5319347319347318,0.5799999999999998,0.5528168246703716,0.538,0.5665662078719355,5.8,5.2,4.8,4.2
svm,signo_zodiacal_cancer,27,0.5,0.38,0.3787878787878788,0.41999999999999993,0.39536340852130325,0.392,0.5004407912349088,4.2,6.6,3.4,5.8
svm,signo_zodiacal_cancer,28,0.5,0.45,0.46256410256410263,0.6399999999999999,0.5366376811594203,0.38,0.470477107258067,6.4,7.4,2.6,3.6
svm,signo_zodiacal_cancer,29,0.5,0.51,0.513095238095238,0.32,0.39117647058823535,0.49399999999999994,0.5954820353365244,3.2,3.0,7.0,6.8
svm,signo_zodiacal_cancer,30,0.5,0.41000000000000003,0.39047619047619053,0.33999999999999997,0.3574123588829471,0.36200000000000004,0.48701521990221674,3.4,5.2,4.8,6.6
svm,signo_zodiacal_cancer,31,0.5,0.5700000000000001,0.5578088578088579,0.6799999999999999,0.6123094297007341,0.5700000000000001,0.6044659486540291,6.8,5.4,4.6,3.2
svm,signo_zodiacal_cancer,32,0.5,0.5900000000000001,0.5907575757575757,0.6399999999999999,0.6069853421432369,0.64,0.6643871085914428,6.4,4.6,5.4,3.6
