modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_capricornio,1,0.5,0.47000000000000003,0.4583333333333333,0.44000000000000006,0.44298245614035087,0.42400000000000004,0.5232938548379724,4.4,5.0,5.0,5.6
svm,signo_zodiacal_capricornio,2,0.5,0.55,0.5321338791927027,0.7,0.5990985368559738,0.58,0.6258355600367984,7.0,6.0,4.0,3.0
svm,signo_zodiacal_capricornio,3,0.5,0.44000000000000006,0.375,0.3,0.32251082251082247,0.4,0.47374531024531025,3.0,4.2,5.8,7.0
svm,signo_zodiacal_capricornio,4,0.5,0.53,0.49650793650793645,0.48,0.4753106295149639,0.516,0.5328237775296598,4.8,4.2,5.8,5.2
svm,signo_zodiacal_capricornio,5,0.5,0.55,0.5583682983682984,0.5800000000000001,0.5668540917511169,0.584,0.644617648261611,5.8,4.8,5.2,4.2
svm,signo_zodiacal_capricornio,6,0.5,0.56,0.5622222222222223,0.5599999999999999,0.5600501253132832,0.562,0.5882244020169717,5.6,4.4,5.6,4.4
svm,signo_zodiacal_capricornio,7,0.5,0.5399999999999999,0.5586147186147186,0.45999999999999996,0.4950906678460859,0.538,0.6069680329989928,4.6,3.8,6.2,5.4
svm,signo_zodiacal_capricornio,8,0.5,0.5399999999999999,0.5388528138528138,0.56,0.5414396061454886,0.58,0.665657777465053,5.6,4.8,5.2,4.4
svm,signo_zodiacal_capricornio,9,0.5,0.43000000000000005,0.42733044733044734,0.39999999999999997,0.4026232247284879,0.5079999999999999,0.6029174075838162,4.0,5.4,4.6,6.0
svm,signo_zodiacal_capricornio,10,0.5,0.55,0.535,0.74,0.6188764568764569,0.53,0.5496366684571019,7.4,6.4,3.6,2.6
svm,signo_zodiacal_capricornio,11,0.5,0.51,0.5144230769230769,0.64,0.5673761021587108,0.48900000000000005,0.5503959117078312,6.4,6.2,3.8,3.6
svm,signo_zodiacal_capricornio,12,0.5,0.38,0.32571428571428573,0.22000000000000003,0.25725490196078427,0.382,0.49868870878004,2.2,4.6,5.4,7.8
svm,signo_zodiacal_capricornio,13,0.5,0.57,0.582857142857143,0.4800000000000001,0.5215359477124183,0.5980000000000001,0.6908560442825148,4.8,3.4,6.6,5.2
svm,signo_zodiacal_capricornio,14,0.5,0.43999999999999995,0.44193473193473193,0.43999999999999995,0.42502917372482585,0.472,0.5955186480186481,4.4,5.6,4.4,5.6
svm,signo_zodiacal_capricornio,15,0.5,0.54,0.6617521367521367,0.38,0.41862419299490233,0.576,0.6537449668494559,3.8,3.0,7.0,6.2
svm,signo_zodiacal_capricornio,16,0.5,0.5,0.5005194805194806,0.36,0.41046218487394964,0.45,0.5272836612132278,3.6,3.6,6.4,6.4
svm,signo_zodiacal_capricornio,17,0.5,0.6699999999999999,0.6662948162948162,0.72,0.6841179034542878,0.686,0.7648920334051912,7.2,3.8,6.2,2.8
svm,signo_zodiacal_capricornio,18,0.5,0.39,0.36968253968253967,0.4,0.36626807660863386,0.35000000000000003,0.46213202689982874,4.0,6.2,3.8,6.0
svm,signo_zodiacal_capricornio,19,0.5,0.53,0.5242424242424243,0.6,0.558874458874459,0.542,0.5492981087539912,6.0,5.4,4.6,4.0
svm,signo_zodiacal_capricornio,20,0.5,0.5,0.4868181818181818,0.6399999999999999,0.5473992673992674,0.534,0.6179968528203823,6.4,6.4,3.6,3.6
svm,signo_zodiacal_capricornio,21,0.5,0.38,0.2857142857142857,0.2,0.23374613003095973,0.336,0.48325463691794956,2.0,4.4,5.6,8.0
svm,signo_zodiacal_capricornio,22,0.5,0.42000000000000004,0.41174242424242424,0.44000000000000006,0.41608829766724503,0.324,0.44147565755537893,4.4,6.0,4.0,5.6
svm,signo_zodiacal_capricornio,23,0.5,0.53,0.5326190476190475,0.5799999999999998,0.5474269005847954,0.516,0.5751906961287766,5.8,5.2,4.8,4.2
svm,signo_zodiacal_capricornio,24,0.5,0.58,0.6233766233766234,0.4600000000000001,0.5150700280112044,0.5700000000000001,0.6152244704040368,4.6,3.0,7.0,5.4
svm,signo_zodiacal_capricornio,25,0.5,0.49000000000000005,0.5010989010989011,0.48,0.45426257459505537,0.514,0.6066242025947908,4.8,5.0,5.0,5.2
svm,signo_zodiacal_capricornio,26,0.5,0.54,0.5174242424242423,0.64,0.5667099567099567,0.572,0.6296924664602683,6.4,5.6,4.4,3.6
svm,signo_zodiacal_capricornio,27,0.5,0.5,0.47928571428571426,0.32000000000000006,0.38189542483660127,0.47400000000000003,0.5979253626490468,3.2,3.2,6.8,6.8
svm,signo_zodiacal_capricornio,28,0.5,0.43,0.4643523143523144,0.5,0.4733594623620199,0.414,0.49180543699506546,5.0,6.4,3.6,5.0
svm,signo_zodiacal_capricornio,29,0.5,0.53,0.5442857142857143,0.56,0.539618812559989,0.5269999999999999,0.5379527569953266,5.6,5.0,5.0,4.4
svm,signo_zodiacal_capricornio,30,0.5,0.49000000000000005,0.46182539682539686,0.36,0.40251805985552114,0.49800000000000005,0.5294508716257942,3.6,3.8,6.2,6.4
svm,signo_zodiacal_capricornio,31,0.5,0.42000000000000004,0.3888455988455988,0.36000000000000004,0.3676126144237599,0.352,0.4452926452632335,3.6,5.2,4.8,6.4
svm,signo_zodiacal_capricornio,32,0.5,0.47000000000000003,0.4547186147186147,0.52,0.47938782785841616,0.42000000000000004,0.5376838547589322,5.2,5.8,4.2,4.8
svm,signo_zodiacal_capricornio,33,0.5,0.4600000000000001,0.4586940836940837,0.5800000000000001,0.4943977591036415,0.389,0.49705542969242666,5.8,6.6,3.4,4.2
svm,signo_zodiacal_capricornio,34,0.5,0.44000000000000006,0.4557264957264957,0.54,0.4899588100686499,0.42800000000000005,0.5368553391053391,5.4,6.6,3.4,4.6
svm,signo_zodiacal_capricornio,35,0.5,0.38,0.356474358974359,0.45999999999999996,0.3934845782237087,0.286,0.41795214323000696,4.6,7.0,3.0,5.4
svm,signo_zodiacal_capricornio,36,0.5,0.5,0.5033333333333333,0.52,0.510909090909091,0.542,0.5754996849555674,5.2,5.2,4.8,4.8
svm,signo_zodiacal_capricornio,37,0.5,0.44000000000000006,0.4305555555555555,0.4,0.4057017543859649,0.387,0.5057141327025227,4.0,5.2,4.8,6.0
svm,signo_zodiacal_capricornio,38,0.5,0.4600000000000001,0.4257142857142857,0.38,0.39566760037348275,0.4960000000000001,0.506592543679231,3.8,4.6,5.4,6.2
svm,signo_zodiacal_capricornio,39,0.5,0.48,0.4465811965811966,0.5,0.46027866107957643,0.47400000000000003,0.5295571285439706,5.0,5.4,4.6,5.0
svm,signo_zodiacal_capricornio,40,0.5,0.5,0.4962204462204462,0.5800000000000001,0.5301085388041911,0.548,0.6187720802589224,5.8,5.8,4.2,4.2
svm,signo_zodiacal_capricornio,41,0.5,0.48999999999999994,0.49735819735819736,0.5599999999999999,0.5247624991332085,0.508,0.5568759188008414,5.6,5.8,4.2,4.4
svm,signo_zodiacal_capricornio,42,0.5,0.37,0.2533333333333333,0.26,0.24898245614035086,0.391,0.46184395549411034,2.6,5.2,4.8,7.4
svm,signo_zodiacal_capricornio,43,0.5,0.48,0.4761965811965812,0.48,0.4752250190694126,0.5459999999999999,0.6312859150653267,4.8,5.2,4.8,5.2
svm,signo_zodiacal_capricornio,44,0.5,0.53,0.527979797979798,0.45999999999999996,0.47910230120756436,0.534,0.5768348585538987,4.6,4.0,6.0,5.4
svm,signo_zodiacal_capricornio,45,0.5,0.53,0.522979797979798,0.52,0.518751424014582,0.524,0.5757115370010106,5.2,4.6,5.4,4.8
svm,signo_zodiacal_capricornio,46,0.5,0.48999999999999994,0.48769230769230765,0.4999999999999999,0.49121281464530886,0.534,0.6035620217415882,5.0,5.2,4.8,5.0
svm,signo_zodiacal_capricornio,47,0.5,0.5,0.49682539682539684,0.31999999999999995,0.37902599636345763,0.45,0.5300535116758026,3.2,3.2,6.8,6.8
svm,signo_zodiacal_capricornio,48,0.5,0.5599999999999999,0.5622655122655124,0.58,0.5651629072681704,0.5980000000000001,0.6133781186134126,5.8,4.6,5.4,4.2
svm,signo_zodiacal_capricornio,49,0.5,0.44000000000000006,0.44022578728461087,0.5599999999999999,0.48659147869674185,0.394,0.5051754018255565,5.6,6.8,3.2,4.4
svm,signo_zodiacal_capricornio,50,0.5,0.41,0.36444444444444446,0.26,0.2998830409356725,0.372,0.4887367200223237,2.6,4.4,5.6,7.4
svm,signo_zodiacal_capricornio,51,0.5,0.5000000000000001,0.4884615384615384,0.6,0.5366756812981069,0.434,0.4995718627777451,6.0,6.0,4.0,4.0
svm,signo_zodiacal_capricornio,52,0.5,0.5700000000000001,0.5638034188034188,0.6599999999999999,0.5987800661072973,0.61,0.6273605050779973,6.6,5.2,4.8,3.4
svm,signo_zodiacal_capricornio,53,0.5,0.54,0.5460606060606061,0.52,0.5313951545530492,0.5619999999999999,0.6058665423843441,5.2,4.4,5.6,4.8
svm,signo_zodiacal_capricornio,54,0.5,0.5700000000000001,0.5900000000000001,0.43999999999999995,0.4972222222222221,0.5959999999999999,0.6205663492853896,4.4,3.0,7.0,5.6
svm,signo_zodiacal_capricornio,55,0.5,0.45,0.4591991341991342,0.48,0.4647451963241437,0.434,0.504661080749316,4.8,5.8,4.2,5.2
svm,signo_zodiacal_capricornio,56,0.5,0.5,0.49860139860139857,0.6599999999999999,0.5669772256728779,0.483,0.550724902548432,6.6,6.6,3.4,3.4
svm,signo_zodiacal_capricornio,57,0.5,0.41,0.427972027972028,0.52,0.4687370600414078,0.466,0.5824310432429627,5.2,7.0,3.0,4.8
svm,signo_zodiacal_capricornio,58,0.5,0.38,0.37666666666666665,0.32,0.33436773752563226,0.344,0.4948348883658481,3.2,5.6,4.4,6.8
svm,signo_zodiacal_capricornio,59,0.5,0.41000000000000003,0.40757020757020757,0.41999999999999993,0.4103583767603151,0.442,0.5076538249332366,4.2,6.0,4.0,5.8
svm,signo_zodiacal_capricornio,60,0.5,0.54,0.5690909090909091,0.45999999999999996,0.48761904761904756,0.536,0.6115454612466996,4.6,3.8,6.2,5.4
svm,signo_zodiacal_capricornio,61,0.5,0.58,0.5716483516483517,0.62,0.5804566379911649,0.6080000000000001,0.5927930664107135,6.2,4.6,5.4,3.8
svm,signo_zodiacal_capricornio,62,0.5,0.4600000000000001,0.44666666666666666,0.36,0.3948538011695906,0.4619999999999999,0.5215772071066189,3.6,4.4,5.6,6.4
svm,signo_zodiacal_capricornio,63,0.5,0.6100000000000001,0.6113886113886113,0.64,0.6186822555109,0.634,0.6655512065334046,6.4,4.2,5.8,3.6
svm,signo_zodiacal_capricornio,64,0.5,0.49000000000000005,0.48722943722943723,0.48,0.478957643663526,0.44400000000000006,0.5190668961241716,4.8,5.0,5.0,5.2
svm,signo_zodiacal_capricornio,65,0.5,0.56,0.5555769230769231,0.74,0.6279077627178313,0.53,0.5693511380260606,7.4,6.2,3.8,2.6
svm,signo_zodiacal_capricornio,66,0.5,0.39,0.3785620915032679,0.48,0.4149395711500975,0.334,0.4562337401160931,4.8,7.0,3.0,5.2
svm,signo_zodiacal_capricornio,67,0.5,0.47000000000000003,0.47412587412587415,0.54,0.503914925654056,0.47000000000000003,0.5552768157195402,5.4,6.0,4.0,4.6
svm,signo_zodiacal_capricornio,68,0.5,0.39,0.38476190476190475,0.42000000000000004,0.38782456140350874,0.312,0.4280653143725899,4.2,6.4,3.6,5.8
svm,signo_zodiacal_capricornio,69,0.5,0.5000000000000001,0.4985281385281385,0.6199999999999999,0.5496623376623376,0.54,0.6181023110876052,6.2,6.2,3.8,3.8
svm,signo_zodiacal_capricornio,70,0.5,0.47000000000000003,0.4662082362082362,0.52,0.4894881472455843,0.466,0.5571803023258132,5.2,5.8,4.2,4.8
svm,signo_zodiacal_capricornio,71,0.5,0.54,0.5366233766233766,0.5199999999999999,0.5258263305322128,0.558,0.6441959980164315,5.2,4.4,5.6,4.8
svm,signo_zodiacal_capricornio,72,0.5,0.5200000000000001,0.5291330891330891,0.62,0.5639267734553777,0.492,0.5432121212121211,6.2,5.8,4.2,3.8
svm,signo_zodiacal_capricornio,73,0.5,0.55,0.5310023310023311,0.6199999999999999,0.5699901928734881,0.5560000000000002,0.6012454893747463,6.2,5.2,4.8,3.8
svm,signo_zodiacal_capricornio,74,0.5,0.51,0.49575757575757573,0.5399999999999999,0.5100432900432901,0.52,0.5756475829811742,5.4,5.2,4.8,4.6
svm,signo_zodiacal_capricornio,75,0.5,0.45,0.44102564102564107,0.5399999999999999,0.4828502415458937,0.488,0.6082404082845259,5.4,6.4,3.6,4.6
svm,signo_zodiacal_capricornio,76,0.5,0.51,0.49833333333333335,0.64,0.5552727272727273,0.5660000000000001,0.6249057235334324,6.4,6.2,3.8,3.6
svm,signo_zodiacal_capricornio,77,0.5,0.5700000000000001,0.5691341991341992,0.58,0.5699618029029794,0.5780000000000001,0.6040311977324361,5.8,4.4,5.6,4.2
svm,signo_zodiacal_capricornio,78,0.5,0.4800000000000001,0.48428321678321673,0.6399999999999999,0.5467940754897276,0.5,0.5449816651356899,6.4,6.8,3.2,3.6
svm,signo_zodiacal_capricornio,79,0.5,0.51,0.5367521367521368,0.48,0.47670500107571046,0.5820000000000001,0.6206247114598508,4.8,4.6,5.4,5.2
svm,signo_zodiacal_capricornio,80,0.5,0.58,0.5716880341880343,0.7,0.624813173096926,0.53,0.5364611205787677,7.0,5.4,4.6,3.0
