modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_escorpio,1,0.5,0.59,0.5815584415584415,0.6799999999999999,0.6248484848484848,0.6439999999999999,0.6693524749244563,6.8,5.0,5.0,3.2
svm,signo_zodiacal_escorpio,2,0.5,0.44000000000000006,0.42642857142857143,0.38,0.396934046345811,0.47000000000000003,0.5523816261138242,3.8,5.0,5.0,6.2
svm,signo_zodiacal_escorpio,3,0.5,0.52,0.5238095238095238,0.39999999999999997,0.45065359477124184,0.536,0.5974115122923173,4.0,3.6,6.4,6.0
svm,signo_zodiacal_escorpio,4,0.5,0.55,0.5717171717171717,0.44000000000000006,0.4779127305443094,0.596,0.630198595522125,4.4,3.4,6.6,5.6
svm,signo_zodiacal_escorpio,5,0.5,0.5,0.5181240981240981,0.4,0.4444601700329255,0.5199999999999999,0.6483084882953303,4.0,4.0,6.0,6.0
svm,signo_zodiacal_escorpio,6,0.5,0.55,0.5394871794871795,0.7,0.6084426877470356,0.522,0.5517203346189414,7.0,6.0,4.0,3.0
svm,signo_zodiacal_escorpio,7,0.5,0.47000000000000003,0.475,0.42000000000000004,0.43619047619047624,0.44799999999999995,0.5117408512540091,4.2,4.8,5.2,5.8
svm,signo_zodiacal_escorpio,8,0.5,0.5,0.4890656565656565,0.62,0.5401056487372277,0.55,0.6087170894980491,6.2,6.2,3.8,3.8
svm,signo_zodiacal_escorpio,9,0.5,0.56,0.5583333333333333,0.48,0.5107602339181286,0.556,0.5909751447383027,4.8,3.6,6.4,5.2
svm,signo_zodiacal_escorpio,10,0.5,0.44000000000000006,0.44820956820956825,0.43999999999999995,0.43886647565204573,0.44400000000000006,0.5359159827101003,4.4,5.6,4.4,5.6
svm,signo_zodiacal_escorpio,11,0.5,0.48,0.4612698412698412,0.39999999999999997,0.42479876160990704,0.386,0.4794240410432361,4.0,4.4,5.6,6.0
svm,signo_zodiacal_escorpio,12,0.5,0.4600000000000001,0.4537795537795538,0.42000000000000004,0.42737967040363056,0.43,0.5596100521425599,4.2,5.0,5.0,5.8
svm,signo_zodiacal_escorpio,13,0.5,0.57,0.5932251082251082,0.44000000000000006,0.49522875816993456,0.63,0.6277780999530226,4.4,3.0,7.0,5.6
svm,signo_zodiacal_escorpio,14,0.5,0.5900000000000001,0.6006493506493507,0.5599999999999999,0.5690094219505984,0.572,0.6290737683369263,5.6,3.8,6.2,4.4
svm,signo_zodiacal_escorpio,15,0.5,0.45,0.4517676767676768,0.42000000000000004,0.43433583959899746,0.4699999999999999,0.5465444288253887,4.2,5.2,4.8,5.8
svm,signo_zodiacal_escorpio,16,0.5,0.49000000000000005,0.4971717171717172,0.5800000000000001,0.5301203007518798,0.4840000000000001,0.5531888758816004,5.8,6.0,4.0,4.2
svm,signo_zodiacal_escorpio,17,0.5,0.49000000000000005,0.49333333333333335,0.54,0.5070292397660818,0.5120000000000001,0.6056523737700208,5.4,5.6,4.4,4.6
svm,signo_zodiacal_escorpio,18,0.5,0.51,0.5057142857142857,0.38,0.42690402476780187,0.516,0.5841572594072593,3.8,3.6,6.4,6.2
svm,signo_zodiacal_escorpio,19,0.5,0.55,0.5506493506493506,0.45999999999999996,0.49173669467787107,0.566,0.6136041925910346,4.6,3.6,6.4,5.4
svm,signo_zodiacal_escorpio,20,0.5,0.5900000000000001,0.6168253968253967,0.48,0.5355572755417957,0.614,0.6472253993856161,4.8,3.0,7.0,5.2
svm,signo_zodiacal_escorpio,21,0.5,0.53,0.5327705627705628,0.54,0.5318665648077413,0.558,0.5977626246302716,5.4,4.8,5.2,4.6
svm,signo_zodiacal_escorpio,22,0.5,0.38,0.39102564102564097,0.45999999999999996,0.4212606615352611,0.394,0.5063447294020049,4.6,7.0,3.0,5.4
svm,signo_zodiacal_escorpio,23,0.5,0.49000000000000005,0.47480519480519473,0.43999999999999995,0.4472981920040743,0.556,0.6184903307047269,4.4,4.6,5.4,5.6
svm,signo_zodiacal_escorpio,24,0.5,0.5599999999999999,0.5571678321678322,0.64,0.5819875776397515,0.616,0.6653573813527374,6.4,5.2,4.8,3.6
svm,signo_zodiacal_escorpio,25,0.5,0.51,0.48888888888888893,0.42000000000000004,0.4440950862003493,0.514,0.5687033403473032,4.2,4.0,6.0,5.8
svm,signo_zodiacal_escorpio,26,0.5,0.6199999999999999,0.5995970695970696,0.76,0.6670118577075099,0.5640000000000001,0.5631825570370463,7.6,5.2,4.8,2.4
svm,signo_zodiacal_escorpio,27,0.5,0.49000000000000005,0.48269230769230764,0.4800000000000001,0.47729468599033814,0.47000000000000003,0.5230274502759024,4.8,5.0,5.0,5.2
svm,signo_zodiacal_escorpio,28,0.5,0.54,0.5410256410256411,0.54,0.5369438087973557,0.5439999999999999,0.603609113109113,5.4,4.6,5.4,4.6
svm,signo_zodiacal_escorpio,29,0.5,0.45,0.4392496392496392,0.43999999999999995,0.43270676691729315,0.422,0.5222663103150719,4.4,5.4,4.6,5.6
svm,signo_zodiacal_escorpio,30,0.5,0.56,0.5665584415584416,0.5199999999999999,0.5302287581699346,0.5780000000000001,0.6465020802211205,5.2,4.0,6.0,4.8
svm,signo_zodiacal_escorpio,31,0.5,0.51,0.5097125097125097,0.5599999999999999,0.5277959391231702,0.48,0.529494410989767,5.6,5.4,4.6,4.4
svm,signo_zodiacal_escorpio,32,0.5,0.5900000000000001,0.5950937950937951,0.5599999999999999,0.5733156420462922,0.648,0.6845039194551579,5.6,3.8,6.2,4.4
svm,signo_zodiacal_escorpio,33,0.5,0.53,0.525,0.47999999999999987,0.4864889496468444,0.514,0.560856709681787,4.8,4.2,5.8,5.2
svm,signo_zodiacal_escorpio,34,0.5,0.38,0.3754273504273504,0.4,0.3746548645862147,0.352,0.4416137679829631,4.0,6.4,3.6,6.0
svm,signo_zodiacal_escorpio,35,0.5,0.48,0.49226551226551224,0.5399999999999999,0.5052805543269939,0.4659999999999999,0.5202985064471133,5.4,5.8,4.2,4.6
