modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_geminis,1,0.5,0.5900000000000001,0.5602380952380952,0.78,0.6438119658119659,0.524,0.5576996418614065,7.8,6.0,4.0,2.2
svm,signo_zodiacal_geminis,2,0.5,0.51,0.5755050505050505,0.44000000000000006,0.46770072033229926,0.514,0.5807180293047167,4.4,4.2,5.8,5.6
svm,signo_zodiacal_geminis,3,0.5,0.51,0.5057142857142857,0.45999999999999996,0.4751120448179272,0.5,0.5772060260001436,4.6,4.4,5.6,5.4
svm,signo_zodiacal_geminis,4,0.5,0.48,0.48540792540792543,0.6,0.5348872576698663,0.45999999999999996,0.5368512779789869,6.0,6.4,3.6,4.0
svm,signo_zodiacal_geminis,5,0.5,0.44000000000000006,0.41540616246498596,0.43999999999999995,0.41413828689370485,0.476,0.5275855312558099,4.4,5.6,4.4,5.6
svm,signo_zodiacal_geminis,6,0.5,0.41,0.4351082251082251,0.58,0.49546320346320344,0.442,0.5421577672413587,5.8,7.6,2.4,4.2
svm,signo_zodiacal_geminis,7,0.5,0.6300000000000001,0.700873015873016,0.48,0.5642174062607499,0.588,0.6469751447383025,4.8,2.2,7.8,5.2
svm,signo_zodiacal_geminis,8,0.5,0.55,0.5494949494949495,0.5599999999999999,0.552950558213716,0.542,0.5642423018158312,5.6,4.6,5.4,4.4
svm,signo_zodiacal_geminis,9,0.5,0.5599999999999999,0.5533333333333333,0.5199999999999999,0.5163475355054302,0.558,0.5862215088832736,5.2,4.0,6.0,4.8
svm,signo_zodiacal_geminis,10,0.5,0.48,0.4820512820512821,0.64,0.5483733657646701,0.44400000000000006,0.5264073088074637,6.4,6.8,3.2,3.6
svm,signo_zodiacal_geminis,11,0.5,0.38,0.3621031746031746,0.36,0.35137995819110374,0.329,0.44940296081627346,3.6,6.0,4.0,6.4
svm,signo_zodiacal_geminis,12,0.5,0.5900000000000001,0.6619480519480521,0.45999999999999996,0.524313725490196,0.5720000000000001,0.6379282630853839,4.6,2.8,7.2,5.4
svm,signo_zodiacal_geminis,13,0.5,0.4600000000000001,0.4607326007326007,0.54,0.4889978014088931,0.45199999999999996,0.536971668682195,5.4,6.2,3.8,4.6
svm,signo_zodiacal_geminis,14,0.5,0.4699999999999999,0.4647319347319347,0.5399999999999999,0.49507798481711535,0.44399999999999995,0.5426238412430362,5.4,6.0,4.0,4.6
svm,signo_zodiacal_geminis,15,0.5,0.4699999999999999,0.47794871794871796,0.64,0.5464532279314889,0.479,0.6031034172226122,6.4,7.0,3.0,3.6
svm,signo_zodiacal_geminis,16,0.5,0.55,0.5963924963924965,0.48,0.5138193076273572,0.522,0.5806140799345133,4.8,3.8,6.2,5.2
svm,signo_zodiacal_geminis,17,0.5,0.6,0.595995670995671,0.64,0.6108035239614187,0.5780000000000001,0.6019546549941286,6.4,4.4,5.6,3.6
svm,signo_zodiacal_geminis,18,0.5,0.48,0.45952380952380956,0.41999999999999993,0.43380867498514564,0.55,0.5870081656389706,4.2,4.6,5.4,5.8
svm,signo_zodiacal_geminis,19,0.5,0.38,0.39642857142857146,0.48,0.4303030303030303,0.284,0.40578468976843596,4.8,7.2,2.8,5.2
svm,signo_zodiacal_geminis,20,0.5,0.48999999999999994,0.4964646464646464,0.45999999999999996,0.4716735019366598,0.41000000000000003,0.5078454878454879,4.6,4.8,5.2,5.4
