modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_leo,1,0.5,0.44000000000000006,0.4436507936507936,0.34,0.3655130473241928,0.382,0.5033122720932318,3.4,4.6,5.4,6.6
svm,signo_zodiacal_leo,2,0.5,0.56,0.5936147186147186,0.44000000000000006,0.49859943977591037,0.5439999999999999,0.5977635981149912,4.4,3.2,6.8,5.6
svm,signo_zodiacal_leo,3,0.5,0.48,0.4832167832167832,0.5599999999999999,0.5162525879917184,0.48600000000000004,0.5604750233426704,5.6,6.0,4.0,4.4
svm,signo_zodiacal_leo,4,0.5,0.53,0.5442424242424242,0.5,0.511077694235589,0.548,0.5919754320327075,5.0,4.4,5.6,5.0
svm,signo_zodiacal_leo,5,0.5,0.36,0.3396825396825397,0.24,0.26725805154597726,0.32599999999999996,0.44515537197580535,2.4,5.2,4.8,7.6
svm,signo_zodiacal_leo,6,0.5,0.4,0.3666666666666667,0.32,0.3327272727272727,0.45400000000000007,0.5166669076537498,3.2,5.2,4.8,6.8
svm,signo_zodiacal_leo,7,0.5,0.47000000000000003,0.45257575757575763,0.38,0.4069047619047619,0.526,0.5400045656957422,3.8,4.4,5.6,6.2
svm,signo_zodiacal_leo,8,0.5,0.5800000000000001,0.6235281385281384,0.48,0.5334493095483808,0.612,0.6328591763413745,4.8,3.2,6.8,5.2
svm,signo_zodiacal_leo,9,0.5,0.5700000000000001,0.573015873015873,0.54,0.5480439065578385,0.5820000000000001,0.6386146616541353,5.4,4.0,6.0,4.6
svm,signo_zodiacal_leo,10,0.5,0.4699999999999999,0.48555555555555563,0.48,0.47064114832535886,0.45600000000000007,0.5170252525252526,4.8,5.4,4.6,5.2
svm,signo_zodiacal_leo,11,0.5,0.43000000000000005,0.4143589743589743,0.38,0.3867391304347826,0.45600000000000007,0.5154767258884906,3.8,5.2,4.8,6.2
svm,signo_zodiacal_leo,12,0.5,0.53,0.5516666666666666,0.39999999999999997,0.4572514619883041,0.556,0.6156525506657086,4.0,3.4,6.6,6.0
svm,signo_zodiacal_leo,13,0.5,0.39,0.32,0.38,0.3433535353535354,0.32999999999999996,0.4264594392535569,3.8,6.0,4.0,6.2
svm,signo_zodiacal_leo,14,0.5,0.53,0.5166666666666666,0.4600000000000001,0.480103668261563,0.49400000000000005,0.5518118178690934,4.6,4.0,6.0,5.4
svm,signo_zodiacal_leo,15,0.5,0.49000000000000005,0.4593589743589743,0.62,0.525052261747914,0.4800000000000001,0.5171396489647264,6.2,6.4,3.6,3.8
svm,signo_zodiacal_leo,16,0.5,0.63,0.6228438228438228,0.6799999999999999,0.6480549199084669,0.588,0.5733283464901112,6.8,4.2,5.8,3.2
svm,signo_zodiacal_leo,17,0.5,0.5800000000000001,0.6011688311688312,0.5,0.5286834733893557,0.6320000000000001,0.6580244667613089,5.0,3.4,6.6,5.0
svm,signo_zodiacal_leo,18,0.5,0.48999999999999994,0.5048076923076923,0.56,0.5231512448903753,0.4379999999999999,0.5636100786898,5.6,5.8,4.2,4.4
svm,signo_zodiacal_leo,19,0.5,0.55,0.5419047619047619,0.5599999999999999,0.5457894736842104,0.52,0.5573697105268312,5.6,4.6,5.4,4.4
svm,signo_zodiacal_leo,20,0.5,0.51,0.5088888888888888,0.4800000000000001,0.4936842105263158,0.502,0.5613710727696796,4.8,4.6,5.4,5.2
svm,signo_zodiacal_leo,21,0.5,0.51,0.5195804195804196,0.58,0.5458151307121559,0.4879999999999999,0.5462335734440997,5.8,5.6,4.4,4.2
svm,signo_zodiacal_leo,22,0.5,0.47000000000000003,0.45008547008547006,0.43999999999999995,0.43466148903219837,0.49399999999999994,0.5772427099044746,4.4,5.0,5.0,5.6
svm,signo_zodiacal_leo,23,0.5,0.6300000000000001,0.5988795518207282,0.8400000000000001,0.6973063973063972,0.57,0.5678817926139907,8.4,5.8,4.2,1.6
svm,signo_zodiacal_leo,24,0.5,0.52,0.4133333333333333,0.38,0.36222222222222217,0.5640000000000001,0.5907938358511113,3.8,3.4,6.6,6.2
svm,signo_zodiacal_leo,25,0.5,0.39,0.3945454545454546,0.44000000000000006,0.4123007518796992,0.4079999999999999,0.5276807110158503,4.4,6.6,3.4,5.6
svm,signo_zodiacal_leo,26,0.5,0.36,0.35118411000763944,0.36,0.3438530967942732,0.384,0.5118500774251549,3.6,6.4,3.6,6.4
svm,signo_zodiacal_leo,27,0.5,0.52,0.5166666666666667,0.6,0.5533596837944664,0.54,0.6061567588757992,6.0,5.6,4.4,4.0
svm,signo_zodiacal_leo,28,0.5,0.48,0.4792424242424242,0.5,0.4848872180451128,0.43000000000000005,0.5319357505239858,5.0,5.4,4.6,5.0
svm,signo_zodiacal_leo,29,0.5,0.38,0.400909090909091,0.5,0.43893972693972694,0.308,0.4341777262984693,5.0,7.4,2.6,5.0
svm,signo_zodiacal_leo,30,0.5,0.47000000000000003,0.4817460317460317,0.45999999999999996,0.46501547987616093,0.404,0.4881228720539865,4.6,5.2,4.8,5.4
svm,signo_zodiacal_leo,31,0.5,0.5,0.49720279720279725,0.64,0.5570313744226787,0.5,0.5629991685301283,6.4,6.4,3.6,3.6
svm,signo_zodiacal_leo,32,0.5,0.53,0.5341269841269842,0.41999999999999993,0.45686140484902094,0.5359999999999999,0.6229517616886037,4.2,3.6,6.4,5.8
svm,signo_zodiacal_leo,33,0.5,0.47000000000000003,0.47897435897435897,0.66,0.5514247491638796,0.484,0.5442212319843899,6.6,7.2,2.8,3.4
svm,signo_zodiacal_leo,34,0.5,0.44000000000000006,0.4357142857142858,0.4,0.4087461300309598,0.40800000000000003,0.501263496307614,4.0,5.2,4.8,6.0
svm,signo_zodiacal_leo,35,0.5,0.56,0.5700000000000001,0.5800000000000001,0.5715151515151515,0.602,0.6763245632936036,5.8,4.6,5.4,4.2
svm,signo_zodiacal_leo,36,0.5,0.41999999999999993,0.40078431372549017,0.4800000000000001,0.42700336700336694,0.37,0.45930006062049406,4.8,6.4,3.6,5.2
svm,signo_zodiacal_leo,37,0.5,0.45,0.46153846153846156,0.54,0.49565217391304345,0.45599999999999985,0.5215620321371095,5.4,6.4,3.6,4.6
svm,signo_zodiacal_leo,38,0.5,0.32999999999999996,0.2697835497835498,0.22000000000000003,0.2373389355742297,0.304,0.4500701710570132,2.2,5.6,4.4,7.8
svm,signo_zodiacal_leo,39,0.5,0.49000000000000005,0.47644512350394697,0.5399999999999999,0.49565089193572154,0.5159999999999999,0.5352332456844839,5.4,5.6,4.4,4.6
svm,signo_zodiacal_leo,40,0.5,0.54,0.5263791763791763,0.64,0.5731494744767056,0.536,0.5868885826076229,6.4,5.6,4.4,3.6
svm,signo_zodiacal_leo,41,0.5,0.4800000000000001,0.47936507936507927,0.34,0.3959752321981424,0.45199999999999996,0.5461601756516616,3.4,3.8,6.2,6.6
svm,signo_zodiacal_leo,42,0.5,0.5900000000000001,0.5900000000000001,0.56,0.5616161616161616,0.636,0.6804257215093129,5.6,3.8,6.2,4.4
svm,signo_zodiacal_leo,43,0.5,0.52,0.49873015873015875,0.42000000000000004,0.4402631578947368,0.49000000000000005,0.552908110894953,4.2,3.8,6.2,5.8
svm,signo_zodiacal_leo,44,0.5,0.53,0.5456410256410257,0.4600000000000001,0.4814906832298137,0.548,0.6059546917650633,4.6,4.0,6.0,5.4
svm,signo_zodiacal_leo,45,0.5,0.38999999999999996,0.37772727272727274,0.34,0.3502574618364092,0.382,0.47774506925822713,3.4,5.6,4.4,6.6
svm,signo_zodiacal_leo,46,0.5,0.45,0.4540404040404041,0.5399999999999999,0.4886727307779939,0.48600000000000004,0.5304211699033681,5.4,6.4,3.6,4.6
svm,signo_zodiacal_leo,47,0.5,0.4700000000000001,0.4276623376623377,0.4800000000000001,0.4419480519480519,0.422,0.4784018003839986,4.8,5.4,4.6,5.2
svm,signo_zodiacal_leo,48,0.5,0.45999999999999996,0.44552669552669555,0.44000000000000006,0.4397223004034149,0.42399999999999993,0.5004736005308761,4.4,5.2,4.8,5.6
