modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_libra,1,0.5,0.49000000000000005,0.49444444444444446,0.52,0.5032429558745347,0.484,0.5527552622815781,5.2,5.4,4.6,4.8
svm,signo_zodiacal_libra,2,0.5,0.51,0.5051948051948052,0.58,0.5376623376623376,0.434,0.5254114162411376,5.8,5.6,4.4,4.2
svm,signo_zodiacal_libra,3,0.5,0.47000000000000003,0.4735897435897436,0.5800000000000001,0.5199868247694335,0.46399999999999997,0.5714797908489858,5.8,6.4,3.6,4.2
svm,signo_zodiacal_libra,4,0.5,0.43999999999999995,0.43,0.45999999999999996,0.4390909090909091,0.359,0.48562328667204835,4.6,5.8,4.2,5.4
svm,signo_zodiacal_libra,5,0.5,0.55,0.5361471861471861,0.7,0.6046786546786548,0.5549999999999999,0.5989633776955758,7.0,6.0,4.0,3.0
svm,signo_zodiacal_libra,6,0.5,0.5199999999999999,0.546868686868687,0.45999999999999996,0.4893734335839598,0.5740000000000001,0.6113094672785074,4.6,4.2,5.8,5.4
svm,signo_zodiacal_libra,7,0.5,0.51,0.5190476190476191,0.43999999999999995,0.46856803327391566,0.48200000000000004,0.5457537750347348,4.4,4.2,5.8,5.6
svm,signo_zodiacal_libra,8,0.5,0.37,0.3263170163170163,0.42000000000000004,0.36605608883869756,0.33,0.47669573546508526,4.2,6.8,3.2,5.8
svm,signo_zodiacal_libra,9,0.5,0.47000000000000003,0.47992424242424236,0.54,0.5023607970976391,0.462,0.5404851743543693,5.4,6.0,4.0,4.6
svm,signo_zodiacal_libra,10,0.5,0.53,0.611111111111111,0.38,0.4149601275917066,0.518,0.6164029767102522,3.8,3.2,6.8,6.2
svm,signo_zodiacal_libra,11,0.5,0.54,0.5352918323506558,0.6599999999999999,0.5845780459052771,0.54,0.5814528233204703,6.6,5.8,4.2,3.4
svm,signo_zodiacal_libra,12,0.5,0.5199999999999999,0.515,0.5199999999999999,0.5157575757575757,0.588,0.627595226239189,5.2,4.8,5.2,4.8
svm,signo_zodiacal_libra,13,0.5,0.49000000000000005,0.48465367965367967,0.45999999999999996,0.4609356725146199,0.45,0.5385164459723284,4.6,4.8,5.2,5.4
svm,signo_zodiacal_libra,14,0.5,0.4699999999999999,0.45595238095238094,0.36,0.39487522281639925,0.506,0.5650784672843495,3.6,4.2,5.8,6.4
svm,signo_zodiacal_libra,15,0.5,0.55,0.5592207792207793,0.5599999999999999,0.5543570155334862,0.522,0.60190438216754,5.6,4.6,5.4,4.4
svm,signo_zodiacal_libra,16,0.5,0.54,0.5444444444444445,0.42000000000000004,0.46649958228905597,0.5,0.5511691539454697,4.2,3.4,6.6,5.8
svm,signo_zodiacal_libra,17,0.5,0.5,0.5090909090909091,0.6000000000000001,0.5484675324675325,0.508,0.592995199846593,6.0,6.0,4.0,4.0
svm,signo_zodiacal_libra,18,0.5,0.53,0.5412087912087913,0.5599999999999999,0.53645147123408,0.466,0.574301228613148,5.6,5.0,5.0,4.4
svm,signo_zodiacal_libra,19,0.5,0.43999999999999995,0.4439285714285714,0.58,0.49846153846153846,0.396,0.49733072689264635,5.8,7.0,3.0,4.2
svm,signo_zodiacal_libra,20,0.5,0.48999999999999994,0.49825017088174983,0.74,0.590341290893015,0.454,0.5433545800604624,7.4,7.6,2.4,2.6
svm,signo_zodiacal_libra,21,0.5,0.53,0.5361111111111111,0.33999999999999997,0.4068504594820384,0.516,0.5875263696571746,3.4,2.8,7.2,6.6
svm,signo_zodiacal_libra,22,0.5,0.5800000000000001,0.5541666666666667,0.78,0.6456673761021587,0.5469999999999999,0.5312044503484132,7.8,6.2,3.8,2.2
svm,signo_zodiacal_libra,23,0.5,0.49000000000000005,0.48708624708624704,0.6,0.5354534161490683,0.509,0.5788463109817599,6.0,6.2,3.8,4.0
svm,signo_zodiacal_libra,24,0.5,0.5599999999999999,0.5503496503496503,0.6199999999999999,0.5795344751866491,0.492,0.5574634542444139,6.2,5.0,5.0,3.8
