modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_piscis,1,0.5,0.51,0.49523809523809526,0.4800000000000001,0.48413547237076643,0.49800000000000005,0.5523703404438699,4.8,4.6,5.4,5.2
svm,signo_zodiacal_piscis,2,0.5,0.54,0.5363636363636364,0.6,0.5642857142857143,0.55,0.5707906238068776,6.0,5.2,4.8,4.0
svm,signo_zodiacal_piscis,3,0.5,0.61,0.6357575757575757,0.6,0.6083766233766232,0.626,0.6469970629645554,6.0,3.8,6.2,4.0
svm,signo_zodiacal_piscis,4,0.5,0.4800000000000001,0.46512376512376513,0.42000000000000004,0.4249088193629854,0.502,0.5460002095427792,4.2,4.6,5.4,5.8
svm,signo_zodiacal_piscis,5,0.5,0.51,0.4890909090909091,0.42000000000000004,0.4409523809523809,0.47800000000000004,0.5584466187407364,4.2,4.0,6.0,5.8
svm,signo_zodiacal_piscis,6,0.5,0.58,0.5776923076923077,0.7,0.625159420289855,0.538,0.5929846536332605,7.0,5.4,4.6,3.0
svm,signo_zodiacal_piscis,7,0.5,0.55,0.5424242424242425,0.68,0.6009990009990009,0.5439999999999999,0.5741144770262416,6.8,5.8,4.2,3.2
svm,signo_zodiacal_piscis,8,0.5,0.5000000000000001,0.5074592074592075,0.5599999999999999,0.5302307151277403,0.492,0.5655432900432901,5.6,5.6,4.4,4.4
svm,signo_zodiacal_piscis,9,0.5,0.54,0.5398834498834499,0.6199999999999999,0.575949557688688,0.556,0.630483107965306,6.2,5.4,4.6,3.8
svm,signo_zodiacal_piscis,10,0.5,0.53,0.5290909090909091,0.6,0.5615584415584415,0.5279999999999999,0.5876924529718648,6.0,5.4,4.6,4.0
svm,signo_zodiacal_piscis,11,0.5,0.41,0.4143939393939394,0.5199999999999999,0.4532467532467532,0.356,0.46581006291610005,5.2,7.0,3.0,4.8
svm,signo_zodiacal_piscis,12,0.5,0.47000000000000003,0.4686868686868687,0.5199999999999999,0.48941672362724997,0.5,0.602410024615907,5.2,5.8,4.2,4.8
svm,signo_zodiacal_piscis,13,0.5,0.47000000000000003,0.45164835164835165,0.5599999999999999,0.4935225916453538,0.5660000000000001,0.613420993609074,5.6,6.2,3.8,4.4
svm,signo_zodiacal_piscis,14,0.5,0.49000000000000005,0.485,0.36,0.4083333333333333,0.508,0.5754873243371695,3.6,3.8,6.2,6.4
svm,signo_zodiacal_piscis,15,0.5,0.53,0.5223509823509824,0.6599999999999999,0.5799668737060041,0.538,0.5898220435395357,6.6,6.0,4.0,3.4
svm,signo_zodiacal_piscis,16,0.5,0.5000000000000001,0.5023809523809524,0.38,0.4317853457172343,0.49000000000000005,0.5733942550397659,3.8,3.8,6.2,6.2
svm,signo_zodiacal_piscis,17,0.5,0.6,0.6979797979797979,0.5199999999999999,0.5334244702665755,0.6639999999999999,0.7175541876424228,5.2,3.2,6.8,4.8
svm,signo_zodiacal_piscis,18,0.5,0.5200000000000001,0.5181013431013431,0.58,0.540578554422948,0.524,0.6047592309651133,5.8,5.4,4.6,4.2
svm,signo_zodiacal_piscis,19,0.5,0.53,0.5474747474747474,0.54,0.5288822055137844,0.49899999999999994,0.5902011960347874,5.4,4.8,5.2,4.6
svm,signo_zodiacal_piscis,20,0.5,0.56,0.5599650349650349,0.5199999999999999,0.5308894572321682,0.604,0.6355635449002321,5.2,4.0,6.0,4.8
svm,signo_zodiacal_piscis,21,0.5,0.44000000000000006,0.45833333333333337,0.5599999999999999,0.49786324786324787,0.44400000000000006,0.5676721813618097,5.6,6.8,3.2,4.4
svm,signo_zodiacal_piscis,22,0.5,0.5900000000000001,0.621025641025641,0.5199999999999999,0.5427492314448836,0.5940000000000001,0.6359704168380638,5.2,3.4,6.6,4.8
svm,signo_zodiacal_piscis,23,0.5,0.6,0.6102813852813853,0.58,0.5884984296749003,0.616,0.6087027112893986,5.8,3.8,6.2,4.2
svm,signo_zodiacal_piscis,24,0.5,0.49000000000000005,0.4924242424242424,0.42000000000000004,0.44893483709273185,0.506,0.5379030603899025,4.2,4.4,5.6,5.8
svm,signo_zodiacal_piscis,25,0.5,0.54,0.5753968253968254,0.42000000000000004,0.473983979556735,0.5479999999999999,0.5993862244566579,4.2,3.4,6.6,5.8
svm,signo_zodiacal_piscis,26,0.5,0.5,0.48647186147186144,0.45999999999999996,0.46770223240811476,0.4739999999999999,0.5282436081290569,4.6,4.6,5.4,5.4
svm,signo_zodiacal_piscis,27,0.5,0.58,0.5701298701298702,0.6399999999999999,0.5941176470588235,0.6,0.602963924534358,6.4,4.8,5.2,3.6
svm,signo_zodiacal_piscis,28,0.5,0.53,0.5174603174603175,0.64,0.5630994152046783,0.53,0.6171484271662291,6.4,5.8,4.2,3.6
svm,signo_zodiacal_piscis,29,0.5,0.47000000000000003,0.4769230769230769,0.5599999999999999,0.5110232762406676,0.48599999999999993,0.5358595827976632,5.6,6.2,3.8,4.4
svm,signo_zodiacal_piscis,30,0.5,0.39,0.3956060606060606,0.45999999999999996,0.42109090909090907,0.33599999999999997,0.45948570057393595,4.6,6.8,3.2,5.4
svm,signo_zodiacal_piscis,31,0.5,0.47000000000000003,0.4792424242424242,0.36,0.4033959899749373,0.376,0.515068021074213,3.6,4.2,5.8,6.4
svm,signo_zodiacal_piscis,32,0.5,0.6,0.6018759018759019,0.5599999999999999,0.5776057791537668,0.6300000000000001,0.6521218374848405,5.6,3.6,6.4,4.4
svm,signo_zodiacal_piscis,33,0.5,0.45999999999999996,0.43968253968253973,0.45999999999999996,0.4434390343059073,0.502,0.6048170928658545,4.6,5.4,4.6,5.4
svm,signo_zodiacal_piscis,34,0.5,0.5800000000000001,0.5761471861471861,0.7000000000000001,0.6232380952380951,0.5820000000000001,0.6385386084503731,7.0,5.4,4.6,3.0
svm,signo_zodiacal_piscis,35,0.5,0.44000000000000006,0.4592796092796093,0.56,0.5012447125719437,0.454,0.5323465788597368,5.6,6.8,3.2,4.4
svm,signo_zodiacal_piscis,36,0.5,0.58,0.5673160173160173,0.7,0.6248917748917748,0.564,0.5711570282143038,7.0,5.4,4.6,3.0
svm,signo_zodiacal_piscis,37,0.5,0.58,0.5842857142857143,0.5599999999999999,0.5603398692810456,0.5700000000000001,0.6478865127820235,5.6,4.0,6.0,4.4
svm,signo_zodiacal_piscis,38,0.5,0.39,0.344011544011544,0.27999999999999997,0.30344980097302077,0.39,0.4769866338511849,2.8,5.0,5.0,7.2
svm,signo_zodiacal_piscis,39,0.5,0.6299999999999999,0.6275,0.7200000000000001,0.6563605283605284,0.5740000000000001,0.6038982596351017,7.2,4.6,5.4,2.8
