modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_sagitario,1,0.5,0.55,0.5922222222222222,0.38,0.4470676691729323,0.5740000000000001,0.6487422854922855,3.8,2.8,7.2,6.2
svm,signo_zodiacal_sagitario,2,0.5,0.42000000000000004,0.3912820512820513,0.48,0.42485354691075516,0.346,0.48186168776184257,4.8,6.4,3.6,5.2
svm,signo_zodiacal_sagitario,3,0.5,0.5800000000000001,0.5876767676767678,0.4800000000000001,0.5179072681704261,0.5740000000000001,0.617474710961553,4.8,3.2,6.8,5.2
svm,signo_zodiacal_sagitario,4,0.5,0.5700000000000001,0.6375457875457876,0.5800000000000001,0.5482872200263504,0.556,0.5973333202744967,5.8,4.4,5.6,4.2
svm,signo_zodiacal_sagitario,5,0.5,0.44000000000000006,0.44848484848484843,0.4600000000000001,0.44729437229437224,0.40800000000000003,0.4845636595946193,4.6,5.8,4.2,5.4
svm,signo_zodiacal_sagitario,6,0.5,0.43000000000000005,0.4069347319347319,0.4,0.3968017870763866,0.406,0.485343259681495,4.0,5.4,4.6,6.0
svm,signo_zodiacal_sagitario,7,0.5,0.43000000000000005,0.37230769230769234,0.36,0.3576811594202899,0.47800000000000004,0.5440199326816973,3.6,5.0,5.0,6.4
svm,signo_zodiacal_sagitario,8,0.5,0.6,0.6248917748917748,0.5,0.5496732026143791,0.5740000000000001,0.6615465002833424,5.0,3.0,7.0,5.0
svm,signo_zodiacal_sagitario,9,0.5,0.55,0.5393589743589743,0.5800000000000001,0.5556785243741766,0.6079999999999999,0.6545840158293718,5.8,4.8,5.2,4.2
svm,signo_zodiacal_sagitario,10,0.5,0.5599999999999999,0.5666666666666667,0.56,0.5585858585858585,0.576,0.6443086517026145,5.6,4.4,5.6,4.4
svm,signo_zodiacal_sagitario,11,0.5,0.5399999999999999,0.6076190476190476,0.6,0.5359999999999999,0.532,0.6008299761813694,6.0,5.2,4.8,4.0
svm,signo_zodiacal_sagitario,12,0.5,0.43000000000000005,0.4295454545454545,0.44000000000000006,0.4333333333333333,0.38,0.484861724275037,4.4,5.8,4.2,5.6
svm,signo_zodiacal_sagitario,13,0.5,0.39,0.37222222222222223,0.38,0.3730994152046784,0.426,0.4879201256260079,3.8,6.0,4.0,6.2
svm,signo_zodiacal_sagitario,14,0.5,0.51,0.5007575757575757,0.5599999999999999,0.524891774891775,0.528,0.5860492018301615,5.6,5.4,4.6,4.4
svm,signo_zodiacal_sagitario,15,0.5,0.62,0.6144444444444443,0.64,0.6243062200956938,0.71,0.7172223419855,6.4,4.0,6.0,3.6
svm,signo_zodiacal_sagitario,16,0.5,0.39,0.39154761904761903,0.45999999999999996,0.3990573870573871,0.322,0.4864490099683598,4.6,6.8,3.2,5.4
svm,signo_zodiacal_sagitario,17,0.5,0.4600000000000001,0.4636630036630037,0.5599999999999999,0.5003747965589398,0.476,0.5443137793578969,5.6,6.4,3.6,4.4
svm,signo_zodiacal_sagitario,18,0.5,0.49000000000000005,0.490909090909091,0.4999999999999999,0.4902673350041771,0.555,0.5898159326054062,5.0,5.2,4.8,5.0
svm,signo_zodiacal_sagitario,19,0.5,0.4800000000000001,0.4844444444444444,0.64,0.5457340203655994,0.43600000000000005,0.5068918510110461,6.4,6.8,3.2,3.6
svm,signo_zodiacal_sagitario,20,0.5,0.53,0.5712121212121213,0.4600000000000001,0.4983044733044733,0.519,0.5943486590808573,4.6,4.0,6.0,5.4
svm,signo_zodiacal_sagitario,21,0.5,0.45999999999999996,0.4603535353535353,0.42000000000000004,0.4379281537176274,0.492,0.565795739777938,4.2,5.0,5.0,5.8
svm,signo_zodiacal_sagitario,22,0.5,0.41,0.40979797979797983,0.33999999999999997,0.36389306599832916,0.4699999999999999,0.5462546605441342,3.4,5.2,4.8,6.6
svm,signo_zodiacal_sagitario,23,0.5,0.51,0.5155555555555555,0.48,0.48168421052631577,0.5730000000000001,0.6220978912728139,4.8,4.6,5.4,5.2
svm,signo_zodiacal_sagitario,24,0.5,0.5900000000000001,0.611038961038961,0.5,0.5366946778711484,0.602,0.6071835468453116,5.0,3.2,6.8,5.0
svm,signo_zodiacal_sagitario,25,0.5,0.4,0.3852564102564102,0.38,0.3758719922335483,0.316,0.44209716676512345,3.8,5.8,4.2,6.2
svm,signo_zodiacal_sagitario,26,0.5,0.5200000000000001,0.513968253968254,0.34,0.4045768833849329,0.536,0.5683340440089666,3.4,3.0,7.0,6.6
svm,signo_zodiacal_sagitario,27,0.5,0.55,0.548989898989899,0.56,0.5517278043593832,0.55,0.6333386129694178,5.6,4.6,5.4,4.4
svm,signo_zodiacal_sagitario,28,0.5,0.43,0.4011388611388611,0.5,0.4381573498964803,0.32,0.4453992106964243,5.0,6.4,3.6,5.0
svm,signo_zodiacal_sagitario,29,0.5,0.5700000000000001,0.6100000000000001,0.42000000000000004,0.4647142857142857,0.6000000000000001,0.6815215046391517,4.2,2.8,7.2,5.8
svm,signo_zodiacal_sagitario,30,0.5,0.5,0.5266233766233765,0.36000000000000004,0.39396485867074105,0.48599999999999993,0.5624908141394209,3.6,3.6,6.4,6.4
svm,signo_zodiacal_sagitario,31,0.5,0.55,0.550050505050505,0.52,0.5328654970760234,0.57,0.6344893146069617,5.2,4.2,5.8,4.8
svm,signo_zodiacal_sagitario,32,0.5,0.43,0.4212698412698412,0.31999999999999995,0.3558593676705132,0.44000000000000006,0.5181121547870774,3.2,4.6,5.4,6.8
svm,signo_zodiacal_sagitario,33,0.5,0.45,0.4203907203907204,0.42000000000000004,0.41209938937089297,0.488,0.5622855375618533,4.2,5.2,4.8,5.8
svm,signo_zodiacal_sagitario,34,0.5,0.5399999999999999,0.540530303030303,0.6599999999999999,0.5916749916749916,0.54,0.576053528772569,6.6,5.8,4.2,3.4
svm,signo_zodiacal_sagitario,35,0.5,0.5,0.5088383838383839,0.45999999999999996,0.481453634085213,0.506,0.6020343812534215,4.6,4.6,5.4,5.4
svm,signo_zodiacal_sagitario,36,0.5,0.45,0.42272727272727273,0.4,0.39920634920634923,0.4660000000000001,0.5327351433396326,4.0,5.0,5.0,6.0
svm,signo_zodiacal_sagitario,37,0.5,0.5800000000000001,0.5773626373626373,0.62,0.5875638713151166,0.611,0.6515055957114779,6.2,4.6,5.4,3.8
svm,signo_zodiacal_sagitario,38,0.5,0.55,0.5490909090909091,0.58,0.5574903926482874,0.47800000000000004,0.5222504619563443,5.8,4.8,5.2,4.2
svm,signo_zodiacal_sagitario,39,0.5,0.55,0.5386446886446887,0.6599999999999999,0.5918690005646526,0.54,0.5840388592315837,6.6,5.6,4.4,3.4
svm,signo_zodiacal_sagitario,40,0.5,0.53,0.6272222222222222,0.4,0.4380010632642211,0.45099999999999996,0.5778906665230195,4.0,3.4,6.6,6.0
svm,signo_zodiacal_sagitario,41,0.5,0.5,0.5024908424908425,0.6599999999999999,0.5694440052700922,0.5189999999999999,0.5755092238343013,6.6,6.6,3.4,3.4
svm,signo_zodiacal_sagitario,42,0.5,0.58,0.6031746031746031,0.45999999999999996,0.5193498452012384,0.536,0.582668942770336,4.6,3.0,7.0,5.4
svm,signo_zodiacal_sagitario,43,0.5,0.53,0.5402020202020201,0.44000000000000006,0.4773266499582289,0.506,0.5823439693261674,4.4,3.8,6.2,5.6
svm,signo_zodiacal_sagitario,44,0.5,0.55,0.53992673992674,0.6199999999999999,0.5726093890853616,0.5960000000000001,0.6421880217305913,6.2,5.2,4.8,3.8
svm,signo_zodiacal_sagitario,45,0.5,0.5900000000000001,0.5876190476190476,0.6,0.5844334365325077,0.6199999999999999,0.650125437857636,6.0,4.2,5.8,4.0
svm,signo_zodiacal_sagitario,46,0.5,0.45,0.46535947712418296,0.6,0.5155236576289208,0.392,0.4664638056302143,6.0,7.0,3.0,4.0
svm,signo_zodiacal_sagitario,47,0.5,0.43000000000000005,0.4216666666666667,0.38,0.3992982456140351,0.454,0.5180853739483771,3.8,5.2,4.8,6.2
svm,signo_zodiacal_sagitario,48,0.5,0.49000000000000005,0.5083333333333333,0.38,0.4127289377289377,0.49399999999999994,0.5557709049636294,3.8,4.0,6.0,6.2
svm,signo_zodiacal_sagitario,49,0.5,0.5,0.49979797979797985,0.5199999999999999,0.5050041771094402,0.538,0.6160503919884723,5.2,5.2,4.8,4.8
