modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_virgo,1,0.5,0.53,0.5311111111111112,0.6199999999999999,0.5680167810831427,0.496,0.5571271716759333,6.2,5.6,4.4,3.8
svm,signo_zodiacal_virgo,2,0.5,0.4699999999999999,0.5086363636363637,0.36,0.4038095238095238,0.4659999999999999,0.5430518854210804,3.6,4.2,5.8,6.4
svm,signo_zodiacal_virgo,3,0.5,0.49000000000000005,0.597948717948718,0.39999999999999997,0.41690078037904127,0.504,0.605202380952381,4.0,4.2,5.8,6.0
svm,signo_zodiacal_virgo,4,0.5,0.5,0.5076190476190476,0.3,0.3757843137254902,0.47800000000000004,0.5529680952002932,3.0,3.0,7.0,7.0
svm,signo_zodiacal_virgo,5,0.5,0.54,0.597979797979798,0.45999999999999996,0.5016708437761069,0.5639999999999998,0.6195324540440639,4.6,3.8,6.2,5.4
svm,signo_zodiacal_virgo,6,0.5,0.4600000000000001,0.4613553113553114,0.5199999999999999,0.4840269704719833,0.396,0.48144029173440944,5.2,6.0,4.0,4.8
svm,signo_zodiacal_virgo,7,0.5,0.58,0.62,0.44000000000000006,0.5029365079365079,0.616,0.664956097823745,4.4,2.8,7.2,5.6
svm,signo_zodiacal_virgo,8,0.5,0.32999999999999996,0.33426573426573425,0.33999999999999997,0.3352293777923069,0.32799999999999996,0.4672625673260348,3.4,6.8,3.2,6.6
svm,signo_zodiacal_virgo,9,0.5,0.42000000000000004,0.41995670995671,0.42000000000000004,0.4167354214413038,0.398,0.478809744778785,4.2,5.8,4.2,5.8
svm,signo_zodiacal_virgo,10,0.5,0.55,0.526934731934732,0.64,0.57309843779409,0.5960000000000001,0.6254176460794107,6.4,5.4,4.6,3.6
svm,signo_zodiacal_virgo,11,0.5,0.5900000000000001,0.6316666666666666,0.5,0.526965362123257,0.6260000000000001,0.6480045771222243,5.0,3.2,6.8,5.0
svm,signo_zodiacal_virgo,12,0.5,0.44000000000000006,0.44868686868686875,0.48,0.4623194349510139,0.426,0.5234660823352774,4.8,6.0,4.0,5.2
svm,signo_zodiacal_virgo,13,0.5,0.45999999999999996,0.4623376623376624,0.45999999999999996,0.4553000147427392,0.418,0.5075950373156255,4.6,5.4,4.6,5.4
svm,signo_zodiacal_virgo,14,0.5,0.44000000000000006,0.3591880341880342,0.33999999999999997,0.3423468090516145,0.43200000000000005,0.4863779892278345,3.4,4.6,5.4,6.6
svm,signo_zodiacal_virgo,15,0.5,0.52,0.5311111111111112,0.32,0.39359649122807017,0.602,0.6391087682527311,3.2,2.8,7.2,6.8
svm,signo_zodiacal_virgo,16,0.5,0.51,0.5136446886446887,0.5199999999999999,0.506792450008226,0.53,0.6046677484881819,5.2,5.0,5.0,4.8
svm,signo_zodiacal_virgo,17,0.5,0.53,0.523611111111111,0.5999999999999999,0.5498650472334683,0.538,0.6013887007385459,6.0,5.4,4.6,4.0
svm,signo_zodiacal_virgo,18,0.5,0.42000000000000004,0.4031746031746032,0.45999999999999996,0.4244066047471621,0.434,0.5470541496687008,4.6,6.2,3.8,5.4
svm,signo_zodiacal_virgo,19,0.5,0.63,0.7076190476190477,0.44000000000000006,0.5404901960784314,0.5980000000000001,0.6771814866420129,4.4,1.8,8.2,5.6
svm,signo_zodiacal_virgo,20,0.5,0.48,0.487112887112887,0.62,0.5447204968944099,0.44800000000000006,0.5199463957095536,6.2,6.6,3.4,3.8
svm,signo_zodiacal_virgo,21,0.5,0.43999999999999995,0.44081196581196574,0.36,0.3838654607533326,0.476,0.5251763149131571,3.6,4.8,5.2,6.4
svm,signo_zodiacal_virgo,22,0.5,0.51,0.5119997649409413,0.6799999999999999,0.5810255766777506,0.506,0.5407519975724309,6.8,6.6,3.4,3.2
svm,signo_zodiacal_virgo,23,0.5,0.51,0.5297979797979797,0.48,0.4966735019366598,0.5269999999999999,0.5530447881152216,4.8,4.6,5.4,5.2
svm,signo_zodiacal_virgo,24,0.5,0.4,0.2692307692307693,0.32,0.29130434782608694,0.396,0.4887788247184532,3.2,5.2,4.8,6.8
svm,signo_zodiacal_virgo,25,0.5,0.45,0.46025641025641023,0.5,0.47104743083003947,0.434,0.529524653880691,5.0,6.0,4.0,5.0
svm,signo_zodiacal_virgo,26,0.5,0.6399999999999999,0.6325396825396825,0.68,0.6456374894455389,0.6719999999999999,0.6927734389793213,6.8,4.0,6.0,3.2
svm,signo_zodiacal_virgo,27,0.5,0.5900000000000001,0.5836363636363636,0.7,0.6295238095238095,0.608,0.6253889694756568,7.0,5.2,4.8,3.0
svm,signo_zodiacal_virgo,28,0.5,0.45,0.4561616161616161,0.4999999999999999,0.4735438596491228,0.516,0.5943444692562339,5.0,6.0,4.0,5.0
svm,signo_zodiacal_virgo,29,0.5,0.5700000000000001,0.6197619047619047,0.38,0.4678431372549019,0.5900000000000001,0.6313264611205788,3.8,2.4,7.6,6.2
