,pos_rate_bootstrap,pos_rate_bootstrap,cv_accuracy,cv_accuracy,cv_precision,cv_precision,cv_recall,cv_recall,cv_f1,cv_f1,cv_roc_auc,cv_roc_auc,cv_pr_auc,cv_pr_auc,cv_tp_mean,cv_tp_mean,cv_fp_mean,cv_fp_mean,cv_tn_mean,cv_tn_mean,cv_fn_mean,cv_fn_mean
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
signo,,,,,,,,,,,,,,,,,,,,,,
signo_zodiacal_acuario,0.5,0.0,0.50264,0.06029179547170911,0.5023526401788786,0.06773462888815028,0.51388,0.10816072802164538,0.49613630646230295,0.07761782648211116,0.502808,0.0780545203835409,0.5703247141714495,0.06207020629062283,5.1388,1.0816072802164538,5.086,1.0833981276548403,4.914,1.0833981276548403,4.8612,1.0816072802164536
signo_zodiacal_aries,0.5,0.0,0.5013,0.05861895908944014,0.5005224774898304,0.0659341588529225,0.51196,0.11158252425643929,0.49455729844203755,0.07848764913573193,0.502498,0.07857701120161519,0.5701735708998603,0.06077536871287386,5.1196,1.1158252425643933,5.0936,1.060966701023818,4.9064,1.060966701023818,4.8804,1.1158252425643935
signo_zodiacal_cancer,0.5,0.0,0.50324,0.0639130045005598,0.5050573000855354,0.07534501236003383,0.49683999999999995,0.1112959477067871,0.488262209080092,0.08295356482309697,0.505628,0.08333875636596248,0.5723645293490479,0.06409175944284283,4.9684,1.1129594770678721,4.9036,1.0827426764503252,5.0964,1.0827426764503254,5.0316,1.1129594770678721
signo_zodiacal_capricornio,0.5,0.0,0.50198,0.060959919813327296,0.5012372303187009,0.07219644731491243,0.49536,0.10958507278070632,0.48507147283427055,0.08080392471686243,0.501978,0.07994132063889728,0.5693618183847455,0.06148792706981453,4.953600000000001,1.095850727807063,4.914,1.0934144274795545,5.086,1.0934144274795545,5.046399999999999,1.0958507278070633
signo_zodiacal_escorpio,0.5,0.0,0.50492,0.05991806028148601,0.5055719268433665,0.06755697530827842,0.50112,0.11088433736351172,0.49053853172878525,0.07914378135507193,0.506822,0.07730922162003052,0.5723044164755093,0.059693752237463225,5.0112,1.108843373635117,4.9128,1.0835609667838144,5.0872,1.0835609667838144,4.9888,1.108843373635117
signo_zodiacal_geminis,0.5,0.0,0.50102,0.061841801532892544,0.5033561551932759,0.07189819241151361,0.5034,0.11030491534241524,0.4908119378527737,0.07948848823752758,0.502518,0.07955160962033629,0.5711533161262541,0.06200561022058713,5.034,1.1030491534241524,5.0136,1.1240382395309583,4.9864,1.1240382395309583,4.966,1.1030491534241522
signo_zodiacal_leo,0.5,0.0,0.49884,0.06242152909525032,0.5001065978912729,0.07234410117400535,0.49632,0.107956318636136,0.4854451992665192,0.07808089400692599,0.498204,0.07889689362482716,0.5674092561629976,0.06093553265466261,4.9632,1.079563186361361,4.9864,1.1410956307325664,5.0136,1.1410956307325664,5.0368,1.079563186361361
signo_zodiacal_libra,0.5,0.0,0.49782,0.06163965033147063,0.4988883474368769,0.07307196591819098,0.49551999999999996,0.10543891278203368,0.4843564636142154,0.07705797766869146,0.498214,0.0806468352017369,0.567868522257756,0.06124005440523462,4.9552,1.054389127820337,4.9988,1.1257233523971446,5.0012,1.1257233523971446,5.0448,1.054389127820337
signo_zodiacal_ofiuco,0.5,0.0,0.50336,0.061350126944875225,0.5048424474751255,0.07436015278497363,0.49904,0.10746429896064184,0.48904694747244315,0.07922171902565356,0.5022920000000001,0.07756478148395252,0.5705632253264451,0.05986260827342067,4.990399999999999,1.074642989606418,4.9232,1.1302462888002305,5.0768,1.1302462888002305,5.009600000000001,1.074642989606418
signo_zodiacal_piscis,0.5,0.0,0.50058,0.05891013842130769,0.4994447041073821,0.07029094045694359,0.50432,0.11252849828310912,0.48981324116565156,0.0816964523031889,0.5003299999999999,0.07534190005440279,0.5697580198752056,0.05720818188726591,5.0432,1.1252849828310916,5.0316,1.0488095360387275,4.9684,1.0488095360387275,4.9568,1.1252849828310918
signo_zodiacal_sagitario,0.5,0.0,0.49946,0.06069989583771473,0.5002973195552297,0.07121087273618558,0.49960000000000004,0.10349329313268031,0.48700719934595793,0.0752882230966775,0.497796,0.0800158450240314,0.5660327259742322,0.06171388730717388,4.996,1.0349329313268025,5.0068,1.1094211962918157,4.9932,1.1094211962918157,5.004,1.0349329313268025
signo_zodiacal_tauro,0.5,0.0,0.49860000000000004,0.06131197531178773,0.49836999373175844,0.07095416551031146,0.49628,0.10982843972462089,0.4848904700224585,0.08030528842816081,0.498178,0.07973323707330822,0.5672935547905826,0.06150730809204165,4.9628000000000005,1.0982843972462102,4.9908,1.0946377590999203,5.0092,1.0946377590999203,5.0371999999999995,1.0982843972462102
signo_zodiacal_virgo,0.5,0.0,0.501,0.06011512002242547,0.5033992483333659,0.069635975289809,0.5002,0.10173229043836406,0.48953364799722693,0.072971466136954,0.503474,0.07902789469725592,0.5708754084438094,0.06197558741825709,5.002,1.0173229043836414,4.982,1.1491200781066424,5.018,1.1491200781066422,4.998,1.0173229043836414
