n_episodios,cantidad_beneficiarios,porcentaje_beneficiarios
1,3247038,77.03979876405597
2,670617,15.911177734216517
3,177171,4.203590529838753
4,61366,1.4559805862928181
5,25335,0.6011026978086977
6,12520,0.29705173777639216
7,6866,0.1629039322342419
8,4156,0.09860599218839344
9,2538,0.06021703757799387
10,1619,0.038412680787538254
11,1221,0.028969662286339844
12,870,0.02064177411065984
13,648,0.015374562785870776
14,486,0.011530922089403083
15,377,0.00894476878128593
16,257,0.006097627524643194
17,211,0.0050062233762634785
18,172,0.004080902467854589
19,166,0.003938545405022452
20,110,0.0026098794852558414
21,118,0.0027996889023653576
22,80,0.0018980941710951577
23,79,0.001874367993956468
24,73,0.0017320109311243313
25,58,0.0013761182740439893
26,56,0.0013286659197666102
27,50,0.0011863088569344735
28,46,0.0010914041483797157
29,37,0.0008778685541315104
30,42,0.0009964994398249578
31,33,0.0007829638455767525
32,17,0.000403345011357721
33,19,0.00045079736563509996
34,22,0.0005219758970511684
35,21,0.0004982497199124789
36,14,0.00033216647994165256
37,10,0.0002372617713868947
38,8,0.00018980941710951575
39,5,0.00011863088569344736
40,7,0.00016608323997082628
41,7,0.00016608323997082628
42,9,0.00021353559424820524
43,6,0.00014235706283213684
44,3,7.117853141606842e-05
45,1,2.372617713868947e-05
46,3,7.117853141606842e-05
47,5,0.00011863088569344736
48,8,0.00018980941710951575
49,4,9.490470855475787e-05
50,7,0.00016608323997082628
51,4,9.490470855475787e-05
52,7,0.00016608323997082628
53,3,7.117853141606842e-05
54,2,4.745235427737894e-05
55,1,2.372617713868947e-05
56,1,2.372617713868947e-05
57,5,0.00011863088569344736
58,1,2.372617713868947e-05
59,5,0.00011863088569344736
60,1,2.372617713868947e-05
61,5,0.00011863088569344736
62,4,9.490470855475787e-05
63,1,2.372617713868947e-05
64,3,7.117853141606842e-05
65,2,4.745235427737894e-05
66,6,0.00014235706283213684
67,2,4.745235427737894e-05
68,5,0.00011863088569344736
70,2,4.745235427737894e-05
71,1,2.372617713868947e-05
72,1,2.372617713868947e-05
73,1,2.372617713868947e-05
74,2,4.745235427737894e-05
75,2,4.745235427737894e-05
76,1,2.372617713868947e-05
77,1,2.372617713868947e-05
78,2,4.745235427737894e-05
80,1,2.372617713868947e-05
83,2,4.745235427737894e-05
84,1,2.372617713868947e-05
85,1,2.372617713868947e-05
86,1,2.372617713868947e-05
87,3,7.117853141606842e-05
88,2,4.745235427737894e-05
90,1,2.372617713868947e-05
92,1,2.372617713868947e-05
93,2,4.745235427737894e-05
94,2,4.745235427737894e-05
96,1,2.372617713868947e-05
101,1,2.372617713868947e-05
102,1,2.372617713868947e-05
103,2,4.745235427737894e-05
106,1,2.372617713868947e-05
108,1,2.372617713868947e-05
110,2,4.745235427737894e-05
116,3,7.117853141606842e-05
120,1,2.372617713868947e-05
121,1,2.372617713868947e-05
126,1,2.372617713868947e-05
128,1,2.372617713868947e-05
129,1,2.372617713868947e-05
132,2,4.745235427737894e-05
133,1,2.372617713868947e-05
134,2,4.745235427737894e-05
135,1,2.372617713868947e-05
137,2,4.745235427737894e-05
138,2,4.745235427737894e-05
139,1,2.372617713868947e-05
143,4,9.490470855475787e-05
144,1,2.372617713868947e-05
145,2,4.745235427737894e-05
146,4,9.490470855475787e-05
147,4,9.490470855475787e-05
148,1,2.372617713868947e-05
149,4,9.490470855475787e-05
150,1,2.372617713868947e-05
151,2,4.745235427737894e-05
152,2,4.745235427737894e-05
153,2,4.745235427737894e-05
154,2,4.745235427737894e-05
155,1,2.372617713868947e-05
156,1,2.372617713868947e-05
161,1,2.372617713868947e-05
162,1,2.372617713868947e-05
168,1,2.372617713868947e-05
198,1,2.372617713868947e-05
217,1,2.372617713868947e-05
273,1,2.372617713868947e-05
291,1,2.372617713868947e-05
294,1,2.372617713868947e-05
312,1,2.372617713868947e-05
549,1,2.372617713868947e-05
683,1,2.372617713868947e-05
776,1,2.372617713868947e-05
934,1,2.372617713868947e-05
5621,1,2.372617713868947e-05
10197,1,2.372617713868947e-05
