modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_aries,1,0.5,0.42000000000000004,0.41030303030303034,0.36,0.37642857142857145,0.42000000000000004,0.4698787878787879,3.6,5.2,4.8,6.4
dt,signo_zodiacal_aries,2,0.5,0.6,0.6133333333333334,0.54,0.5663157894736842,0.6,0.5780000000000001,5.4,3.4,6.6,4.6
dt,signo_zodiacal_aries,3,0.5,0.58,0.5911616161616161,0.5599999999999999,0.5716108452950558,0.58,0.5621464646464647,5.6,4.0,6.0,4.4
dt,signo_zodiacal_aries,4,0.5,0.51,0.4913492063492063,0.54,0.5086709197235513,0.5029999999999999,0.5417698412698412,5.4,5.2,4.8,4.6
dt,signo_zodiacal_aries,5,0.5,0.51,0.5003607503607503,0.45999999999999996,0.4713572031683487,0.51,0.5083910533910534,4.6,4.4,5.6,5.4
dt,signo_zodiacal_aries,6,0.5,0.48999999999999994,0.46611111111111114,0.36,0.401578947368421,0.48999999999999994,0.5073888888888889,3.6,3.8,6.2,6.4
dt,signo_zodiacal_aries,7,0.5,0.44000000000000006,0.41666666666666663,0.4600000000000001,0.4308849363197189,0.44000000000000006,0.48576923076923084,4.6,5.8,4.2,5.4
dt,signo_zodiacal_aries,8,0.5,0.54,0.5348484848484849,0.6,0.5653679653679653,0.54,0.5343939393939394,6.0,5.2,4.8,4.0
dt,signo_zodiacal_aries,9,0.5,0.45,0.452020202020202,0.45999999999999996,0.4545682387787651,0.45299999999999996,0.4774630924630925,4.6,5.6,4.4,5.4
dt,signo_zodiacal_aries,10,0.5,0.61,0.6128787878787879,0.6599999999999999,0.6297777777777778,0.607,0.5740151515151515,6.6,4.4,5.6,3.4
dt,signo_zodiacal_aries,11,0.5,0.43999999999999995,0.40857142857142853,0.32,0.354640522875817,0.42000000000000004,0.49242857142857144,3.2,4.4,5.6,6.8
dt,signo_zodiacal_aries,12,0.5,0.44000000000000006,0.4336111111111111,0.5,0.4577916820022083,0.44000000000000006,0.4820277777777777,5.0,6.2,3.8,5.0
dt,signo_zodiacal_aries,13,0.5,0.43,0.42035964035964035,0.42000000000000004,0.4155336337433524,0.43,0.4742677322677323,4.2,5.6,4.4,5.8
dt,signo_zodiacal_aries,14,0.5,0.48,0.4833333333333334,0.5599999999999999,0.5149758454106281,0.48,0.49243589743589744,5.6,6.0,4.0,4.4
dt,signo_zodiacal_aries,15,0.5,0.53,0.5411111111111111,0.43999999999999995,0.482485380116959,0.5299999999999999,0.5225555555555556,4.4,3.8,6.2,5.6
dt,signo_zodiacal_aries,16,0.5,0.5,0.49970029970029967,0.58,0.534368530020704,0.5,0.5053446553446553,5.8,5.8,4.2,4.2
dt,signo_zodiacal_aries,17,0.5,0.47000000000000003,0.4536013986013986,0.48,0.4536438923395446,0.47000000000000003,0.48933916083916085,4.8,5.4,4.6,5.2
dt,signo_zodiacal_aries,18,0.5,0.57,0.586075036075036,0.5800000000000001,0.5760363475533754,0.563,0.5622005772005771,5.8,4.4,5.6,4.2
dt,signo_zodiacal_aries,19,0.5,0.47000000000000003,0.4356288156288156,0.42000000000000004,0.4215378920446898,0.476,0.5047150627150627,4.2,4.8,5.2,5.8
dt,signo_zodiacal_aries,20,0.5,0.54,0.5402020202020201,0.56,0.5486397812713603,0.54,0.523010101010101,5.6,4.8,5.2,4.4
dt,signo_zodiacal_aries,21,0.5,0.52,0.556474358974359,0.5800000000000001,0.5459795277186581,0.52,0.5223012820512821,5.8,5.4,4.6,4.2
dt,signo_zodiacal_aries,22,0.5,0.42000000000000004,0.4234343434343435,0.45999999999999996,0.43802005012531325,0.41999999999999993,0.4739191919191919,4.6,6.2,3.8,5.4
dt,signo_zodiacal_aries,23,0.5,0.42000000000000004,0.40714285714285714,0.4,0.4011258091753448,0.41500000000000004,0.4730952380952381,4.0,5.6,4.4,6.0
dt,signo_zodiacal_aries,24,0.5,0.49000000000000005,0.4896103896103896,0.5399999999999999,0.5082505729564553,0.49000000000000005,0.498051948051948,5.4,5.6,4.4,4.6
dt,signo_zodiacal_aries,25,0.5,0.48,0.48,0.5199999999999999,0.49904761904761896,0.48,0.501090909090909,5.2,5.6,4.4,4.8
dt,signo_zodiacal_aries,26,0.5,0.43000000000000005,0.42540792540792544,0.45999999999999996,0.43652362130622996,0.43000000000000005,0.4727039627039627,4.6,6.0,4.0,5.4
dt,signo_zodiacal_aries,27,0.5,0.52,0.5198412698412698,0.45999999999999996,0.4806009006473403,0.5199999999999999,0.5129365079365079,4.6,4.2,5.8,5.4
dt,signo_zodiacal_aries,28,0.5,0.42000000000000004,0.41565656565656567,0.38,0.3957393483709273,0.42000000000000004,0.4769191919191919,3.8,5.4,4.6,6.2
dt,signo_zodiacal_aries,29,0.5,0.54,0.5452380952380953,0.5199999999999999,0.5245989304812835,0.5399999999999999,0.5230952380952381,5.2,4.4,5.6,4.8
dt,signo_zodiacal_aries,30,0.5,0.54,0.5315656565656566,0.5599999999999999,0.5409774436090226,0.54,0.534419191919192,5.6,4.8,5.2,4.4
dt,signo_zodiacal_aries,31,0.5,0.49000000000000005,0.49673992673992673,0.54,0.5076482213438736,0.49000000000000005,0.5004798534798536,5.4,5.6,4.4,4.6
dt,signo_zodiacal_aries,32,0.5,0.6100000000000001,0.6187878787878788,0.5999999999999999,0.6019047619047619,0.6100000000000001,0.5713333333333332,6.0,3.8,6.2,4.0
dt,signo_zodiacal_aries,33,0.5,0.49000000000000005,0.4972222222222221,0.43999999999999995,0.4564327485380117,0.49000000000000005,0.5113888888888889,4.4,4.6,5.4,5.6
dt,signo_zodiacal_aries,34,0.5,0.39,0.35844155844155845,0.26,0.29677871148459384,0.39,0.4733766233766234,2.6,4.8,5.2,7.4
dt,signo_zodiacal_aries,35,0.5,0.45,0.4472041847041847,0.5,0.462364879702341,0.45,0.49055014430014426,5.0,6.0,4.0,5.0
dt,signo_zodiacal_aries,36,0.5,0.48999999999999994,0.4966666666666666,0.54,0.5104812834224599,0.48999999999999994,0.5008095238095238,5.4,5.6,4.4,4.6
dt,signo_zodiacal_aries,37,0.5,0.45999999999999996,0.44138639138639135,0.44000000000000006,0.4352680507748484,0.45999999999999996,0.4921090021090021,4.4,5.2,4.8,5.6
dt,signo_zodiacal_aries,38,0.5,0.58,0.5845238095238094,0.5599999999999999,0.5599524658348188,0.5800000000000001,0.5527380952380953,5.6,4.0,6.0,4.4
dt,signo_zodiacal_aries,39,0.5,0.5,0.4968686868686868,0.5,0.49571048834206727,0.5,0.5106767676767676,5.0,5.0,5.0,5.0
dt,signo_zodiacal_aries,40,0.5,0.54,0.5556166056166056,0.44000000000000006,0.4712843489798665,0.528,0.5304456654456654,4.4,3.6,6.4,5.6
dt,signo_zodiacal_aries,41,0.5,0.5599999999999999,0.5787012987012987,0.45999999999999996,0.5011764705882352,0.5599999999999999,0.5522337662337662,4.6,3.4,6.6,5.4
dt,signo_zodiacal_aries,42,0.5,0.5799999999999998,0.5853968253968252,0.52,0.5482696938424493,0.5799999999999998,0.5512698412698412,5.2,3.6,6.4,4.8
dt,signo_zodiacal_aries,43,0.5,0.53,0.5116661116661116,0.5599999999999999,0.5282977264132198,0.53,0.5267243867243867,5.6,5.0,5.0,4.4
dt,signo_zodiacal_aries,44,0.5,0.43,0.4159090909090909,0.42000000000000004,0.41190476190476194,0.43,0.4779545454545454,4.2,5.6,4.4,5.8
dt,signo_zodiacal_aries,45,0.5,0.54,0.5319902319902321,0.62,0.5691347935055029,0.54,0.5275635475635475,6.2,5.4,4.6,3.8
dt,signo_zodiacal_aries,46,0.5,0.55,0.5397435897435898,0.6,0.5664031620553359,0.55,0.5421282051282051,6.0,5.0,5.0,4.0
dt,signo_zodiacal_aries,47,0.5,0.5399999999999999,0.5348484848484849,0.5599999999999999,0.5447330447330446,0.5399999999999999,0.5262121212121211,5.6,4.8,5.2,4.4
dt,signo_zodiacal_aries,48,0.5,0.48,0.48317460317460315,0.45999999999999996,0.4678519828984225,0.48,0.4941789321789322,4.6,5.0,5.0,5.4
dt,signo_zodiacal_aries,49,0.5,0.58,0.5895804195804196,0.62,0.6001054018445322,0.5800000000000001,0.5564755244755244,6.2,4.6,5.4,3.8
dt,signo_zodiacal_aries,50,0.5,0.47000000000000003,0.4714285714285714,0.54,0.49164495635083877,0.47000000000000003,0.4871428571428571,5.4,6.0,4.0,4.6
dt,signo_zodiacal_aries,51,0.5,0.45999999999999996,0.4584415584415584,0.4,0.42514128458400896,0.45999999999999996,0.4859163059163059,4.0,4.8,5.2,6.0
dt,signo_zodiacal_aries,52,0.5,0.5,0.48458041958041964,0.6599999999999999,0.5546042363433669,0.5,0.5249755244755245,6.6,6.6,3.4,3.4
dt,signo_zodiacal_aries,53,0.5,0.48,0.4822222222222222,0.4800000000000001,0.46244429254955566,0.48,0.4908888888888889,4.8,5.2,4.8,5.2
dt,signo_zodiacal_aries,54,0.5,0.53,0.5340909090909091,0.48,0.4916305916305916,0.53,0.5179545454545454,4.8,4.2,5.8,5.2
dt,signo_zodiacal_aries,55,0.5,0.5199999999999999,0.4945804195804196,0.52,0.499802371541502,0.52,0.5269755244755244,5.2,4.8,5.2,4.8
dt,signo_zodiacal_aries,56,0.5,0.5599999999999999,0.5573809523809523,0.52,0.5334696813334584,0.542,0.5310714285714286,5.2,4.0,6.0,4.8
dt,signo_zodiacal_aries,57,0.5,0.41000000000000003,0.3891885891885892,0.38,0.37957040939945774,0.41500000000000004,0.4723287823287824,3.8,5.6,4.4,6.2
dt,signo_zodiacal_aries,58,0.5,0.5900000000000001,0.6052813852813853,0.54,0.5671374514718167,0.6039999999999999,0.567974025974026,5.4,3.6,6.4,4.6
dt,signo_zodiacal_aries,59,0.5,0.44000000000000006,0.4498989898989899,0.5,0.4696441102756892,0.43999999999999995,0.4790707070707071,5.0,6.2,3.8,5.0
dt,signo_zodiacal_aries,60,0.5,0.56,0.5672222222222223,0.5399999999999999,0.5507283359914938,0.5599999999999999,0.5533888888888889,5.4,4.2,5.8,4.6
dt,signo_zodiacal_aries,61,0.5,0.6300000000000001,0.6381818181818182,0.6,0.6085714285714285,0.633,0.5967272727272729,6.0,3.4,6.6,4.0
dt,signo_zodiacal_aries,62,0.5,0.54,0.5506349206349207,0.5,0.5190718328798825,0.54,0.5306507936507937,5.0,4.2,5.8,5.0
dt,signo_zodiacal_aries,63,0.5,0.49000000000000005,0.4883333333333334,0.5199999999999999,0.49664646464646467,0.48999999999999994,0.4998333333333333,5.2,5.4,4.6,4.8
dt,signo_zodiacal_aries,64,0.5,0.59,0.5924747474747474,0.5800000000000001,0.5839933166248955,0.59,0.55460101010101,5.8,4.0,6.0,4.2
dt,signo_zodiacal_aries,65,0.5,0.43,0.4307070707070707,0.43999999999999995,0.43468671679197995,0.43999999999999995,0.4766919191919191,4.4,5.8,4.2,5.6
dt,signo_zodiacal_aries,66,0.5,0.47000000000000003,0.4695526695526695,0.38,0.41674775173227185,0.4699999999999999,0.4917893217893218,3.8,4.4,5.6,6.2
dt,signo_zodiacal_aries,67,0.5,0.49000000000000005,0.4784992784992784,0.43999999999999995,0.45395842547545334,0.49000000000000005,0.5036075036075036,4.4,4.6,5.4,5.6
dt,signo_zodiacal_aries,68,0.5,0.4800000000000001,0.48185213479331124,0.54,0.49869891603637734,0.48,0.4920185043714455,5.4,5.8,4.2,4.6
dt,signo_zodiacal_aries,69,0.5,0.45999999999999996,0.4522222222222222,0.4,0.423859649122807,0.45999999999999996,0.4881111111111111,4.0,4.8,5.2,6.0
dt,signo_zodiacal_aries,70,0.5,0.5000000000000001,0.4799567099567099,0.45999999999999996,0.4630990578049402,0.5000000000000001,0.5081688311688313,4.6,4.6,5.4,5.4
dt,signo_zodiacal_aries,71,0.5,0.52,0.5277777777777778,0.5800000000000001,0.5394167236272498,0.52,0.538888888888889,5.8,5.4,4.6,4.2
dt,signo_zodiacal_aries,72,0.5,0.49000000000000005,0.475,0.44000000000000006,0.44836601307189544,0.49000000000000005,0.49964285714285717,4.4,4.6,5.4,5.6
dt,signo_zodiacal_aries,73,0.5,0.45999999999999996,0.42961038961038955,0.44000000000000006,0.42582633053221286,0.45899999999999996,0.48871861471861466,4.4,5.2,4.8,5.6
dt,signo_zodiacal_aries,74,0.5,0.5399999999999999,0.5838383838383838,0.45999999999999996,0.506453634085213,0.54,0.5413131313131313,4.6,3.8,6.2,5.4
dt,signo_zodiacal_aries,75,0.5,0.5000000000000001,0.5018181818181817,0.5,0.4999498746867168,0.5109999999999999,0.5105656565656567,5.0,5.0,5.0,5.0
dt,signo_zodiacal_aries,76,0.5,0.47000000000000003,0.4700854700854701,0.5,0.48229268824234506,0.4700000000000001,0.48740481740481745,5.0,5.6,4.4,5.0
dt,signo_zodiacal_aries,77,0.5,0.54,0.553968253968254,0.52,0.5324340262420758,0.54,0.5278932178932179,5.2,4.4,5.6,4.8
dt,signo_zodiacal_aries,78,0.5,0.51,0.5208791208791209,0.56,0.5259164535379369,0.51,0.523956043956044,5.6,5.4,4.6,4.4
dt,signo_zodiacal_aries,79,0.5,0.4800000000000001,0.4734920634920635,0.45999999999999996,0.4631241204615818,0.48,0.5009365079365079,4.6,5.0,5.0,5.4
dt,signo_zodiacal_aries,80,0.5,0.54,0.5653846153846154,0.5599999999999999,0.53828345567476,0.54,0.5288461538461539,5.6,4.8,5.2,4.4
dt,signo_zodiacal_aries,81,0.5,0.5599999999999999,0.5593939393939393,0.6,0.5784415584415584,0.5599999999999999,0.5541212121212121,6.0,4.8,5.2,4.0
dt,signo_zodiacal_aries,82,0.5,0.5399999999999999,0.5607142857142857,0.5,0.5192982456140351,0.5399999999999999,0.5417063492063492,5.0,4.2,5.8,5.0
dt,signo_zodiacal_aries,83,0.5,0.52,0.48969696969696963,0.5,0.4926190476190476,0.5200000000000001,0.5298787878787878,5.0,4.6,5.4,5.0
dt,signo_zodiacal_aries,84,0.5,0.47000000000000003,0.5019336219336219,0.45999999999999996,0.47535737740072104,0.479,0.5161702741702742,4.6,5.2,4.8,5.4
dt,signo_zodiacal_aries,85,0.5,0.5900000000000001,0.6130591630591631,0.52,0.5594181532262027,0.5900000000000001,0.5574386724386724,5.2,3.4,6.6,4.8
dt,signo_zodiacal_aries,86,0.5,0.56,0.5633838383838384,0.52,0.5391812865497075,0.5599999999999999,0.5427020202020202,5.2,4.0,6.0,4.8
dt,signo_zodiacal_aries,87,0.5,0.5900000000000001,0.5809090909090908,0.6599999999999999,0.617056277056277,0.5900000000000001,0.5617878787878788,6.6,4.8,5.2,3.4
dt,signo_zodiacal_aries,88,0.5,0.55,0.5490909090909091,0.5800000000000001,0.5638095238095238,0.55,0.5561818181818181,5.8,4.8,5.2,4.2
dt,signo_zodiacal_aries,89,0.5,0.51,0.49757575757575756,0.5,0.49584415584415586,0.51,0.5251212121212121,5.0,4.8,5.2,5.0
dt,signo_zodiacal_aries,90,0.5,0.5000000000000001,0.5382051282051282,0.48,0.4929782955412246,0.5,0.5213931623931625,4.8,4.8,5.2,5.2
dt,signo_zodiacal_aries,91,0.5,0.5900000000000001,0.601038961038961,0.58,0.5862184873949579,0.5900000000000001,0.5603376623376624,5.8,4.0,6.0,4.2
dt,signo_zodiacal_aries,92,0.5,0.5900000000000001,0.6030591630591631,0.58,0.5862868400948896,0.5900000000000001,0.5604386724386725,5.8,4.0,6.0,4.2
dt,signo_zodiacal_aries,93,0.5,0.47000000000000003,0.47675213675213673,0.44000000000000006,0.44645308924485133,0.47000000000000003,0.5022735042735043,4.4,5.0,5.0,5.6
dt,signo_zodiacal_aries,94,0.5,0.47000000000000003,0.5375757575757576,0.4,0.4307036822826297,0.47000000000000003,0.5074545454545454,4.0,4.6,5.4,6.0
dt,signo_zodiacal_aries,95,0.5,0.51,0.5096536796536796,0.6,0.5496969696969696,0.51,0.5141861471861472,6.0,5.8,4.2,4.0
dt,signo_zodiacal_aries,96,0.5,0.59,0.5804040404040404,0.6200000000000001,0.5982365003417635,0.5900000000000001,0.5647676767676767,6.2,4.4,5.6,3.8
dt,signo_zodiacal_aries,97,0.5,0.51,0.5174603174603174,0.45999999999999996,0.4815367295243457,0.5149999999999999,0.506984126984127,4.6,4.4,5.6,5.4
dt,signo_zodiacal_aries,98,0.5,0.43000000000000005,0.3963852813852814,0.4,0.38696358543417364,0.43000000000000005,0.4780497835497835,4.0,5.4,4.6,6.0
dt,signo_zodiacal_aries,99,0.5,0.48,0.5148717948717949,0.48,0.47565217391304343,0.4800000000000001,0.5047179487179487,4.8,5.2,4.8,5.2
dt,signo_zodiacal_aries,100,0.5,0.49000000000000005,0.4812010212010211,0.5599999999999999,0.513917402201155,0.49000000000000005,0.5125365745365744,5.6,5.8,4.2,4.4
dt,signo_zodiacal_aries,101,0.5,0.48,0.4720779220779221,0.4999999999999999,0.480952380952381,0.479,0.5143578643578643,5.0,5.4,4.6,5.0
dt,signo_zodiacal_aries,102,0.5,0.4800000000000001,0.4718253968253968,0.4800000000000001,0.46860501637726026,0.48,0.5006929181929182,4.8,5.2,4.8,5.2
dt,signo_zodiacal_aries,103,0.5,0.5,0.5063059163059164,0.54,0.5135279911007464,0.4999999999999999,0.5037243867243867,5.4,5.4,4.6,4.6
dt,signo_zodiacal_aries,104,0.5,0.55,0.5577056277056277,0.5599999999999999,0.5534912146676852,0.55,0.5396406926406927,5.6,4.6,5.4,4.4
dt,signo_zodiacal_aries,105,0.5,0.51,0.5104895104895105,0.54,0.5223929388689114,0.51,0.5110411810411811,5.4,5.2,4.8,4.6
dt,signo_zodiacal_aries,106,0.5,0.41000000000000003,0.4132051282051282,0.44000000000000006,0.4235046113306982,0.402,0.48878205128205127,4.4,6.2,3.8,5.6
dt,signo_zodiacal_aries,107,0.5,0.45,0.455952380952381,0.4800000000000001,0.4592691622103387,0.45,0.48154761904761906,4.8,5.8,4.2,5.2
dt,signo_zodiacal_aries,108,0.5,0.43,0.4246031746031746,0.4800000000000001,0.44532163742690056,0.43,0.4826984126984127,4.8,6.2,3.8,5.2
