modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_cancer,1,0.5,0.5900000000000001,0.5983838383838384,0.5399999999999999,0.5585964912280701,0.59,0.5546464646464646,5.4,3.6,6.4,4.6
dt,signo_zodiacal_cancer,2,0.5,0.53,0.5341880341880343,0.48,0.49644037630307647,0.53,0.5229059829059829,4.8,4.2,5.8,5.2
dt,signo_zodiacal_cancer,3,0.5,0.57,0.5671717171717171,0.6,0.58049669628617,0.5700000000000001,0.5618686868686869,6.0,4.6,5.4,4.0
dt,signo_zodiacal_cancer,4,0.5,0.45000000000000007,0.4485281385281385,0.39999999999999997,0.41359816653934295,0.45,0.4808354978354979,4.0,5.0,5.0,6.0
dt,signo_zodiacal_cancer,5,0.5,0.45,0.45397435897435895,0.45999999999999996,0.4526306543697848,0.45,0.486551282051282,4.6,5.6,4.4,5.4
dt,signo_zodiacal_cancer,6,0.5,0.53,0.5492857142857143,0.48,0.49555555555555547,0.53,0.5279285714285715,4.8,4.2,5.8,5.2
dt,signo_zodiacal_cancer,7,0.5,0.5700000000000001,0.5767099567099566,0.52,0.5436080397071109,0.5700000000000001,0.5431688311688312,5.2,3.8,6.2,4.8
dt,signo_zodiacal_cancer,8,0.5,0.53,0.526915306915307,0.56,0.5405840688678217,0.53,0.5251080031080031,5.6,5.0,5.0,4.4
dt,signo_zodiacal_cancer,9,0.5,0.5900000000000001,0.5954545454545455,0.56,0.5702380952380952,0.5900000000000001,0.5672727272727273,5.6,3.8,6.2,4.4
dt,signo_zodiacal_cancer,10,0.5,0.5,0.5051948051948052,0.5,0.4988795518207283,0.5029999999999999,0.5191233766233766,5.0,5.0,5.0,5.0
dt,signo_zodiacal_cancer,11,0.5,0.5,0.48551226551226556,0.5,0.4829257457368913,0.5,0.5047243867243868,5.0,5.0,5.0,5.0
dt,signo_zodiacal_cancer,12,0.5,0.4600000000000001,0.4526806526806527,0.45999999999999996,0.4512422360248447,0.45600000000000007,0.49124941724941723,4.6,5.4,4.6,5.4
dt,signo_zodiacal_cancer,13,0.5,0.52,0.5587301587301587,0.42000000000000004,0.4648930704658259,0.554,0.5431132756132756,4.2,3.8,6.2,5.8
dt,signo_zodiacal_cancer,14,0.5,0.52,0.5192857142857144,0.5,0.5022222222222222,0.5199999999999999,0.5209285714285714,5.0,4.6,5.4,5.0
dt,signo_zodiacal_cancer,15,0.5,0.45999999999999996,0.468947718947719,0.5,0.4781944398312685,0.4600000000000001,0.4873110223110223,5.0,5.8,4.2,5.0
dt,signo_zodiacal_cancer,16,0.5,0.44000000000000006,0.43659340659340656,0.38000000000000006,0.39790991759022454,0.44000000000000006,0.48309890109890113,3.8,5.0,5.0,6.2
dt,signo_zodiacal_cancer,17,0.5,0.53,0.5694444444444444,0.44000000000000006,0.4818865345181135,0.536,0.5247222222222222,4.4,3.8,6.2,5.6
dt,signo_zodiacal_cancer,18,0.5,0.49000000000000005,0.49111111111111116,0.5,0.4943540669856459,0.49000000000000005,0.49755555555555553,5.0,5.2,4.8,5.0
dt,signo_zodiacal_cancer,19,0.5,0.45,0.45499999999999996,0.45999999999999996,0.4471904761904762,0.45099999999999996,0.4776789321789322,4.6,5.6,4.4,5.4
