modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_capricornio,1,0.5,0.4600000000000001,0.4622222222222222,0.48,0.4650994152046783,0.45999999999999996,0.48288888888888887,4.8,5.6,4.4,5.2
dt,signo_zodiacal_capricornio,2,0.5,0.43,0.4075757575757576,0.36,0.3785714285714285,0.43,0.4737878787878788,3.6,5.0,5.0,6.4
dt,signo_zodiacal_capricornio,3,0.5,0.43,0.42388888888888887,0.45999999999999996,0.43696414950419527,0.43,0.4768247863247863,4.6,6.0,4.0,5.4
dt,signo_zodiacal_capricornio,4,0.5,0.59,0.6035964035964037,0.54,0.5592985020094996,0.5900000000000001,0.5624875124875125,5.4,3.6,6.4,4.6
dt,signo_zodiacal_capricornio,5,0.5,0.48,0.42227272727272724,0.44000000000000006,0.4290909090909091,0.48,0.5235909090909091,4.4,4.8,5.2,5.6
dt,signo_zodiacal_capricornio,6,0.5,0.47000000000000003,0.4624242424242424,0.5399999999999999,0.49453451811346544,0.483,0.49601010101010096,5.4,6.0,4.0,4.6
dt,signo_zodiacal_capricornio,7,0.5,0.63,0.6364102564102564,0.6599999999999999,0.6433728590250329,0.613,0.5766410256410257,6.6,4.0,6.0,3.4
dt,signo_zodiacal_capricornio,8,0.5,0.49000000000000005,0.4870707070707071,0.5399999999999999,0.5094486215538847,0.49000000000000005,0.4984646464646464,5.4,5.6,4.4,4.6
dt,signo_zodiacal_capricornio,9,0.5,0.52,0.49488095238095237,0.5,0.4785447232506056,0.529,0.5213809523809525,5.0,4.6,5.4,5.0
dt,signo_zodiacal_capricornio,10,0.5,0.4800000000000001,0.47257575757575754,0.4800000000000001,0.4741535657325131,0.4800000000000001,0.5059545454545453,4.8,5.2,4.8,5.2
dt,signo_zodiacal_capricornio,11,0.5,0.4600000000000001,0.4673076923076923,0.4999999999999999,0.4791484640454892,0.4600000000000001,0.494551282051282,5.0,5.8,4.2,5.0
dt,signo_zodiacal_capricornio,12,0.5,0.51,0.5125097125097126,0.5,0.49889669826740757,0.515,0.5073038073038073,5.0,4.8,5.2,5.0
dt,signo_zodiacal_capricornio,13,0.5,0.48,0.492948717948718,0.52,0.4996047430830039,0.4800000000000001,0.4949358974358974,5.2,5.6,4.4,4.8
dt,signo_zodiacal_capricornio,14,0.5,0.5599999999999999,0.5443084693084692,0.5799999999999998,0.5583306091315244,0.5599999999999999,0.5488947163947163,5.8,4.6,5.4,4.2
dt,signo_zodiacal_capricornio,15,0.5,0.42000000000000004,0.3962698412698412,0.32,0.3514654282765738,0.42000000000000004,0.4691031746031745,3.2,4.8,5.2,6.8
dt,signo_zodiacal_capricornio,16,0.5,0.61,0.6323015873015873,0.5599999999999999,0.5780213278293773,0.61,0.5708174603174603,5.6,3.4,6.6,4.4
dt,signo_zodiacal_capricornio,17,0.5,0.47000000000000003,0.4375757575757576,0.44000000000000006,0.4276825396825396,0.4700000000000001,0.4947878787878787,4.4,5.0,5.0,5.6
