modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_escorpio,1,0.5,0.47000000000000003,0.45904761904761904,0.44000000000000006,0.43674613003095974,0.4699999999999999,0.49104761904761907,4.4,5.0,5.0,5.6
dt,signo_zodiacal_escorpio,2,0.5,0.57,0.5772294372294372,0.52,0.5391596638655463,0.57,0.54795670995671,5.2,3.8,6.2,4.8
dt,signo_zodiacal_escorpio,3,0.5,0.44000000000000006,0.45182595182595175,0.5599999999999999,0.49548620715668773,0.44000000000000006,0.481010101010101,5.6,6.8,3.2,4.4
dt,signo_zodiacal_escorpio,4,0.5,0.4,0.3898701298701298,0.45999999999999996,0.41658263305322124,0.4,0.47137662337662334,4.6,6.6,3.4,5.4
dt,signo_zodiacal_escorpio,5,0.5,0.49000000000000005,0.49909090909090903,0.48,0.4876190476190477,0.49000000000000005,0.5114545454545454,4.8,5.0,5.0,5.2
dt,signo_zodiacal_escorpio,6,0.5,0.5599999999999999,0.5656385281385281,0.64,0.590174153332048,0.5599999999999999,0.5406331168831169,6.4,5.2,4.8,3.6
dt,signo_zodiacal_escorpio,7,0.5,0.43,0.43484015984015983,0.5,0.46149068322981357,0.43,0.47385864135864136,5.0,6.4,3.6,5.0
dt,signo_zodiacal_escorpio,8,0.5,0.54,0.55,0.56,0.5519480519480519,0.54,0.5309090909090909,5.6,4.8,5.2,4.4
dt,signo_zodiacal_escorpio,9,0.5,0.51,0.5242424242424242,0.45999999999999996,0.4841269841269841,0.51,0.5087878787878788,4.6,4.4,5.6,5.4
dt,signo_zodiacal_escorpio,10,0.5,0.45,0.4527777777777778,0.41999999999999993,0.4292053663570692,0.438,0.4807539682539682,4.2,5.2,4.8,5.8
dt,signo_zodiacal_escorpio,11,0.5,0.55,0.5444444444444445,0.6199999999999999,0.576475279106858,0.55,0.528888888888889,6.2,5.2,4.8,3.8
dt,signo_zodiacal_escorpio,12,0.5,0.41000000000000003,0.37939393939393934,0.4,0.38419685577580315,0.41000000000000003,0.4764242424242425,4.0,5.8,4.2,6.0
dt,signo_zodiacal_escorpio,13,0.5,0.45,0.44373626373626374,0.43999999999999995,0.4346152057661009,0.45,0.4845274725274725,4.4,5.4,4.6,5.6
dt,signo_zodiacal_escorpio,14,0.5,0.4800000000000001,0.48686868686868684,0.4600000000000001,0.4672761449077239,0.48,0.4976767676767676,4.6,5.0,5.0,5.4
dt,signo_zodiacal_escorpio,15,0.5,0.52,0.5215811965811966,0.5,0.5065344520722095,0.5199999999999999,0.5189957264957265,5.0,4.6,5.4,5.0
dt,signo_zodiacal_escorpio,16,0.5,0.56,0.5583333333333333,0.54,0.5410894660894661,0.556,0.5400757575757575,5.4,4.2,5.8,4.6
dt,signo_zodiacal_escorpio,17,0.5,0.56,0.5501476301476301,0.6,0.5719123896698267,0.5599999999999999,0.5405625485625486,6.0,4.8,5.2,4.0
dt,signo_zodiacal_escorpio,18,0.5,0.49000000000000005,0.4986868686868687,0.45999999999999996,0.47699248120300747,0.49000000000000005,0.5130101010101009,4.6,4.8,5.2,5.4
dt,signo_zodiacal_escorpio,19,0.5,0.53,0.5367521367521367,0.54,0.5339065714351756,0.53,0.520940170940171,5.4,4.8,5.2,4.6
dt,signo_zodiacal_escorpio,20,0.5,0.52,0.533968253968254,0.5,0.5084657722738217,0.52,0.5189841269841271,5.0,4.6,5.4,5.0
dt,signo_zodiacal_escorpio,21,0.5,0.5,0.507965367965368,0.54,0.50909243697479,0.5,0.5115670995670996,5.4,5.4,4.6,4.6
