modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_geminis,1,0.5,0.53,0.537292609351433,0.5599999999999999,0.5272883295194508,0.53,0.5395889894419306,5.6,5.0,5.0,4.4
dt,signo_zodiacal_geminis,2,0.5,0.53,0.525050505050505,0.5,0.5106432748538012,0.53,0.5266464646464646,5.0,4.4,5.6,5.0
dt,signo_zodiacal_geminis,3,0.5,0.4,0.3766666666666667,0.3,0.3259090909090909,0.4,0.47300000000000003,3.0,5.0,5.0,7.0
dt,signo_zodiacal_geminis,4,0.5,0.52,0.4966666666666667,0.4800000000000001,0.4734165181224005,0.52,0.5148095238095237,4.8,4.4,5.6,5.2
dt,signo_zodiacal_geminis,5,0.5,0.41000000000000003,0.4069230769230769,0.4,0.4008746503941012,0.417,0.4732393162393162,4.0,5.8,4.2,6.0
dt,signo_zodiacal_geminis,6,0.5,0.5,0.5066233766233765,0.4600000000000001,0.4707936507936508,0.5,0.5078831168831168,4.6,4.6,5.4,5.4
dt,signo_zodiacal_geminis,7,0.5,0.55,0.5548051948051949,0.6,0.5742857142857143,0.55,0.532883116883117,6.0,5.0,5.0,4.0
dt,signo_zodiacal_geminis,8,0.5,0.48,0.4807192807192807,0.6,0.5325051759834368,0.4840000000000001,0.4931068931068932,6.0,6.4,3.6,4.0
dt,signo_zodiacal_geminis,9,0.5,0.54,0.5331550802139037,0.64,0.5677536231884057,0.5440000000000002,0.5265828289357701,6.4,5.6,4.4,3.6
dt,signo_zodiacal_geminis,10,0.5,0.5199999999999999,0.5232478632478632,0.5599999999999999,0.5331543351131451,0.521,0.5138290598290598,5.6,5.2,4.8,4.4
dt,signo_zodiacal_geminis,11,0.5,0.5599999999999999,0.5722222222222222,0.6,0.5771929824561404,0.5599999999999999,0.5411111111111111,6.0,4.8,5.2,4.0
dt,signo_zodiacal_geminis,12,0.5,0.45,0.4545454545454546,0.52,0.4833333333333334,0.44399999999999995,0.48090909090909084,5.2,6.2,3.8,4.8
dt,signo_zodiacal_geminis,13,0.5,0.48,0.4895959595959596,0.5599999999999999,0.5190120756436546,0.48,0.49613131313131315,5.6,6.0,4.0,4.4
dt,signo_zodiacal_geminis,14,0.5,0.61,0.6193362193362193,0.5599999999999999,0.5853457172342621,0.6099999999999999,0.5748051948051949,5.6,3.4,6.6,4.4
dt,signo_zodiacal_geminis,15,0.5,0.58,0.5821678321678322,0.62,0.5897797854319593,0.5780000000000001,0.5489160839160839,6.2,4.6,5.4,3.8
dt,signo_zodiacal_geminis,16,0.5,0.52,0.5277777777777778,0.4600000000000001,0.481424774056353,0.52,0.5152222222222222,4.6,4.2,5.8,5.4
dt,signo_zodiacal_geminis,17,0.5,0.52,0.513986013986014,0.52,0.5121463077984817,0.52,0.5139160839160839,5.2,4.8,5.2,4.8
dt,signo_zodiacal_geminis,18,0.5,0.31,0.30357142857142855,0.33999999999999997,0.3158371040723982,0.31,0.44585714285714284,3.4,7.2,2.8,6.6
dt,signo_zodiacal_geminis,19,0.5,0.43000000000000005,0.43611111111111117,0.4,0.41637426900584795,0.43,0.4860555555555555,4.0,5.4,4.6,6.0
dt,signo_zodiacal_geminis,20,0.5,0.4800000000000001,0.47575757575757577,0.4,0.4302213868003342,0.48,0.5004545454545454,4.0,4.4,5.6,6.0
